episode,service_level,squared_starvation_penalty,congestion_severity_max,unmet_starvation_deficit,temporal_demand_gradient,future_net_pressure
0,0.8858843117908238,-2.693682880916315,-9.464930141524698,-3.2259668310268435,0.0,-1.168967474301128
1,0.9335589328337915,-6.875469996202133,-25.841540841764004,-8.463701729404523,0.0,-3.340741714402745
2,0.9343980052244123,-10.567386892654001,-41.24898389038461,-13.219676356315865,0.0,-5.500033859194782
3,0.9235478572495147,-13.791267204759874,-55.062081697794696,-17.440277980854102,0.0,-7.498066633488658
4,0.9246922086091723,-16.87591109156578,-68.46005629554571,-21.514598273788625,0.0,-9.486326316705995
5,0.9181200660914265,-19.613581964303588,-80.37628184896289,-25.14465956302023,0.0,-11.276133865570523
6,0.9204119292815048,-22.0664099735976,-91.06217332762172,-28.405259889240156,0.0,-12.882296741241474
7,0.9245061784071436,-24.47966576674077,-101.59433821957677,-31.610724355042695,0.0,-14.494567453393936
8,0.9149206349206349,-26.645673170719608,-110.99650614555686,-34.48512924014505,0.0,-15.961852529452395
9,0.9241087723567344,-28.539579640507355,-119.19894726020394,-36.99240726992112,0.0,-17.26163188366591
10,0.9142080745341615,-30.38759930350807,-127.18684346595401,-39.44139367200432,0.0,-18.545479873718268
11,0.9183291961631578,-31.902713627985044,-133.54747913736452,-41.42643031820571,0.0,-19.592828216823666
12,0.9044268631477231,-33.338214813305605,-139.47704791243424,-43.301985026060976,0.0,-20.564725823959105
13,0.9092552422270427,-34.7143030187923,-145.1493397864172,-45.10338513077333,0.0,-21.506529901121986
14,0.9129201617283206,-36.03192398825752,-150.55198724891042,-46.82837605153141,0.0,-22.403289763983896
15,0.9210295230885692,-37.186807284637744,-155.23597943187875,-48.337993242707675,0.0,-23.197479904405167
16,0.9154980008354717,-38.259803124701065,-159.58791535876605,-49.7414596350172,0.0,-23.942321843024146
17,0.919880059970015,-39.16784635096107,-163.14368135314402,-50.91736827798586,0.0,-24.59751430957594
18,0.920063351661487,-40.09800509063208,-166.77269633555028,-52.112924783212065,0.0,-25.24032350213466
19,0.9051287431431911,-40.99806141925786,-170.29864011778722,-53.272549687508075,0.0,-25.8787564387474
20,0.9097272507844557,-41.81816152614934,-173.38428440417476,-54.311510959456626,0.0,-26.442532533404908
21,0.9133301509636613,-42.58819786293408,-176.28585569273346,-55.29125447902131,0.0,-26.996620523170584
22,0.9165061603839921,-43.286521170737934,-178.87532546362593,-56.173166416151126,0.0,-27.50260276828892
23,0.9180626919218023,-43.96688306447212,-181.4771644203217,-57.04523391819105,0.0,-28.015903370781544
24,0.912653941809247,-44.53801138551817,-183.47451633445775,-57.748390526423535,0.0,-28.437762978383866
25,0.9189875714415313,-45.108692920806405,-185.47604689094075,-58.455521839835626,0.0,-28.869659764810727
26,0.9191196126771022,-45.60386781407524,-187.0945222434076,-59.052419825721074,0.0,-29.23806016195715
27,0.9192550351856346,-46.04742768274375,-188.4740531076018,-59.58237076011456,0.0,-29.571299723125232
28,0.9111950590633807,-46.42825740795293,-189.62920482570962,-60.03196502081121,0.0,-29.863752710611035
29,0.9174265146970606,-46.86192003899338,-190.98402606120735,-60.55148982768134,0.0,-30.20719904754252
30,0.9174387924157821,-47.208900239066,-191.92415127195235,-60.95311779194423,0.0,-30.467151057601747
31,0.915150054236471,-47.54540023514812,-192.83222975409137,-61.338647701997466,0.0,-30.73395924016099
32,0.9104248729590763,-47.86187260646587,-193.66123596892717,-61.69856446045075,0.0,-30.978769626211943
33,0.91439618739322,-48.18822262470548,-194.57370975026745,-62.07345352811873,0.0,-31.236152282201648
34,0.9168894362178236,-48.520638401566536,-195.54653169974344,-62.46397846743162,0.0,-31.493293536171592
35,0.9139110434029334,-48.8015909018175,-196.28158997786468,-62.786039833503196,0.0,-31.72320645650512
36,0.9123787654470193,-49.10043732063474,-197.1084097271063,-63.132073823118645,0.0,-31.95266994608811
37,0.9067170953101361,-49.353194484247766,-197.77080278682712,-63.42089930935423,0.0,-32.1530061778134
38,0.9092729881621427,-49.627522233095455,-198.51637793559692,-63.73540376519912,0.0,-32.377446314556295
39,0.90537909212608,-49.89999432896124,-199.31592903382577,-64.05662746471093,0.0,-32.592571348791914
40,0.9156799856119421,-50.09494501820513,-199.67029689163564,-64.25624005387004,0.0,-32.74942898382447
41,0.9047406215547809,-50.30108963693965,-200.13370584977397,-64.48121296538807,0.0,-32.91100785734459
42,0.9097574221578566,-50.50420602097314,-200.61255557884738,-64.70268248549961,0.0,-33.06761808397458
43,0.912951232079532,-50.7083415821466,-201.13387632329832,-64.92894045460574,0.0,-33.210819455608856
44,0.898940703762328,-50.924832561039906,-201.67205527680298,-65.17025601842313,0.0,-33.372243059710016
45,0.9087380393572847,-51.13009658929236,-202.1503457581415,-65.39568036371763,0.0,-33.532954052955176
46,0.8939630809933257,-51.31644689909501,-202.57065155893827,-65.59478638442542,0.0,-33.68031464355914
47,0.9012070678185485,-51.49849722400039,-203.01063530094999,-65.79431316268581,0.0,-33.816325629334195
48,0.9107126548753387,-51.6961064941059,-203.51879765658808,-66.01404722352082,0.0,-33.970368467910674
49,0.9187961729441686,-51.877068666168555,-203.96203517986694,-66.21034785858382,0.0,-34.111953189248936
50,0.9011138277641945,-52.01978982519623,-204.20920661863718,-66.35345194356779,0.0,-34.22129511104653
51,0.9024571632555926,-52.17926730893585,-204.5363301348432,-66.51746298358509,0.0,-34.34077137141913
52,0.909429055280029,-52.34783645210171,-204.9076020330802,-66.69268651207263,0.0,-34.482464508774974
53,0.9016964419756793,-52.457012266456836,-205.0152939679631,-66.78951812739807,0.0,-34.57223477160816
54,0.9152562681604409,-52.57362900014114,-205.17924535016488,-66.89925271129732,0.0,-34.673488795185605
55,0.8945552495384522,-52.70060533942546,-205.41577030821438,-67.02616324549344,0.0,-34.772387989727775
56,0.9044282681225356,-52.83357745964056,-205.69704981203878,-67.16527821752896,0.0,-34.87156049866363
57,0.90094886819953,-52.9536985015467,-205.9363859553499,-67.28733980544595,0.0,-34.9658783755802
58,0.9005796485690875,-53.08951756004646,-206.2527604251657,-67.434699316478,0.0,-35.07080021348897
59,0.9020340515293054,-53.22775260022119,-206.57901055440502,-67.58487687965108,0.0,-35.17156175347577
60,0.907998095691502,-53.347710900926465,-206.8266461448594,-67.71084024271649,0.0,-35.260337470336275
61,0.9091533727669235,-53.44456215160113,-206.99746505631714,-67.80706240852162,0.0,-35.33355777797322
62,0.9090392438382389,-53.55115028611221,-207.20512695093592,-67.91324246166664,0.0,-35.41681015851779
63,0.9041099958424897,-53.65631208581758,-207.4072625055211,-68.01899210753588,0.0,-35.49228456905188
64,0.9036608863198459,-53.74901049204991,-207.55017777661772,-68.10742007566488,0.0,-35.56816860446378
65,0.9017535284413759,-53.845780951023535,-207.749188587011,-68.20551090339588,0.0,-35.641664810351934
66,0.9036320941721814,-53.953198059921725,-207.99559181399505,-68.31902941070985,0.0,-35.72322253869969
67,0.9056932552200692,-54.05379568756091,-208.1955314587249,-68.41809052962867,0.0,-35.806824276123024
68,0.9020394617751765,-54.14442648466211,-208.36846513148112,-68.50703862378687,0.0,-35.88126224702136
69,0.9066792556269607,-54.22790590652035,-208.5497245191232,-68.59490547142701,0.0,-35.94336041534865
70,0.9120624906113866,-54.313518187306926,-208.72449242852957,-68.68132374326431,0.0,-36.00923590537843
71,0.9039586210950128,-54.396493681954645,-208.87933727674957,-68.76373371258096,0.0,-36.07188783434905
72,0.9080621923400168,-54.48262764060335,-209.0492885768123,-68.84908842537725,0.0,-36.135505252205085
