episode,service_level,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,net_starvation_shortfall,net_congestion_shortfall
0,0.9026908357314505,-0.746724383556284,-0.6268014024943114,-0.5056647968551261,-0.4022405242736568,-0.1776648690014554,-0.11120944273206988
1,0.9376518218623482,-1.0590086911621364,-0.903365046151712,-0.6909391040701516,-0.5822436322201896,-0.2327000823604826,-0.1535203747834806
2,0.9406032343885451,-1.3320040792349728,-1.1350446603526751,-0.8618309065410308,-0.7423788944934397,-0.28197548228646385,-0.19216625078547483
3,0.9415627647984506,-1.5772795453722004,-1.3234300782726707,-1.016612355005372,-0.8776852392186821,-0.3220021954644426,-0.22082985819552275
4,0.938545813751609,-1.8266295521925238,-1.5163584576594469,-1.1777651687831279,-1.013855852848718,-0.36725584145432943,-0.2493177297632339
5,0.9373762227690092,-2.0408664440467565,-1.694912718925117,-1.3122598223555477,-1.1212026264245187,-0.411672754313297,-0.2719919607304612
6,0.9424974582859876,-2.211538991701539,-1.8310599088893393,-1.4264468035661018,-1.2268783879004759,-0.43862297541466755,-0.29549469608801354
7,0.9368191069076979,-2.4129104815525237,-2.0023544030496367,-1.5596050396676802,-1.3519644982150825,-0.47355950336314573,-0.32046900742076184
8,0.9413394362804144,-2.5735388253658207,-2.1302085739394148,-1.6627333808557228,-1.4497521684007373,-0.5000654108665054,-0.3401863614507578
9,0.9377466156741334,-2.704058486839399,-2.247833382933424,-1.7202289139391294,-1.525652098315477,-0.5168616755785628,-0.356807940904057
10,0.9338570025885924,-2.890369469602512,-2.4088917979118913,-1.8238742738305915,-1.6311584432664112,-0.5420128777989227,-0.38111471218864634
11,0.9418375276466017,-2.9851281343278697,-2.4899392547467785,-1.8901204701228878,-1.6872829155519846,-0.5591596530849511,-0.3930591989453589
12,0.9443191726045519,-3.122022416157862,-2.603422587848934,-1.9682522572300274,-1.7610007944284116,-0.5739486956793899,-0.40817731227915677
13,0.9397005739984614,-3.2363424274134767,-2.6908921547185947,-2.042060187975918,-1.8271040947336,-0.5916545443940205,-0.4187315441531436
14,0.9451115963124697,-3.3256975850376813,-2.762617369994505,-2.0696662555481264,-1.8536637140405317,-0.5981231184282935,-0.4274329546365625
15,0.9432139140775977,-3.3971812755441793,-2.812005111111845,-2.102886195873156,-1.8995286810124443,-0.6030730075081866,-0.43232722398914786
16,0.9400351682412899,-3.499046215024183,-2.9050081023558643,-2.150581594450413,-1.9540920211712516,-0.6158932085551589,-0.4412805931706667
17,0.9395839614109135,-3.578069317564255,-2.9653833494793735,-2.2074670466343984,-2.004145877300841,-0.6308065295143696,-0.4489619921459087
18,0.933589147052603,-3.6834443821481226,-3.0468172560501543,-2.281773343471246,-2.063119217099497,-0.6445197115885484,-0.45696797231762537
19,0.9388598264177862,-3.7493768250795276,-3.102397066596545,-2.3233165800828313,-2.1043945608484935,-0.6531019575861399,-0.4622841751635978
20,0.9361281036344009,-3.8393099162598463,-3.189429071549167,-2.376765478776041,-2.162854520254233,-0.6661301262837983,-0.4728080848473692
21,0.9372341374899604,-3.949622551617123,-3.274744226785913,-2.4408899976816993,-2.231327997859197,-0.6803324028808754,-0.48192142661478826
22,0.9336513826309745,-4.052372334109019,-3.3482427048662293,-2.489679613600897,-2.28443207347256,-0.6829354902696775,-0.4864925199446584
23,0.9374587755591534,-4.128216990260816,-3.4142887471637304,-2.554979465316043,-2.3406936935485008,-0.6964783973358657,-0.4945277478731525
24,0.9393848100503118,-4.191746039326264,-3.4661101896850512,-2.5758483309124407,-2.361692063526944,-0.6970406799017971,-0.4960093180672127
25,0.929759649538243,-4.2808632998806715,-3.5431499630144456,-2.6223616713278046,-2.416702185687282,-0.7044654546379087,-0.5026390611697241
26,0.9346418814586055,-4.356582981543486,-3.6045858242582276,-2.655099685689158,-2.459866565676858,-0.708246662465591,-0.5085828590768712
27,0.9394924591348325,-4.425386601895129,-3.6534457983894506,-2.6927803223141153,-2.510650702555176,-0.7085470441428161,-0.5149590605656859
28,0.938556983923405,-4.475743516406852,-3.6891337352301266,-2.724477664022905,-2.5579681326318107,-0.7066245742854562,-0.5186731637856894
29,0.9322511081825806,-4.558187905411611,-3.7528618820501496,-2.7761792536543366,-2.604406807258075,-0.7203859127685379,-0.5255622846940073
30,0.9418980572257304,-4.5856052603773,-3.7722047783582537,-2.7830601058722966,-2.616117484354664,-0.7178435764914021,-0.5256274014318598
31,0.9383200165108943,-4.634003295667777,-3.804312043976125,-2.795167938060147,-2.65170991179537,-0.7104144792816368,-0.5291202396706716
32,0.9387438922655226,-4.694896952012928,-3.863285781491562,-2.8290440658100264,-2.6885353612245373,-0.7173135230650957,-0.5299534154043232
33,0.9430259485778755,-4.731332235453492,-3.8982938641104017,-2.849585322181697,-2.7186530986506723,-0.7178929757972602,-0.530547596365888
