episode,service_level,bias,rebalancing_imbalance,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
74,0.9064354176175262,-4.392250601011701,-1.8922506010116975,-0.3038919293212472,-0.1951041203815987,0.003098,0.01,0.0,0.97,100,15,0,15
75,0.9072446555819478,-4.405830443647724,-1.9058304436477198,-0.3060083710667782,-0.19652418193256632,0.00307,0.01,0.0,0.97,100,15,0,15
76,0.9112032067395883,-4.4185350885107475,-1.9185350885107417,-0.30800188181299576,-0.1979234211307845,0.003042,0.01,0.0,0.97,100,15,0,15
77,0.902476056996029,-4.432440732655296,-1.9324407326552906,-0.3103277764134552,-0.19944554513796556,0.003014,0.01,0.0,0.97,100,14,0,14
78,0.9105658285887036,-4.445334440794539,-1.945334440794534,-0.31235166923194607,-0.20079586087068138,0.002987,0.01,0.0,0.97,100,15,0,15
79,0.9133323139133833,-4.457299836330942,-1.9572998363309368,-0.3142479063968126,-0.20210178373945542,0.00296,0.01,0.0,0.97,100,15,0,15
80,0.9062657399012793,-4.470483786064902,-1.9704837860648958,-0.31642840691988283,-0.20342740659631564,0.002934,0.01,0.0,0.97,100,15,0,15
81,0.9050876010781671,-4.483609876087708,-1.9836098760877015,-0.31862930559008473,-0.20482397678997824,0.002909,0.01,0.0,0.97,100,14,0,14
82,0.9091046913164322,-4.496038478836161,-1.9960384788361534,-0.3206716242754455,-0.20624176837882582,0.002883,0.01,0.0,0.97,100,15,0,15
83,0.8973031138610532,-4.510153171278994,-2.0101531712789864,-0.3231378652915233,-0.2077201919669566,0.002859,0.01,0.0,0.97,100,15,0,15
84,0.9051211325645542,-4.523172700165967,-2.02317270016596,-0.3252339679552075,-0.2090559780201012,0.002834,0.01,0.0,0.97,100,15,0,15
85,0.9015975412050797,-4.536618168875912,-2.0366181688759037,-0.3274965662204981,-0.21046113577106532,0.00281,0.01,0.0,0.97,100,15,0,15
86,0.9069791118728047,-4.5486963992047755,-2.0486963992047666,-0.32941396052192373,-0.21179633048368562,0.002787,0.01,0.0,0.97,100,15,0,15
87,0.9044530331036801,-4.561061099815208,-2.0610610998152006,-0.33149941189854226,-0.21311267369114872,0.002763,0.01,0.0,0.97,100,14,0,14
88,0.9044451572603109,-4.5735484519080565,-2.0735484519080494,-0.33355055669700384,-0.21439666123026552,0.002741,0.01,0.0,0.97,100,15,0,15
89,0.901464781126599,-4.5863148147462205,-2.0863148147462134,-0.33559609868116064,-0.21575372560649855,0.002718,0.01,0.0,0.97,100,15,0,15
90,0.9072180526872513,-4.598240841437443,-2.0982408414374376,-0.33744480761723,-0.21704248793792202,0.002696,0.01,0.0,0.97,100,15,0,15
91,0.9148594241634808,-4.608532262403095,-2.108532262403091,-0.3391146557270071,-0.21814005558711555,0.002674,0.01,0.0,0.97,100,14,0,14
92,0.9110214734843991,-4.619444586960383,-2.119444586960379,-0.3409048211058756,-0.21931286064409022,0.002653,0.01,0.0,0.97,100,15,0,15
93,0.9046528729484908,-4.631534610155403,-2.1315346101553994,-0.34300215490252917,-0.22062783637877215,0.002632,0.01,0.0,0.97,100,15,0,15
94,0.9114380523482206,-4.642172825494618,-2.1421728254946135,-0.344702911171864,-0.221794009491594,0.002611,0.01,0.0,0.97,100,15,0,15
95,0.9053027125866031,-4.653807788314684,-2.153807788314682,-0.3464782066716493,-0.22303221990607583,0.002591,0.01,0.0,0.97,100,15,0,15
96,0.9069355083844166,-4.665125706691669,-2.165125706691669,-0.3482903954676088,-0.22418892978974087,0.002571,0.01,0.0,0.97,100,14,0,14
97,0.903672112430109,-4.676691480102001,-2.176691480102001,-0.3502140561572331,-0.2254839080436309,0.002551,0.01,0.0,0.97,100,15,0,15
98,0.9091077565873711,-4.687448214331842,-2.1874482143318423,-0.3519659768816079,-0.2266075885141544,0.002532,0.01,0.0,0.97,100,15,0,15
99,0.9075633099009063,-4.698263757162508,-2.1982637571625068,-0.3537935070766865,-0.22772476846782655,0.002513,0.01,0.0,0.97,100,15,0,15
100,0.9019980970504282,-4.710060264028899,-2.2100602640288978,-0.35581685436801513,-0.22900564460686085,0.002494,0.01,0.0,0.97,100,15,0,15
101,0.9054784341540851,-4.720950437818453,-2.220950437818452,-0.3576251168891507,-0.23015149440208038,0.002475,0.01,0.0,0.97,100,15,0,15
102,0.914754537988368,-4.730524842586544,-2.230524842586544,-0.35908107362555763,-0.23116795548958535,0.002457,0.01,0.0,0.97,100,15,0,15
103,0.9064026915988976,-4.741054815201163,-2.241054815201166,-0.3608842350686754,-0.23229986775776215,0.002439,0.01,0.0,0.97,100,15,0,15
104,0.9014169531315502,-4.75252872998302,-2.252528729983026,-0.36268349464330696,-0.23358774050318498,0.002421,0.01,0.0,0.97,100,15,0,15
105,0.908735854725106,-4.762708765503932,-2.2627087655039393,-0.3644149236765872,-0.23463996542189272,0.002404,0.01,0.0,0.97,100,14,0,14
106,0.9094783123361799,-4.772706971589613,-2.272706971589619,-0.36605251188934024,-0.23564549558775438,0.002386,0.01,0.0,0.97,100,15,0,15
107,0.9030664221678891,-4.7834434381354844,-2.2834434381354902,-0.3680481372000695,-0.23688507369455705,0.002369,0.01,0.0,0.97,100,15,0,15
108,0.9064711072635557,-4.793756929850928,-2.2937569298509337,-0.36973503539111746,-0.23798021685331472,0.002352,0.01,0.0,0.97,100,14,0,14
109,0.9054122152791776,-4.803955411074974,-2.303955411074981,-0.3713764028519685,-0.23910775129893236,0.002336,0.01,0.0,0.97,100,15,0,15
110,0.9102175012645423,-4.813678179672362,-2.3136781796723693,-0.3730113142169265,-0.24021454914335652,0.00232,0.01,0.0,0.97,100,15,0,15
111,0.9047296036900745,-4.823702442685006,-2.323702442685012,-0.3746935058093461,-0.24131277419342137,0.002304,0.01,0.0,0.97,100,15,0,15
112,0.9098155699877494,-4.833408583224612,-2.3334085832246187,-0.3761333456220973,-0.24235473258212442,0.002288,0.01,0.0,0.97,100,15,0,15
113,0.9088449353540543,-4.842742733412584,-2.3427427334125923,-0.3776844397928076,-0.243411486775148,0.002272,0.01,0.0,0.97,100,15,0,15
114,0.9007663092797364,-4.8532774363994875,-2.3532774363994964,-0.3794736843756954,-0.24456246644658075,0.002257,0.01,0.0,0.97,100,15,0,15
115,0.90199753474157,-4.863589355390797,-2.363589355390809,-0.3811962532688818,-0.24572107515772612,0.002241,0.01,0.0,0.97,100,15,0,15
116,0.9094954229717566,-4.872738049518973,-2.372738049518986,-0.38271336258315863,-0.2467188601252259,0.002226,0.01,0.0,0.97,100,15,0,15
117,0.9049539557706527,-4.882531111539515,-2.382531111539528,-0.3843106248283503,-0.24770247975287424,0.002212,0.01,0.0,0.97,100,15,0,15
118,0.9027544507893853,-4.892514758541718,-2.3925147585417315,-0.38598842096133246,-0.2487890126504505,0.002197,0.01,0.0,0.97,100,14,0,14
119,0.9065324775698108,-4.901938702992761,-2.4019387029927763,-0.38751026542563344,-0.24975620267472237,0.002182,0.01,0.0,0.97,100,15,0,15
120,0.9024713298906847,-4.911879865066976,-2.4118798650669935,-0.3891463587809846,-0.25080556404816323,0.002168,0.01,0.0,0.97,100,15,0,15
121,0.9067948371401541,-4.921019528322086,-2.4210195283221023,-0.3907392946160724,-0.2517250795391871,0.002154,0.01,0.0,0.97,100,14,0,14
122,0.9009975816203144,-4.9309777018444105,-2.4309777018444256,-0.3924700047198024,-0.25277193475080245,0.00214,0.01,0.0,0.97,100,15,0,15
123,0.9171083209335763,-4.938923814111811,-2.4389238141118255,-0.3937674278479401,-0.25361168472656886,0.002127,0.01,0.0,0.97,100,15,0,15
124,0.9066373316314534,-4.948000602266325,-2.448000602266343,-0.39533646431700026,-0.25461499879601157,0.002113,0.01,0.0,0.97,100,15,0,15
125,0.9036577067029602,-4.957260515756709,-2.457260515756728,-0.39688923931661285,-0.25558758682308724,0.0021,0.01,0.0,0.97,100,15,0,15
126,0.901344763825853,-4.9669798696969885,-2.4669798696970067,-0.39857411327389114,-0.2566778978298764,0.002087,0.01,0.0,0.97,100,15,0,15
127,0.9065035849852383,-4.9758587511421855,-2.4758587511422023,-0.3999250904943168,-0.2576811561804434,0.002074,0.01,0.0,0.97,100,15,0,15
128,0.9053415485314499,-4.9846614289965325,-2.4846614289965467,-0.40139323251880604,-0.2586257148788239,0.002061,0.01,0.0,0.97,100,14,0,14
129,0.9090374205695457,-4.993396686149618,-2.4933966861496315,-0.4028825705882387,-0.2595929895173147,0.002048,0.01,0.0,0.97,100,15,0,15
130,0.9044447419505991,-5.002443392384235,-2.50244339238425,-0.40434222110665435,-0.26064157173644775,0.002035,0.01,0.0,0.97,100,15,0,15
131,0.9090588353885958,-5.010851254228507,-2.510851254228522,-0.40573174518623367,-0.2615238035704409,0.002023,0.01,0.0,0.97,100,15,0,15
132,0.906232754151546,-5.019420304530542,-2.5194203045305574,-0.40715409185578927,-0.26251080281264094,0.002011,0.01,0.0,0.97,100,15,0,15
133,0.907001080205239,-5.028053541574968,-2.528053541574984,-0.40855827946905204,-0.26345478163779545,0.001999,0.01,0.0,0.97,100,15,0,15
134,0.9058465824160892,-5.036536132573372,-2.53653613257339,-0.4099788846299155,-0.26435402287223225,0.001987,0.01,0.0,0.97,100,15,0,15
135,0.9008986225616644,-5.045547188834703,-2.5455471888347234,-0.41154908863585127,-0.2653158058434979,0.001975,0.01,0.0,0.97,100,15,0,15
136,0.9028381531024992,-5.0544568072079725,-2.554456807207992,-0.41308476913772174,-0.26627600888001796,0.001963,0.01,0.0,0.97,100,15,0,15
137,0.9102004045486223,-5.062259305115414,-2.5622593051154348,-0.4143222716708592,-0.2671508671994683,0.001952,0.01,0.0,0.97,100,15,0,15
138,0.9081838001006205,-5.070364990869618,-2.570364990869639,-0.41573876342621213,-0.26807387569438523,0.00194,0.01,0.0,0.97,100,14,0,14
139,0.9062873654842567,-5.078704786079051,-2.57870478607907,-0.41710984524589223,-0.2689686822754353,0.001929,0.01,0.0,0.97,100,15,0,15
140,0.9084838698825983,-5.086739869796978,-2.5867398697969977,-0.41840726229388703,-0.26981420387297317,0.001918,0.01,0.0,0.97,100,15,0,15
141,0.9013307313134032,-5.095382866264877,-2.595382866264896,-0.4198505605694621,-0.27076674900101855,0.001907,0.01,0.0,0.97,100,15,0,15
142,0.916998560862144,-5.102449462649229,-2.6024494626492474,-0.42099431952388766,-0.27151800282978217,0.001896,0.01,0.0,0.97,100,15,0,15
143,0.9078646814612268,-5.110390865437336,-2.6103908654373527,-0.42235612636508174,-0.2723536051072262,0.001885,0.01,0.0,0.97,100,15,0,15
144,0.9044316900341676,-5.118627391001031,-2.6186273910010476,-0.4237478316447808,-0.27327881847618685,0.001875,0.01,0.0,0.97,100,15,0,15
145,0.9057485956473477,-5.126459754117317,-2.626459754117334,-0.4250386997953028,-0.2741152487647797,0.001864,0.01,0.0,0.97,100,14,0,14
146,0.9084754851033882,-5.134293304318411,-2.634293304318428,-0.42632549808448317,-0.27495836323349615,0.001854,0.01,0.0,0.97,100,15,0,15
147,0.9068186430359196,-5.14210105818835,-2.6421010581883673,-0.42755247404516344,-0.27582367101436067,0.001843,0.01,0.0,0.97,100,15,0,15
148,0.9037860250135943,-5.149924114474718,-2.6499241144747345,-0.42883053625735496,-0.27670300180045154,0.001833,0.01,0.0,0.97,100,14,0,14
149,0.9050357292980243,-5.1577533080265905,-2.6577533080266065,-0.4302573879932638,-0.2775098273403757,0.001823,0.01,0.0,0.97,100,15,0,15
150,0.9124381504862651,-5.1647964445650105,-2.664796444565026,-0.4315200177867206,-0.2782642628919079,0.001813,0.01,0.0,0.97,100,15,0,15
151,0.9076241431198796,-5.172408800395887,-2.672408800395903,-0.43272528954129585,-0.27908251164365033,0.001803,0.01,0.0,0.97,100,15,0,15
152,0.9016133342240631,-5.180659916768246,-2.6806599167682617,-0.43415631684770667,-0.27996505566084007,0.001794,0.01,0.0,0.97,100,15,0,15
153,0.9058688453666572,-5.1883707599524636,-2.688370759952481,-0.4353836957852816,-0.2808164282180782,0.001784,0.01,0.0,0.97,100,15,0,15
154,0.9025005811443563,-5.196349401934425,-2.6963494019344445,-0.4368109377393767,-0.2817023737767398,0.001774,0.01,0.0,0.97,100,14,0,14
155,0.9049422679036241,-5.204004815289511,-2.7040048152895304,-0.43809381439331685,-0.28251300973594584,0.001765,0.01,0.0,0.97,100,15,0,15
156,0.9052522656341272,-5.211747067136664,-2.7117470671366837,-0.43944374012198206,-0.2833424748608654,0.001756,0.01,0.0,0.97,100,15,0,15
157,0.910684516291993,-5.218655601000268,-2.718655601000288,-0.4406147136143513,-0.2840700322350433,0.001746,0.01,0.0,0.97,100,15,0,15
158,0.9105411954765751,-5.225548085044671,-2.72554808504469,-0.44170556234367625,-0.28480443224990415,0.001737,0.01,0.0,0.97,100,14,0,14
159,0.9036120061047991,-5.233212407756414,-2.7332124077564335,-0.4430035049751923,-0.28567147176317176,0.001728,0.01,0.0,0.97,100,15,0,15
160,0.9058114218723832,-5.240422158134117,-2.740422158134137,-0.44419245757911713,-0.2864818490329459,0.001719,0.01,0.0,0.97,100,15,0,15
161,0.9003011490772052,-5.248263778075719,-2.748263778075738,-0.44562942977596204,-0.28733524074834826,0.001711,0.01,0.0,0.97,100,15,0,15
162,0.9086221712976225,-5.2552716350634645,-2.7552716350634827,-0.4468743489133296,-0.2880849433535538,0.001702,0.01,0.0,0.97,100,15,0,15
163,0.901444249932669,-5.2628881209115494,-2.7628881209115668,-0.44823278611708234,-0.2888892004276752,0.001693,0.01,0.0,0.97,100,15,0,15
164,0.9026533829794371,-5.270371017482387,-2.770371017482405,-0.4494852912214974,-0.28967285005827126,0.001685,0.01,0.0,0.97,100,15,0,15
165,0.9024148419513671,-5.27776051174183,-2.777760511741849,-0.45073867365360326,-0.29047348691393865,0.001676,0.01,0.0,0.97,100,14,0,14
166,0.9075893613416907,-5.284713404488815,-2.784713404488832,-0.4518826223394233,-0.2912775689010304,0.001668,0.01,0.0,0.97,100,15,0,15
167,0.9020185525008838,-5.292133327499838,-2.7921333274998554,-0.4531574303442817,-0.2921372639166814,0.001659,0.01,0.0,0.97,100,15,0,15
168,0.9067188079425547,-5.298983634952742,-2.79898363495276,-0.45435583958681314,-0.29285627308356466,0.001651,0.01,0.0,0.97,100,15,0,15
169,0.9027299187046268,-5.306351410641718,-2.8063514106417355,-0.4556321123377373,-0.29361164704449183,0.001643,0.01,0.0,0.97,100,15,0,15
170,0.9099770161222676,-5.312877860223492,-2.8128778602235087,-0.4567324359634712,-0.2943271717612466,0.001635,0.01,0.0,0.97,100,14,0,14
171,0.9050939705757293,-5.3196355664851644,-2.8196355664851787,-0.4578747096183004,-0.29508175908457257,0.001627,0.01,0.0,0.97,100,15,0,15
172,0.8998210492867058,-5.327119892294348,-2.827119892294363,-0.4592132706822421,-0.2959914817445226,0.001619,0.01,0.0,0.97,100,15,0,15
173,0.9028231797919762,-5.3343844983599915,-2.834384498360007,-0.46046992560402333,-0.29678326248200804,0.001611,0.01,0.0,0.97,100,15,0,15
174,0.9091443347437705,-5.340877420596763,-2.8408774205967786,-0.461608593301656,-0.29748574192172056,0.001603,0.01,0.0,0.97,100,15,0,15
175,0.8999680462824372,-5.348177042265023,-2.8481770422650405,-0.4628094791225562,-0.29828084340878136,0.001596,0.01,0.0,0.97,100,15,0,15
176,0.9055563029732275,-5.354939355111985,-2.8549393551120037,-0.4639546681693508,-0.2990206438709923,0.001588,0.01,0.0,0.97,100,15,0,15
177,0.9052943823220624,-5.361724341284289,-2.861724341284307,-0.4651053331837011,-0.29974442869829626,0.00158,0.01,0.0,0.97,100,15,0,15
178,0.9104150751209574,-5.367960334937962,-2.8679603349379805,-0.4661546732877281,-0.30042171207654444,0.001573,0.01,0.0,0.97,100,15,0,15
179,0.9131051006462281,-5.373729477114031,-2.8737294771140505,-0.4670981493601317,-0.301048185276722,0.001565,0.01,0.0,0.97,100,14,0,14
180,0.9059961512917014,-5.380247593564379,-2.8802475935643987,-0.4681884606813523,-0.3017831288180121,0.001558,0.01,0.0,0.97,100,15,0,15
181,0.9093953023488256,-5.386506430420058,-2.886506430420078,-0.46923822991576886,-0.3024563080305198,0.001551,0.01,0.0,0.97,100,15,0,15
182,0.9071360385858552,-5.393021687756035,-2.8930216877560557,-0.4703584251720055,-0.3031790047296983,0.001544,0.01,0.0,0.97,100,15,0,15
183,0.9062668918918919,-5.399360982781353,-2.899360982781372,-0.47141541672473597,-0.3038434673966605,0.001536,0.01,0.0,0.97,100,15,0,15
