episode,service_level,bias,rebalancing_imbalance,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9106644146027393,-2.548436434264668,-0.04843643426466734,-0.007602531222322432,-0.005058170854642958,0.01,0.01,0.0,0.97,100,15,0,15
1,0.9085177214338557,-2.5960561129057957,-0.09605611290579462,-0.015311725034148188,-0.009353627100131623,0.009708,0.01,0.0,0.97,100,15,0,15
2,0.9038667738908993,-2.645140908177611,-0.1451409081776109,-0.02321059462776593,-0.014342925503993915,0.009432,0.01,0.0,0.97,100,15,0,15
3,0.9050574674183997,-2.6919304159626813,-0.19193041596268157,-0.03052140771589574,-0.01899944761756317,0.009172,0.01,0.0,0.97,100,15,0,15
4,0.9033198595189186,-2.738476804699172,-0.23847680469917212,-0.038158085394308906,-0.02341888973405298,0.008925,0.01,0.0,0.97,100,14,0,14
5,0.9046734290783703,-2.783499781126579,-0.2834997811265792,-0.04539825634529668,-0.02809957259171818,0.008692,0.01,0.0,0.97,100,15,0,15
6,0.9051937762343858,-2.826246471795029,-0.32624647179502886,-0.05226741205656602,-0.03237046617525303,0.00847,0.01,0.0,0.97,100,15,0,15
7,0.9023651306429206,-2.869329969920389,-0.36932996992038863,-0.05923689688662621,-0.03687508368044133,0.00826,0.01,0.0,0.97,100,15,0,15
8,0.9069191773622014,-2.908933949085791,-0.40893394908579195,-0.06557890232150117,-0.04087533902915333,0.008059,0.01,0.0,0.97,100,15,0,15
9,0.9037854889589906,-2.9489278315950895,-0.4489278315950902,-0.07196537539523769,-0.044859582358744286,0.007868,0.01,0.0,0.97,100,15,0,15
10,0.8938414255244109,-2.992788701745015,-0.49278870174501616,-0.07913375245434029,-0.049848983927916875,0.007686,0.01,0.0,0.97,100,15,0,15
11,0.9071017080483779,-3.0288578885688144,-0.5288578885688149,-0.08455731575512604,-0.05362627093911458,0.007513,0.01,0.0,0.97,100,14,0,14
12,0.909555278330355,-3.063521525405748,-0.5635215254057484,-0.0899742889894064,-0.057341219522602085,0.007346,0.01,0.0,0.97,100,15,0,15
13,0.9070646966870052,-3.0980869154686235,-0.5980869154686244,-0.09537367848901912,-0.06080223316861605,0.007188,0.01,0.0,0.97,100,15,0,15
14,0.9042290852359464,-3.1339349549500346,-0.633934954950036,-0.10094935046624406,-0.06432795683127306,0.007035,0.01,0.0,0.97,100,15,0,15
15,0.9083468898317876,-3.166858771585693,-0.6668587715856942,-0.10632358707220724,-0.06762155722055287,0.006889,0.01,0.0,0.97,100,15,0,15
16,0.9108560304754233,-3.197804682317679,-0.6978046823176803,-0.11123671072027615,-0.07077501575201872,0.006749,0.01,0.0,0.97,100,15,0,15
17,0.9060309739744304,-3.230136097886025,-0.730136097886027,-0.11637386543930886,-0.07410991005067931,0.006615,0.01,0.0,0.97,100,15,0,15
18,0.9035371382851047,-3.262249974330653,-0.762249974330655,-0.12161712190270373,-0.07747314830691343,0.006486,0.01,0.0,0.97,100,14,0,14
19,0.9069818749575724,-3.2922970888122514,-0.7922970888122528,-0.1264517914270691,-0.08056071156893212,0.006362,0.01,0.0,0.97,100,15,0,15
20,0.9111611653058183,-3.3215723132553348,-0.8215723132553372,-0.13135282643300364,-0.08358378931936894,0.006242,0.01,0.0,0.97,100,15,0,15
21,0.9037466714157296,-3.3517335556079972,-0.8517335556079982,-0.136428009549942,-0.08666010508084145,0.006127,0.01,0.0,0.97,100,15,0,15
22,0.9072261540263347,-3.380680088234285,-0.880680088234286,-0.1409935667627803,-0.0895424561343401,0.006016,0.01,0.0,0.97,100,15,0,15
23,0.9100441687177585,-3.4077509625402507,-0.9077509625402513,-0.1450721422590893,-0.09251102505492012,0.005909,0.01,0.0,0.97,100,15,0,15
24,0.9096838602329451,-3.4347105380068332,-0.9347105380068343,-0.14920715032932774,-0.09524906607958317,0.005806,0.01,0.0,0.97,100,15,0,15
25,0.9012838657501011,-3.4634418684831374,-0.9634418684831393,-0.15411805080851237,-0.09830999802751653,0.005706,0.01,0.0,0.97,100,15,0,15
26,0.9106771706335903,-3.4890952743853214,-0.989095274385323,-0.1581658948419913,-0.10082563534082187,0.00561,0.01,0.0,0.97,100,15,0,15
27,0.9108367170338814,-3.5139354880927116,-1.0139354880927123,-0.16206111388075592,-0.10313045227121527,0.005517,0.01,0.0,0.97,100,14,0,14
28,0.9122234373685538,-3.5380092904733824,-1.0380092904733829,-0.1657814198193257,-0.1055106259845396,0.005426,0.01,0.0,0.97,100,15,0,15
29,0.9093795675621188,-3.562532696325438,-1.0625326963254387,-0.16972018971187555,-0.10791099735218754,0.005339,0.01,0.0,0.97,100,15,0,15
30,0.906216051059207,-3.5873552103034916,-1.0873552103034916,-0.17366812293887798,-0.11056049889173415,0.005255,0.01,0.0,0.97,100,15,0,15
31,0.9057307218651416,-3.6114186185834143,-1.1114186185834143,-0.17736948195751204,-0.11303146016899454,0.005173,0.01,0.0,0.97,100,14,0,14
32,0.9028737661638837,-3.636822769664685,-1.136822769664685,-0.1813914724832138,-0.11552402616240132,0.005094,0.01,0.0,0.97,100,16,0,16
33,0.9104899603833,-3.659381351649213,-1.1593813516492137,-0.18513750350103012,-0.11790037761555264,0.005017,0.01,0.0,0.97,100,15,0,15
34,0.9076165024219142,-3.6820727202724983,-1.1820727202724994,-0.18869518655559142,-0.12034094210963998,0.004942,0.01,0.0,0.97,100,14,0,14
35,0.906445609879885,-3.7048727595036146,-1.2048727595036155,-0.192253349207607,-0.12278164369986563,0.00487,0.01,0.0,0.97,100,15,0,15
36,0.9038098130525747,-3.7279635679566585,-1.2279635679566596,-0.19584916696088558,-0.12514207747922435,0.004799,0.01,0.0,0.97,100,15,0,15
37,0.911938434536065,-3.748593948247641,-1.2485939482476418,-0.19907530297539153,-0.1274198341067935,0.004731,0.01,0.0,0.97,100,15,0,15
38,0.9137324533485209,-3.7685914451454576,-1.2685914451454583,-0.20229742295435,-0.12947404228884316,0.004665,0.01,0.0,0.97,100,15,0,15
39,0.9078607599181729,-3.7898767588559354,-1.2898767588559361,-0.20575126926461848,-0.1316934186304539,0.0046,0.01,0.0,0.97,100,15,0,15
40,0.9086677123918433,-3.8104665479054862,-1.3104665479054873,-0.20894294768480343,-0.13392002422179827,0.004537,0.01,0.0,0.97,100,14,0,14
41,0.9076713618179985,-3.830974496230647,-1.3309744962306478,-0.21231897144054426,-0.1360500798372325,0.004476,0.01,0.0,0.97,100,15,0,15
42,0.9078947368421053,-3.8513322563998984,-1.3513322563998995,-0.21566370354630643,-0.13813022219900936,0.004417,0.01,0.0,0.97,100,14,0,14
43,0.9090379978381974,-3.8711316202269286,-1.3711316202269301,-0.21895228264353164,-0.14026109646124235,0.004359,0.01,0.0,0.97,100,15,0,15
44,0.9077026234179868,-3.8908705460517843,-1.390870546051786,-0.22209733279749788,-0.14226815497444262,0.004302,0.01,0.0,0.97,100,15,0,15
45,0.9035632009954766,-3.9110921033463932,-1.4110921033463941,-0.2254520009173535,-0.14442598204200893,0.004247,0.01,0.0,0.97,100,15,0,15
46,0.9055815592128441,-3.9307540525761406,-1.430754052576142,-0.22879243240742297,-0.14649181429248298,0.004194,0.01,0.0,0.97,100,15,0,15
47,0.9005649906952571,-3.951438202892255,-1.4514382028922566,-0.2320966040965047,-0.1486978905652113,0.004141,0.01,0.0,0.97,100,15,0,15
48,0.9089087752103646,-3.9697749238882003,-1.4697749238882014,-0.2348776172322238,-0.1505774865285563,0.00409,0.01,0.0,0.97,100,15,0,15
49,0.902025720769942,-3.989721747846683,-1.4897217478466835,-0.23807328959756702,-0.1527333400111374,0.004041,0.01,0.0,0.97,100,15,0,15
50,0.906707838958162,-4.007965160266349,-1.5079651602663493,-0.24085536756322876,-0.15459795080957206,0.003992,0.01,0.0,0.97,100,15,0,15
51,0.9029046201456514,-4.026998474287071,-1.5269984742870724,-0.2440632909429567,-0.15664386046586518,0.003945,0.01,0.0,0.97,100,15,0,15
52,0.9061588029891534,-4.044794231282606,-1.5447942312826075,-0.24706899508132887,-0.15867106438976303,0.003898,0.01,0.0,0.97,100,14,0,14
53,0.902927400468384,-4.063256647095014,-1.5632566470950142,-0.250058294136363,-0.16063647881200854,0.003853,0.01,0.0,0.97,100,15,0,15
54,0.9040307423815277,-4.081470737956195,-1.5814707379561943,-0.2530472888931886,-0.16242554772702805,0.003809,0.01,0.0,0.97,100,15,0,15
55,0.9017332328560663,-4.099697990958655,-1.5996979909586528,-0.25607671256565023,-0.16432885353653204,0.003766,0.01,0.0,0.97,100,15,0,15
56,0.9102481850413642,-4.115964807705723,-1.6159648077057218,-0.258723849215728,-0.16600592863983163,0.003724,0.01,0.0,0.97,100,15,0,15
57,0.8991133236117397,-4.134508775995536,-1.6345087759955343,-0.2618197745733806,-0.1679432864077224,0.003682,0.01,0.0,0.97,100,15,0,15
58,0.9063282628792335,-4.151112973627058,-1.6511129736270573,-0.26459188222914687,-0.16974497478518746,0.003642,0.01,0.0,0.97,100,15,0,15
59,0.9062230999037926,-4.167422831784461,-1.6674228317844624,-0.26722002518345545,-0.1714754970991654,0.003602,0.01,0.0,0.97,100,15,0,15
60,0.9111376632243748,-4.182198770373804,-1.6821987703738046,-0.26960773236737023,-0.17295196384550032,0.003564,0.01,0.0,0.97,100,14,0,14
61,0.9070358905714047,-4.198383390709405,-1.698383390709404,-0.27229370466950276,-0.17460373444123897,0.003526,0.01,0.0,0.97,100,15,0,15
62,0.9046262745428499,-4.214533565934794,-1.7145335659347933,-0.2750775756302798,-0.17630867505083955,0.003489,0.01,0.0,0.97,100,15,0,15
63,0.9061333779600034,-4.230335153858931,-1.730335153858932,-0.2775777011363344,-0.1779429943956659,0.003453,0.01,0.0,0.97,100,15,0,15
64,0.9095955458208631,-4.24518909876785,-1.745189098767851,-0.27993010326468265,-0.17948677076323222,0.003417,0.01,0.0,0.97,100,14,0,14
65,0.9016197869408878,-4.26150796609192,-1.7615079660919233,-0.28253714026293353,-0.18112585453090957,0.003382,0.01,0.0,0.97,100,15,0,15
66,0.9021098746160431,-4.277476608402201,-1.777476608402202,-0.28515518132191303,-0.18278238208397785,0.003348,0.01,0.0,0.97,100,15,0,15
67,0.9081109349168326,-4.292268645415858,-1.7922686454158585,-0.28761209855721037,-0.18441089366505448,0.003315,0.01,0.0,0.97,100,15,0,15
68,0.9009450590032397,-4.308093514049403,-1.8080935140494039,-0.29007554384432216,-0.18607345463265487,0.003282,0.01,0.0,0.97,100,15,0,15
69,0.9039773393895714,-4.32344331418244,-1.8234433141824393,-0.2926973392061714,-0.18787863458982876,0.00325,0.01,0.0,0.97,100,15,0,15
70,0.9100581738470618,-4.337098763080112,-1.8370987630801123,-0.29494664963720924,-0.18938584663066357,0.003219,0.01,0.0,0.97,100,14,0,14
71,0.9110513030541114,-4.350652472766459,-1.8506524727664586,-0.297156812905459,-0.1907831859832228,0.003188,0.01,0.0,0.97,100,15,0,15
72,0.9094534365470326,-4.364501078757508,-1.8645010787575067,-0.29943292944653555,-0.19215583190787222,0.003157,0.01,0.0,0.97,100,15,0,15
73,0.90577195228789,-4.378325559129409,-1.8783255591294072,-0.3017543682714466,-0.19360722669647393,0.003128,0.01,0.0,0.97,100,14,0,14
