episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,fleet_broken_fraction,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9443755030855916,-2.813670890131785,-0.16005060644436012,-0.058601397550970914,-0.03594649409336542,-0.026496175172463807,-0.01017892906250813,-0.039923805350425966,-0.03158032932040876,-0.08863130317491402,0.1,0.1,0.0,0.99,100,14,1,15
1,0.9415882775559306,-3.132550672433923,-0.3224405585310804,-0.12060101115697301,-0.07171920037155716,-0.05628252417177801,-0.019617632078633897,-0.0824940534086616,-0.061793211408227716,-0.1680309574694563,0.097078,0.1,0.0,0.99,100,13,1,14
2,0.9388292077963432,-3.4531700339328153,-0.4863096490070887,-0.18253721328886555,-0.10833438576505117,-0.08556568706440328,-0.030169979208964,-0.1241877153214316,-0.09420772483341655,-0.2476343222608953,0.094322,0.1,0.0,0.99,100,13,1,14
3,0.9442110372763336,-3.725174040842067,-0.6269975094644882,-0.23590938183608642,-0.1402237174708349,-0.11186130480678724,-0.03906975142043976,-0.16147586833933356,-0.12135092657710236,-0.3102935644148033,0.091718,0.1,0.0,0.99,100,14,1,15
4,0.9364198246864074,-4.041500859059016,-0.7889840640953519,-0.2972777663479094,-0.17570833079403558,-0.14122643925935968,-0.04842299995794467,-0.20482796848035204,-0.1521895183516832,-0.39679491185026783,0.089254,0.1,0.0,0.99,100,13,1,14
5,0.9413802336088892,-3.9161316539840696,-0.726849845015642,-0.3114519630373167,-0.16189709435101599,-0.15306347687163882,-0.05737826411437842,-0.23841686150836938,-0.17819738059710685,-0.37018825857154086,0.086919,0.1,0.0,0.99,100,14,1,15
6,0.9427518633280295,-4.102469014263553,-0.8202012400344219,-0.35308975964410844,-0.18184486014067158,-0.1739869769223657,-0.06534409431605988,-0.2694559337313939,-0.20411967722027885,-0.4198937135050975,0.084703,0.1,0.0,0.99,100,14,1,15
7,0.94079386257505,-4.3690326692029515,-0.95945682372023,-0.40613144191984796,-0.2120195328855996,-0.1998783280096108,-0.07347401559737769,-0.30583552683353143,-0.23302570719751275,-0.49719674845443157,0.082597,0.1,0.0,0.99,100,13,1,14
8,0.9447026495233573,-4.592682459115762,-1.0715043023992532,-0.45021130690564737,-0.23735286044074533,-0.22039094041037655,-0.08104592381739463,-0.33823280124718735,-0.25761865893755553,-0.5575247036155758,0.080593,0.1,0.0,0.99,100,14,1,15
9,0.9432392922554735,-4.83052832966266,-1.191174780713922,-0.49622144681440533,-0.264132740797765,-0.24140542936426365,-0.08893378355643167,-0.3710090369510449,-0.2836770980241251,-0.6193969030340641,0.078684,0.1,0.0,0.99,100,13,1,14
10,0.9341464234116185,-5.101262871864219,-1.3292451150067268,-0.5497296870287967,-0.2953138353496902,-0.26646555589549054,-0.09752563286140539,-0.4075869491887376,-0.3145428094993932,-0.6979805104376203,0.076864,0.1,0.0,0.99,100,13,1,14
11,0.9369710430232363,-5.352138203169348,-1.456019930697178,-0.5983505667951247,-0.32325810011504236,-0.2889700418757388,-0.10530112762824917,-0.44098139463754865,-0.3397956369049218,-0.7623237624002678,0.075126,0.1,0.0,0.99,100,13,1,14
12,0.9413729128014843,-5.576254002855949,-1.5705188685647238,-0.642976551589864,-0.3486751460702974,-0.309693372927087,-0.11212528220880676,-0.47147446253848263,-0.3651145925246455,-0.8236979186337847,0.073464,0.1,0.0,0.99,100,13,1,14
13,0.9408540685944855,-5.592457043434455,-1.5812592285915201,-0.6672945604556002,-0.3473324387099201,-0.32996126947798743,-0.11419830550642333,-0.4916768642531546,-0.38447490246838095,-0.8275304355340245,0.071875,0.1,0.0,0.99,100,14,1,15
14,0.9420642729683305,-5.805380101073235,-1.6890438267328987,-0.7078548108758025,-0.37118378324388146,-0.34856652730232074,-0.12071186327075112,-0.5199388708075621,-0.4058244911312831,-0.8794802304168476,0.070353,0.1,0.0,0.99,100,13,1,14
15,0.9433642286251596,-5.935557754588578,-1.7539669125207555,-0.7407110807749545,-0.3829629708935188,-0.36730698162174014,-0.12379566629136966,-0.5452086521219317,-0.4241279822557273,-0.9212691669087216,0.068894,0.1,0.0,0.99,100,14,1,15
16,0.9392890158836877,-6.120551747375826,-1.8493048307583706,-0.7810690571338887,-0.40300569740011,-0.3871678225992829,-0.13041238740466501,-0.5728081232743064,-0.44729723914153935,-0.979656341670425,0.067494,0.1,0.0,0.99,100,14,1,15
17,0.9425361155698234,-6.312568485454167,-1.9469734804637187,-0.8175382674972621,-0.425189072964436,-0.40445989055148823,-0.1366780095281464,-0.5990217853074026,-0.46701546968557567,-1.0268484956242017,0.06615,0.1,0.0,0.99,100,13,1,14
18,0.9413912086813022,-6.506776412341259,-2.04510828390817,-0.8552080637133536,-0.4468572779970686,-0.4219342524799964,-0.14241629149066865,-0.625360233611053,-0.4873547027954648,-1.0803942255160508,0.064859,0.1,0.0,0.99,100,13,1,14
19,0.9426741855487991,-6.688312341375895,-2.1360449527183225,-0.8908554157800395,-0.465881298099517,-0.4386437536876265,-0.14755967741847392,-0.6503649822257836,-0.5061635054876215,-1.130922394333631,0.063617,0.1,0.0,0.99,100,13,1,14
20,0.9454967595376494,-6.853395344709224,-2.2192710193038225,-0.9232014646720064,-0.48484291530498286,-0.4529163903732074,-0.15393697975138285,-0.6728036550025644,-0.5246823880881958,-1.1704267868190674,0.062422,0.1,0.0,0.99,100,14,1,15
21,0.9388077177620526,-7.039978633355665,-2.314767138477981,-0.9615240974622469,-0.5052284192481499,-0.4709115622404849,-0.15959749282677443,-0.698821794723026,-0.5451281501635936,-1.230254181502561,0.06127,0.1,0.0,0.99,100,13,1,14
22,0.9432448693094458,-7.202203077059297,-2.398379543000299,-0.9948563769247764,-0.5237919168414727,-0.4866779101948282,-0.1656423221811693,-0.7222339622805151,-0.5620177469446912,-1.2678039824217984,0.060161,0.1,0.0,0.99,100,14,1,15
23,0.9390971613512238,-7.3815131859529,-2.489680743312938,-1.0297568670682693,-0.5443142718117859,-0.5038167353615595,-0.17161384330292445,-0.744471313293656,-0.5804996159894289,-1.3124270608913866,0.059091,0.1,0.0,0.99,100,14,0,14
24,0.9411069299676978,-7.55176581244277,-2.5771348393388296,-1.064268293950302,-0.5633621172905771,-0.5202443236447002,-0.17700726368588474,-0.7671573057778873,-0.598906844376837,-1.3619928886400843,0.058058,0.1,0.0,0.99,100,13,1,14
25,0.9371092499283801,-7.727848861872398,-2.668058144092009,-1.0989452098860257,-0.5851412240653425,-0.5373321703838909,-0.18373835626079701,-0.7912050434461445,-0.618012548144945,-1.404786814871539,0.057061,0.1,0.0,0.99,100,13,1,14
26,0.9408009970358394,-7.888440364540565,-2.749203026461176,-1.1301244063794307,-0.603282935187188,-0.551949930274492,-0.18903234197213664,-0.813439252953015,-0.6352509329430284,-1.4467368143754966,0.056098,0.1,0.0,0.99,100,13,1,14
27,0.940451608605875,-8.037281886027268,-2.8266140694752817,-1.1619795265363195,-0.6204743108897062,-0.567105897798377,-0.19431646543162953,-0.835495827657847,-0.6528049155163779,-1.482876130979511,0.055166,0.1,0.0,0.99,100,14,1,15
28,0.9417338472154434,-8.189566347427842,-2.9029136174610164,-1.191206711372979,-0.6370803404437834,-0.5805083168902875,-0.19886183675073593,-0.8563536668469047,-0.6688898024231337,-1.5258784408224486,0.054265,0.1,0.0,0.99,100,13,1,14
29,0.9413979484261785,-8.08704747313387,-2.8568333609098695,-1.2056884152911946,-0.6308053337194456,-0.5941950225422635,-0.20317831141033654,-0.8773558606696238,-0.6852379728504115,-1.5213233471109957,0.053393,0.1,0.0,0.99,100,14,1,15
30,0.9380254420081863,-8.234331709895843,-2.930586666015904,-1.235282092953791,-0.6461564491686789,-0.6085143877583025,-0.20712451976327262,-0.8986221047024052,-0.7018892187144038,-1.5632977804136028,0.052548,0.1,0.0,0.99,100,14,1,15
