episode,service_level,starvation_severity_max,congestion_severity_max,projected_starvation_risk,projected_congestion_risk
0,0.8910293185180712,-3.180209898389876,-3.138478924287483,-0.19504282880734536,-0.1395410893049757
1,0.9415628054740958,-0.7896304126282376,-0.8151946354505877,-0.13597976117721744,-0.09806923342576707
2,0.9421052631578948,-1.2288574383313722,-1.1584714853741953,-0.15751518685403926,-0.10356423720783892
3,0.9419046750007604,-1.2512403964327827,-1.099456888748906,-0.1638374324024127,-0.10156277913126342
4,0.9398673100120627,-1.4813431925527867,-1.2016738067689714,-0.169364237784453,-0.10425213532010905
5,0.935443954850003,-1.5756513609726095,-1.2533513804969454,-0.17993999745036984,-0.11136329296301739
6,0.9318340465567999,-1.6745410960737304,-1.3199321353215392,-0.19379590613768413,-0.11699408136708163
7,0.9374167373137944,-1.6514764537187683,-1.245194274823125,-0.20332252165372675,-0.11660955499633426
8,0.9335042219541616,-1.820635591932379,-1.3819099966489639,-0.2227909390255984,-0.11879984326981231
9,0.9375094067005809,-1.692632896971036,-1.242861135690529,-0.2316458878064242,-0.11916264201764806
10,0.9346330961066922,-1.746386785449773,-1.2171090601768684,-0.23560022971641328,-0.11803427093941533
11,0.9332394450603781,-1.828981230760393,-1.2600565229901732,-0.2448962801459397,-0.12234177621137052
12,0.9309440038165663,-2.005293317168577,-1.374066029995263,-0.26642805230826233,-0.12957892542976598
13,0.9336991312299954,-1.8803478352830891,-1.2858516209982809,-0.26242282703369874,-0.12771080591566814
14,0.9280986762936221,-2.1170865387351667,-1.5063071546804525,-0.2765165462689317,-0.13161069945193365
15,0.938778001587011,-1.8380115832628219,-1.1902567702893494,-0.27974011729818826,-0.13387717004703045
16,0.942398119122257,-1.7540302952958768,-1.0336346082020995,-0.2846101567279722,-0.1279710228310833
17,0.9377228500634556,-1.7715540529124176,-1.058391537010589,-0.28854656165419185,-0.1288284393605266
18,0.9318837562092864,-1.883647613732923,-1.1408976005945988,-0.2980263805765363,-0.1320527424268589
19,0.936747620906007,-1.9405157687830743,-1.196077790587648,-0.3024660894939616,-0.13506987540921625
20,0.9341057204923968,-1.9729856302630426,-1.2525095975379112,-0.3038384136488254,-0.14231736074511733
21,0.9374337542775809,-1.931312393994027,-1.1629035456585588,-0.30464896097146044,-0.14038006876395967
22,0.9334923948702655,-2.0753819983109025,-1.2579061315254239,-0.31907004320138177,-0.14219397479391263
23,0.9324551401308288,-2.2164656747165297,-1.3622092347785264,-0.33006942349808965,-0.1448257271322838
24,0.9331316096947182,-2.2746935813838736,-1.3977095663380164,-0.3369594143855541,-0.14153669484934153
25,0.9332758210376011,-2.2206999387937394,-1.3480902161012733,-0.3355013420656148,-0.1405991584328073
