episode,service_level,rebalancing_imbalance,projected_starvation_risk,projected_congestion_risk
0,0.8910293185180712,-9.415989050418139,-0.9752141465456226,-0.6977054445509566
1,0.9348499574778277,-13.328916763513664,-1.2692328897643772,-0.8951709938194106
2,0.9436675381528546,-16.52731180686619,-1.4916579939328725,-1.0137863074181572
3,0.937215266254337,-19.92059122553431,-1.7398697494303168,-1.1758878439851521
4,0.9361017560740919,-23.15913413897454,-1.94990188718644,-1.3267724593082169
5,0.9428078877328817,-26.020794533496236,-2.161996530656933,-1.4376436025958532
6,0.941213748981501,-28.839395441769355,-2.3532262022223147,-1.5793868034805236
7,0.9389460932768019,-31.62646378070874,-2.5655803827719006,-1.7169401628806034
8,0.9350952894642215,-34.50643125822526,-2.790126072525648,-1.856889009135096
9,0.9424729061048541,-36.90563628512088,-2.9619004091954224,-1.9720930008155573
10,0.9395967112764808,-39.40544351352133,-3.134330627263555,-2.113800017890505
11,0.9406888325629938,-41.76939933915918,-3.2949125222155824,-2.220323366844353
12,0.9415382741611351,-44.02629848443275,-3.446450031235836,-2.3161273272798577
13,0.9460336720764447,-45.96652371841442,-3.579768119571723,-2.382574853583692
14,0.9453185761292252,-47.9717371712958,-3.7181537774193165,-2.4664205797315137
15,0.9451034063260341,-49.907153920409264,-3.856416980349622,-2.5436080234120277
16,0.9408162027772724,-51.86490770796585,-3.989335503096959,-2.6374478215904538
17,0.9466784819409644,-53.561415600144386,-4.108226555603311,-2.7118979023704632
18,0.938982647260172,-55.59778462987289,-4.259991150931893,-2.8074850740771033
19,0.9373622059134427,-57.55505977769914,-4.41632602458416,-2.907850284828669
20,0.9402587979199419,-59.33378572386093,-4.5464157334426005,-2.9946694766636237
21,0.9370819840813486,-61.140614538652116,-4.669653744851995,-3.07642770775843
22,0.9422576939355463,-62.70702576205479,-4.76771233582974,-3.143099526668721
23,0.941421583428951,-64.321120858606,-4.87403321683829,-3.2091908619325378
24,0.9440053299415524,-65.82429036815702,-4.978086619050502,-3.2729548714658034
25,0.9309379096651174,-67.79538925187543,-5.136828253015573,-3.360615473617508
26,0.9443402126328956,-69.20735979068117,-5.232725028304688,-3.428817278059716
27,0.9402131840647889,-70.77824327433018,-5.327659806541251,-3.5090288063291433
28,0.9420968882602546,-72.18552150309031,-5.4262549776707845,-3.5676331144144564
