episode,service_level,exponential_starvation_penalty,exponential_congestion_penalty,projected_starvation_risk,projected_congestion_risk
0,0.8957455770850885,-0.7407537543214858,-0.527310974849388,-0.24057402794605878,-0.2263644312060933
1,0.9335854266078449,-1.0299816287837413,-0.7218686498983251,-0.34758795093182654,-0.3113983524269696
2,0.9334910462957418,-1.2826019915930573,-0.915660840052458,-0.4332944057194359,-0.39671310529154613
3,0.9428327123923532,-1.47493551992474,-1.0432807556918893,-0.49681601219356564,-0.45342388322816185
4,0.9347754243653297,-1.7053317408297524,-1.2085663728077822,-0.5662526339473679,-0.528550868520271
5,0.9355711151846621,-1.912191570964228,-1.3501186488164623,-0.6448953679509928,-0.598171537533258
6,0.9358521093000959,-2.0995779375062087,-1.4875580301148275,-0.7098283486111038,-0.6621231894074098
7,0.9397638521616136,-2.2490875875477365,-1.5864323236123397,-0.7643829101205405,-0.7091670572236666
8,0.9436141927202714,-2.392030729782073,-1.684515672739413,-0.8189720439782293,-0.7608828907481697
9,0.9414208180467541,-2.5122460666330975,-1.7688937884703793,-0.8575932001425904,-0.797464347569185
10,0.9286992930610759,-2.6813155964955033,-1.8902090373047795,-0.9253076019164298,-0.8622036735569351
11,0.9333030027297543,-2.820835928243349,-1.9902529478800104,-0.9850446836881854,-0.9125626508756889
12,0.9284610021522326,-2.981359074850713,-2.10161639696706,-1.0504632477188864,-0.9709012332360529
13,0.9387662534018748,-3.0820724350940374,-2.171136025188409,-1.0925773210705296,-1.005173923059831
14,0.9401152668547758,-3.1741261312146047,-2.2343441403451503,-1.1321790390994737,-1.039841200553993
15,0.9328164604144923,-3.303029361297675,-2.32650334732234,-1.1837323380197784,-1.0883053660597428
16,0.9357842253859554,-3.410596836856802,-2.404947818324613,-1.2110465863602125,-1.1172917380201186
17,0.939873417721519,-3.4805589544732736,-2.4492456971809746,-1.2290727183251848,-1.132483567668659
18,0.9417979834571032,-3.5518454296859185,-2.496409983975958,-1.2496475645550957,-1.1492916732179774
19,0.9367435418799301,-3.629974902079114,-2.5559122408581345,-1.28370310996824,-1.1784172003535442
20,0.9338830494140389,-3.7230382034122123,-2.626459316534896,-1.3138398483298483,-1.2070548582060385
21,0.9332424242424242,-3.803621874221064,-2.68137267354713,-1.3436943569138107,-1.2337981473889637
22,0.9274533864064884,-3.9108703515753995,-2.7547195320369706,-1.386136988438198,-1.2747606862350103
23,0.9384721846135331,-3.9761851194273907,-2.7973175240015378,-1.4148009119188074,-1.297678249735909
24,0.9377897412890683,-4.042919980921129,-2.84115386656185,-1.437905190162579,-1.316202704619259
25,0.9399788231734987,-4.1100894446541645,-2.88321725824248,-1.4618190065741856,-1.3400517849402271
26,0.9370498153864778,-4.175195626616979,-2.9266302197257716,-1.4889132007624362,-1.36076312927202
27,0.9403390866045517,-4.212576621908061,-2.9524824992312095,-1.4995363820057732,-1.3662158491397383
28,0.9307926186820795,-4.289345237949119,-3.0010758705954466,-1.5310683252977828,-1.3922025668468856
29,0.9380420937708498,-4.342932982611064,-3.0415367401723925,-1.5503487631236477,-1.4100361673252895
30,0.9361708545745226,-4.393426756442878,-3.0796657658217446,-1.5663690614664498,-1.4279094428963783
31,0.941697237971076,-4.453105088474329,-3.117982161085062,-1.586897432484679,-1.4447360077163347
32,0.9361982678533969,-4.511223807809875,-3.1600870712193934,-1.613503548852164,-1.4652849781910375
33,0.9353453489778638,-4.572514840640741,-3.1997258677135547,-1.645344047388509,-1.489672549398082
34,0.9389431887599267,-4.609701368756316,-3.228255880277478,-1.6628275863555788,-1.5083582728859182
35,0.9330303755082516,-4.6645486011114095,-3.2652858342488322,-1.6825623244822592,-1.5288233902944108
36,0.9332927941623594,-4.718718288116105,-3.299701660183677,-1.711402059360297,-1.5504110732198608
37,0.939324899574315,-4.7665250043160485,-3.3350952859607514,-1.7301086074838357,-1.5637597200739646
38,0.9318769934404525,-4.816403060042118,-3.374246880880137,-1.745617502083318,-1.5810752497974947
39,0.9367376225783306,-4.865954687027329,-3.406704495553093,-1.772709527427442,-1.603312826591043
40,0.9377838328792008,-4.901992719448084,-3.4290154335413505,-1.7899768900054682,-1.615976146439128
41,0.9385410683515221,-4.932817046584209,-3.449655309150672,-1.807419615104892,-1.6303379712647348
42,0.9355052990730397,-4.963168739972763,-3.4782880704853953,-1.8275239695553307,-1.6501707095404832
43,0.941781130714436,-4.994570987646309,-3.500410544699013,-1.8442069834280392,-1.6634913501536628
