episode,service_level,rebalancing_imbalance,projected_starvation_risk,projected_congestion_risk
0,0.8960481359417047,-17.220772288792467,-0.9277678813182414,-0.5088176912225097
1,0.944213578881282,-58.15162476377874,-2.9779985835702054,-1.6345382628909753
2,0.9346219957178613,-91.0918754870453,-4.455423469011176,-2.4698082664807517
3,0.9356372667797431,-121.37310330762357,-5.705346324443352,-3.200046559355439
4,0.936207668208265,-147.99815887826807,-6.762371219173776,-3.857064533069608
5,0.9382393981678092,-170.8862765082245,-7.627400331650624,-4.396952522644295
6,0.9333779712085705,-192.2068704915963,-8.379217584112599,-4.880525743442696
7,0.9370438230258613,-210.60723814598626,-9.02800131358641,-5.293315614269639
8,0.9371247548649871,-227.45368828759678,-9.611370217138765,-5.680674245402891
9,0.9423385266979277,-242.1835788141501,-10.109643978525973,-6.0128674027857745
10,0.9377655436538807,-254.97081850707997,-10.552276806496808,-6.313256042140292
11,0.9368331458795635,-267.15072998513773,-10.960708270580707,-6.584107045529245
12,0.9368863955119214,-277.3856825832318,-11.291299509451418,-6.823851447296464
13,0.9418142392482833,-287.9270963119767,-11.606687559781458,-7.039727706188729
14,0.9402296771860024,-296.5127582441605,-11.876198479620097,-7.226928510041725
15,0.9438790871319324,-303.77618358278664,-12.114085751267991,-7.395119222867568
16,0.9432376246572867,-309.5252508189062,-12.286649797543292,-7.518120154793235
17,0.9434543790051877,-315.3274258358547,-12.479980574223655,-7.662392595399314
18,0.9403056781671321,-320.1191391182509,-12.66015925224979,-7.772236161601875
19,0.9400920282060475,-325.4948489169108,-12.821020343357878,-7.888189949320052
20,0.9399822396423432,-329.9161052240126,-12.955415095076244,-7.991699801945496
21,0.9387397723498687,-334.02599108839604,-13.095078725957157,-8.09593321037992
22,0.9426619311341199,-338.32295651733057,-13.225385519563075,-8.204671790289227
23,0.9417799975929715,-341.52738648900396,-13.320134998608431,-8.283955528250486
24,0.9385416975043667,-344.98079587784275,-13.413516010135014,-8.368608826030252
25,0.9370011486466586,-347.79233922821794,-13.48346093793572,-8.434806991206594
26,0.9396348467444532,-350.81606122614136,-13.572409665165685,-8.490319925491395
27,0.944689737470167,-353.2182286259514,-13.653165749475184,-8.541851887591086
28,0.9439605982341281,-355.14630129970163,-13.710624851143079,-8.592865950392019
29,0.9406550480769231,-356.38226735556634,-13.767781184643614,-8.640443430969238
30,0.9402415575051075,-358.01058184718806,-13.801692204684574,-8.677618199075365
31,0.9413683733574989,-359.39054316903577,-13.8663310978028,-8.707022541491956
32,0.9325047627687563,-360.67007961450264,-13.90559903402457,-8.729829647327959
33,0.9395890453159176,-363.5464185833591,-13.949231576031492,-8.7839143901537
34,0.9480253296215853,-365.2665131884135,-13.982857368479475,-8.824173139346556
35,0.941077944607286,-366.58952426635494,-14.006151526284022,-8.85486151074434
36,0.9415350850454185,-367.24355308062167,-14.016034378388138,-8.867430216718654
37,0.9395935153176779,-368.8307461906869,-14.042797135374663,-8.888869952832092
