episode,service_level,squared_starvation_penalty,squared_congestion_penalty,starvation_gravity,congestion_gravity,imbalance_weighted_distance,starvation_severity_max
0,0.8958663833098865,-19.37950924420108,-13.743805125591525,-2.709778127939457,-2.362820991444387,-9.18238594864542,-74.68051703693064
1,0.9116281891818099,-44.18098157260726,-31.540939323951726,-6.043164410004514,-5.771431309384986,-17.671353306652307,-169.32390261477818
2,0.9097442143727162,-51.56869825562857,-37.006037444583924,-7.207188286986602,-6.500338157231203,-18.552169478479353,-190.7331453712037
3,0.910958904109589,-55.65584842658119,-40.20133156433082,-7.88323282153668,-7.0057112807377235,-18.20828290876283,-199.33085741551074
4,0.9072322795640818,-58.21783144840731,-42.31535918767193,-7.989516578213652,-7.440436209809336,-17.944921004351563,-201.9416420908384
5,0.9161329488541509,-60.0710091981191,-43.622181438913294,-8.285206024993833,-7.439107713774325,-17.488286094130864,-202.86850752432463
6,0.9158525621816003,-61.18171340869676,-44.368166204873475,-8.391655666168809,-7.549640558030426,-16.997976153738275,-200.51768506714376
7,0.9197632357777047,-62.318921613841376,-45.253959254202435,-8.479550538057527,-7.566769006197943,-16.569193137750617,-198.55351057544826
8,0.9121666167216063,-63.29353023496575,-46.0552001298361,-8.589687482204386,-7.5073721136225915,-16.05871015344231,-196.42448737997748
9,0.9118522568495231,-65.1949757821806,-47.564581751012206,-8.78643277426318,-7.7474739792792375,-15.772406560812746,-198.5622540389839
10,0.9148428774111752,-66.92959227420779,-48.8451413784601,-9.047620641344649,-7.639544310491106,-15.799216679576416,-199.20473220341708
11,0.9181732551426575,-68.83304500740057,-50.374000432206934,-9.241281872668983,-7.731559007129677,-15.673279227576653,-200.83310319941998
12,0.912726945892504,-70.55239867375218,-51.716521880975,-9.390030432103703,-7.760771293114073,-15.734325740131005,-202.3379138439897
13,0.9141967094120493,-71.60338140999845,-52.44796210009871,-9.472770659034833,-7.830037148939294,-15.475985991096254,-200.88204325248608
14,0.9124629080118695,-72.535447539555,-53.1748119247699,-9.595710105404477,-7.663581607483939,-15.318206752333523,-199.065165615573
15,0.9122843483683226,-74.10002092799076,-54.35630216833774,-9.810126222562738,-7.627463230817377,-15.372309187557885,-200.45419773272613
16,0.9264014466546112,-75.29709368585976,-55.28720958922725,-9.970268716807501,-7.522326949211454,-15.35490453854727,-199.55497078828373
17,0.9184342284934001,-76.92633090137764,-56.49084222900786,-10.032023949444406,-7.633460504109629,-15.53597023132446,-201.01865999357432
18,0.9163743216095469,-77.80500895095719,-57.150147649268625,-10.197878284258739,-7.442950691395874,-15.419702996582803,-198.69368901529137
19,0.9189417733752114,-78.77464798301861,-57.79744772806241,-10.272358774438773,-7.399405468561828,-15.205560615922279,-196.52869913116743
20,0.9230723180076629,-80.79497211979727,-59.241526898425995,-10.516268937635374,-7.490358592383103,-15.492110804000523,-200.31820677603133
21,0.9212879062462245,-81.63563694740252,-59.80541286191609,-10.680840447827059,-7.346374024142111,-15.557987376401007,-198.35481400757072
22,0.9259537398618204,-82.42276161356249,-60.35332299696643,-10.740798842495085,-7.249469529968267,-15.509062549383687,-196.7303601079508
23,0.9162359379750684,-83.63601455963033,-61.277747477182864,-10.903155440545271,-7.3234333594564625,-15.498333508281892,-196.9543625308291
24,0.9137832038922971,-85.03514375950012,-62.28492566446842,-11.230538736562517,-7.247820722926864,-15.61754433363335,-198.1663319983451
25,0.9215722288548076,-86.25117488689186,-63.05948416308589,-11.426308888433743,-7.225726000791025,-15.661437568825209,-198.58184443837527
26,0.9313770025135519,-86.53203679592869,-63.183141972864156,-11.500480814805547,-7.035339005939203,-15.398271827568086,-193.9913296538447
27,0.9267310062836355,-87.686967531339,-63.98960184819628,-11.696264948216838,-7.024356727400855,-15.564620384259285,-194.49629542011243
28,0.9240731259223565,-89.03837271331845,-64.97624350195373,-11.908198973148293,-7.128757425636042,-15.634856610003789,-196.65312451914053
29,0.9181733681148991,-90.14162848984864,-65.79746595694935,-12.146385512056169,-7.01719291139865,-15.809199749982595,-196.9831909349107
30,0.9247697498404207,-91.03436621717947,-66.51464860049292,-12.233786808072288,-6.965855457747125,-15.79801385190034,-195.903557682222
31,0.9277479565694766,-91.89751247133529,-67.17774776667095,-12.37728360739852,-6.892445409851379,-16.015271741196255,-195.5773544908488
32,0.9202072852900176,-92.54142352632755,-67.66319852505788,-12.51822510506193,-6.75631345181609,-15.906637977503479,-193.28891467428397
33,0.9218298316197288,-93.5545450386086,-68.36414959608554,-12.67214639402896,-6.7309979116082745,-16.04548481037348,-193.1316840991491
34,0.9227630167997141,-94.48562721530526,-69.02346021646088,-12.732703333146146,-6.753796893036484,-16.13503296955619,-192.04998051951307
35,0.9309476712821435,-95.22897190348071,-69.56333953287947,-12.91819162706186,-6.639648488488252,-16.016356478126188,-190.65818416279163
36,0.9219679494961758,-96.50888947109995,-70.48686806453777,-13.09693104838385,-6.659940132239172,-16.207301345173768,-191.98487558036572
37,0.918891014545565,-97.1968799695861,-70.96881913806418,-13.193588864583582,-6.551104399769685,-16.249785168835796,-190.51223248700364
38,0.9248482311073896,-98.15689103714726,-71.6687913444426,-13.339576598078892,-6.493254881069685,-16.344308242032135,-190.0669161136732
39,0.9232813120361604,-98.87955749445487,-72.16406476346937,-13.465814963303682,-6.392565286295691,-16.416490392352145,-188.56690330360584
40,0.9193572744570963,-99.96278985764225,-72.91290500546826,-13.574772095738712,-6.380782608702082,-16.45481816322279,-188.62270004064078
41,0.9180836465604678,-101.04861613321445,-73.7825941828135,-13.725422449342561,-6.355830688553295,-16.532907212324705,-189.1206235943944
42,0.9207220873786408,-101.87802974174865,-74.35547013070914,-13.855287914226949,-6.335055361467425,-16.501187167959124,-188.08751695749638
43,0.9206229438927958,-103.24209874593512,-75.3361866460439,-14.019827119127486,-6.42025472335041,-16.684851301788246,-190.02097133300563
44,0.9157177441047252,-104.04088635313826,-75.88892697578875,-14.14329040032146,-6.320017830549581,-16.710725151233795,-189.36273750863785
