episode,service_level,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,gross_starvation_risk
0,0.9026908357314505,-0.746724383556284,-0.6268014024943114,-3.2140302363317463,-0.5056647968551261
1,0.9274782765567215,-0.797063826196136,-0.6806469816092316,-3.221899000626232,-0.5845201484493794
2,0.9288973724238718,-0.8071942869025842,-0.663114451420036,-2.8647496370329066,-0.6537814888402829
3,0.9312477590534242,-0.8830018562937106,-0.6933450456921737,-2.9250300032921515,-0.7680753294095279
4,0.9328307059629883,-0.8855610519358598,-0.6976718249597066,-2.6730067547066776,-0.8451623678885156
5,0.9206948188080264,-1.0013068717496103,-0.7921227555880581,-2.9969173520398216,-0.9307737786455323
6,0.9269716464141053,-1.0422553766680651,-0.8117388020129467,-2.978081934208971,-1.0054887780608874
7,0.9353672383912031,-1.0387356396744092,-0.820548462382523,-2.6861282918987683,-1.0556679434883345
8,0.9310282945504577,-1.0967107436689159,-0.8729732890075652,-2.846988221817108,-1.1101710365190227
9,0.9332006993428589,-1.1098355145074008,-0.8628668176639803,-2.619937037970592,-1.1519366030142968
10,0.9347845481309662,-1.1061332326948219,-0.8322827242519771,-2.360545617854764,-1.1748029677532437
11,0.9315472606863335,-1.1663770486279634,-0.873770383876856,-2.4535569693886963,-1.2400831515019255
12,0.928497347912407,-1.2121105323313819,-0.8939975808535148,-2.417289568921957,-1.2968044225986881
13,0.9396469180131658,-1.2295973591297322,-0.9013174779013543,-2.3133316411378395,-1.3138807634164402
14,0.9278163603957962,-1.264261593628369,-0.9337605743193311,-2.3483402922136682,-1.3563352371156046
15,0.9281072901522119,-1.3920521098545762,-1.0428967249639767,-2.7923072941259948,-1.4690801568887415
16,0.9332203490619332,-1.4035254830105233,-1.0284458389164115,-2.6523674156626926,-1.5284504121418079
17,0.9265141638022993,-1.4399973777390052,-1.0347229631779813,-2.606425622480726,-1.587595017129924
18,0.9301436824174196,-1.4654426167932344,-1.0539008218502373,-2.553855565746762,-1.6596766516549801
19,0.9307923169267707,-1.4922049252160146,-1.0719599767180523,-2.5116564505745593,-1.7161795952479508
20,0.9325540100621486,-1.5238593284220259,-1.0976910947991998,-2.5054006868804772,-1.762716566554359
21,0.9294286654894801,-1.5179316184517513,-1.0872548680301848,-2.290872023987903,-1.794896629243035
22,0.9309072514654685,-1.535796560499147,-1.1085155376004803,-2.274302800996025,-1.7988206667818647
23,0.9247663829533956,-1.6284323470574722,-1.1950059798942576,-2.6215156390640804,-1.874263120867014
24,0.9283153041853738,-1.6720178111554629,-1.2307984341152103,-2.6355072771594723,-1.9508017134717501
25,0.9295623056685004,-1.6962677137054352,-1.2546008372102972,-2.5851674637664823,-1.993661506135024
26,0.9318059137527739,-1.7013929003555683,-1.2514859564795162,-2.5390769950758867,-2.0247716105750113
27,0.9334134254392551,-1.6683139418623452,-1.2264714526411618,-2.182645742778461,-2.0173166675736205
28,0.9377624701652618,-1.6736303843859663,-1.236296312315362,-2.0918330379693444,-2.0589545939466913
29,0.9397038710828328,-1.6802337317455287,-1.2455322884302182,-2.0148793601305695,-2.0752002518260095
30,0.9380587290523955,-1.7385065527858743,-1.303013892522848,-2.251998354448196,-2.121189908860941
31,0.9318119746305344,-1.7640954425758968,-1.3305471999946228,-2.2593845175977907,-2.1597828474386755
32,0.9343740707701457,-1.7962250156865798,-1.3626378682137792,-2.2908534076207117,-2.192837760502458
33,0.9257744360902256,-1.8653357666891204,-1.4220838888886909,-2.557231642544845,-2.249662255717366
34,0.9344993647886075,-1.8551066062214423,-1.3989512221601959,-2.365000287241721,-2.2678699749474527
35,0.9313456841603622,-1.8830181056589834,-1.4340154302220889,-2.4138061125842682,-2.3215520027941814
36,0.9308689390302448,-1.9345646387268092,-1.478160574799488,-2.5380878104938014,-2.354211120440489
37,0.9358935407425412,-1.9407123527759973,-1.4719691943482773,-2.423787378224338,-2.3710928513589558
38,0.9314867495134003,-1.948205120381503,-1.4836768242732428,-2.3298914021706296,-2.379603850523427
39,0.93452629071637,-1.9324131181006665,-1.4654233452510632,-2.148892712368112,-2.3862011615031906
40,0.9383282364933742,-1.932136060181573,-1.4652949155990087,-2.0605911804052752,-2.381378509444856
41,0.9276532581267627,-1.9987705210834121,-1.5227706521990796,-2.297055392202397,-2.438379221947751
42,0.9315615409826297,-2.0163378117670447,-1.5295967791927507,-2.2806798322155424,-2.4549179289195013
43,0.932305081664192,-2.025536412077171,-1.5324052931198164,-2.214289241128906,-2.4604596701117116
44,0.9331237150804208,-2.0319035146084534,-1.551840643466046,-2.1675831008383803,-2.4713193261711073
45,0.9306723942485532,-2.0567514272576393,-1.565724988468918,-2.202499755384763,-2.486970323797616
46,0.9366604421420397,-2.0689071596874378,-1.5843981911082663,-2.192024858124789,-2.5021555744171264
47,0.9227600106701443,-2.1109664933102583,-1.6283678701480528,-2.339051304842635,-2.5480679558723387
48,0.936599163482081,-2.1380313353015836,-1.6501744125711846,-2.374208258581621,-2.575292335134723
49,0.9312153631864387,-2.1481676468993327,-1.6476305743897182,-2.27146623247884,-2.6012664178117557
50,0.9335452528039345,-2.1613395788494016,-1.6677304911146513,-2.271727644986965,-2.6147489189815296
51,0.9284837599161802,-2.1851032691615915,-1.6856517367255646,-2.3010198995839537,-2.6473206077185827
