episode,service_level,squared_starvation_penalty,squared_congestion_penalty,delivery_potential,pickup_potential,imbalance_weighted_distance,starvation_severity_max
0,0.9039753131239789,-32.77530660813699,-17.771573836071912,-12.085309739310727,-14.659272258914406,-2.380000350429812,-107.53764790983728
1,0.9065090163690919,-41.990471348460325,-27.344495001065745,-11.584857250237953,-13.946205122542562,0.0,-146.55495664969865
2,0.9204483654601486,-35.79628994483433,-23.014911685971022,-5.706622405992471,-8.417768241415496,-0.8332611002539051,-96.23664905025751
3,0.9069035440815956,-43.956995973746395,-21.588842888676655,-6.286827030470778,-8.999618119460722,0.0,-114.68368665557166
4,0.9075259850492897,-36.743493021066655,-24.246838974608483,0.0,-14.065875868160054,0.0,-88.85920322468854
5,0.9097230547895936,-42.71992979737209,-25.454464841964704,-2.075105955544494,-6.725019199807956,0.0,-87.52009457368374
6,0.9121336388855386,-44.00552662756332,-25.973329910331913,-0.09832443034089028,-5.793667666071899,0.0,-79.66100283808434
7,0.9146839193397225,-49.190049731625166,-30.528742179226736,-0.508064129672347,-4.352392764977173,-0.08303949417112531,-88.46880444020553
8,0.9147829207032652,-62.18592948283775,-38.74076482553726,-2.4369893380656587,-8.573177987299308,0.0,-126.72070076742683
9,0.9193665377176016,-55.06155999900394,-30.551004147751698,0.0,-0.7437965383116157,0.0,-87.89290001260399
10,0.9189693015424396,-55.09371109549963,-32.94266012990768,-1.1070173180658387,-2.315214575486836,-0.5642686131785277,-72.50560809546315
11,0.9058137426723878,-65.34788187509908,-39.34171839075049,-7.315252173478241,-8.550268747870776,-3.2634889683285855,-100.52362564817955
12,0.9199988037204294,-64.62837572139311,-36.230566528089334,0.0,-3.6094097137467482,0.0,-79.16726536685383
13,0.9164543137968693,-70.5066025295885,-42.395169788280306,-3.348455284709044,-2.411621237167157,0.0,-103.97222359800683
14,0.9100701025965039,-69.78245747867766,-42.974658122369874,-3.417204047663391,0.0,-0.008139772770774973,-80.78994087469223
