episode,service_level,squared_starvation_penalty,squared_congestion_penalty,delivery_potential,pickup_potential,imbalance_weighted_distance,starvation_severity_max
0,0.9118475659628609,-21.787399714626932,-15.266789179500202,-2.456793491403845,-8.673301344828529,0.0,-68.64346222352935
1,0.9266357239107651,-26.147561922375644,-20.566409033991537,-2.740306443450528,-5.981075874786413,0.0,-91.07777308015906
2,0.9204191018381128,-28.103077777015077,-20.751078679720955,-2.7307438089344993,-7.964532808136177,-0.4025976633136076,-65.85863933501248
3,0.9060075169738119,-42.35409724011558,-32.70298701084133,-6.7427872038789065,-9.759023474076423,-0.030192501720649478,-105.17320980796836
4,0.9109901471840409,-42.920835962644766,-34.67279767267301,-5.039025801898933,-7.408707670009059,0.0,-95.47900235633263
5,0.9078180737217598,-48.44837287654903,-36.31967149756261,-6.705895756531682,-8.755670516635341,0.0,-97.79643567771474
6,0.9222956585010914,-39.81808921721855,-30.380840045027377,-0.42896014498636187,-2.3869832252155994,-0.05051016889376109,-48.92528475987987
7,0.9172819460188107,-53.21991417249728,-39.92954904179657,-6.88980390732379,-3.675003289040916,0.0,-104.22727555970836
8,0.9161710818766144,-48.372158157750455,-35.55389772523386,-1.5997541357135852,-5.05448848402336,0.0,-76.56995231025766
9,0.9204869755297832,-51.10848321661505,-36.66218649593916,-2.9655007917032443,-1.2020943257540022,-0.20803201667441942,-67.39631953702099
10,0.9126839905506088,-53.702739482540345,-40.95137800268968,-2.9226913534806642,-4.110169471338104,0.0,-61.979891380478854
11,0.9200332946877137,-57.003332905441496,-44.01027211152003,-0.3804463503938975,-5.979609982585277,-0.4620622624392756,-82.5204250838444
12,0.9153876073362655,-61.504819970100435,-46.30449413707473,-4.62808203857506,-5.947832569659798,-0.10347804351738019,-100.07954426612352
13,0.9183838504852042,-52.86277987119911,-40.65674054586066,-0.3666003265388768,-2.418551689618617,-0.010398704528277297,-49.434738198044634
14,0.9168260328446104,-65.84038561775627,-48.89213090839269,-5.023678743662883,-7.216878554223239,-0.01828786536147714,-92.88327134247484
15,0.9099240797314055,-67.09895712480099,-50.49556578041516,-2.3200245560128234,-6.08148738167098,0.0,-92.30066403798314
16,0.9136526946107785,-65.11764317987529,-48.508203668928644,-1.2536313246802577,-3.589516401410399,-0.01786941041184162,-102.48873086410272
17,0.9171519082817922,-61.09103386895553,-47.43771027633881,-0.053771420596178246,-0.35182182364092807,-0.2815166823251344,-66.72230771474807
18,0.9148854511100614,-73.83441588639916,-54.971866960129454,-1.8135276271263319,-8.62981382220737,0.0,-75.37157787254606
19,0.9168643191631698,-77.36167424760069,-53.46466718736839,-4.385997546962864,-6.364256703883454,0.0,-79.94928444337523
20,0.9164851784633998,-75.39678329524715,-54.45688113827346,-2.618805625263315,-6.578833000809323,-0.8348921641471257,-65.88426826868852
