seed,day,hour,minute,current_station_id,is_at_depot,functional_load_before,depot_load_before,total_load_before,functional_deliveries,functional_pickups,onsite_repairs,depot_pickups,depot_deliveries,load_from_queue,bikes_involved,action_duration_min,next_station_id,travel_time_min,functional_load_after,depot_load_after,total_load_after,immediate_reward,vfa_value,accumulated_rollout_reward,tail_value,final_decision_score,maintenance_flag_present,selected_action_is_maintenance,n_total_candidates,vfa_top1_next_station,rollout_changed_decision,winning_candidate_rank,decision_runtime_s,winning_profile_type,phi_rebalancing_imbalance,phi_squared_starvation_penalty,phi_squared_congestion_penalty,phi_exponential_starvation_penalty,phi_exponential_congestion_penalty,phi_starvation_severity_max,phi_congestion_severity_max,phi_starvation_count,phi_congestion_count,phi_gross_starvation_risk,phi_gross_congestion_risk,phi_net_starvation_shortfall,phi_net_congestion_shortfall,phi_trailer_cannibalization,phi_global_onsite_backlog,phi_demand_weighted_depot_backlog,phi_time_remaining_fraction,phi_functional_bikes_time_penalty,phi_reachable_imbalance_fraction,phi_recoverable_imbalance_fraction,phi_imbalance_hotspot_distance
44,0,6,0,S0,False,0,0,0,0,5,0,0,0,0,"['B0', 'B1', 'B2', 'B3', 'B4']",5.5,S40,8.4,5,0,5,0.0,-1.125259,,,-1.125259,False,False,,,,,,,,,,,,,,0.044776,0.014925,0.063329,0.061365,,,,,,,,,,
44,0,6,13,S40,False,5,0,5,5,0,0,0,0,0,"['B0', 'B1', 'B2', 'B3', 'B4']",5.5,S54,2.17,0,0,0,0.0,-1.002284,,,-1.002284,False,False,,,,,,,,,,,,,,0.044776,0.014925,0.059725,0.048904,,,,,,,,,,
44,0,6,21,S54,False,0,0,0,0,13,0,0,0,0,"['B610', 'B611', 'B612', 'B613', 'B614', 'B615', 'B616', 'B617', 'B618', 'B758', 'B404', 'B705', 'B405']",9.5,S51,6.18,13,0,13,0.0,-0.898127,,,-0.898127,False,False,,,,,,,,,,,,,,0.029851,0.014925,0.052322,0.049263,,,,,,,,,,
44,0,6,37,S51,False,13,0,13,13,0,0,0,0,0,"['B610', 'B611', 'B612', 'B613', 'B614', 'B615', 'B616', 'B617', 'B618', 'B758', 'B404', 'B705', 'B405']",9.5,S39,7.16,0,0,0,0.0,-0.85062,,,-0.85062,False,False,,,,,,,,,,,,,,0.044776,0.0,0.0492,0.045084,,,,,,,,,,
44,0,6,53,S39,False,0,0,0,0,20,0,0,0,0,"['B430', 'B431', 'B432', 'B433', 'B434', 'B435', 'B436', 'B437', 'B438', 'B439', 'B440', 'B441', 'B442', 'B443', 'B444', 'B445', 'B446', 'B447', 'B211', 'B723']",13.0,S61,3.98,20,0,20,0.0,-0.999449,,,-0.999449,False,False,,,,,,,,,,,,,,0.059701,0.014925,0.046463,0.050781,,,,,,,,,,
44,0,7,10,S61,False,20,0,20,8,0,0,0,0,0,"['B430', 'B431', 'B432', 'B433', 'B434', 'B435', 'B436', 'B437']",7.0,S65,4.19,12,0,12,0.0,-1.618193,,,-1.618193,False,False,,,,,,,,,,,,,,0.044776,0.029851,0.136055,0.060823,,,,,,,,,,
44,0,7,22,S65,False,12,0,12,6,0,0,0,0,0,"['B438', 'B439', 'B440', 'B441', 'B442', 'B443']",6.0,S12,12.43,6,0,6,0.0,-1.63106,,,-1.63106,False,False,,,,,,,,,,,,,,0.044776,0.029851,0.128509,0.068038,,,,,,,,,,
44,0,7,40,S12,False,6,0,6,6,0,0,0,0,0,"['B444', 'B445', 'B446', 'B447', 'B211', 'B723']",6.0,S35,9.87,0,0,0,0.0,-1.622763,,,-1.622763,False,False,,,,,,,,,,,,,,0.044776,0.029851,0.131953,0.064447,,,,,,,,,,
44,0,7,56,S35,False,0,0,0,0,10,0,0,0,0,"['B387', 'B388', 'B389', 'B390', 'B391', 'B270', 'B461', 'B464', 'B595', 'B654']",8.0,S66,8.23,10,0,10,0.0,-1.768261,,,-1.768261,False,False,,,,,,,,,,,,,,0.059701,0.029851,0.124854,0.08,,,,,,,,,,
44,0,8,12,S66,False,10,0,10,10,0,0,0,0,0,"['B387', 'B388', 'B389', 'B390', 'B391', 'B270', 'B461', 'B464', 'B595', 'B654']",8.0,S54,5.58,0,0,0,0.0,-1.65464,,,-1.65464,False,False,,,,,,,,,,,,,,0.059701,0.059701,0.085942,0.081007,,,,,,,,,,
