episode,service_level,rebalancing_imbalance,squared_starvation_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
0,0.9425773226565058,-2.4550640028843618,-0.9117777046514481,-0.7019196814889441,-0.6350787314963063,0.1,0.1,0.2,0.2,1319,610,1350,33593,38423,38419,0,0,0,0,3824,3831,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
1,0.9445240345048312,-2.8039345749759956,-1.1281650932161946,-0.8701755951767836,-0.8702715938860061,0.097794,0.1,0.198504,0.2,1130,690,1343,32807,37701,37693,0,0,0,0,3704,3724,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
2,0.9440837696335078,-2.7559994640558876,-1.209453411846026,-0.8765269896617401,-0.9154741021052178,0.095683,0.1,0.197019,0.2,1160,709,1420,33425,38290,38283,0,0,0,0,3762,3770,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
3,0.9434541731904131,-3.0965398630872305,-1.3854032919778907,-1.0608172026830247,-1.0916595351564593,0.093662,0.1,0.195545,0.2,1266,612,1249,33212,38095,38090,0,0,0,0,3707,3707,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
4,0.9452992973405675,-2.6529982427707424,-1.3322375058891571,-0.9966970150326235,-1.0591279301256327,0.091724,0.1,0.194083,0.2,1237,608,1460,33729,38599,38589,0,0,0,0,3762,3778,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
5,0.9406948640483384,-3.016438747964305,-1.546681330087655,-1.0883267765501061,-1.1743202038022618,0.089865,0.1,0.192631,0.2,1255,708,1264,33100,38058,38054,0,0,0,0,3792,3799,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
6,0.9350086655112652,-3.2538787428921854,-1.7538699033641145,-1.277113082647211,-1.372753309488603,0.088079,0.1,0.19119,0.2,1389,786,1373,33466,38309,38302,0,0,0,0,3823,3811,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
7,0.9427389375224847,-3.072613782780241,-1.7892348177438486,-1.255353300274475,-1.3927023923353687,0.086364,0.1,0.18976,0.2,1191,719,1459,33356,38183,38180,0,0,0,0,3773,3779,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
8,0.9445487014952479,-2.9030025187428747,-1.8206755816996105,-1.3049311535927364,-1.4455720872514985,0.084713,0.1,0.188341,0.2,1237,595,1166,33038,37927,37917,0,0,0,0,3585,3591,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
9,0.9430368319691863,-2.883507401404662,-1.8778287490938244,-1.3844467312012982,-1.548469409084,0.083125,0.1,0.186932,0.2,1216,677,1154,33232,38114,38109,0,0,0,0,3825,3812,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
