episode,service_level,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk
0,0.9026908357314505,-0.42117910197412134,-0.3134925330174156,-0.5056647968551261,-0.4022405242736568
1,0.9388996570746981,-0.5610276620128215,-0.4384526910127869,-0.733323644584521,-0.6006677144804657
2,0.9345959369296593,-0.7084142958133959,-0.5647988013930326,-0.9236540404405214,-0.782250142900176
3,0.9381505324589375,-0.8338646979587747,-0.6555793826455992,-1.0906264289302217,-0.9409075585282165
4,0.9371815120541169,-0.9624023131959863,-0.7558910919254265,-1.267350364686968,-1.112954530183124
5,0.9312007277137659,-1.1172024715018276,-0.8573200127941967,-1.4529180842515825,-1.2749496083890146
6,0.9326142357612754,-1.231543869896977,-0.9589834602399157,-1.6438577958739014,-1.4424370607899806
7,0.9337933495925287,-1.3512756433898645,-1.0645227273396465,-1.7958628254362325,-1.5943811951585318
8,0.9328216113292872,-1.4587408567116429,-1.1560009012705237,-1.9527430024804937,-1.7410759270608833
9,0.9366027989669049,-1.5415434805253332,-1.2212390683799814,-2.062995257964503,-1.8519389817954144
10,0.9332856589493758,-1.6213981094590006,-1.3014371331478756,-2.18210847545281,-1.9721980095563252
11,0.9387847097006852,-1.6826237525902499,-1.3650218726081118,-2.2743245427963,-2.057904413741957
12,0.9312479826285982,-1.7613131047963504,-1.424821236484388,-2.3708132777539506,-2.1798982929920365
13,0.937544420753376,-1.83342102760273,-1.474001873867922,-2.4661317085788017,-2.272639476612224
14,0.934034646046874,-1.8938924810219535,-1.527769495321035,-2.531824388621039,-2.343924180423828
15,0.9303818350880351,-1.9831351162510105,-1.6052477188669274,-2.664034261922227,-2.4766636104573716
16,0.927224680067698,-2.0786093812986395,-1.685443726106955,-2.791905597186236,-2.593607995430765
17,0.9319278184741826,-2.1447699958128625,-1.7259989174876413,-2.8527380258025534,-2.6676740833725914
18,0.9323607033775169,-2.217531074150671,-1.7781684569850125,-2.9217852640414756,-2.744873568107151
19,0.9381077609932115,-2.2513631071209974,-1.802569516156455,-2.992140451135479,-2.816881592162949
20,0.9315783232538836,-2.3358390210272804,-1.8593767437485489,-3.0846974507430933,-2.9033662936245173
21,0.9351260701991821,-2.372613576970042,-1.890316962906572,-3.1438078951150166,-2.968011796938245
22,0.9311684043856242,-2.4415441431515412,-1.9511363228089267,-3.216004242299916,-3.036453539401919
23,0.9336275216138329,-2.4881438341419377,-1.9879152786116583,-3.2759115017135585,-3.10139358233221
24,0.9373822553153315,-2.507450644382977,-2.0030320874703382,-3.340053110326228,-3.1856422366622748
25,0.9348789839444045,-2.5257124662926183,-2.025398713024485,-3.3473786998912467,-3.211397796221109
26,0.9322368421052631,-2.5576251261730896,-2.0567984880135035,-3.4229552363577844,-3.2904965640018338
27,0.9364173996577707,-2.58291916769124,-2.069446884807548,-3.434433913323167,-3.31311247976744
28,0.936002914478278,-2.598213810134388,-2.0976196528528748,-3.4332376820316086,-3.3234188707683794
29,0.9342713145737085,-2.6188610184327707,-2.1355922644950707,-3.4725772954949545,-3.352172840499366
30,0.9383113949215338,-2.642620699961862,-2.1684733404099634,-3.516256268378643,-3.4035357174065317
31,0.9334576179450943,-2.6886898946194884,-2.206217592922765,-3.558821331166603,-3.4611964929340537
32,0.92949829576033,-2.71379326900978,-2.2441282791480592,-3.6323959080988804,-3.540138494194811
33,0.9310108475384432,-2.7388000960140313,-2.2847145893124603,-3.6661134783647085,-3.600578074448915
34,0.9366379695552445,-2.744953957877521,-2.301829698123431,-3.679489726927251,-3.6377112870598944
35,0.9305680793507665,-2.769495646567962,-2.3134947850450884,-3.716815130783621,-3.684507745170912
