episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,fleet_broken_fraction,onsite_shortage_pressure,depot_shortage_pressure,late_broken_cargo_pressure,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9408035953850282,-2.5306454975581865,-0.015478806638336114,-0.005926596623152823,-0.0034419756467612126,-0.002746824879074103,-0.0008933755768219511,-0.004188719771793919,-0.0033159226279171074,-0.00849160135978757,-0.0014269609618051526,-0.00202885582925855,-0.001441427646874447,0.01,0.01,0.0,0.97,100,14,1,15
1,0.9407695777848324,-2.5605817674276548,-0.030734077456105024,-0.011893614383797302,-0.006877358807725222,-0.005584667027431267,-0.0018739251189917928,-0.008330210965353309,-0.006464242911268771,-0.015982865993670537,-0.0027795484183436494,-0.0037089822522771384,-0.0031432981270306483,0.009708,0.01,0.0,0.97,100,13,1,14
2,0.9401866966096298,-2.5894707582806458,-0.04538995974900469,-0.017523613845472887,-0.01004950747697885,-0.008225056065688173,-0.002682403003344821,-0.012222196380822678,-0.00952813711905209,-0.023919831447617248,-0.003937519570557862,-0.00568193593330778,-0.004362526583457286,0.009432,0.01,0.0,0.97,100,13,1,14
3,0.9403612138660596,-2.6175646365871974,-0.0598558505163335,-0.023057182004624952,-0.013467102077830483,-0.010968377074718014,-0.0037112139742987763,-0.016210642620038747,-0.012578546505545763,-0.030993793764813194,-0.0050904521191170084,-0.007256732649989328,-0.00583827554794263,0.009172,0.01,0.0,0.97,100,13,1,14
4,0.9362209812921507,-2.646965966778752,-0.07476521500325194,-0.02890113845735454,-0.016751746059090897,-0.013811070788110223,-0.004563242665001876,-0.02032980299338711,-0.01578858617179612,-0.03965279437689626,-0.006502216034271197,-0.009230780240640356,-0.007297851005101425,0.008925,0.01,0.0,0.97,100,13,1,14
5,0.9351049231902004,-2.675762753907821,-0.08947342866341813,-0.03473081702139369,-0.020078705013630415,-0.016644067647266333,-0.005494072577983082,-0.024198053984622978,-0.018741597939422334,-0.047954907592807385,-0.007867065048325567,-0.01123943111391975,-0.00871603899270085,0.008692,0.01,0.0,0.97,100,13,1,14
6,0.9410602127125032,-2.700988347812108,-0.10219017108194839,-0.039679808323170945,-0.02299433404871688,-0.018963295165827055,-0.006360510766762574,-0.02764199681769738,-0.02138288669313886,-0.05405196622515617,-0.008778320787666088,-0.012560872135151386,-0.009996783058080211,0.00847,0.01,0.0,0.97,100,13,1,14
7,0.9405103402268179,-2.7262479691738712,-0.11518593003868224,-0.044666730624851124,-0.025944113187319207,-0.021410773845970132,-0.007148937463278754,-0.030951233580252518,-0.024267497177272942,-0.06118416828121665,-0.010137649364604477,-0.014071416752993516,-0.01134202650354831,0.00826,0.01,0.0,0.97,100,13,1,14
8,0.9397835600637785,-2.741294302293252,-0.12263838957118946,-0.048592134323667185,-0.027536558161182563,-0.023750681407729998,-0.007885870024866844,-0.03423657758260223,-0.026859969021100123,-0.06626454274946321,-0.011438932604045696,-0.01534834292493602,-0.012630567053954942,0.008059,0.01,0.0,0.97,100,13,1,14
9,0.9418110328835717,-2.7646646060047715,-0.1342414126255782,-0.053045475323693095,-0.03008705793792479,-0.02584351958038705,-0.008665937326323972,-0.03735971767566974,-0.029322944892167004,-0.07293769165666,-0.012359939349338815,-0.017195341536534122,-0.013665992947965834,0.007868,0.01,0.0,0.97,100,13,1,14
10,0.9329872660686087,-2.79083557304689,-0.1478365791392664,-0.05834458344275288,-0.033311693340348635,-0.028458502354293272,-0.009690648542478876,-0.040824856034976736,-0.032533930078496746,-0.07971613390548535,-0.0133432327881122,-0.018705186904853677,-0.015279968486709948,0.007686,0.01,0.0,0.97,100,13,1,14
11,0.9374589874312251,-2.814757867558023,-0.1601781541827056,-0.06317180074565432,-0.036049907336961874,-0.030867750738147508,-0.010467042192053777,-0.04401796425578931,-0.03510126616887352,-0.08671908679767444,-0.014491365380805052,-0.020313226399097908,-0.016609626275961097,0.007513,0.01,0.0,0.97,100,13,1,14
12,0.941086186540732,-2.83659085052381,-0.17145176367721643,-0.06758041278626852,-0.03861348369144116,-0.033084402288015693,-0.011185558429559617,-0.04698875343774397,-0.037451973621615404,-0.09268981899786574,-0.015563368940768763,-0.02162726518921269,-0.0176425423311657,0.007346,0.01,0.0,0.97,100,13,1,14
13,0.9396603900470747,-2.8584942239939837,-0.18253805584518407,-0.07185394196369445,-0.041153939465590254,-0.03508677903421685,-0.011924884132977393,-0.04991377792249313,-0.03980613353020907,-0.09799764645653732,-0.016270887729623467,-0.02277666468843075,-0.01888558004570275,0.007188,0.01,0.0,0.97,100,13,1,14
14,0.9421643346730484,-2.878997422453978,-0.1929696616459823,-0.07590796112363088,-0.04344359053240247,-0.03702309909609546,-0.012567834192503123,-0.05274764173072459,-0.041954914182101656,-0.10357787040611904,-0.01734041989936795,-0.024214291459097828,-0.019838344961246396,0.007035,0.01,0.0,0.97,100,13,1,14
15,0.944606756665995,-2.897980527131739,-0.20247310125192838,-0.07962172242031985,-0.04563647873904548,-0.03881888575958,-0.013251904742918652,-0.05534383725690399,-0.043972200593632826,-0.10869203268659408,-0.018275876192077333,-0.025520990549586724,-0.02069399054420513,0.006889,0.01,0.0,0.97,100,13,1,14
16,0.9413564165055887,-2.917517435308364,-0.21265007827105983,-0.08365446572715227,-0.04802848585213658,-0.04078479527496679,-0.013995711197380457,-0.05816117843166151,-0.04615196106261583,-0.11369432491826482,-0.019110700283479037,-0.026762816451977336,-0.02188222493047441,0.006749,0.01,0.0,0.97,100,13,1,14
17,0.9427219734730083,-2.9342984220631516,-0.22122959670087483,-0.08718844285346464,-0.04997422254047414,-0.04253829494700433,-0.01461220282205018,-0.06068276534432994,-0.04806021481162188,-0.11809747477072179,-0.019987951238339286,-0.027767256332186956,-0.022934496426757947,0.006615,0.01,0.0,0.97,100,13,1,14
18,0.9388241569568768,-2.9540212607560536,-0.23106915671961198,-0.09099698624250957,-0.05212826144302601,-0.044284056611925,-0.015181097023522236,-0.06341331903247967,-0.05014983625108417,-0.12386108028609485,-0.020741232572887933,-0.029236556792085585,-0.023940045732299332,0.006486,0.01,0.0,0.97,100,13,1,14
19,0.9400924007201821,-2.9726501605527997,-0.24045655839746277,-0.09473996908592712,-0.054151268474309316,-0.04612709749911147,-0.015666408956804292,-0.06609769248515582,-0.05217547721124847,-0.1286076460252576,-0.02160143816511427,-0.030458336539191607,-0.024891451830072242,0.006362,0.01,0.0,0.97,100,13,1,14
20,0.9400848533440235,-2.9915759415916816,-0.249995065348764,-0.09839441716261163,-0.056347570848136234,-0.04790294975454603,-0.016332097233769837,-0.06865650424056609,-0.05417250532896244,-0.13304057825473925,-0.022273994826054928,-0.031569068092939044,-0.025904146924678188,0.006242,0.01,0.0,0.97,100,13,1,14
