episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,fleet_broken_fraction,onsite_shortage_pressure,depot_shortage_pressure,late_broken_cargo_pressure,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
21,0.9356853162280032,-3.0070897983939253,-0.25761636784178155,-0.10204096216489876,-0.05774284029703807,-0.049799253527951094,-0.016799035858451487,-0.07149609141343911,-0.05629705362996439,-0.13837648780051479,-0.02321033408548424,-0.03299558497392962,-0.026820903938464438,0.006127,0.01,0.0,0.97,100,13,1,14
22,0.9396350023397286,-3.0249460945124635,-0.2666907107450626,-0.10555341170051619,-0.05987234487080052,-0.051454643421688435,-0.017426799106380664,-0.07398468728418509,-0.05823731704754351,-0.14279883111528782,-0.02398628256983836,-0.034074510382714404,-0.027776864490667946,0.006016,0.01,0.0,0.97,100,13,1,14
23,0.9365181039714112,-3.0439182911325258,-0.2764725484162488,-0.10937428968567725,-0.06204513795863805,-0.05340122431740259,-0.01801022662016708,-0.07651159443424861,-0.06028473700237899,-0.1474202738369654,-0.024702795163291564,-0.03515615322538858,-0.028796563970958377,0.005909,0.01,0.0,0.97,100,13,1,14
24,0.9390922108628326,-3.061790575739684,-0.285736700719793,-0.11299513124863135,-0.06412964648755262,-0.05514987972068102,-0.0186099587386547,-0.07898415409386586,-0.062188506812237136,-0.1524214989052173,-0.025819289985073338,-0.03627320406738259,-0.02963875404880975,0.005806,0.01,0.0,0.97,100,13,1,14
25,0.9381035034798875,-3.0790041783139173,-0.29437281421859185,-0.11632850177187931,-0.06611192836037272,-0.0567350252570353,-0.019161097085500775,-0.08136119771172495,-0.06409869594003087,-0.15698856779934786,-0.026597103419820616,-0.03727296016750925,-0.03033928653994872,0.005706,0.01,0.0,0.97,100,13,1,14
26,0.9341653193209377,-3.097086159309135,-0.3035176626706605,-0.1199349940708453,-0.06818205882720968,-0.05845799728147098,-0.019763400127562565,-0.08404683243771767,-0.06621467649523119,-0.1619345734189213,-0.027339051598278354,-0.038448484125408536,-0.03130667556553329,0.00561,0.01,0.0,0.97,100,13,1,14
27,0.9444481449410511,-3.112298568471802,-0.31125920632806103,-0.12295418645880128,-0.0699090065355509,-0.05984884658587029,-0.020264134104635345,-0.08610043798486795,-0.06781965560072142,-0.16600594174646854,-0.02803857657213406,-0.03941204880108733,-0.03222782974307585,0.005517,0.01,0.0,0.97,100,13,1,14
28,0.9386539205951159,-3.128818760460592,-0.3196361430696822,-0.12623474102868598,-0.07178369914168586,-0.06145023653295399,-0.020806340909727168,-0.08838917198147372,-0.06967098924791566,-0.17052615198747917,-0.028742393401361446,-0.04055850342280218,-0.032930765661187224,0.005426,0.01,0.0,0.97,100,13,1,14
29,0.942435449053699,-3.1439682725029745,-0.3273092013452772,-0.12930514037901608,-0.07346369734459171,-0.0629157912452793,-0.021245656033964434,-0.09057537704768955,-0.07135882309636302,-0.1747147183380107,-0.029525826918425955,-0.041633049304715154,-0.033616798395290824,0.005339,0.01,0.0,0.97,100,13,1,14
30,0.9379405220876713,-3.1600029531938882,-0.3354656537088121,-0.13252739781725006,-0.07530949502242161,-0.06449809628614261,-0.021779501087316074,-0.09282020424449425,-0.07313721492266026,-0.17931805876317736,-0.030302458785081986,-0.04280352516278254,-0.03430241910901059,0.005255,0.01,0.0,0.97,100,13,1,14
31,0.9382976568303059,-3.175516577281596,-0.3433215071908361,-0.1355601153236106,-0.07708047315625983,-0.06601640251440043,-0.022272228241261904,-0.09489960781331518,-0.07477647776535003,-0.182858536281014,-0.03098071045729801,-0.043505911988147815,-0.0351676087183143,0.005173,0.01,0.0,0.97,100,13,1,14
32,0.9404705961331901,-3.1905992035087154,-0.35099192383560973,-0.13850423566110937,-0.07882691747625063,-0.06746541952267299,-0.022781615652341266,-0.09692788323736175,-0.07638239218004632,-0.1866283295193924,-0.03163064208459524,-0.044345410814349374,-0.03604511862485289,0.005094,0.01,0.0,0.97,100,13,1,14
33,0.9377454964106732,-3.2058555377878926,-0.35889476040109564,-0.14155056084259107,-0.08063249346574117,-0.06894167779909707,-0.023358396086804914,-0.09901708592290387,-0.07803978394131271,-0.19066691511169512,-0.03244427035895682,-0.045272898303028636,-0.03676193240333259,0.005017,0.01,0.0,0.97,100,13,1,14
34,0.9384253309075128,-3.220243530051918,-0.3665705670113789,-0.14469267858959564,-0.0823733898337453,-0.07060970362910234,-0.023882463167381674,-0.10111639091479724,-0.07963863986831884,-0.19461230442374658,-0.03323463724152096,-0.04608708507281742,-0.03748987234593965,0.004942,0.01,0.0,0.97,100,13,1,14
35,0.939913000795518,-3.2344176168553673,-0.37382959853432324,-0.1475030426325782,-0.08400989488383015,-0.07192438730733573,-0.024332696514571216,-0.10308663011800329,-0.08107797146217426,-0.19818893854685718,-0.03388596904637184,-0.04688902185728886,-0.038108420186362936,0.00487,0.01,0.0,0.97,100,13,1,14
36,0.9383501535761298,-3.2489832967610024,-0.3812423478279032,-0.15039156644906737,-0.08569536580633177,-0.0733086824112954,-0.024791194086196098,-0.10520814803707841,-0.08270470144948774,-0.2020699007789279,-0.0345890694541567,-0.04774368159497574,-0.038755406028282834,0.004799,0.01,0.0,0.97,100,13,1,14
37,0.9422334801013209,-3.2618868878857388,-0.38785804228509907,-0.15304603821432178,-0.08721207753520652,-0.07463086673423154,-0.025230810505019855,-0.10703442750784145,-0.08412346734062841,-0.20514976535542323,-0.03515510583825881,-0.048467529708881935,-0.039507579078955364,0.004731,0.01,0.0,0.97,100,13,1,14
38,0.9425497633513478,-3.274813619048946,-0.39431732511633416,-0.15554621889145237,-0.08863841120693348,-0.07578323768910887,-0.025646689304662594,-0.10888658862626392,-0.08559045467594736,-0.2085644862664196,-0.035736561107499246,-0.0493461156940478,-0.0401494522871367,0.004665,0.01,0.0,0.97,100,13,1,14
39,0.9420054018688453,-3.2878773599440496,-0.4008189127128903,-0.1580849326922549,-0.09010217758154003,-0.0769856337924567,-0.026081021653579426,-0.11082114139185878,-0.08701796805480744,-0.2122904592483267,-0.03629294530771463,-0.05021824876970696,-0.040737878477114804,0.0046,0.01,0.0,0.97,100,13,1,14
40,0.9349724954159027,-3.3022337729121762,-0.40818017546976504,-0.16097889489271996,-0.0918176365968218,-0.07839062614990999,-0.026586983208796638,-0.11295194530409153,-0.08867760048692779,-0.21589523537425276,-0.03685713769572401,-0.051034494200132126,-0.04163307853756385,0.004537,0.01,0.0,0.97,100,13,1,14
41,0.9413435519924704,-3.315064704485716,-0.41466412677799674,-0.16350145695675986,-0.09324678170924078,-0.07959110618363248,-0.026996715289713452,-0.11478926170009947,-0.09002986108804437,-0.21958601786611368,-0.037503328445622465,-0.05183780447561911,-0.0422356990887155,0.004476,0.01,0.0,0.97,100,13,1,14
42,0.9371268531562353,-3.3285765324980248,-0.42164918247258865,-0.16632983779379085,-0.09482130386519538,-0.08103103499159976,-0.02747744844347597,-0.11676386545860999,-0.09155717149894635,-0.2234058293796865,-0.038251781446196134,-0.05276575217191525,-0.04270008862455746,0.004417,0.01,0.0,0.97,100,13,1,14
43,0.9378627858627858,-3.342010304144184,-0.4283844928666102,-0.16899475518397014,-0.09630853718967655,-0.08233890620848461,-0.027916827092292405,-0.1186972715423784,-0.0930144103024494,-0.2271403344457836,-0.03885557167556579,-0.05371501873304061,-0.0433566101169557,0.004359,0.01,0.0,0.97,100,13,1,14
44,0.942615665822615,-3.3536118197730675,-0.4342714577214485,-0.17137233685247688,-0.0975991977542392,-0.08349420575155095,-0.028284585646628984,-0.12037085689188871,-0.09419964019071524,-0.23046075524258508,-0.03935510989650656,-0.05460428940803407,-0.043985572097489295,0.004302,0.01,0.0,0.97,100,13,1,14
45,0.9395387981821243,-3.364856597170408,-0.4400450084346102,-0.17367235403908188,-0.09888714414732974,-0.08455652702144076,-0.0286452255947874,-0.1219851787919662,-0.09557196979427254,-0.2335444237348788,-0.03985683787418512,-0.05535841033281708,-0.04453101796569947,0.004247,0.01,0.0,0.97,100,13,1,14
46,0.9390033066451818,-3.3774280834123904,-0.4464905428557407,-0.17623157635625517,-0.1002844195350553,-0.08576894957979095,-0.02903588288285339,-0.12371396545988955,-0.09698641213595577,-0.23689994348348709,-0.04034257152813028,-0.05610199771000072,-0.04520708928561772,0.004194,0.01,0.0,0.97,100,13,1,14
47,0.9422315436241611,-3.3888553108926924,-0.4522487545340951,-0.17843099261057366,-0.10158899250215028,-0.08678819905779273,-0.02942306883590666,-0.12526009550101436,-0.09822552326862301,-0.23960727944886823,-0.04084022608933237,-0.05667837030003847,-0.04583427350140075,0.004141,0.01,0.0,0.97,100,13,1,14
48,0.9431283560254684,-3.399950624445588,-0.4578310279583157,-0.1806589472775966,-0.10278686711240335,-0.08787275559159095,-0.0297557142658563,-0.12683794820407526,-0.09942321808387758,-0.24248692433832114,-0.04135943950298334,-0.0573080268757672,-0.04641535726878554,0.00409,0.01,0.0,0.97,100,13,1,14
49,0.9386665319048582,-3.4119810781291293,-0.46386087850662333,-0.18303382774991747,-0.10414695244845668,-0.08900776091555836,-0.0301434888961033,-0.1284906438268403,-0.10072289366270708,-0.24572148769725743,-0.04193660012414495,-0.058042152751559876,-0.046910990531824064,0.004041,0.01,0.0,0.97,100,13,1,14
50,0.9361891338635525,-3.4239861985634295,-0.47008162730435643,-0.1855323463209496,-0.10560916660165949,-0.09022230289353582,-0.030570591984515647,-0.1301768581656777,-0.10217873410793617,-0.24874851492192285,-0.042367921920555614,-0.05875715189335376,-0.047593294138227396,0.003992,0.01,0.0,0.97,100,13,1,14
51,0.9439674041148938,-3.43454773877666,-0.47540618383156574,-0.18757024141448292,-0.10682372556892836,-0.09115293445331851,-0.030945173121618832,-0.13163190855547738,-0.10341373368906688,-0.2514381354567922,-0.04278185002680174,-0.05939062673322267,-0.04807810673592929,0.003945,0.01,0.0,0.97,100,13,1,14
52,0.9378014469453376,-3.446345706216413,-0.4813061694746988,-0.18985765052552508,-0.10818946728018655,-0.09224988446233938,-0.031354679608575534,-0.13326881297709564,-0.1047037309608386,-0.254180561366018,-0.043303900806451974,-0.059953818832523,-0.048752116841534146,0.003898,0.01,0.0,0.97,100,13,1,14
53,0.9406810875971069,-3.457176923674379,-0.4866855517353464,-0.1919734388907632,-0.10934048968809533,-0.09323501734804832,-0.03166681964740188,-0.13472647346008296,-0.10583941308188535,-0.2573442276419012,-0.04380668112665573,-0.06071093252362514,-0.04927718656513758,0.003853,0.01,0.0,0.97,100,13,1,14
54,0.9387436663199221,-3.4682846306041,-0.49240947000586327,-0.19421871819462497,-0.11061244295956162,-0.09432898209953734,-0.03202569755129782,-0.13627548388232164,-0.10709786890002564,-0.26036910078925357,-0.044418079023431076,-0.06137207894715237,-0.049830754192479204,0.003809,0.01,0.0,0.97,100,13,1,14
55,0.9392655603744202,-3.4791991462122427,-0.49789602983412184,-0.19640980238322187,-0.11181140908663882,-0.09540665696193744,-0.03239050822158278,-0.1378647582939348,-0.1082504788674338,-0.26312013931220657,-0.044918262017128056,-0.06196138462243034,-0.05037924850573298,0.003766,0.01,0.0,0.97,100,13,1,14
56,0.9460751312777703,-3.4886127922164625,-0.5026860463490803,-0.1982592352662318,-0.1128836408937417,-0.09630738301135856,-0.032674681102100755,-0.1391987602617798,-0.10921827861480109,-0.26539646303504777,-0.04533581695555764,-0.06243204741954921,-0.0508423879247279,0.003724,0.01,0.0,0.97,100,13,1,14
57,0.9359124920310036,-3.5000234212470036,-0.5084699812775787,-0.20058546033186905,-0.11414105724744968,-0.09742414700688226,-0.032977963838611415,-0.1408045664640565,-0.11050268823264882,-0.26889315702531497,-0.045972388291576634,-0.06333323588638762,-0.05143722388857105,0.003682,0.01,0.0,0.97,100,13,1,14
58,0.9382008304893835,-3.510866698527996,-0.513955408887628,-0.20273734935732693,-0.11540163651410691,-0.09843442807180469,-0.03337158953705324,-0.1423535093256674,-0.11176437370426617,-0.27165160288753143,-0.046464611734274075,-0.06408154353997977,-0.052045128545634714,0.003642,0.01,0.0,0.97,100,13,1,14
59,0.9412003107163363,-3.52096859220534,-0.5190325611215112,-0.2047250407334005,-0.11652620658588123,-0.09937091929148585,-0.03372203122319431,-0.1437485603999439,-0.11284009257289379,-0.27432778100860017,-0.04694148484295311,-0.06467605095736348,-0.052543968298778485,0.003602,0.01,0.0,0.97,100,13,1,14
60,0.9439933691938157,-3.53008724833774,-0.5234968471787086,-0.20650114934893457,-0.11750098227467207,-0.10018393995434716,-0.03400198003742054,-0.14500938379347159,-0.11379616348116425,-0.2765833213666001,-0.047366062687853046,-0.06515868367353927,-0.053015218273859785,0.003564,0.01,0.0,0.97,100,13,1,14
61,0.9407863889074954,-3.5400369323933165,-0.528641120823126,-0.2085413382925441,-0.11865475643880938,-0.1011946773884587,-0.03430968693444509,-0.14640577268272023,-0.1149068501422034,-0.2793530201690577,-0.04779934397733391,-0.06584590786051385,-0.053556504030977774,0.003526,0.01,0.0,0.97,100,13,1,14
62,0.9408036677454154,-3.549426916648406,-0.5333829235836498,-0.21045334790625367,-0.11968032997350372,-0.1020682020538635,-0.03459244091753565,-0.1477149023655011,-0.11592941631367978,-0.2818193883131864,-0.048304272760077704,-0.06643788356914404,-0.0541068503896664,0.003489,0.01,0.0,0.97,100,13,1,14
63,0.9343726974345234,-3.560535141460617,-0.5389749084128871,-0.21266849271368654,-0.12091912250377798,-0.10312324118310767,-0.03494750673278545,-0.14926240057143078,-0.11711924351974384,-0.2848345770881961,-0.0489627711823299,-0.06711392560311723,-0.05467315550146925,0.003453,0.01,0.0,0.97,100,12,1,13
64,0.9369844217994411,-3.571073679496074,-0.5443252927079343,-0.2147606274061383,-0.12214776659134467,-0.10410778892319432,-0.03531702134143237,-0.15071958066213573,-0.11824091235355191,-0.2876744955855576,-0.049497430100600856,-0.06765750864257696,-0.05519916111253976,0.003417,0.01,0.0,0.97,100,13,1,14
65,0.9328182338484328,-3.5818270653342252,-0.5498664387325914,-0.21699966053870096,-0.12341509270381185,-0.10521068005692782,-0.03568410840601299,-0.15233198494009578,-0.11946694768887274,-0.29080734813450987,-0.05008788312830863,-0.068399121574919,-0.05580120373511776,0.003382,0.01,0.0,0.97,100,13,1,14
66,0.9372387044779127,-3.59176628699929,-0.554847453959999,-0.21899246036531675,-0.12451801038726729,-0.10613689903686721,-0.035998504816290924,-0.15378409178117264,-0.1205446742466164,-0.2936958088393903,-0.0506604902017478,-0.06903044260152326,-0.05631814723069061,0.003348,0.01,0.0,0.97,100,13,1,14
67,0.9384934696770274,-3.6015109520979594,-0.559853723743005,-0.22093707447520416,-0.12566655273692245,-0.10708497837794045,-0.03635087928011493,-0.15513457558958607,-0.12161920022690235,-0.29617926194805716,-0.05107098897759383,-0.06964070721983137,-0.05668482801571776,0.003315,0.01,0.0,0.97,100,13,1,14
68,0.9376809411449705,-3.6112697812826187,-0.564880941543381,-0.2228896373769013,-0.12680574583434417,-0.1080232999087142,-0.03665732891324019,-0.15647470772080097,-0.12273230866630232,-0.2985961168837005,-0.05149729350750083,-0.07012444506429612,-0.05723920037027017,0.003282,0.01,0.0,0.97,100,13,1,14
69,0.9417951255514366,-3.6202313097055994,-0.5693949837138647,-0.2247199273328139,-0.1277985646410374,-0.10890649273389244,-0.036946998300977994,-0.1578087882378362,-0.12379186616463493,-0.30124508513704557,-0.05188702902906067,-0.07083553800092222,-0.05770700060496693,0.00325,0.01,0.0,0.97,100,13,1,14
70,0.9431772237196765,-3.6287846567270945,-0.5737815963197619,-0.22641195673499356,-0.12879345564235078,-0.10970568747806872,-0.037252087603232314,-0.15900978926820794,-0.12472352972826727,-0.3035441444909423,-0.052232719849051805,-0.0713924372450207,-0.05814160757069771,0.003219,0.01,0.0,0.97,100,13,1,14
71,0.9404083134081295,-3.6377410990739567,-0.5782274823633236,-0.22816617051582697,-0.12979249578869895,-0.1105399721383927,-0.0375227269092898,-0.16025534588649112,-0.12569602177077824,-0.3059146409315495,-0.05257916897465859,-0.07197603691316795,-0.05856176586001514,0.003188,0.01,0.0,0.97,100,13,1,14
72,0.9391581418748952,-3.6469285090269916,-0.5829805373626689,-0.23004858397916575,-0.1308323887963924,-0.11149468739850786,-0.0377787521916235,-0.1615703454409017,-0.12666264772289462,-0.3085746616621989,-0.05303135459953915,-0.07257188693073276,-0.05891907105246409,0.003157,0.01,0.0,0.97,100,13,1,14
73,0.9371386061610253,-3.6561477837226253,-0.5876431171804359,-0.2319171530058897,-0.1318672330349324,-0.11241090070775209,-0.03806780881626926,-0.16285520726986025,-0.12760522066390526,-0.3109685311958881,-0.0533737080554923,-0.07320694578767066,-0.05932581647826755,0.003128,0.01,0.0,0.97,100,13,1,14
74,0.93979269031433,-3.6646637427659625,-0.5919427493461517,-0.2336365580667312,-0.1328453959797268,-0.11321756250027142,-0.038365036372238405,-0.16402988931607174,-0.12860697456947207,-0.3133402827425628,-0.05382021162032037,-0.07380134412204316,-0.05979641606948128,0.003098,0.01,0.0,0.97,100,13,1,14
75,0.9413413481021208,-3.6730620150027535,-0.5962540975223926,-0.23534963034138148,-0.13382918990367207,-0.11403693926199075,-0.03867860721338785,-0.16516063758966584,-0.12958563443524512,-0.3154460492935849,-0.054238280251129915,-0.0742256413537955,-0.06012121672847431,0.00307,0.01,0.0,0.97,100,13,1,14
76,0.9378268839446379,-3.6806236572207616,-0.6001400021618036,-0.2370115973965979,-0.13474812850767934,-0.1148714247295575,-0.03898755607442044,-0.16638783661913556,-0.1305736252843847,-0.31731289216842173,-0.05464878418133019,-0.0747401240438413,-0.060537641506551276,0.003042,0.01,0.0,0.97,100,13,1,14
77,0.9366462946264569,-3.6898394590326755,-0.6048920068814326,-0.23887922658027935,-0.1358487819557559,-0.1157824481825213,-0.03934157664728615,-0.1676600417633836,-0.13156330817592188,-0.3195708464266942,-0.055038373453347465,-0.07527776217759803,-0.0609503823256229,0.003014,0.01,0.0,0.97,100,13,1,14
78,0.9426416742248648,-3.697890049479717,-0.6089538640516091,-0.24050331867333674,-0.13676508234375817,-0.11654302426882884,-0.03960797591875746,-0.16880894252493772,-0.13246360361969686,-0.3215361685328555,-0.05539241184727618,-0.07568615980804219,-0.06140189582996481,0.002987,0.01,0.0,0.97,100,13,1,14
79,0.9418074869946619,-3.7057748480099106,-0.6129142158072552,-0.24203027860359494,-0.13768713855056847,-0.11727940129209681,-0.0398929602659794,-0.1699112629984191,-0.1333270953281263,-0.32346557120501546,-0.05572365515140837,-0.07612227049448746,-0.06184040205784465,0.00296,0.01,0.0,0.97,100,13,1,14
80,0.9423105990628622,-3.713147735700839,-0.616573441033161,-0.2435290389302782,-0.13844167260004006,-0.11799331587221737,-0.04009821695236887,-0.17098754846884764,-0.13411879314133926,-0.3256572775171109,-0.056194101480601825,-0.076617465142455,-0.06224211474310141,0.002934,0.01,0.0,0.97,100,13,1,14
81,0.937013019655155,-3.7218946334625356,-0.6210448591491737,-0.24531420177243357,-0.13944466162393923,-0.11888496604317492,-0.04037321215649994,-0.17219407371663825,-0.13504741363744627,-0.32794148470601886,-0.056583903518296556,-0.07718614498167418,-0.06269237914226444,0.002909,0.01,0.0,0.97,100,13,1,14
82,0.9396048949870208,-3.7296534282634304,-0.6249963956516909,-0.24698518939957373,-0.1403273397383509,-0.11972135143917821,-0.040617206359234666,-0.17346629490132773,-0.13601644876684743,-0.3298889979321631,-0.05696988322228452,-0.07754509153683256,-0.06318771173340428,0.002883,0.01,0.0,0.97,100,13,1,14
83,0.9414723823848918,-3.737559805424586,-0.6289975567065583,-0.24854232386148473,-0.14124254358440144,-0.12042918693797931,-0.040886327732220104,-0.1745281498903953,-0.13692297945278964,-0.33188627939279014,-0.05729002192637431,-0.07796745149483078,-0.06360547355148526,0.002859,0.01,0.0,0.97,100,13,1,14
84,0.9364835531808315,-3.7461633665496876,-0.6333814359260941,-0.2502965339936985,-0.1422267593099504,-0.12131760551561513,-0.041169788700365674,-0.17568763828270761,-0.13777669033686327,-0.33417549780736333,-0.05769056594784611,-0.07849588174404235,-0.0640728929234417,0.002834,0.01,0.0,0.97,100,13,1,14
85,0.9400179810350969,-3.7539889788551895,-0.6373886846045611,-0.2518466350326411,-0.14314394766738586,-0.12205784225813639,-0.04146319216399304,-0.17678174994670073,-0.1386926998587547,-0.3363665704544725,-0.05804647028396056,-0.07903623977591244,-0.0644458952518497,0.00281,0.01,0.0,0.97,100,13,1,14
86,0.9361839314499024,-3.762289093383884,-0.6416308891794923,-0.25357205040586894,-0.14406115051031693,-0.12289861216287129,-0.041727934645768135,-0.17798461976889446,-0.139665708067929,-0.33892256141765276,-0.058546159429439526,-0.07973519320309409,-0.06482746374460958,0.002787,0.01,0.0,0.97,100,13,1,14
