episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.90660066558523,-2.549715624565119,-0.049715624565118924,-0.02553462330567418,-0.01248004673747928,0.01,0.01,0.0,0.97,100,11,0,11
1,0.9077274867173314,-2.5978461422197516,-0.09784614221975169,-0.050130379482942605,-0.02485263363216416,0.009708,0.01,0.0,0.97,100,11,0,11
2,0.9026772550596435,-2.6472251879460877,-0.14722518794608783,-0.07534519636496353,-0.03725130841484649,0.009432,0.01,0.0,0.97,100,11,0,11
3,0.915212554163251,-2.689394113264773,-0.18939411326477307,-0.09698415994953284,-0.04742782461817665,0.009172,0.01,0.0,0.97,100,11,0,11
4,0.9024418527599232,-2.7361264242485106,-0.23612642424851035,-0.12102890733413299,-0.05974952328154694,0.008925,0.01,0.0,0.97,100,11,0,11
5,0.9071172709316728,-2.779626032470362,-0.27962603247036133,-0.14353807740582597,-0.07071960291491618,0.008692,0.01,0.0,0.97,100,11,0,11
6,0.9031540263987459,-2.823111537337321,-0.32311153733731995,-0.16592543509980665,-0.0819177243590924,0.00847,0.01,0.0,0.97,100,11,0,11
7,0.9059136635254339,-2.8642129524224487,-0.36421295242244733,-0.18708426814311074,-0.09245344317212298,0.00826,0.01,0.0,0.97,100,11,0,11
8,0.9088859124124719,-2.9025458314229358,-0.4025458314229339,-0.206885215629884,-0.10248009327187789,0.008059,0.01,0.0,0.97,100,11,0,11
9,0.9064534532518961,-2.9414486518541887,-0.4414486518541868,-0.226620072744105,-0.11236637468295667,0.007868,0.01,0.0,0.97,100,11,0,11
10,0.8925482424466352,-2.98516419225057,-0.48516419225056817,-0.24944053072041614,-0.12423198428863229,0.007686,0.01,0.0,0.97,100,11,0,11
11,0.9072869992925243,-3.0211776062325155,-0.5211776062325135,-0.2678554372769468,-0.13360483291655909,0.007513,0.01,0.0,0.97,100,11,0,11
12,0.9120671634242556,-3.054856762528012,-0.5548567625280089,-0.284876594930545,-0.14183306827674366,0.007346,0.01,0.0,0.97,100,11,0,11
13,0.9078210881952499,-3.0894311970138584,-0.5894311970138547,-0.3028718063909014,-0.1507543739747005,0.007188,0.01,0.0,0.97,100,11,0,11
14,0.9059234033987016,-3.124093154963567,-0.6240931549635643,-0.320766155815462,-0.15940174620216696,0.007035,0.01,0.0,0.97,100,11,0,11
15,0.9122042027940362,-3.1539775200437425,-0.65397752004374,-0.33591152055823,-0.1667342994671889,0.006889,0.01,0.0,0.97,100,10,0,10
16,0.902549128194801,-3.1876169057585657,-0.6876169057585639,-0.35326457678202816,-0.17563490130603318,0.006749,0.01,0.0,0.97,100,11,0,11
17,0.9109624900778571,-3.217793572533117,-0.7177935725331145,-0.36868623050711646,-0.18325185449387352,0.006615,0.01,0.0,0.97,100,11,0,11
18,0.9117715695426056,-3.2484278066415397,-0.7484278066415369,-0.3841801431848486,-0.1910404724272119,0.006486,0.01,0.0,0.97,100,12,0,12
19,0.9058787590794922,-3.278862842649628,-0.7788628426496252,-0.3998656345612061,-0.19914160603496125,0.006362,0.01,0.0,0.97,100,11,0,11
20,0.9087596680965236,-3.3067215048129843,-0.8067215048129813,-0.41403154897958644,-0.2060342451991598,0.006242,0.01,0.0,0.97,100,10,0,10
21,0.9028647025899353,-3.338643835950486,-0.8386438359504828,-0.43050820507575793,-0.21431407428416616,0.006127,0.01,0.0,0.97,100,12,0,12
22,0.9073934648396326,-3.367087591921898,-0.8670875919218947,-0.44499543983043455,-0.2213420426200153,0.006016,0.01,0.0,0.97,100,11,0,11
23,0.9082403317711318,-3.393302682495847,-0.8933026824958442,-0.4586424460907932,-0.22774792784515763,0.005909,0.01,0.0,0.97,100,10,0,10
24,0.9060232945091514,-3.421920044932445,-0.9219200449324423,-0.47339908678504156,-0.23496878269775018,0.005806,0.01,0.0,0.97,100,11,0,11
25,0.9029181830435369,-3.4497697393399425,-0.9497697393399397,-0.4876611973343994,-0.2419695194345139,0.005706,0.01,0.0,0.97,100,11,0,11
26,0.9014415018437815,-3.478093079110788,-0.9780930791107848,-0.5023994617503262,-0.24954799313752815,0.00561,0.01,0.0,0.97,100,11,0,11
27,0.9023663715636024,-3.5058209669292464,-1.0058209669292428,-0.5165768415101161,-0.25669830899424256,0.005517,0.01,0.0,0.97,100,11,0,11
28,0.9113485320097585,-3.529943252709568,-1.0299432527095638,-0.5289637675154297,-0.2628356950915232,0.005426,0.01,0.0,0.97,100,11,0,11
29,0.9103371805856559,-3.553912834381138,-1.0539128343811337,-0.5414037127667507,-0.2690569854104904,0.005339,0.01,0.0,0.97,100,11,0,11
30,0.9052315317762085,-3.5783024585984733,-1.07830245859847,-0.5539050088943857,-0.27540864492688777,0.005255,0.01,0.0,0.97,100,11,0,11
31,0.9084805236432343,-3.6022076906556113,-1.1022076906556086,-0.5662085835146318,-0.28158350963649,0.005173,0.01,0.0,0.97,100,11,0,11
32,0.903142813903042,-3.6264959929849874,-1.1264959929849845,-0.5788224937249785,-0.2880898193786797,0.005094,0.01,0.0,0.97,100,11,0,11
33,0.9070192665831442,-3.6498382117905086,-1.1498382117905064,-0.5908093833359829,-0.2939530827175882,0.005017,0.01,0.0,0.97,100,11,0,11
34,0.9094204108902623,-3.6723666300439453,-1.172366630043943,-0.602396825345916,-0.2995994987047362,0.004942,0.01,0.0,0.97,100,11,0,11
35,0.9139231940450009,-3.6915368660966252,-1.1915368660966232,-0.6122967527664464,-0.30426617023175945,0.00487,0.01,0.0,0.97,100,10,0,10
36,0.9066612674630492,-3.7139045343259474,-1.2139045343259456,-0.6236716148387279,-0.3099281661591409,0.004799,0.01,0.0,0.97,100,11,0,11
37,0.9117696695581733,-3.734425106086628,-1.2344251060866271,-0.6342189342260053,-0.31502742384400834,0.004731,0.01,0.0,0.97,100,11,0,11
38,0.9113873161579953,-3.75462619292806,-1.25462619292806,-0.6446263191814805,-0.32008698631500365,0.004665,0.01,0.0,0.97,100,11,0,11
39,0.906183976659177,-3.7758770508794157,-1.2758770508794148,-0.6556055174153781,-0.32554169218219686,0.0046,0.01,0.0,0.97,100,11,0,11
40,0.9121590851591358,-3.795508267448398,-1.295508267448397,-0.6655972294923429,-0.33043498910940816,0.004537,0.01,0.0,0.97,100,11,0,11
41,0.9126466534440447,-3.8144056573578133,-1.3144056573578118,-0.6752714032926743,-0.3353089014635924,0.004476,0.01,0.0,0.97,100,11,0,11
42,0.9079785450888367,-3.8345325622755912,-1.3345325622755888,-0.6856410347578645,-0.34055240629989586,0.004417,0.01,0.0,0.97,100,11,0,11
43,0.9081566475430282,-3.8543555976231008,-1.3543555976230983,-0.6958229445474249,-0.3455688154967159,0.004359,0.01,0.0,0.97,100,11,0,11
44,0.9055904785851983,-3.874424094996815,-1.3744240949968127,-0.7061331080917544,-0.3508703042999211,0.004302,0.01,0.0,0.97,100,11,0,11
45,0.9075316551480603,-3.893586387062549,-1.3935863870625482,-0.7161205366156372,-0.3559351162025464,0.004247,0.01,0.0,0.97,100,11,0,11
46,0.9068230241414599,-3.912311778935485,-1.4123117789354844,-0.7257048955489529,-0.3607392284787464,0.004194,0.01,0.0,0.97,100,11,0,11
47,0.9116133250624507,-3.930251829088306,-1.4302518290883057,-0.7348654860278775,-0.365137595942045,0.004141,0.01,0.0,0.97,100,11,0,11
48,0.9001769734205957,-3.950342437195719,-1.4503424371957183,-0.7453547881948008,-0.3703196758941655,0.00409,0.01,0.0,0.97,100,11,0,11
49,0.9081785324031268,-3.9685805325404506,-1.4685805325404497,-0.7548689000761681,-0.37495489060222537,0.004041,0.01,0.0,0.97,100,11,0,11
50,0.9087720475942739,-3.9860859027999704,-1.4860859027999704,-0.7638098736573016,-0.3793414980730376,0.003992,0.01,0.0,0.97,100,11,0,11
51,0.9130295844055367,-4.002537138628678,-1.5025371386286774,-0.7722625321876796,-0.3835308766287324,0.003945,0.01,0.0,0.97,100,11,0,11
52,0.9122653126634166,-4.018766548501108,-1.5187665485011077,-0.7805210348015842,-0.38768814512705363,0.003898,0.01,0.0,0.97,100,11,0,11
53,0.9126296420207427,-4.034852148348238,-1.5348521483482371,-0.7886964006257859,-0.3917011503175196,0.003853,0.01,0.0,0.97,100,11,0,11
54,0.9105416834474426,-4.051310420172538,-1.5513104201725354,-0.7973247523976652,-0.39612445783831185,0.003809,0.01,0.0,0.97,100,11,0,11
55,0.9031734070166625,-4.06905798860991,-1.5690579886099092,-0.8064770643311243,-0.4006012145630904,0.003766,0.01,0.0,0.97,100,11,0,11
56,0.9131690021948337,-4.083791576273677,-1.5837915762736772,-0.8139949672383794,-0.4042453158504584,0.003724,0.01,0.0,0.97,100,10,0,10
57,0.9056334959186068,-4.100712452135411,-1.6007124521354108,-0.8226327495590533,-0.40867144573715064,0.003682,0.01,0.0,0.97,100,11,0,11
58,0.9064459198251954,-4.117167047204917,-1.6171670472049169,-0.831165245059475,-0.41294446570192667,0.003642,0.01,0.0,0.97,100,11,0,11
59,0.9088392661231792,-4.132688791103387,-1.6326887911033872,-0.839122527753312,-0.41675272134330843,0.003602,0.01,0.0,0.97,100,11,0,11
60,0.907570197149441,-4.148339806576778,-1.6483398065767787,-0.8472008988693626,-0.4207547398474385,0.003564,0.01,0.0,0.97,100,11,0,11
61,0.9153852589308124,-4.162535256630628,-1.6625352566306282,-0.8545553938328949,-0.4243975273318292,0.003526,0.01,0.0,0.97,100,11,0,11
62,0.9108789078958456,-4.176967993051286,-1.6769679930512875,-0.8619497833576628,-0.42813413397748257,0.003489,0.01,0.0,0.97,100,11,0,11
63,0.9109363233202242,-4.191673314072564,-1.691673314072566,-0.8694706701176503,-0.43191919262288175,0.003453,0.01,0.0,0.97,100,11,0,11
64,0.9065023658646691,-4.207119332381055,-1.707119332381056,-0.8774180441092272,-0.4358534975846138,0.003417,0.01,0.0,0.97,100,11,0,11
