episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon
0,0.9252303627272271,-4.243502082664486,-2.2090517184031735,-0.9853283171703525,-0.3896599447989614,-0.687565521307476,-0.36423940543271877,0.01,0.01,0.2
1,0.9194633129329477,-8.291390990044272,-4.305079658788034,-1.9364148317688468,-0.7657741169765068,-1.3559049773703162,-0.7045368437564891,0.009708,0.01,0.198006
2,0.9170352499664924,-12.057700655352207,-6.22328321789355,-2.7643139217212225,-1.1181795892438726,-1.9228466534576365,-1.058568910569975,0.009432,0.01,0.196032
3,0.9237782945477055,-15.088019836090758,-7.7803107361032415,-3.4394064609251958,-1.4297363262238945,-2.376943453129315,-1.3284042917480952,0.009172,0.01,0.194078
4,0.9132098601815651,-18.327667082631148,-9.456533997464573,-4.176643272435326,-1.7437410166108458,-2.9151244767835833,-1.636935729758833,0.008925,0.01,0.192143
5,0.9181982524856884,-20.98852545509878,-10.804961524704149,-4.772894025699303,-2.002189090746001,-3.359406393389283,-1.8923930999840384,0.008692,0.01,0.190228
6,0.9224726488090221,-23.20163388203739,-11.934794352076446,-5.284009140690754,-2.2084735329800975,-3.737901766851601,-2.1139983907784505,0.00847,0.01,0.188331
7,0.9141656763135431,-25.50470801806588,-13.100512797386063,-5.831171160875774,-2.421370290599536,-4.128267074854281,-2.3469460811510614,0.00826,0.01,0.186454
8,0.9213136433766806,-27.306698121437858,-14.00859029418058,-6.255289448540434,-2.5861768498613187,-4.433263148967137,-2.5375432867245205,0.008059,0.01,0.184595
9,0.918182428350896,-29.002361931417006,-14.82611092312025,-6.646592037819748,-2.7161897489619493,-4.735496601948646,-2.7315532282355326,0.007868,0.01,0.182755
10,0.9049426464907714,-31.25832246863697,-15.999223926736745,-7.197605032785644,-2.920846334509313,-5.146354848656437,-2.9883912354542357,0.007686,0.01,0.180933
11,0.9244011723882357,-32.553739617874896,-16.626046121523984,-7.511109987591529,-3.0246154618971492,-5.37537714071242,-3.1264705020280665,0.007513,0.01,0.179129
12,0.9253683536194747,-33.55661205841616,-17.08109705393995,-7.732812951294628,-3.1017878013393405,-5.565902110743694,-3.2560869137245283,0.007346,0.01,0.177343
13,0.9198056914258821,-34.74352464166325,-17.646784435035563,-8.02317631067174,-3.187068843974978,-5.780880612699841,-3.3939338638956906,0.007188,0.01,0.175575
14,0.9181862407944843,-35.97996012480945,-18.224335135121883,-8.306760255460128,-3.2798144579934005,-6.02211508842173,-3.5295574734180457,0.007035,0.01,0.173825
15,0.924446978717695,-36.77543333248246,-18.58008459984181,-8.491196394271247,-3.3352544682517484,-6.175922998983722,-3.6243341720611535,0.006889,0.01,0.172092
16,0.9229555790498246,-37.55967607542722,-18.95043571081384,-8.688319613368796,-3.393457997437771,-6.322519180133743,-3.7215479887412104,0.006749,0.01,0.170376
17,0.9161980037493034,-38.58562492972238,-19.437542529259503,-8.926619515536766,-3.476652296694712,-6.524207027475452,-3.846138736571516,0.006615,0.01,0.168678
18,0.920772769702627,-39.447299547059366,-19.836005842478563,-9.13781979395597,-3.532261661921657,-6.718115916298595,-3.9647079272824186,0.006486,0.01,0.166996
19,0.9219672798859548,-40.00599453663707,-20.071486377549522,-9.277029391329137,-3.5623862029494338,-6.847486070993257,-4.064949633518172,0.006362,0.01,0.165332
20,0.9229202206065023,-40.625718646191096,-20.35369293826113,-9.423735648409323,-3.6065772126119566,-6.983930704371617,-4.158831236017379,0.006242,0.01,0.163683
21,0.9175867976051154,-41.528958328596595,-20.783974161036166,-9.64246118767395,-3.669261494047986,-7.177083359760682,-4.273888538937556,0.006127,0.01,0.162052
22,0.9238735799494722,-42.146474238242966,-21.045239828247453,-9.78573678751908,-3.7040956089422608,-7.306340844802447,-4.369012747540023,0.006016,0.01,0.160436
23,0.9237668161434978,-42.598983294460425,-21.248933354369477,-9.911455849416193,-3.733716935551829,-7.416757919740904,-4.448681334414093,0.005909,0.01,0.158837
24,0.9179201331114809,-43.27521941644536,-21.56868995201877,-10.082031279219448,-3.7867886554104073,-7.563202260080383,-4.557958344779389,0.005806,0.01,0.157253
25,0.9213000404367165,-43.75668449597988,-21.770222888782733,-10.1982987475874,-3.8113164575108893,-7.67513063725989,-4.6386225459047346,0.005706,0.01,0.155686
26,0.9244217230975528,-44.13104999786281,-21.90769900987843,-10.301114435223088,-3.8206978487446013,-7.779105496719194,-4.7118502227725605,0.00561,0.01,0.154133
27,0.922302469546695,-44.49226450502407,-22.03506549004632,-10.393836756156153,-3.829382455429442,-7.877653077074385,-4.7852145473640695,0.005517,0.01,0.152597
28,0.9243375115672583,-44.767453875160065,-22.136404203909613,-10.471567377640907,-3.843621432511609,-7.96653489449476,-4.845066909279845,0.005426,0.01,0.151076
29,0.9188884968835576,-45.27212252656323,-22.363836652027278,-10.599274842822078,-3.874656098028559,-8.093370064441636,-4.93502224260642,0.005339,0.01,0.14957
30,0.9180133079847909,-45.7769452532692,-22.582038840994386,-10.721558624008921,-3.9098494093297345,-8.201831040725033,-5.012041376200273,0.005255,0.01,0.148078
31,0.9207787168716366,-46.17079573073593,-22.75457885948167,-10.829100032297248,-3.927336687809735,-8.299273814693086,-5.063094681264639,0.005173,0.01,0.146602
32,0.9229850846659604,-46.49013451977338,-22.875360726731216,-10.916703661894237,-3.935657176229111,-8.391145505682317,-5.127974799667688,0.005094,0.01,0.145141
33,0.9253885484034808,-46.63580808522564,-22.91289624709128,-10.96502610670078,-3.934499057618989,-8.461763768037535,-5.16921425747929,0.005017,0.01,0.143694
34,0.9217471187573075,-46.94657829062047,-23.040118758013246,-11.054822688049915,-3.9400827776010567,-8.532118863244012,-5.229285840207485,0.004942,0.01,0.142261
35,0.920436474369819,-47.2933595841237,-23.17480348765366,-11.147681444936165,-3.954111553485226,-8.63190530029531,-5.302980026511192,0.00487,0.01,0.140843
36,0.9174765472092866,-47.70940178667817,-23.36739776901771,-11.260754400703117,-3.978105285031602,-8.74117709615094,-5.3684583873917715,0.004799,0.01,0.139439
37,0.9227731461167179,-48.065763466981196,-23.492580935188297,-11.350799673206987,-3.992431990983314,-8.840125124445466,-5.436371534589231,0.004731,0.01,0.138049
38,0.9282053000100505,-48.23833774941011,-23.54154961606093,-11.39556764095097,-3.9919017375287136,-8.896103875046242,-5.484306483300234,0.004665,0.01,0.136673
39,0.9216271504745297,-48.48752133045058,-23.615672057258568,-11.460848537894044,-3.9913862763417343,-8.9779292878628,-5.550553956973813,0.0046,0.01,0.13531
40,0.9192430299043668,-48.80442918415581,-23.733491696927715,-11.541975690749831,-4.004668749847019,-9.038408245825066,-5.607696641279578,0.004537,0.01,0.133961
41,0.9199919319595253,-49.07595188719964,-23.822235831792227,-11.607197587137826,-4.01125999244049,-9.13256170542607,-5.664858371651728,0.004476,0.01,0.132626
42,0.924941334227288,-49.285724030756406,-23.886403069341288,-11.664270004013739,-4.0108115397277215,-9.205198461509262,-5.715007275991167,0.004417,0.01,0.131304
43,0.914891494138189,-49.70536106423953,-24.06458421380908,-11.77638473359397,-4.025901286475652,-9.310521798047398,-5.7813084109989665,0.004359,0.01,0.129995
44,0.9239124968569273,-49.87165867220187,-24.1093263909862,-11.818191915084151,-4.020454294192496,-9.375241308056887,-5.822665903881739,0.004302,0.01,0.128699
45,0.9225142511224336,-50.04759942313102,-24.16566047222743,-11.86486713143826,-4.020078989765102,-9.448697045277676,-5.881559497751672,0.004247,0.01,0.127416
46,0.925763752579395,-50.13680465510656,-24.174880445572718,-11.904859280690973,-4.009562489804182,-9.491738521450603,-5.92182505181125,0.004194,0.01,0.126145
47,0.922862843060003,-50.36671259866429,-24.249464946694072,-11.970221622670143,-4.010127368625132,-9.563533921431926,-5.97539064441393,0.004141,0.01,0.124888
48,0.916405102177107,-50.74248539984814,-24.42094206691305,-12.070722829491688,-4.034266524690522,-9.654488625461621,-6.039897540937496,0.00409,0.01,0.123643
49,0.9240480793477347,-50.863015948205444,-24.457920925721943,-12.11305671669957,-4.033787406183392,-9.718878554735614,-6.088462246898284,0.004041,0.01,0.12241
50,0.9242116569050296,-51.0449450969355,-24.512242346840765,-12.16709555108078,-4.031197034794448,-9.774429460646502,-6.133664460512771,0.003992,0.01,0.12119
51,0.9238273037657467,-51.14963841807787,-24.533887981462854,-12.198527392130096,-4.028382919274583,-9.827484442740573,-6.1714403171373755,0.003945,0.01,0.119982
52,0.927227948246487,-51.16456202968911,-24.493363272629413,-12.209895566205022,-4.012544522157928,-9.867153830884776,-6.207972923459253,0.003898,0.01,0.118786
53,0.9163098026095684,-51.463714395893625,-24.62247726088978,-12.280631813853251,-4.028589662249287,-9.936760449283412,-6.252390256565904,0.003853,0.01,0.117601
54,0.9242180158410525,-51.62822306878294,-24.680363038472557,-12.330773679413632,-4.030905986245511,-9.981478100616037,-6.295255052739052,0.003809,0.01,0.116429
55,0.9182449970694131,-51.85397049821178,-24.762944464798277,-12.386622664964303,-4.038024905637283,-10.048835356550695,-6.338856618067585,0.003766,0.01,0.115268
56,0.9246834374472396,-51.854552645285665,-24.721366804542388,-12.392641474202888,-4.019445157685549,-10.08186552551514,-6.3649222878110105,0.003724,0.01,0.114119
57,0.9168300900085483,-52.230848984445906,-24.881203713870544,-12.491309772527469,-4.038753760066357,-10.16839419571694,-6.436336617018598,0.003682,0.01,0.112982
