episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon
58,0.9258425077737625,-52.26696347064446,-24.867633080313354,-12.508851155741958,-4.028319377856058,-10.209263331692492,-6.4702880850087325,0.003642,0.01,0.111855
59,0.9246712913734029,-52.38175701445976,-24.889308644290274,-12.539104307415046,-4.0241094426440815,-10.265288893234208,-6.508834234329056,0.003602,0.01,0.11074
60,0.9210890159597167,-52.52823191485771,-24.93877587053578,-12.58222667119444,-4.026876790297412,-10.310375100596518,-6.54955990385345,0.003564,0.01,0.109636
61,0.9267296912908893,-52.61700563758133,-24.962931032531692,-12.615393814489407,-4.026291139829166,-10.34035116083107,-6.58352663357289,0.003526,0.01,0.108543
62,0.9209572764809977,-52.792780053345574,-25.035874986455877,-12.679105093944424,-4.030985422190473,-10.401235026603011,-6.626879957290292,0.003489,0.01,0.107461
63,0.9240398293029872,-52.88095732658211,-25.054410631413667,-12.713162332290816,-4.0245063438549735,-10.44171208857213,-6.659084779611279,0.003453,0.01,0.10639
64,0.9258974401845876,-52.9673951048644,-25.066998737514385,-12.735127909478383,-4.020093460840728,-10.476688406699889,-6.685696650872423,0.003417,0.01,0.105329
65,0.9221191652384313,-53.05217046369813,-25.092440405644986,-12.76425575951589,-4.0212613007082565,-10.524638002563153,-6.7233668660845645,0.003382,0.01,0.104279
66,0.9234603957903218,-53.19992513343723,-25.129393979367766,-12.8057916727617,-4.019794481483546,-10.575133159742212,-6.760621083782084,0.003348,0.01,0.10324
67,0.9260602584432673,-53.26346089124358,-25.128606589030976,-12.828933603273104,-4.010608863052727,-10.602451678998607,-6.785510366242845,0.003315,0.01,0.10221
68,0.9211051986638242,-53.41171849051918,-25.17789637160887,-12.867937302236717,-4.011735616752658,-10.646127072273012,-6.818189998313155,0.003282,0.01,0.101191
69,0.9232355060925532,-53.539473466581434,-25.219983015699253,-12.903962354564477,-4.009744693780863,-10.693228194675267,-6.856674106770931,0.00325,0.01,0.100183
70,0.9271899502571452,-53.56541114489088,-25.209953177964294,-12.920789950062394,-4.002881279551762,-10.720381389800774,-6.878101446383456,0.003219,0.01,0.099184
71,0.9223015329065044,-53.751248154761974,-25.26848931687742,-12.961567058096948,-4.003488417263556,-10.771458884616356,-6.913374746404696,0.003188,0.01,0.098195
72,0.9220703059548943,-53.86385652567532,-25.296290708330783,-12.997785028989547,-3.999277853913589,-10.806533832401131,-6.943082016114827,0.003157,0.01,0.097216
73,0.9206482916638588,-53.953974795473655,-25.315562074170963,-13.029481249375372,-3.9940310210220873,-10.839876343778926,-6.970277562559671,0.003128,0.01,0.096247
74,0.9208546748482851,-54.111608082017,-25.3700602664979,-13.069452097342586,-3.997252466239104,-10.884357299850121,-7.008371258027994,0.003098,0.01,0.095288
75,0.9285205293518832,-54.10739861616239,-25.34628051843632,-13.078627208225063,-3.985927654472176,-10.9083643753198,-7.03031486474962,0.00307,0.01,0.094338
76,0.926472586452884,-54.1578597822819,-25.341437881917663,-13.10192317043203,-3.977259235771077,-10.936237353143001,-7.055935124577445,0.003042,0.01,0.093397
77,0.9206293589615243,-54.290942964143774,-25.37704829495223,-13.132890699699333,-3.9720589837730067,-10.98384645389592,-7.095739449005929,0.003014,0.01,0.092466
78,0.9268907139618079,-54.31389373434162,-25.361767645166665,-13.141206098008633,-3.965006067522658,-11.008464295227231,-7.117805573384218,0.002987,0.01,0.091544
79,0.9254634113189595,-54.346816526583574,-25.347094680367533,-13.151898159804784,-3.954333301152023,-11.040774152922708,-7.14545890382811,0.00296,0.01,0.090632
80,0.9232732278969813,-54.45994675561483,-25.38481438189065,-13.181624452236788,-3.9574699676061162,-11.071385870873796,-7.166034550262276,0.002934,0.01,0.089728
81,0.9227931266846361,-54.57372138602594,-25.420259609352723,-13.206493965463528,-3.959964334590533,-11.111480936812114,-7.198882138332719,0.002909,0.01,0.088834
82,0.927145624526236,-54.60565246696266,-25.411350187513676,-13.22417610029032,-3.9499030179950414,-11.151944661965732,-7.232368775879342,0.002883,0.01,0.087948
83,0.9189420942901338,-54.7869724369016,-25.478806303152783,-13.274712570053897,-3.952077114179703,-11.195774165233566,-7.268282939349268,0.002859,0.01,0.087071
84,0.921687547771759,-54.91671699908899,-25.511930106411544,-13.30290494854703,-3.9496061806951643,-11.226363915943601,-7.295851364382039,0.002834,0.01,0.086203
85,0.9177249392056201,-55.158304514517226,-25.60637008318559,-13.358778921393954,-3.9599643074837654,-11.291782061974883,-7.339785557185355,0.00281,0.01,0.085344
86,0.9182800807696876,-55.326192370047906,-25.6640646404774,-13.398086861473725,-3.965333893584147,-11.336421555901628,-7.377023421686338,0.002787,0.01,0.084493
87,0.9191900520920854,-55.518928799969075,-25.740168394470384,-13.450333434901996,-3.9715146214256634,-11.397831286060912,-7.416474127974368,0.002763,0.01,0.083651
88,0.9212938733476271,-55.609938086198795,-25.762931796058396,-13.483248548201658,-3.967813499830247,-11.4312177817004,-7.438463828803906,0.002741,0.01,0.082817
89,0.9198251712848898,-55.74352112735708,-25.80696853182911,-13.526393328234608,-3.9666476332218363,-11.48699373873683,-7.481012721009081,0.002718,0.01,0.081991
90,0.9246125690491781,-55.846369143441024,-25.838214000039258,-13.553036251848386,-3.964431824242788,-11.535906660509616,-7.520182084548659,0.002696,0.01,0.081174
91,0.9291030889467808,-55.816924311647696,-25.79843278706995,-13.555049298752213,-3.9493228883827194,-11.54618665158413,-7.533441446054045,0.002674,0.01,0.080365
92,0.9191566530515397,-55.95368858226516,-25.848246437835527,-13.590553136068829,-3.953145411157213,-11.587750641693395,-7.567418756769525,0.002653,0.01,0.079563
93,0.9218838787311562,-56.042118917401375,-25.871497992654547,-13.610539666151956,-3.95093352171474,-11.611295239472408,-7.588081356105058,0.002632,0.01,0.07877
94,0.9265059425049944,-56.09891702946043,-25.874304067549538,-13.628746215578836,-3.9469654770653237,-11.642132644067093,-7.613637730460557,0.002611,0.01,0.077985
95,0.9179681602388821,-56.26721647233802,-25.928700701710024,-13.673839584766203,-3.949678097247877,-11.69103634530952,-7.649410842484262,0.002591,0.01,0.077207
96,0.9217285576776939,-56.36010539457276,-25.9502474012453,-13.697495557905778,-3.9471433249214387,-11.729558207339718,-7.677741264474127,0.002571,0.01,0.076438
97,0.9175579696761086,-56.51656718862906,-26.008114902700623,-13.741332179667081,-3.950544691317818,-11.771238331631467,-7.710145183524925,0.002551,0.01,0.075676
98,0.9260057955387829,-56.56988748215145,-26.00977229251305,-13.759771906206547,-3.946063500083424,-11.802343498085833,-7.738903509370076,0.002532,0.01,0.074921
99,0.9296349623104938,-56.50058825228455,-25.946978597464582,-13.751810714359546,-3.930146636389514,-11.800744417251563,-7.752470834253965,0.002513,0.01,0.074174
100,0.918857562555294,-56.63956138486422,-25.98961048067502,-13.78683410660881,-3.9302243806856914,-11.838479390276621,-7.779253853521524,0.002494,0.01,0.073435
101,0.9200189144459081,-56.74075818497692,-26.017865895056655,-13.809376293944466,-3.929554114182078,-11.872964446705263,-7.806297572284444,0.002475,0.01,0.072703
102,0.9252970852957444,-56.81506209873247,-26.030626198957222,-13.83203459543979,-3.922696571088476,-11.911639075890765,-7.835700065521381,0.002457,0.01,0.071978
103,0.9272321504049233,-56.81544726555385,-26.008624680814815,-13.836561331224065,-3.9122917638856345,-11.929259642843132,-7.855770880654909,0.002439,0.01,0.071261
104,0.9207512366898634,-56.92005889695979,-26.04559823812055,-13.86966814753942,-3.914957842661064,-11.969678203799953,-7.892574242845109,0.002421,0.01,0.07055
105,0.9209366759021264,-57.04554172348573,-26.085974483526876,-13.902849081449373,-3.911750610999684,-12.010222703524494,-7.9217891432966,0.002404,0.01,0.069847
106,0.9232265155998985,-57.14442460813748,-26.121087899645445,-13.932268632233313,-3.9100115304049927,-12.041783019978913,-7.952301671402448,0.002386,0.01,0.06915
107,0.9259542243955446,-57.151685687130794,-26.097024626680845,-13.938774274684802,-3.8981316236488306,-12.081380683311817,-7.977685297322313,0.002369,0.01,0.068461
108,0.9193733664075117,-57.28651002944804,-26.14323133867304,-13.973657948414054,-3.8991647068765407,-12.12099910191986,-8.00368718137031,0.002352,0.01,0.067779
109,0.9258214069744003,-57.345037474129036,-26.14927229354443,-13.988998784509544,-3.892871597389038,-12.142127534685162,-8.024577065417208,0.002336,0.01,0.067103
110,0.9253751475299274,-57.36092340228888,-26.135885511234385,-13.995496876334022,-3.8851035287942275,-12.161014907473335,-8.044872358074626,0.00232,0.01,0.066434
111,0.9233156404212383,-57.41859557602429,-26.141290280537476,-14.010615651500949,-3.879598414099935,-12.179732536290599,-8.06394002630135,0.002304,0.01,0.065772
112,0.918525231166826,-57.55025277123371,-26.183958294539465,-14.0461755437248,-3.8818715803704715,-12.216430218913047,-8.096129572405495,0.002288,0.01,0.065116
113,0.9256785683705797,-57.55247248644163,-26.150847425666388,-14.049981110821845,-3.8685260429401094,-12.240624788134001,-8.117227240635128,0.002272,0.01,0.064467
114,0.9181763183544517,-57.68627628796899,-26.20062806550526,-14.086179547382281,-3.8715913003831877,-12.284833176400006,-8.149022782513608,0.002257,0.01,0.063824
115,0.928304881549398,-57.701008504072085,-26.18711871148866,-14.096845430242707,-3.8645710357383245,-12.314316683898673,-8.170217941439214,0.002241,0.01,0.063188
116,0.9247125558329512,-57.726296070399606,-26.17486468298864,-14.104214352441947,-3.8573856295381432,-12.333326720527142,-8.18791456073521,0.002226,0.01,0.062558
117,0.9222625529340593,-57.81957182086425,-26.20291364287361,-14.132106965378416,-3.8580507241563784,-12.362242748026807,-8.211817615402323,0.002212,0.01,0.061934
118,0.9191803829358415,-57.9193919850245,-26.239772340607104,-14.162241984615413,-3.8604963947809807,-12.3974222837809,-8.239840855501642,0.002197,0.01,0.061317
119,0.9255519338687456,-57.93918685271856,-26.229110237318586,-14.169967098063628,-3.855198102564187,-12.407292107679671,-8.254195217786243,0.002182,0.01,0.060706
120,0.9277546777546778,-57.93709342939343,-26.20411008991795,-14.16906613020738,-3.843229442470216,-12.424169324738536,-8.269362736605522,0.002168,0.01,0.0601
121,0.9242296256250845,-57.99445314932565,-26.20945275279903,-14.186051970904618,-3.8389386507359538,-12.461379495276146,-8.293218410570455,0.002154,0.01,0.059501
122,0.915608625554212,-58.163486867899564,-26.284378519106642,-14.231747450095526,-3.846913395942069,-12.505523280242079,-8.32482984061283,0.00214,0.01,0.058908
123,0.9231103606239446,-58.23998501594354,-26.298237417499962,-14.253923403884578,-3.84416769396512,-12.5348450396635,-8.347860186386484,0.002127,0.01,0.058321
124,0.915773739545195,-58.394856646169615,-26.366468821584,-14.295631382040709,-3.8515036275108194,-12.57945277514266,-8.3772051817425,0.002113,0.01,0.057739
125,0.921742089145968,-58.476075293206996,-26.390019537805568,-14.31762180447494,-3.851855109719607,-12.607596405181818,-8.399519103994674,0.0021,0.01,0.057164
126,0.919734409144394,-58.587740442264014,-26.442419517585453,-14.350646697780162,-3.8585568952079403,-12.634439353008641,-8.422271565073366,0.002087,0.01,0.056594
127,0.9234078447912273,-58.601267308903296,-26.43087774065247,-14.357085031764642,-3.852070525269218,-12.648987963137623,-8.439757021781446,0.002074,0.01,0.05603
128,0.9200687939354473,-58.698850537197714,-26.46255439531758,-14.382938046868878,-3.85349100639326,-12.683497028097802,-8.46575966520737,0.002061,0.01,0.055471
129,0.9263019870221565,-58.719025533710756,-26.457327670185833,-14.39124767460973,-3.848690107736892,-12.706056144694099,-8.485628836034387,0.002048,0.01,0.054918
130,0.9250619184684383,-58.76591520517815,-26.464315965455167,-14.408407423997797,-3.8452037735413263,-12.734384895966986,-8.509560210483622,0.002035,0.01,0.054371
131,0.926716172171634,-58.78882479162321,-26.4561059101875,-14.417052546809845,-3.837700921412555,-12.75350976330052,-8.525739477562754,0.002023,0.01,0.053829
132,0.9232068498419653,-58.8303314629917,-26.453086481066514,-14.427044962355367,-3.831919816035607,-12.777496759711306,-8.549378717722275,0.002011,0.01,0.053292
133,0.9225459087226573,-58.90140536203096,-26.47216281126651,-14.445051983237192,-3.8312237893924452,-12.798549973045452,-8.56855865990977,0.001999,0.01,0.052761
134,0.9223909498573175,-58.93859659054394,-26.472656345324516,-14.457070189548308,-3.8267434861597396,-12.819791748210566,-8.586677663082321,0.001987,0.01,0.052235
135,0.9188204946639017,-59.02990157502406,-26.510048354428747,-14.482851503687419,-3.828552931943518,-12.848898425756206,-8.611050366404978,0.001975,0.01,0.051714
136,0.9245732700021819,-59.09301343409322,-26.522862600486512,-14.497764641524295,-3.827335910833847,-12.872456242157341,-8.627891303741459,0.001963,0.01,0.051198
137,0.9227278135676769,-59.15986719553927,-26.537705093041442,-14.51156516135925,-3.8263045863548166,-12.898855704816306,-8.644779778242066,0.001952,0.01,0.050688
138,0.9247861814522891,-59.201291439618586,-26.54043905471509,-14.52961739516844,-3.821051957814902,-12.9304262091907,-8.671981234656903,0.00194,0.01,0.050183
139,0.9253354590142155,-59.21005755358304,-26.521782300963682,-14.533133675554756,-3.811908717494307,-12.943809942173116,-8.684208082341307,0.001929,0.01,0.049682
140,0.9205099740976217,-59.28059238033234,-26.542093917174995,-14.550174219924576,-3.809789874257897,-12.968124341956191,-8.703962159997218,0.001918,0.01,0.049187
141,0.9286687639844552,-59.25041627643579,-26.507940208132908,-14.545186499636227,-3.798346101219286,-12.974620479197247,-8.71405876269104,0.001907,0.01,0.048697
142,0.9280933096823856,-59.255207703496495,-26.49285859663588,-14.55249197251382,-3.7898793586090935,-12.995552128769466,-8.732375858957717,0.001896,0.01,0.048211
143,0.9195024759491138,-59.34423838255487,-26.519981518060785,-14.577973751952042,-3.789485004327474,-13.027719470824483,-8.759489074434502,0.001885,0.01,0.047731
144,0.9240065305572854,-59.38560444560602,-26.520324210571566,-14.590420682731422,-3.784514308516779,-13.04844540808771,-8.780312409474679,0.001875,0.01,0.047255
145,0.9198593965488244,-59.49499053872069,-26.566085445845662,-14.619860056278057,-3.7891053331288713,-13.080921590268716,-8.80424790957915,0.001864,0.01,0.046784
146,0.9225845370153155,-59.561445290300384,-26.578142592740434,-14.633352204236969,-3.785931324907295,-13.105206552540375,-8.82723748691448,0.001854,0.01,0.046317
147,0.9224616113102888,-59.62254588674129,-26.59349839267454,-14.651089528070727,-3.785193259843134,-13.129573134665092,-8.850707538619828,0.001843,0.01,0.045856
148,0.9264715878194671,-59.63892080814192,-26.59172796862221,-14.659103841888477,-3.7809854956596247,-13.14350829203346,-8.868501371019851,0.001833,0.01,0.045399
149,0.9266414459857083,-59.655285019539406,-26.58339326819909,-14.668695662286801,-3.7743274703410656,-13.160466328032252,-8.885045822681152,0.001823,0.01,0.044946
150,0.930165500767787,-59.61222447878291,-26.544505702190182,-14.668379903929473,-3.7606254758926156,-13.170308892265272,-8.897270514203559,0.001813,0.01,0.044498
151,0.9244273532854038,-59.651576617314134,-26.544688362704825,-14.680939791913872,-3.7558036547874507,-13.188765593939593,-8.917386108351305,0.001803,0.01,0.044054
152,0.9142728305164005,-59.81341382781837,-26.60819651664881,-14.72254260853199,-3.7600470010774596,-13.223742609369399,-8.949471689959639,0.001794,0.01,0.043615
153,0.929580511506398,-59.81146303146273,-26.59389167432117,-14.725308943880142,-3.751745808743542,-13.244600557148202,-8.96705475086441,0.001784,0.01,0.04318
154,0.9250821904160994,-59.85882460288135,-26.604768425055834,-14.741303377086357,-3.749266340560597,-13.27211671731851,-8.989014414385554,0.001774,0.01,0.04275
155,0.9185910698791964,-59.96365501106236,-26.645645687970408,-14.77025175697758,-3.752783490383876,-13.305682075235412,-9.016000240133545,0.001765,0.01,0.042324
156,0.9192215898659812,-60.06136802176228,-26.67958037041947,-14.797368072746696,-3.75306297078464,-13.341365666170653,-9.040726069869006,0.001756,0.01,0.041902
157,0.9251662877831102,-60.093048596513995,-26.67757069350805,-14.807924277196323,-3.7482280700573813,-13.369746639568795,-9.063847151237205,0.001746,0.01,0.041484
158,0.9236335487345181,-60.12582936589827,-26.674773176481462,-14.820140484581696,-3.742426350695354,-13.389563038082905,-9.082955208576376,0.001737,0.01,0.04107
159,0.9210615567237579,-60.19390951304724,-26.700311714502508,-14.841386649331346,-3.7425356993211296,-13.421469169800602,-9.102559233408519,0.001728,0.01,0.040661
160,0.9232289398760677,-60.24190705491384,-26.710289404768265,-14.854306280254294,-3.742210892494029,-13.434256885120382,-9.113795832762825,0.001719,0.01,0.040256
161,0.9265297195444069,-60.24326628337536,-26.691083087368735,-14.854012950526185,-3.7345568720593034,-13.44941972899518,-9.127375388770846,0.001711,0.01,0.039854
162,0.9250509714054628,-60.282809479289114,-26.695654843835595,-14.866024027145635,-3.729643313020706,-13.470801078895677,-9.144232537403035,0.001702,0.01,0.039457
163,0.918361163479666,-60.39350212152288,-26.74757447130499,-14.900505211746935,-3.7345220998559396,-13.509383506112698,-9.170908041835364,0.001693,0.01,0.039064
164,0.914025024319882,-60.523088459994135,-26.801312678052607,-14.933313419769977,-3.7386682247132947,-13.546784878817839,-9.194755092216942,0.001685,0.01,0.038674
165,0.9212865713277429,-60.58659295840036,-26.822685891420257,-14.953700115206042,-3.7372227756621377,-13.580404253493185,-9.221121102801296,0.001676,0.01,0.038289
166,0.9303913264441809,-60.557981504936876,-26.798094021238388,-14.95591792383115,-3.727794435544858,-13.593238318734667,-9.23335117479979,0.001668,0.01,0.037907
167,0.9202511826798431,-60.63266124231712,-26.821489619686446,-14.975715086119996,-3.7275650303585035,-13.617083162225498,-9.255822357674933,0.001659,0.01,0.037529
168,0.9218723662475138,-60.68314896955277,-26.827878899266906,-14.987569358505938,-3.7243265627978364,-13.63832882746791,-9.275054146459716,0.001651,0.01,0.037155
169,0.9212304707102472,-60.76469903735303,-26.855280706219027,-15.009695583645959,-3.7236347393414557,-13.662420825197202,-9.293786942375451,0.001643,0.01,0.036785
170,0.9220729108997265,-60.83035240082547,-26.87287724616598,-15.026940269771108,-3.7216582560078297,-13.690247909620378,-9.314593270360207,0.001635,0.01,0.036418
171,0.9253507951356408,-60.83968405033162,-26.860368541234816,-15.030649683529433,-3.715678284232677,-13.703757662125899,-9.331786979196558,0.001627,0.01,0.036055
172,0.9204756409613165,-60.92099528574186,-26.885033315926943,-15.051109848772361,-3.715926466655663,-13.731241652085698,-9.354152885874935,0.001619,0.01,0.035695
173,0.9274723460458973,-60.94891437747737,-26.886696617229223,-15.06019634607581,-3.7113107992545893,-13.748810974652612,-9.36707990258127,0.001611,0.01,0.035339
