Time;Failed events;accumulated solution time;branch1;branch2;branch3;branch4;branch5;events;long_congestion;number of problems solved;roaming distance for bikes;roaming distance for locks;roaming for bikes;short_congestion;starvation;trips;
Mon 07:00.000000;;1.0870635509490967;;;;;1;2;;1;;;;;;1;
Mon 07:01.000000;;1.0870635509490967;;;;;1;6;;1;;;;;;3;
Mon 07:02.000000;;1.0870635509490967;;;;;1;8;;1;;;;;;4;
Mon 07:03.000000;;1.0870635509490967;;;;;1;10;;1;;;;;;5;
Mon 07:04.000000;;1.0870635509490967;;;;;1;16;;1;;;;;;8;
Mon 07:04.929402;;2.084258556365967;;;;;2;16;;2;;;;;;8;
Mon 07:05.000000;;2.084258556365967;;;;;2;18;;2;;;;;;9;
Mon 07:06.000000;;2.084258556365967;;;;;2;22;;2;;;;;;11;
Mon 07:07.000000;;2.084258556365967;;;;;2;26;;2;;;;;;13;
Mon 07:08.000000;;2.084258556365967;;;;;2;30;;2;;;;;;15;
Mon 07:09.000000;;2.084258556365967;;;;;2;34;;2;;;;;;17;
Mon 07:10.000000;;2.084258556365967;;;;;2;36;;2;;;;;;18;
Mon 07:10.279199;;2.8817293643951416;;1;;;2;36;;3;;;;;;18;
Mon 07:13.000000;;2.8817293643951416;;1;;;2;38;;3;;;;;;19;
Mon 07:14.000000;;2.8817293643951416;;1;;;2;42;;3;;;;;;21;
Mon 07:17.303993;;3.709641456604004;;1;1;;2;42;;4;;;;;;21;
Mon 07:18.000000;;3.709641456604004;;1;1;;2;48;;4;;;;;;24;
Mon 07:19.000000;;3.709641456604004;;1;1;;2;50;;4;;;;;;25;
Mon 07:21.000000;;3.709641456604004;;1;1;;2;52;;4;;;;;;26;
Mon 07:23.000000;;3.709641456604004;;1;1;;2;54;;4;;;;;;27;
Mon 07:25.000000;;3.709641456604004;;1;1;;2;56;;4;;;;;;28;
Mon 07:26.000000;;3.709641456604004;;1;1;;2;58;;4;;;;;;29;
Mon 07:26.520997;;4.4613730907440186;;1;1;1;2;58;;5;;;;;;29;
Mon 07:27.000000;;4.4613730907440186;;1;1;1;2;60;;5;;;;;;30;
Mon 07:28.000000;;4.4613730907440186;;1;1;1;2;62;;5;;;;;;31;
Mon 07:29.000000;;4.4613730907440186;;1;1;1;2;64;;5;;;;;;32;
Mon 07:32.000000;;4.4613730907440186;;1;1;1;2;66;;5;;;;;;33;
Mon 07:33.793441;;5.236048221588135;;1;1;1;3;66;;6;;;;;;33;
Mon 07:35.000000;;5.236048221588135;;1;1;1;3;68;;6;;;;;;34;
Mon 07:36.000000;;5.236048221588135;;1;1;1;3;70;;6;;;;;;35;
Mon 07:38.000000;;5.236048221588135;;1;1;1;3;74;;6;;;;;;37;
Mon 07:39.000000;;5.236048221588135;;1;1;1;3;78;;6;;;;;;39;
Mon 07:40.000000;;5.236048221588135;;1;1;1;3;82;;6;;;;;;41;
Mon 07:41.000000;;5.236048221588135;;1;1;1;3;84;;6;;;;;;42;
Mon 07:43.759742;;6.027576923370361;1;1;1;1;3;84;;7;;;;;;42;
Mon 07:44.000000;;6.027576923370361;1;1;1;1;3;86;;7;;;;;;43;
Mon 07:46.000000;;6.027576923370361;1;1;1;1;3;90;;7;;;;;;45;
Mon 07:49.000000;;6.027576923370361;1;1;1;1;3;92;;7;;;;;;46;
Mon 07:51.000000;;6.027576923370361;1;1;1;1;3;96;;7;;;;;;48;
Mon 07:51.273170;;6.74985671043396;2;1;1;1;3;96;;8;;;;;;48;
Mon 07:52.000000;;6.74985671043396;2;1;1;1;3;98;;8;;;;;;49;
Mon 07:53.000000;;6.74985671043396;2;1;1;1;3;100;;8;;;;;;50;
Mon 07:54.000000;;6.74985671043396;2;1;1;1;3;106;;8;;;;;;53;
Mon 07:55.000000;;6.74985671043396;2;1;1;1;3;108;;8;;;;;;54;
Mon 07:56.317060;;7.401945114135742;3;1;1;1;3;108;;9;;;;;;54;
Mon 07:57.000000;;7.401945114135742;3;1;1;1;3;110;;9;;;;;;55;
Mon 07:58.000000;;7.401945114135742;3;1;1;1;3;114;;9;;;;;;57;
Mon 07:59.000000;;7.401945114135742;3;1;1;1;3;116;;9;;;;;;58;
Mon 08:00.000000;;7.401945114135742;3;1;1;1;3;120;;9;;;;;;60;
Mon 08:01.000000;;7.401945114135742;3;1;1;1;3;124;;9;;;;;;62;
Mon 08:02.000000;;7.401945114135742;3;1;1;1;3;126;;9;;;;;;63;
Mon 08:04.000000;;7.401945114135742;3;1;1;1;3;128;;9;;;;;;64;
Mon 08:04.646918;;8.292158603668213;4;1;1;1;3;128;;10;;;;;;64;
Mon 08:05.000000;;8.292158603668213;4;1;1;1;3;130;;10;;;;;;65;
Mon 08:07.000000;;8.292158603668213;4;1;1;1;3;132;;10;;;;;;66;
Mon 08:08.000000;;8.292158603668213;4;1;1;1;3;134;;10;;;;;;67;
Mon 08:09.000000;;8.292158603668213;4;1;1;1;3;136;;10;;;;;;68;
Mon 08:10.000000;;8.292158603668213;4;1;1;1;3;140;;10;;;;;;70;
Mon 08:10.709980;;8.943331241607666;4;2;1;1;3;140;;11;;;;;;70;
Mon 08:12.000000;;8.943331241607666;4;2;1;1;3;142;;11;;;;;;71;
Mon 08:13.000000;;8.943331241607666;4;2;1;1;3;144;;11;;;;;;72;
Mon 08:14.000000;;8.943331241607666;4;2;1;1;3;150;;11;;;;;;75;
Mon 08:17.000000;;8.943331241607666;4;2;1;1;3;154;;11;;;;;;77;
Mon 08:18.000000;;8.943331241607666;4;2;1;1;3;156;;11;;;;;;78;
Mon 08:19.000000;;8.943331241607666;4;2;1;1;3;158;;11;;;;;;79;
Mon 08:21.000000;;8.943331241607666;4;2;1;1;3;162;;11;;;;;;81;
Mon 08:22.000000;;8.943331241607666;4;2;1;1;3;164;;11;;;;;;82;
Mon 08:22.033214;;9.618104696273804;4;3;1;1;3;164;;12;;;;;;82;
Mon 08:23.000000;;9.618104696273804;4;3;1;1;3;166;;12;;;;;;83;
Mon 08:24.000000;;9.618104696273804;4;3;1;1;3;168;;12;;;;;;84;
Mon 08:25.000000;;9.618104696273804;4;3;1;1;3;170;;12;;;;;;85;
Mon 08:26.000000;;9.618104696273804;4;3;1;1;3;174;;12;;;;;;87;
Mon 08:29.000000;;9.618104696273804;4;3;1;1;3;176;;12;;;;;;88;
