Time;Failed events;accumulated solution time;branch1;branch2;branch3;branch4;branch5;events;long_congestion;number of problems solved;roaming distance for bikes;roaming distance for locks;roaming for bikes;short_congestion;starvation;trips;
Mon 07:00.000000;;0.7622933387756348;;;;1;;6;;1;;;;;;3;
Mon 07:01.000000;;0.7622933387756348;;;;1;;18;;1;;;;;;9;
Mon 07:02.000000;;0.7622933387756348;;;;1;;20;;1;;;;;;10;
Mon 07:03.000000;;0.7622933387756348;;;;1;;32;;1;;;;;;16;
Mon 07:04.000000;;0.7622933387756348;;;;1;;36;;1;;;;;;18;
Mon 07:06.000000;;0.7622933387756348;;;;1;;40;;1;;;;;;20;
Mon 07:06.614686;;2.470763921737671;;;;2;;40;;2;;;;;;20;
Mon 07:07.000000;;2.470763921737671;;;;2;;42;;2;;;;;;21;
Mon 07:09.000000;;2.470763921737671;;;;2;;50;;2;;;;;;25;
Mon 07:11.000000;;2.470763921737671;;;;2;;56;;2;;;;;;28;
Mon 07:12.000000;;2.470763921737671;;;;2;;64;;2;;;;;;32;
Mon 07:13.000000;;2.470763921737671;;;;2;;66;;2;;;;;;33;
Mon 07:15.000000;;2.470763921737671;;;;2;;80;;2;;;;;;40;
Mon 07:16.000000;;2.470763921737671;;;;2;;88;;2;;;;;;44;
Mon 07:17.000000;;2.470763921737671;;;;2;;94;;2;;;;;;47;
Mon 07:19.000000;;2.470763921737671;;;;2;;100;;2;;;;;;50;
Mon 07:20.000000;;2.470763921737671;;;;2;;104;;2;;;;;;52;
Mon 07:20.795036;;5.163297176361084;;;1;2;;104;;3;;;;;;52;
Mon 07:21.000000;;5.163297176361084;;;1;2;;108;;3;;;;;;54;
Mon 07:22.000000;;5.163297176361084;;;1;2;;114;;3;;;;;;57;
Mon 07:23.000000;;5.163297176361084;;;1;2;;122;;3;;;;;;61;
Mon 07:24.000000;;5.163297176361084;;;1;2;;124;;3;;;;;;62;
Mon 07:25.000000;;5.163297176361084;;;1;2;;126;;3;;;;;;63;
Mon 07:26.000000;;5.163297176361084;;;1;2;;140;;3;;;;;;70;
Mon 07:27.000000;;5.163297176361084;;;1;2;;144;;3;;;;;;72;
Mon 07:27.375522;;7.451462268829346;;;1;3;;144;;4;;;;;;72;
Mon 07:28.000000;;7.451462268829346;;;1;3;;154;;4;;;;;;77;
Mon 07:29.000000;;7.451462268829346;;;1;3;;158;;4;;;;;;79;
Mon 07:30.000000;;7.451462268829346;;;1;3;;164;;4;;;;;;82;
Mon 07:31.000000;;7.451462268829346;;;1;3;;168;;4;;;;;;84;
Mon 07:32.000000;;7.451462268829346;;;1;3;;172;;4;;;;;;86;
Mon 07:32.355166;;8.959498405456543;;;1;3;1;172;;5;;;;;;86;
Mon 07:33.000000;;8.959498405456543;;;1;3;1;176;;5;;;;;;88;
Mon 07:35.000000;;8.959498405456543;;;1;3;1;184;;5;;;;;;92;
Mon 07:36.000000;;8.959498405456543;;;1;3;1;192;;5;;;;;;96;
Mon 07:38.000000;;8.959498405456543;;;1;3;1;204;;5;;;;;;102;
Mon 07:39.000000;;8.959498405456543;;;1;3;1;208;;5;;;;;;104;
Mon 07:40.000000;;8.959498405456543;;;1;3;1;216;;5;;;;;;108;
Mon 07:41.000000;;8.959498405456543;;;1;3;1;218;;5;;;;;;109;
Mon 07:42.000000;;8.959498405456543;;;1;3;1;226;;5;;;;;;113;
Mon 07:42.485867;;10.414442300796509;;;2;3;1;226;;6;;;;;;113;
Mon 07:43.000000;;10.414442300796509;;;2;3;1;234;;6;;;;;;117;
Mon 07:44.000000;;10.414442300796509;;;2;3;1;240;;6;;;;;;120;
Mon 07:45.000000;;10.414442300796509;;;2;3;1;244;;6;;;;;;122;
Mon 07:46.000000;;10.414442300796509;;;2;3;1;250;;6;;;;;;125;
Mon 07:47.000000;;10.414442300796509;;;2;3;1;268;;6;;;;;;134;
Mon 07:48.000000;;10.414442300796509;;;2;3;1;280;;6;;;;;;140;
Mon 07:49.000000;;10.414442300796509;;;2;3;1;286;;6;;;;;;143;
Mon 07:50.000000;;10.414442300796509;;;2;3;1;290;;6;;;;;;145;
Mon 07:51.000000;;10.414442300796509;;;2;3;1;294;;6;;;;;;147;
Mon 07:52.000000;;10.414442300796509;;;2;3;1;304;;6;;;;;;152;
Mon 07:53.000000;;10.414442300796509;;;2;3;1;312;;6;;;;;;156;
Mon 07:53.891021;;12.119970560073853;;;2;4;1;312;;7;;;;;;156;
Mon 07:54.000000;;12.119970560073853;;;2;4;1;318;;7;;;;;;159;
Mon 07:56.000000;;12.119970560073853;;;2;4;1;324;;7;;;;;;162;
