Time;Failed events;accumulated solution time;branch1;branch2;branch3;branch4;branch5;events;long_congestion;number of problems solved;roaming distance for bikes;roaming distance for locks;roaming for bikes;short_congestion;similarly imbalanced congested;similarly imbalanced starved;starvation;trips;
Mon 07:00.000000;;0.806556224822998;;;;;1;6;;1;;;;;0;0;;3;
Mon 07:01.000000;;0.806556224822998;;;;;1;10;;1;;;;;0;0;;5;
Mon 07:02.000000;;0.806556224822998;;;;;1;20;;1;;;;;0;0;;10;
Mon 07:03.000000;;0.806556224822998;;;;;1;24;;1;;;;;0;0;;12;
Mon 07:04.000000;;0.806556224822998;;;;;1;30;;1;;;;;0;0;;15;
Mon 07:04.929402;;1.8233692646026611;;;;;2;30;;2;;;;;0;0;;15;
Mon 07:06.000000;;1.8233692646026611;;;;;2;36;;2;;;;;0;0;;18;
Mon 07:07.000000;;1.8233692646026611;;;;;2;44;;2;;;;;0;0;;22;
Mon 07:09.000000;;1.8233692646026611;;;;;2;46;;2;;;;;0;0;;23;
Mon 07:10.000000;;1.8233692646026611;;;;;2;48;;2;;;;;0;0;;24;
Mon 07:11.000000;;1.8233692646026611;;;;;2;52;;2;;;;;0;0;;26;
Mon 07:13.000000;;1.8233692646026611;;;;;2;56;;2;;;;;0;0;;28;
Mon 07:13.867905;;2.7158243656158447;1;;;;2;56;;3;;;;;0;0;;28;
Mon 07:15.000000;;2.7158243656158447;1;;;;2;58;;3;;;;;0;0;;29;
Mon 07:16.000000;;2.7158243656158447;1;;;;2;62;;3;;;;;0;0;;31;
Mon 07:17.000000;;2.7158243656158447;1;;;;2;68;;3;;;;;0;0;;34;
Mon 07:18.000000;;2.7158243656158447;1;;;;2;72;;3;;;;;0;0;;36;
Mon 07:19.000000;;2.7158243656158447;1;;;;2;74;;3;;;;;0;0;;37;
Mon 07:20.000000;;2.7158243656158447;1;;;;2;80;;3;;;;;0;0;;40;
Mon 07:20.049181;;3.779491662979126;1;;;1;2;80;;4;;;;;0;0;;40;
Mon 07:21.000000;;3.779491662979126;1;;;1;2;90;;4;;;;;0;0;;45;
Mon 07:23.000000;;3.779491662979126;1;;;1;2;92;;4;;;;;0;0;;46;
Mon 07:24.000000;;3.779491662979126;1;;;1;2;98;;4;;;;;0;0;;49;
Mon 07:25.000000;;3.779491662979126;1;;;1;2;102;;4;;;;;0;0;;51;
Mon 07:27.000000;;3.779491662979126;1;;;1;2;110;;4;;;;;0;0;;55;
Mon 07:28.000000;;3.779491662979126;1;;;1;2;118;;4;;;;;0;0;;59;
Mon 07:29.000000;;3.779491662979126;1;;;1;2;122;;4;;;;;0;0;;61;
Mon 07:30.000000;;3.779491662979126;1;;;1;2;124;;4;;;;;0;0;;62;
Mon 07:31.000000;;3.779491662979126;1;;;1;2;132;;4;;;;;0;0;;66;
Mon 07:33.000000;;3.779491662979126;1;;;1;2;140;;4;;;;;0;0;;70;
Mon 07:33.749794;;4.6383326053619385;1;1;;1;2;140;;5;;;;;0;0;;70;
Mon 07:34.000000;;4.6383326053619385;1;1;;1;2;142;;5;;;;;0;0;;71;
Mon 07:35.000000;;4.6383326053619385;1;1;;1;2;148;;5;;;;;0;0;;74;
Mon 07:36.000000;;4.6383326053619385;1;1;;1;2;160;;5;;;;;0;0;;80;
Mon 07:37.000000;;4.6383326053619385;1;1;;1;2;168;;5;;;;;0;0;;84;
Mon 07:38.000000;;4.6383326053619385;1;1;;1;2;174;;5;;;;;0;0;;87;
Mon 07:39.000000;;4.6383326053619385;1;1;;1;2;178;;5;;;;;0;0;;89;
Mon 07:40.000000;;4.6383326053619385;1;1;;1;2;180;;5;;;;;0;0;;90;
Mon 07:41.000000;;4.6383326053619385;1;1;;1;2;184;;5;;;;;0;0;;92;
Mon 07:41.185416;;5.428138494491577;2;1;;1;2;184;;6;;;;;0;0;;92;
Mon 07:42.000000;;5.428138494491577;2;1;;1;2;186;;6;;;;;0;0;;93;
Mon 07:43.000000;;5.428138494491577;2;1;;1;2;190;;6;;;;;0;0;;95;
Mon 07:44.000000;;5.428138494491577;2;1;;1;2;196;;6;;;;;0;0;;98;
Mon 07:45.000000;;5.428138494491577;2;1;;1;2;204;;6;;;;;0;0;;102;
Mon 07:46.000000;;5.428138494491577;2;1;;1;2;206;;6;;;;;0;0;;103;
Mon 07:47.000000;;5.428138494491577;2;1;;1;2;212;;6;;;;;0;0;;106;
Mon 07:48.000000;;5.428138494491577;2;1;;1;2;218;;6;;;;;0;0;;109;
Mon 07:48.095568;;6.3424341678619385;2;1;;1;3;218;;7;;;;;0;0;;109;
Mon 07:51.000000;;6.3424341678619385;2;1;;1;3;222;;7;;;;;0;0;;111;
Mon 07:52.000000;;6.3424341678619385;2;1;;1;3;224;;7;;;;;0;0;;112;
Mon 07:53.000000;;6.3424341678619385;2;1;;1;3;230;;7;;;;;0;0;;115;
Mon 07:54.000000;;6.3424341678619385;2;1;;1;3;236;;7;;;;;0;0;;118;
Mon 07:54.013664;;7.256864070892334;2;1;1;1;3;236;;8;;;;;0;0;;118;
Mon 07:55.000000;;7.256864070892334;2;1;1;1;3;242;;8;;;;;0;0;;121;
Mon 07:56.000000;;7.256864070892334;2;1;1;1;3;250;;8;;;;;0;0;;125;
Mon 07:57.000000;;7.256864070892334;2;1;1;1;3;256;;8;;;;;0;0;;128;
Mon 07:58.000000;;7.256864070892334;2;1;1;1;3;258;;8;;;;;0;0;;129;
Mon 07:59.000000;;7.256864070892334;2;1;1;1;3;260;;8;;;;;0;0;;130;
Mon 08:00.000000;;7.256864070892334;2;1;1;1;3;264;;8;;;;;0;0;;132;
Mon 08:00.104316;;7.256864070892334;2;1;1;1;3;264;;8;;0.25533094532460493;;1;0;0;;132;
Mon 08:00.100646;;7.256864070892334;2;1;1;1;3;264;;8;;0.5106618906492099;;2;0;0;;132;
Mon 08:01.000000;;7.256864070892334;2;1;1;1;3;270;;8;;0.5106618906492099;;2;0;0;;135;
Mon 08:02.000000;;7.256864070892334;2;1;1;1;3;278;;8;;0.5106618906492099;;2;0;0;;139;
Mon 08:02.735158;;8.058119297027588;3;1;1;1;3;278;;9;;0.5106618906492099;;2;0;0;;139;
Mon 08:03.000000;;8.058119297027588;3;1;1;1;3;284;;9;;0.5106618906492099;;2;0;0;;142;
Mon 08:04.000000;;8.058119297027588;3;1;1;1;3;286;;9;;0.5106618906492099;;2;0;0;;143;
Mon 08:05.000000;;8.058119297027588;3;1;1;1;3;288;;9;;0.5106618906492099;;2;0;0;;144;
Mon 08:06.000000;;8.058119297027588;3;1;1;1;3;302;;9;;0.5106618906492099;;2;0;0;;151;
Mon 08:07.000000;;8.058119297027588;3;1;1;1;3;308;;9;;0.5106618906492099;;2;0;0;;154;
Mon 08:08.000000;;8.058119297027588;3;1;1;1;3;310;;9;;0.5106618906492099;;2;0;0;;155;
Mon 08:08.646046;;8.058119297027588;3;1;1;1;3;310;;9;;0.7659928359738148;;3;0;0;;155;
Mon 08:09.000000;;8.058119297027588;3;1;1;1;3;316;;9;;0.7659928359738148;;3;0;0;;158;
Mon 08:10.000000;;8.058119297027588;3;1;1;1;3;320;;9;;0.7659928359738148;;3;0;0;;160;
Mon 08:11.000000;;8.058119297027588;3;1;1;1;3;324;;9;;0.7659928359738148;;3;0;0;;162;
Mon 08:12.000000;;8.058119297027588;3;1;1;1;3;328;;9;;0.7659928359738148;;3;0;0;;164;
Mon 08:12.792644;;8.952973365783691;3;1;1;1;4;328;;10;;0.7659928359738148;;3;1;0;;164;
Mon 08:13.000000;;8.952973365783691;3;1;1;1;4;332;;10;;0.7659928359738148;;3;1;0;;166;
Mon 08:14.000000;;8.952973365783691;3;1;1;1;4;338;;10;;0.7659928359738148;;3;1;0;;169;
Mon 08:15.000000;;8.952973365783691;3;1;1;1;4;342;;10;;0.7659928359738148;;3;1;0;;171;
Mon 08:16.000000;;8.952973365783691;3;1;1;1;4;350;;10;;0.7659928359738148;;3;1;0;;175;
Mon 08:17.000000;;8.952973365783691;3;1;1;1;4;354;;10;;0.7659928359738148;;3;1;0;;177;
Mon 08:18.000000;;8.952973365783691;3;1;1;1;4;356;;10;;0.7659928359738148;;3;1;0;;178;
Mon 08:19.000000;;8.952973365783691;3;1;1;1;4;358;;10;;0.7659928359738148;;3;1;0;;179;
Mon 08:20.000000;;8.952973365783691;3;1;1;1;4;364;;10;;0.7659928359738148;;3;1;0;;182;
Mon 08:20.072071;;9.746848344802856;4;1;1;1;4;364;;11;;0.7659928359738148;;3;1;0;;182;
Mon 08:21.000000;;9.746848344802856;4;1;1;1;4;366;;11;;0.7659928359738148;;3;1;0;;183;
Mon 08:22.000000;;9.746848344802856;4;1;1;1;4;370;;11;;0.7659928359738148;;3;1;0;;185;
Mon 08:23.000000;;9.746848344802856;4;1;1;1;4;374;;11;;0.7659928359738148;;3;1;0;;187;
Mon 08:24.000000;;9.746848344802856;4;1;1;1;4;376;;11;;0.7659928359738148;;3;1;0;;188;
Mon 08:25.000000;;9.746848344802856;4;1;1;1;4;378;;11;;0.7659928359738148;;3;1;0;;189;
Mon 08:25.118135;;10.447180271148682;4;1;1;2;4;378;;12;;0.7659928359738148;;3;1;0;;189;
Mon 08:26.000000;;10.447180271148682;4;1;1;2;4;382;;12;;0.7659928359738148;;3;1;0;;191;
Mon 08:27.000000;;10.447180271148682;4;1;1;2;4;386;;12;;0.7659928359738148;;3;1;0;;193;
Mon 08:28.000000;;10.447180271148682;4;1;1;2;4;388;;12;;0.7659928359738148;;3;1;0;;194;
Mon 08:29.000000;;10.447180271148682;4;1;1;2;4;392;;12;;0.7659928359738148;;3;1;0;;196;
Mon 08:30.000000;;10.447180271148682;4;1;1;2;4;398;;12;;0.7659928359738148;;3;1;0;;199;
Mon 08:31.000000;;10.447180271148682;4;1;1;2;4;404;;12;;0.7659928359738148;;3;1;0;;202;
Mon 08:33.000000;;10.447180271148682;4;1;1;2;4;406;;12;;0.7659928359738148;;3;1;0;;203;
Mon 08:34.000000;;10.447180271148682;4;1;1;2;4;412;;12;;0.7659928359738148;;3;1;0;;206;
Mon 08:35.000000;;10.447180271148682;4;1;1;2;4;416;;12;;0.7659928359738148;;3;1;0;;208;
