episode,service_level,squared_starvation_penalty,squared_congestion_penalty,projected_starvation_risk,projected_congestion_risk
0,0.893635544881417,-18.567669578794376,-13.83951343324043,-1.8981393468828383,-1.3680568184005049
1,0.9426801870180339,-59.430098276527815,-43.684027075080635,-5.827937649184482,-4.092255463950669
2,0.9310521865184828,-94.14965377981625,-68.74030073739418,-8.936092882930238,-6.194998882822238
3,0.9371735651963892,-125.03693128425755,-90.85258210195681,-11.486693480559614,-7.988322545350847
4,0.935664757310823,-152.4199780984327,-110.38128212586577,-13.701937691208357,-9.548441738389547
5,0.9468002159179512,-176.5705978813093,-127.68058022426072,-15.655632894115515,-10.953259067949878
6,0.9315952116648165,-198.5554292448113,-143.15928081869822,-17.444784236101896,-12.21591088670554
7,0.9404417682654187,-217.64517500323268,-156.52454729360315,-18.92792169901193,-13.280115366421494
8,0.9393847460712336,-235.9331309417294,-169.36493716359436,-20.36743929544704,-14.30206221807268
9,0.9477336351182322,-251.88010421553938,-180.3474022450109,-21.563671978745212,-15.193558935093005
10,0.9372741901205331,-266.2850795115017,-190.29321775774355,-22.643191337534354,-16.007110567215243
11,0.9423129169559574,-279.6619341963679,-199.35381115843808,-23.62631245811346,-16.726622298698203
12,0.9354752022931534,-290.8520485329131,-206.9476973171905,-24.483513103551743,-17.33930465562981
13,0.9361995149845813,-302.6967510109749,-214.8829367069627,-25.29380019710909,-17.931300409780366
14,0.9378494305576098,-313.2325718213734,-221.89581878319055,-26.064885148395085,-18.493553419285064
15,0.9294033327360688,-322.43294339502586,-227.9705519212832,-26.733510699675914,-19.023984906907664
16,0.9430479659987857,-331.59049457896805,-234.12099486305564,-27.34669210945456,-19.544765961235537
17,0.940599438592255,-339.6082936377397,-239.52723605362092,-27.887484853786304,-20.00588868089743
18,0.9385279050957132,-347.94333307971857,-245.06153039449833,-28.41304512232918,-20.434346251345065
19,0.9383077666384829,-355.0770194143555,-249.69448770399305,-28.865625547194355,-20.803080065045883
20,0.9332181399296714,-362.4715617405828,-254.60001435036583,-29.29921714121938,-21.186494663583076
21,0.9393415787559113,-369.55751164144914,-259.2590979741172,-29.682383254286865,-21.55586737988955
22,0.937333977300169,-375.94861207590185,-263.3310847005622,-30.102752225237086,-21.889838103370028
23,0.9406894884732755,-381.5371046101312,-266.91327596732276,-30.406411349895077,-22.16589646287999
24,0.9377326768343941,-386.80660813383355,-270.2705885860409,-30.7546122118413,-22.44284766191239
25,0.9383330848367377,-391.9386854145261,-273.4782940491401,-31.030436687625066,-22.702555433680505
26,0.9359200646184223,-396.32159918002355,-276.09286088404394,-31.327261252726593,-22.942407875557205
27,0.9428215176344852,-400.49621912305855,-278.5116857959722,-31.580532006488372,-23.15813851430605
28,0.9405236111533433,-404.9276791835074,-281.17990440023584,-31.829681715616704,-23.35218827238228
29,0.9403201012749797,-410.4504288915757,-284.74416491531696,-32.09447364784469,-23.605402948206663
30,0.9395339008633702,-414.54936757931637,-287.1193983513263,-32.27971815195214,-23.79730531722532
31,0.9413016758101748,-417.5441499222571,-288.7638061526629,-32.464499144343755,-23.966907912214165
32,0.9385387551468157,-421.16926815771455,-290.92069228940017,-32.61494883978592,-24.12359956777852
33,0.9401440144014401,-424.4699904481869,-292.7659838869745,-32.76805894996746,-24.286857236366238
34,0.9440922538187526,-427.2552093041104,-294.19984646929925,-32.93524611952829,-24.450495871139147
35,0.9384089477945365,-429.7989955219945,-295.43810136083187,-33.04196468381505,-24.593823844146534
36,0.934025583145222,-432.5082699426634,-296.9013396129959,-33.17340774499287,-24.73409552950752
37,0.9476615038188845,-435.30169098908567,-298.51130115009477,-33.32389625374572,-24.874809698418332
38,0.9436054814499711,-436.9780862439272,-299.27733948633556,-33.38695254829801,-24.9409231120017
39,0.941231343283582,-439.21911459855005,-300.40161536366867,-33.52318836284782,-25.082576649100893
40,0.9472608094293102,-441.1824795373281,-301.3081149614567,-33.59453818632795,-25.19109284011487
41,0.9414553140096619,-444.24393282944254,-303.0986248683883,-33.729701952698925,-25.33442846735338
42,0.9398957834211787,-446.0110988537715,-303.76191605617635,-33.77627407852079,-25.417450024129977
43,0.9349854489814287,-448.0408336449811,-304.728667948221,-33.82852187519981,-25.512325184298188
44,0.9413423745086862,-450.001812940614,-305.75906910421395,-33.907662580222656,-25.632718337152085
45,0.9419915241501609,-451.9203981964813,-306.6461464205287,-33.96081793534923,-25.717257504997175
46,0.9364674076299189,-453.61452987527736,-307.46976537173214,-34.0035091052631,-25.812371917270298
47,0.9388361758347346,-455.26923509578063,-308.15371253090893,-34.05901999469511,-25.904039562086734
48,0.9416953658389221,-456.86094447452837,-308.881793650106,-34.10450240733847,-25.989204728971536
49,0.9486794266999189,-458.78816778591795,-309.74074655160143,-34.16118457255481,-26.075228233565618
50,0.9402554470323066,-460.41286342462104,-310.5456356897647,-34.18545146461496,-26.154680210081974
51,0.9389776940375616,-461.6999979014091,-311.0846394557376,-34.22433285083378,-26.224398228906104
52,0.9372543090414273,-463.30568747164983,-311.8358242723344,-34.28683467445873,-26.303064685140328
53,0.9444495231130207,-464.64262705762604,-312.3344314519371,-34.33144237296588,-26.368085480618237
54,0.93842589770164,-465.9454526024459,-312.88910508787984,-34.41251501085798,-26.447833122533716
55,0.9366878210939861,-468.28363934932383,-314.25823287507,-34.49793499786649,-26.55407989806395
56,0.9367721480397537,-470.310527575959,-315.2940896477325,-34.5398178866818,-26.613651259892315
57,0.940099734241094,-471.8707899371614,-315.96874177020726,-34.63479518164456,-26.70348710010338
58,0.943048168971281,-473.07271271900254,-316.4739131193576,-34.66911003966273,-26.75587625709513
59,0.9416014083652037,-474.7823130679875,-317.32047381004253,-34.70381001260303,-26.81318736758606
60,0.9404136523279201,-476.73808184586767,-318.3962421966875,-34.71996562402068,-26.8685414469897
61,0.9409798548586227,-477.7549212918064,-318.7534549235165,-34.723928445833515,-26.922128800001747
62,0.9450828595621145,-479.0297842578633,-319.320122788454,-34.7359667332351,-26.982078904961604
63,0.9380597463485003,-479.74265898509753,-319.51155549390944,-34.74513524484575,-27.03299353623556
64,0.9434347682417615,-480.9999347038657,-320.06782761156813,-34.74991488064716,-27.079518214922743
65,0.9354099448180201,-482.2407330133959,-320.62746479528187,-34.78913180148093,-27.140577344080327
66,0.9432089800611176,-483.14027577004236,-320.9156674782838,-34.77094971615418,-27.161185669142156
67,0.9342184671092335,-484.68384140185213,-321.73810040253295,-34.77213812680714,-27.24181569739726
68,0.9385302403644429,-485.40746729146116,-321.8684166288245,-34.780792492281634,-27.282764585907973
69,0.9390302448391743,-486.12092310848794,-322.076095046865,-34.76537767050161,-27.331605354726403
70,0.9410755148741419,-487.2832309302238,-322.59730666149403,-34.73565705373449,-27.368649644149983
71,0.9371516840319845,-487.5696129085259,-322.4087695591954,-34.73883375467605,-27.392613389888098
72,0.9443533199684102,-488.48204283666365,-322.8272521171393,-34.68752167488134,-27.428574982706863
73,0.9489323308270676,-489.0417653998487,-322.8596930330424,-34.683774468732615,-27.452878353403673
74,0.9415000149463426,-489.9838459223425,-323.2410502875178,-34.7029257904288,-27.49367651969537
75,0.9463498581003562,-490.851572751782,-323.6193204971588,-34.6892915548148,-27.523816887175553
76,0.9374021909233177,-491.8780444403205,-324.0064744732507,-34.69996203090463,-27.563360136826915
77,0.9447201210287444,-492.4452099511472,-324.0556334483384,-34.72055355067975,-27.59729204282845
78,0.9467344591731736,-493.2119817190578,-324.34354375328434,-34.72934544352767,-27.633441879389263
79,0.9425273463467698,-494.4846339502192,-324.90610986195685,-34.77616050008246,-27.671406633891195
80,0.9410025865254341,-495.3547611632474,-325.2026002890293,-34.81386825924329,-27.719156407828912
81,0.9421939145134025,-496.2511705911652,-325.53137403073623,-34.83115832790731,-27.749716179835062
82,0.9389515791987582,-497.1093403078674,-325.836153948445,-34.84586197676203,-27.781058047662988
83,0.934516765285996,-498.27845616850044,-326.3558360621608,-34.85662486132955,-27.81748831628731
84,0.9411905259699531,-499.19561606493744,-326.7546756830109,-34.88821796574823,-27.848960960190183
85,0.9362825036321049,-500.3507312028467,-327.27022835954483,-34.875834718328036,-27.887017244473924
86,0.9401246031270593,-501.06565830864514,-327.4943823538834,-34.86337615345074,-27.910333257110977
87,0.9435937313075726,-501.86071315117533,-327.78082691310556,-34.885026198584846,-27.941227228341706
88,0.9454402800410405,-502.6370092762778,-328.04147617891005,-34.8898095002037,-27.974090186703307
89,0.9414440193981747,-503.7589237042247,-328.5508962730635,-34.911095505537595,-28.012063199599098
90,0.9334743202416919,-504.8828672434929,-329.07088344633746,-34.91569980059466,-28.04684228147614
91,0.9410948574875584,-505.7249079268862,-329.41604316353965,-34.93935903278881,-28.07899317240265
92,0.9412170884745864,-506.9905378141144,-330.07708968503863,-34.98881125103286,-28.141630040714887
93,0.9441991771030424,-507.406967505931,-330.0501914474688,-34.9786569157058,-28.1659276208377
94,0.9377110467920887,-508.354518284862,-330.4995662864984,-35.01534184303675,-28.201893437289048
95,0.9330757388233163,-509.2283405190187,-330.818480491911,-35.055648931119,-28.235373701011266
96,0.9434527448343318,-510.8940733219121,-331.85113861134903,-35.12582800066235,-28.303361109776066
97,0.9417431609561029,-511.9163257466524,-332.3625591951906,-35.158441074515714,-28.351913356702408
98,0.9421780986762937,-512.9664985872266,-332.85411574386114,-35.185603429836256,-28.399399142825988
99,0.9389547912869394,-513.9331418791603,-333.2834200492641,-35.20503417112735,-28.437160889768744
100,0.9433967993683763,-514.9690177396321,-333.80013007627514,-35.22389354657474,-28.475693641502044
101,0.9439529792784959,-516.1440910586377,-334.41739761211375,-35.264845684858194,-28.525878239213878
102,0.9420835466674699,-517.2843216583597,-335.0465615010032,-35.31303629061532,-28.574002704625997
103,0.9464046449307727,-518.5464936695887,-335.69337761966466,-35.33392375095342,-28.62286128827424
104,0.9380035340980563,-519.0908140419442,-335.86259570498333,-35.33258067135332,-28.656706378695368
105,0.9415785828289216,-520.0317249324888,-336.30145652734,-35.3711303079098,-28.705387300946494
106,0.9329187695265562,-521.0752756545663,-336.82919114439665,-35.41240755275427,-28.762801774150812
107,0.940199235561441,-522.1158152477424,-337.37831035632104,-35.4314721961982,-28.804364085148084
108,0.9354780679399155,-523.0517258303311,-337.79263683349905,-35.4641853380412,-28.843595570107173
109,0.9475487691244101,-524.0701319416607,-338.32499296123206,-35.51121762380778,-28.89721756041386
110,0.9396728329001681,-524.6855740508365,-338.5782224289717,-35.51098088346869,-28.94096075559487
111,0.9434007276197293,-525.4847618771067,-338.96312748137393,-35.52471145172924,-28.983100153274947
112,0.939362022269034,-526.322195925796,-339.3530309000021,-35.556708859419615,-29.027345186734003
113,0.9400266279351247,-527.1770170849568,-339.750151407515,-35.56712729819839,-29.061893093851438
114,0.9419868178849237,-527.9417805118452,-340.1056526917583,-35.58984833076544,-29.10264289662294
115,0.9388303493252015,-528.7413784258688,-340.5016691656269,-35.61095064351901,-29.143477096392264
116,0.9414749048740714,-529.3310036548773,-340.7228139224036,-35.627347542332366,-29.17749487699199
117,0.9411924939467312,-530.3636278151693,-341.2448997520385,-35.656376137207,-29.225027831824487
118,0.9369798215675708,-531.2311878242829,-341.71060703891084,-35.6672457497917,-29.268578808255548
119,0.9358550654969354,-532.3119417383413,-342.30742821016156,-35.695791405232555,-29.321710498693257
120,0.9425513519959455,-532.9443596133349,-342.5910840367162,-35.7009058159119,-29.352109688534494
121,0.9382853363794865,-533.2848490625652,-342.7136032348616,-35.69745980279733,-29.382562673677114
122,0.9421951510808552,-533.9533727791444,-342.9758325089005,-35.70822856841167,-29.42157218472645
123,0.9427323319968883,-534.8938170981507,-343.4637480151964,-35.73626592085206,-29.45780241550306
124,0.9471133458532743,-535.7531127527851,-343.92003021668063,-35.75811457648104,-29.491451476665603
125,0.9444109126026075,-536.5899318181318,-344.33206705578493,-35.79592868202193,-29.534345091317878
126,0.944238254729791,-537.2603628527844,-344.62279625588235,-35.800141561190266,-29.56520916707807
127,0.9428029276226619,-538.2982243129726,-345.1820011944086,-35.824358723629445,-29.610133818832427
