episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,fleet_broken_fraction,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9274336876697629,-2.538657405172555,-0.021078121573880445,-0.008306429731336955,-0.00505961827721663,-0.005736953615570279,-0.003923930476184017,-0.01088551897054089,0.01,0.01,0.0,0.97,100,11,1,12
1,0.9327472674399171,-2.5731259993788074,-0.03863428516991243,-0.015218968270475686,-0.008853262366711186,-0.01066233277981875,-0.0071970197133228945,-0.02081030312503352,0.009708,0.01,0.0,0.97,100,10,1,11
2,0.9293049436282311,-2.6084977337175554,-0.057215036393429834,-0.022488242136465667,-0.012974137249578683,-0.015648559188375974,-0.010515980242472566,-0.03129605194033713,0.009432,0.01,0.0,0.97,100,10,1,11
3,0.932263516340088,-2.6411041491212135,-0.07443161673935933,-0.02919442301439504,-0.016948694554084997,-0.02027340639702,-0.013583648727913199,-0.04000641902529138,0.009172,0.01,0.0,0.97,100,10,1,11
4,0.9249424354365796,-2.6772661042765855,-0.09343721456290584,-0.037043281988182714,-0.021006820613463106,-0.025875536379137424,-0.016971663362821836,-0.052565508467183525,0.008925,0.01,0.0,0.97,100,10,1,11
5,0.9308239230447511,-2.7089299725841984,-0.11002858619394652,-0.043563494801882305,-0.024980875501242443,-0.030250949369101558,-0.02017112072732742,-0.061330256618458395,0.008692,0.01,0.0,0.97,100,10,1,11
6,0.9341995111006932,-2.7379789589664605,-0.12519805291458472,-0.04949700976206943,-0.028407900445262972,-0.034255468110876125,-0.022976945005595408,-0.06912282722291187,0.00847,0.01,0.0,0.97,100,10,1,11
7,0.9327851626999349,-2.7669476332601133,-0.1405136766409259,-0.055440763198694926,-0.03187138123809886,-0.03829090165146955,-0.02581429527497116,-0.07893881248538563,0.00826,0.01,0.0,0.97,100,10,1,11
8,0.9324998303589604,-2.7947163821031227,-0.15507587022462593,-0.06114426484219215,-0.03525174046952424,-0.042337284326960996,-0.02858985598127442,-0.08735095269658119,0.008059,0.01,0.0,0.97,100,10,1,11
9,0.9331071092595081,-2.8219849903603436,-0.1690576961583796,-0.06662843072015245,-0.03830807192501861,-0.046105012559793344,-0.031393798615257124,-0.09591367433998635,0.007868,0.01,0.0,0.97,100,10,1,11
