episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,fleet_broken_fraction,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
10,0.927712260188825,-2.8508653478257617,-0.18430793506645174,-0.07265455973034966,-0.041698051742319664,-0.05013781260615196,-0.03430913694512395,-0.10520381459854047,0.007686,0.01,0.0,0.97,100,10,1,11
11,0.9311285029033073,-2.8777480988721975,-0.19849216383796695,-0.07826178901828626,-0.044918375042852426,-0.053950560816907765,-0.03697875458661499,-0.11290286362143184,0.007513,0.01,0.0,0.97,100,10,1,11
12,0.9283076144700227,-2.904933686723534,-0.21248025722505964,-0.0839180916971494,-0.04802796967348415,-0.058019882909824176,-0.03941312027922149,-0.12175407827567532,0.007346,0.01,0.0,0.97,100,10,1,11
13,0.9319302141691482,-2.93012504273521,-0.22556316306208454,-0.0891734128254679,-0.051002400289359984,-0.06167039886865318,-0.041960286387014115,-0.1293575803829821,0.007188,0.01,0.0,0.97,100,10,1,11
14,0.9311236404884233,-2.955140914887421,-0.23850648162775903,-0.09429244109923186,-0.05386002096897962,-0.06515401100104719,-0.04425767115476666,-0.13751383931441702,0.007035,0.01,0.0,0.97,100,10,1,11
15,0.9396945283652233,-2.973727719214197,-0.24836693609202798,-0.098437351753874,-0.056095433677094735,-0.06820554712314936,-0.04627453344983827,-0.14325901481030504,0.006889,0.01,0.0,0.97,100,11,1,12
16,0.926342848502159,-2.9994690048553907,-0.2621045227376238,-0.10405711751970856,-0.059210963564561,-0.07227757988891619,-0.049075107936506705,-0.1508498754856039,0.006749,0.01,0.0,0.97,100,10,1,11
17,0.9320486815415822,-3.022236179110293,-0.27378702495598295,-0.10877142510459306,-0.06172133106003054,-0.07556819058674868,-0.05109943535141715,-0.1585530290540675,0.006615,0.01,0.0,0.97,100,10,1,11
18,0.9303799579677753,-3.045529562759705,-0.28575979479301733,-0.11352112061074882,-0.06435811701066751,-0.07894229225906377,-0.053326404614786375,-0.16530654952062326,0.006486,0.01,0.0,0.97,100,10,1,11
19,0.9308992103252102,-3.0678013026670463,-0.2972102346112713,-0.11818421301018994,-0.06677761716894026,-0.08233062197028054,-0.0554927080008669,-0.17253714266921677,0.006362,0.01,0.0,0.97,100,10,1,11
20,0.9323992585294166,-3.0840606897700993,-0.3052527467775158,-0.12202534992278102,-0.06856175492109745,-0.08546840289642357,-0.05769061473050294,-0.17877872719375926,0.006242,0.01,0.0,0.97,100,11,1,12
21,0.9296831242892785,-3.105812586252524,-0.3163691257581812,-0.1265103601727379,-0.07100473065328598,-0.08864109064524452,-0.059855073483204305,-0.18592119202880178,0.006127,0.01,0.0,0.97,100,10,1,11
22,0.9346052235561649,-3.125734864798292,-0.32690881363497337,-0.1306567886332691,-0.07343561650682841,-0.09142024565073091,-0.06184538816296705,-0.1911992151319921,0.006016,0.01,0.0,0.97,100,10,1,11
23,0.9281512817487738,-3.147380098035036,-0.3382929881270558,-0.13523627048200446,-0.07596155241990163,-0.09451808464579144,-0.06409274420826956,-0.19809915543059092,0.005909,0.01,0.0,0.97,100,10,1,11
24,0.928510794121074,-3.168684020299688,-0.3495217866469864,-0.13954160875934465,-0.07864359328288344,-0.09729400249586606,-0.06620399197335496,-0.20402486117689173,0.005806,0.01,0.0,0.97,100,10,1,11
25,0.9316829847828652,-3.1882698020740525,-0.3596413783383801,-0.1435783525441328,-0.08090972566792755,-0.10011954214245691,-0.06808264548463651,-0.20991759434794763,0.005706,0.01,0.0,0.97,100,10,1,11
26,0.9306605600363704,-3.2078822611773656,-0.3696696956710126,-0.14758203257065283,-0.08308215214938595,-0.10297164402013859,-0.06995300393583263,-0.21634570667328046,0.00561,0.01,0.0,0.97,100,10,1,11
27,0.9346486846486847,-3.2261133041887007,-0.37918872966428624,-0.15136786815549177,-0.08525879619697838,-0.10561015126256812,-0.07171678428054316,-0.22139517744514273,0.005517,0.01,0.0,0.97,100,10,1,11
28,0.9289679068828635,-3.245597907854391,-0.3895581143857717,-0.15556744539793824,-0.08763771212395548,-0.10852942596970325,-0.07363142989290526,-0.22751067308750642,0.005426,0.01,0.0,0.97,100,10,1,11
29,0.9338742054198729,-3.2634576323917432,-0.3987954753582708,-0.15920137537374965,-0.08969905772012372,-0.11104273573000437,-0.07531917647387712,-0.23240747307867926,0.005339,0.01,0.0,0.97,100,10,1,11
30,0.9275891341256367,-3.2711800839818848,-0.40213822687503914,-0.16187415240793093,-0.08980520687845199,-0.11349117650893685,-0.07691498977996084,-0.23759402513065822,0.005255,0.01,0.0,0.97,100,11,1,12
31,0.9313738731134146,-3.288880256369947,-0.41144854396679664,-0.16558592361282987,-0.09188204528374252,-0.11597998547850327,-0.07865959324885595,-0.24346770338038407,0.005173,0.01,0.0,0.97,100,10,1,11
32,0.9319257493873989,-3.306179870256626,-0.42052735681536835,-0.169141986248368,-0.09390692483681774,-0.11841034035286158,-0.08031995599329286,-0.24884825286297807,0.005094,0.01,0.0,0.97,100,10,1,11
33,0.9333999052196872,-3.3226919474472028,-0.42909653540308923,-0.17257367086002745,-0.09579428050615597,-0.12076128047021227,-0.08198056686314312,-0.2537238258160183,0.005017,0.01,0.0,0.97,100,10,1,11
34,0.9288399525488296,-3.3406477539107415,-0.43851995580328235,-0.17633960738324259,-0.09793582531731397,-0.12326101661660767,-0.08376108554496264,-0.2591353313380373,0.004942,0.01,0.0,0.97,100,10,1,11
35,0.9345063869384993,-3.354192567769665,-0.4453238873373757,-0.1791114777914614,-0.09941080634233912,-0.12535533541828245,-0.08519002842793236,-0.2626794146049752,0.00487,0.01,0.0,0.97,100,11,1,12
36,0.9300583690407909,-3.370957610199701,-0.45402101414132084,-0.18256889855629538,-0.10131891062276202,-0.12769248509759096,-0.08674750741602263,-0.26798851093564097,0.004799,0.01,0.0,0.97,100,10,1,11
37,0.9333593935891771,-3.386429454618542,-0.46210299911236913,-0.18581290266218062,-0.10318680726542326,-0.13006552805803936,-0.08831640462006575,-0.2721571879615194,0.004731,0.01,0.0,0.97,100,10,1,11
38,0.9305275875956505,-3.4027000324807495,-0.4705960349771031,-0.18918246762740368,-0.10512471618368108,-0.13244435046439004,-0.08988744999546198,-0.27701303095062013,0.004665,0.01,0.0,0.97,100,10,1,11
39,0.9366165300065395,-3.4171152618211718,-0.4781586228801311,-0.19219333926877052,-0.1068419066622667,-0.13455255845745814,-0.0913310326334471,-0.28139868726585515,0.0046,0.01,0.0,0.97,100,10,1,11
40,0.9297488291471525,-3.433222871653267,-0.4865559021510212,-0.19551454837516635,-0.10875421963808662,-0.13691359737460307,-0.09295672897193134,-0.2860167599738378,0.004537,0.01,0.0,0.97,100,10,1,11
41,0.9287790941937653,-3.4491358740104583,-0.49499619198609507,-0.19888311265432385,-0.11063783658532467,-0.13926856685118494,-0.09448963447871878,-0.2914122847245441,0.004476,0.01,0.0,0.97,100,10,1,11
42,0.9315631447405941,-3.4641871620162505,-0.5027824191014408,-0.20201005439600214,-0.11241263015958067,-0.1415626719807755,-0.09600438705965024,-0.2962980151313969,0.004417,0.01,0.0,0.97,100,10,1,11
43,0.9314453060001997,-3.47921610161312,-0.5105779113321021,-0.2051533836036715,-0.11410760170568399,-0.14379996885903432,-0.0974775979814793,-0.30119407149656147,0.004359,0.01,0.0,0.97,100,10,1,11
44,0.9306407806055729,-3.493976595962459,-0.5183898258027282,-0.20827557091662488,-0.1158646277052529,-0.1459359691563877,-0.09891284468233512,-0.3063956838717271,0.004302,0.01,0.0,0.97,100,10,1,11
45,0.9275593996096116,-3.509309070119918,-0.5265685246262037,-0.2115018633605822,-0.11779018771019527,-0.14815321353740135,-0.10051105687892072,-0.31078845026559077,0.004247,0.01,0.0,0.97,100,10,1,11
46,0.9343242019090436,-3.522841631116752,-0.5334765612474013,-0.21426320386700395,-0.1192717993883833,-0.15014169340209277,-0.1019144859188113,-0.31525026976091186,0.004194,0.01,0.0,0.97,100,10,1,11
47,0.9305910006715916,-3.5370344096085713,-0.540708251772054,-0.21714207185125173,-0.12086308295154558,-0.15217819762905432,-0.10330228489771054,-0.3195914071725962,0.004141,0.01,0.0,0.97,100,10,1,11
48,0.9342516283397581,-3.550373691269271,-0.5475659039760676,-0.21988854668284555,-0.12238950434160766,-0.15420254439966571,-0.10456100955403172,-0.32345920414921014,0.00409,0.01,0.0,0.97,100,10,1,11
49,0.9328247617123033,-3.563759975070519,-0.5544801090647996,-0.22263516314187626,-0.12400279596911443,-0.1561378840379637,-0.1059273510906531,-0.32751280355472895,0.004041,0.01,0.0,0.97,100,10,1,11
50,0.930646893034492,-3.5774392903597687,-0.5616601891822595,-0.2255735931674754,-0.1256383450121206,-0.15810315049114307,-0.10729825788504782,-0.3317915576136543,0.003992,0.01,0.0,0.97,100,10,1,11
51,0.9311552121732397,-3.5859856494464104,-0.5664753662335638,-0.22807402977955699,-0.12666071292158096,-0.1601497804362329,-0.10867502672510822,-0.3354969775399993,0.003945,0.01,0.0,0.97,100,11,1,12
52,0.9265597267338669,-3.6003062706645594,-0.5739534256078803,-0.2310228867491057,-0.12843333440378077,-0.16218927917109596,-0.11011432678895673,-0.3393621490427183,0.003898,0.01,0.0,0.97,100,10,1,11
53,0.9287354010623502,-3.6138690923736667,-0.5810610314865673,-0.23384228821069175,-0.13006830853866896,-0.16415393957474564,-0.11143886130781679,-0.3433431372033795,0.003853,0.01,0.0,0.97,100,10,1,11
54,0.9320256393046513,-3.6265812812128755,-0.5877172487803844,-0.2364868549843315,-0.13156764671264534,-0.16603309185371057,-0.11276349334507356,-0.34705868371387005,0.003809,0.01,0.0,0.97,100,10,1,11
55,0.9291684113558328,-3.6398462673896996,-0.5946415365852381,-0.23930910820979215,-0.13313310031756626,-0.16801288790441982,-0.11407909323099098,-0.35114589629580384,0.003766,0.01,0.0,0.97,100,10,1,11
56,0.9331605694477165,-3.6519007655011357,-0.6009466736974038,-0.24194713844054322,-0.13448680321644027,-0.16988709864643156,-0.11529460940095515,-0.3556250188834786,0.003724,0.01,0.0,0.97,100,10,1,11
57,0.9277892371417551,-3.6650473660309206,-0.6077658025931247,-0.24471681896150896,-0.13595732527754736,-0.1718585232301381,-0.11660045673418613,-0.35978853484810974,0.003682,0.01,0.0,0.97,100,10,1,11
58,0.9338701272504161,-3.6767465451515866,-0.6137795409908128,-0.24709029148791026,-0.13730999740535238,-0.17351591180130296,-0.1177896218931073,-0.3630788476226882,0.003642,0.01,0.0,0.97,100,10,1,11
59,0.931449025765711,-3.688746485860045,-0.6200145816929105,-0.24957424503537112,-0.13869577545414188,-0.17530798556865013,-0.1190162326240449,-0.36679369751868407,0.003602,0.01,0.0,0.97,100,10,1,11
60,0.931972674084345,-3.700483392541311,-0.6260806050676381,-0.2520772940260365,-0.14001246246933818,-0.17700336493240057,-0.12013100656671036,-0.3702978056283891,0.003564,0.01,0.0,0.97,100,10,1,11
61,0.9314875880885823,-3.712306408518742,-0.6323045509530281,-0.2545755960347356,-0.14141466078651307,-0.17872566418008667,-0.12138001967747288,-0.3740839552813928,0.003526,0.01,0.0,0.97,100,10,1,11
62,0.9263716814159292,-3.7249449604065443,-0.6388019766204722,-0.25717310071521887,-0.14288087122132667,-0.18047618209380153,-0.12267260015561157,-0.3778680281776349,0.003489,0.01,0.0,0.97,100,10,1,11
63,0.9273415516548305,-3.7373845357179087,-0.6452284570575513,-0.2598092855180606,-0.14424219239192138,-0.1824196091851047,-0.12382721805736038,-0.382106804268264,0.003453,0.01,0.0,0.97,100,10,1,11
64,0.9336846507737349,-3.7483573307223437,-0.6509116011502626,-0.2620392636175294,-0.145542634582577,-0.18397675662443225,-0.12492671467273335,-0.3856038368800247,0.003417,0.01,0.0,0.97,100,10,1,11
65,0.9246871789689958,-3.7609350437913243,-0.6575449787777704,-0.26466197976447714,-0.1470773421899156,-0.18586778952822386,-0.1261951563194272,-0.3894334182256998,0.003382,0.01,0.0,0.97,100,10,1,11
66,0.9289335840440535,-3.7726198256681904,-0.6636300307171952,-0.2671471889274772,-0.14845905620192007,-0.18763400996025434,-0.12742224356192947,-0.3929018113831746,0.003348,0.01,0.0,0.97,100,10,1,11
67,0.9362351592012952,-3.780278285556187,-0.6676373088938701,-0.26892728486552286,-0.14934769672840673,-0.18913396091654427,-0.12840252979726405,-0.3951902454486245,0.003315,0.01,0.0,0.97,100,11,1,12
68,0.929753795169632,-3.7915862618307687,-0.6735377969615145,-0.27134158711481443,-0.1505932034408812,-0.19083085607151715,-0.129498964388624,-0.39895884575593304,0.003282,0.01,0.0,0.97,100,10,1,11
69,0.9304057567472366,-3.802683386674543,-0.6792987855102569,-0.2737273853232516,-0.15182243218691233,-0.19261598690787737,-0.13068192527473363,-0.4024243899667752,0.00325,0.01,0.0,0.97,100,10,1,11
70,0.9375453028336396,-3.8121934896333047,-0.6841910096548417,-0.2756666499920659,-0.1528938994022984,-0.19399951795580445,-0.1316104903647938,-0.4052639960774587,0.003219,0.01,0.0,0.97,100,10,1,11
71,0.9303935007187991,-3.823035113045058,-0.6897438585078419,-0.2778721359950362,-0.15412295702339485,-0.1956178412531783,-0.1326461845677368,-0.40835088411662906,0.003188,0.01,0.0,0.97,100,10,1,11
72,0.9261881196423479,-3.8344666870430166,-0.6958513097963032,-0.2803278602536534,-0.15548299727989068,-0.19732735814988195,-0.13381329416545462,-0.41197600965326614,0.003157,0.01,0.0,0.97,100,10,1,11
73,0.9317720662833954,-3.8446814057741476,-0.7011607844176203,-0.2824861167877989,-0.15664210169859394,-0.19880893388621165,-0.13479645124008857,-0.4154512689740868,0.003128,0.01,0.0,0.97,100,10,1,11
74,0.9311342495248027,-3.854993407233287,-0.7064965092700638,-0.28465710588741117,-0.15775708367405578,-0.2003331810338824,-0.13577934242717546,-0.41880387298676813,0.003098,0.01,0.0,0.97,100,10,1,11
75,0.9294888022547382,-3.8654133945532196,-0.7119651024109913,-0.28691457466555986,-0.15898308547882298,-0.20190601692513718,-0.13686522643023427,-0.4219959317776143,0.00307,0.01,0.0,0.97,100,10,1,11
76,0.9341191505103328,-3.8749717672780597,-0.7168699209647316,-0.2888663836262362,-0.16008151320709677,-0.20327061332692237,-0.13778623600980977,-0.4251305161951017,0.003042,0.01,0.0,0.97,100,10,1,11
77,0.9291115154145315,-3.8854697781642407,-0.7224220883021956,-0.29111120308273614,-0.16133544989123957,-0.20481270326319634,-0.13887815227264247,-0.4281415112230069,0.003014,0.01,0.0,0.97,100,10,1,11
78,0.9323983876385623,-3.8951757353228253,-0.7274320298774055,-0.29306050609558537,-0.16251336756486626,-0.20613861892920668,-0.13984634219382805,-0.43088467363669336,0.002987,0.01,0.0,0.97,100,10,1,11
79,0.9319908233494775,-3.904719131723383,-0.7324427390062007,-0.29506767238206755,-0.1636406341227726,-0.2076437827861637,-0.1408181132615979,-0.4338296124604201,0.00296,0.01,0.0,0.97,100,10,1,11
80,0.9377162629757786,-3.913339941726146,-0.7368563492278586,-0.29678780521365755,-0.164624213655402,-0.2088652515199808,-0.1416418188817835,-0.43648524824423546,0.002934,0.01,0.0,0.97,100,10,1,11
81,0.9324455611390284,-3.917150136648461,-0.7386735757303157,-0.29807694242857896,-0.16491694556685235,-0.21014541981897145,-0.1425616151762723,-0.4381198934674936,0.002909,0.01,0.0,0.97,100,11,1,12
82,0.9335636057287279,-3.9262422051388604,-0.7433301892310096,-0.2999848178372659,-0.16593487228537332,-0.21147583401642997,-0.143515947542739,-0.4408993561064217,0.002883,0.01,0.0,0.97,100,10,1,11
83,0.9295849977436446,-3.936023895393689,-0.7485173675368362,-0.30209919802206103,-0.1670951939012303,-0.21295375666416647,-0.14446705848816999,-0.44379111459007875,0.002859,0.01,0.0,0.97,100,10,1,11
84,0.936462612296697,-3.944592391963983,-0.752918112303517,-0.30386254722516864,-0.16806158670608512,-0.21409478019931374,-0.14529551088537815,-0.44626660343002017,0.002834,0.01,0.0,0.97,100,10,1,11
85,0.9299691389425848,-3.953969872218442,-0.7577762063128346,-0.30583975840947136,-0.1691130955963335,-0.21549033887824626,-0.1462811040419116,-0.4493574252441663,0.00281,0.01,0.0,0.97,100,10,1,11
86,0.930233742425014,-3.9628396750115717,-0.7624128496452103,-0.3077932490077562,-0.17010693472635321,-0.21687678238364733,-0.14718935564260957,-0.4522770537257479,0.002787,0.01,0.0,0.97,100,11,1,12
87,0.9282159071800908,-3.9725195504030606,-0.7673704776495116,-0.3097706543851923,-0.17122976911716348,-0.21833179061105107,-0.1482056372542429,-0.4553447419123486,0.002763,0.01,0.0,0.97,100,10,1,11
88,0.9322192669911845,-3.981471212240489,-0.7719693037006531,-0.31163845538265417,-0.17218087737504228,-0.2196955755483427,-0.14905713189344555,-0.45840681741158434,0.002741,0.01,0.0,0.97,100,10,1,11
89,0.9246156445345497,-3.9913805447266495,-0.777145212809031,-0.3137445571708638,-0.17332593069929988,-0.22116633454099022,-0.15003844236984096,-0.4616317149431895,0.002718,0.01,0.0,0.97,100,10,1,11
90,0.9342792129567662,-3.9998409311353016,-0.7814752848512586,-0.3154989506150872,-0.1742750993376391,-0.222450397929447,-0.15082491830792244,-0.4641588104847685,0.002696,0.01,0.0,0.97,100,10,1,11
91,0.9339654703643284,-4.008137629796931,-0.7858072245989457,-0.31723892047599694,-0.1752709307839176,-0.22370607200631726,-0.15167359809149034,-0.46660509495589486,0.002674,0.01,0.0,0.97,100,10,1,11
92,0.9289648043651398,-4.017108277101382,-0.7905193533081142,-0.3191423669339581,-0.17634311818501733,-0.22507842215299972,-0.1525988835335844,-0.46920336815191643,0.002653,0.01,0.0,0.97,100,10,1,11
93,0.9296233764062787,-4.019242131442952,-0.7913659686594072,-0.31999659945898296,-0.17625691708661673,-0.22628071513868625,-0.15335652169461664,-0.4701352038162289,0.002632,0.01,0.0,0.97,100,11,1,12
94,0.9347648678975824,-4.027169957492824,-0.7953938790822193,-0.32156535860153995,-0.1771706408934323,-0.2274092691479822,-0.15411379558072774,-0.47243191431774595,0.002611,0.01,0.0,0.97,100,10,1,11
95,0.9288060782695127,-4.0360213800139,-0.8001005759563766,-0.32342738409341826,-0.17825631257457503,-0.2287423502509448,-0.15499500218280357,-0.4751359745147906,0.002591,0.01,0.0,0.97,100,10,1,11
96,0.9299509555217318,-4.0445736162546835,-0.8045817551750893,-0.32522237847076496,-0.1792661794307674,-0.2300096324343502,-0.15587181139411727,-0.47795179780893876,0.002571,0.01,0.0,0.97,100,10,1,11
97,0.9283242044423535,-4.053357787464603,-0.8092438706862928,-0.3271512887653309,-0.1802822257224258,-0.2313854436826332,-0.1567118623346671,-0.48085977481430775,0.002551,0.01,0.0,0.97,100,10,1,11
98,0.9321276882626576,-4.059169569183519,-0.8123575780125005,-0.32869771311884066,-0.18088117733043824,-0.23253344811674143,-0.15747538290579127,-0.4832245775866803,0.002532,0.01,0.0,0.97,100,11,1,12
99,0.9349572649572649,-4.066688451172329,-0.8162977336100717,-0.33030718096846523,-0.18177006430979722,-0.233618980598736,-0.15824636057974034,-0.4855511881320931,0.002513,0.01,0.0,0.97,100,10,1,11
100,0.9273370844673,-4.075487560139982,-0.8209014715462317,-0.33219152507098576,-0.18281181407296274,-0.2349873384932202,-0.15914609547224032,-0.4882285651589711,0.002494,0.01,0.0,0.97,100,10,1,11
101,0.926954141461931,-4.084200367308409,-0.825537713427494,-0.3340801681964207,-0.18384869149168515,-0.23628440781178778,-0.16009527292272208,-0.49120703953649536,0.002475,0.01,0.0,0.97,100,10,1,11
102,0.9288218617369277,-4.092630809083722,-0.8299614075912183,-0.33587492946114395,-0.18482551618509194,-0.23764731267656064,-0.16095859444166563,-0.4940296898627251,0.002457,0.01,0.0,0.97,100,10,1,11
103,0.936600399634233,-4.099796368227552,-0.8335959620711234,-0.33736623031895163,-0.1856169398541022,-0.23872233517602928,-0.16166547515115526,-0.4961880277142413,0.002439,0.01,0.0,0.97,100,11,0,11
104,0.9303675372821365,-4.107866767603409,-0.8378555499505703,-0.3390874110962581,-0.18657387945152706,-0.23989755050179618,-0.16255173278639273,-0.49857594341004857,0.002421,0.01,0.0,0.97,100,10,1,11
105,0.9312489605853983,-4.115776645631862,-0.8419570022399753,-0.3407300346795857,-0.1875007441318702,-0.2410687502644891,-0.16335358908826222,-0.5010417850492666,0.002404,0.01,0.0,0.97,100,10,1,11
106,0.9277009333243806,-4.123981461385012,-0.8462877840081505,-0.34249957319418467,-0.18848856467656408,-0.24232110970164436,-0.16424205977436268,-0.5039722137034913,0.002386,0.01,0.0,0.97,100,10,1,11
107,0.9295807858791033,-4.131907322589042,-0.8503721406111396,-0.34418643329702514,-0.1893663672833765,-0.24357247255188705,-0.1650207875371053,-0.5064018758015539,0.002369,0.01,0.0,0.97,100,10,1,11
108,0.9259641643908613,-4.140379231460794,-0.8548358349749727,-0.3460412452990363,-0.19037971749901855,-0.24490110940530796,-0.1658943408616325,-0.5092808965528269,0.002352,0.01,0.0,0.97,100,10,1,11
109,0.9295137200999044,-4.1482699137846435,-0.85897975455478,-0.3477248351835222,-0.1912791270582534,-0.24605027253783204,-0.1667072791691904,-0.5117578290552269,0.002336,0.01,0.0,0.97,100,10,1,11
110,0.9283006735032322,-4.156080575002791,-0.8630163681234998,-0.34936673114105493,-0.1921328944702145,-0.24724758992709653,-0.16748445336707096,-0.5144557527130958,0.00232,0.01,0.0,0.97,100,10,1,11
111,0.9323011175742364,-4.163355001631373,-0.8667679354006469,-0.35087748616642955,-0.19297205959535074,-0.24834589064426327,-0.16819236488181605,-0.5164698017211753,0.002304,0.01,0.0,0.97,100,10,1,11
112,0.9358829195748061,-4.17015690296719,-0.8702688466888187,-0.3522724631966107,-0.1937495412777716,-0.24937341177192582,-0.16888406444597612,-0.5184294463914206,0.002288,0.01,0.0,0.97,100,10,1,11
113,0.931392115722498,-4.177386808919785,-0.8739894145481504,-0.35376283631451716,-0.19456218733366953,-0.2504397835023903,-0.1695680126348667,-0.5205191575182001,0.002272,0.01,0.0,0.97,100,10,1,11
114,0.9319748427672956,-4.181870500774083,-0.8761354030138361,-0.3548622614470408,-0.19491852853432778,-0.2514135388778064,-0.17021861013144507,-0.5219199971270237,0.002257,0.01,0.0,0.97,100,11,1,12
115,0.9349215474097119,-4.188632881694842,-0.8797204353571896,-0.3562875090554161,-0.19573133203349674,-0.25239256253559017,-0.1709139757283109,-0.5239770583587539,0.002241,0.01,0.0,0.97,100,10,1,11
116,0.9284064665127021,-4.196124960203934,-0.8836970310467879,-0.35791670817946164,-0.1966344891789664,-0.25352219730689,-0.17169727166969656,-0.5260357794223454,0.002226,0.01,0.0,0.97,100,10,1,11
117,0.928874258067734,-4.2036782235104475,-0.8876984053307249,-0.3595478840958055,-0.19753598849264944,-0.2546772023368543,-0.17244161805559396,-0.5284526177682215,0.002212,0.01,0.0,0.97,100,10,1,11
118,0.9273707367042268,-4.2059419186622655,-0.8888992266245997,-0.36048346514707336,-0.19776753019769258,-0.25570156783237846,-0.17316216864079814,-0.5297910602875591,0.002197,0.01,0.0,0.97,100,11,1,12
119,0.9240343491045175,-4.213966094667766,-0.8932019489626154,-0.36219860074915705,-0.19879851470329796,-0.25690345317729835,-0.17398640902157161,-0.5319773972463323,0.002182,0.01,0.0,0.97,100,10,1,11
120,0.933286363712613,-4.220726171223158,-0.896715774163211,-0.36358878130520894,-0.1996183165916528,-0.2578726129659933,-0.1746572919900352,-0.5339224020443089,0.002168,0.01,0.0,0.97,100,10,1,11
121,0.9310426022167281,-4.227732954023465,-0.9003521686243142,-0.36507708399837496,-0.20039967542090864,-0.2590232011223347,-0.1754020135071431,-0.5359137992276363,0.002154,0.01,0.0,0.97,100,10,1,11
122,0.9280615602693262,-4.235022123698341,-0.9042022087460394,-0.36665941135808744,-0.2012591478287035,-0.26015960647471875,-0.17613210342805682,-0.5382152509882319,0.00214,0.01,0.0,0.97,100,10,1,11
123,0.9320081583522803,-4.24185579384198,-0.9077410025560144,-0.3681233515668163,-0.20203832530225824,-0.2611908534691044,-0.17684166288356157,-0.5404609996272477,0.002127,0.01,0.0,0.97,100,10,1,11
124,0.93238757939784,-4.248560626097226,-0.9112325351412318,-0.36954485623615685,-0.2027589534593884,-0.2622072431353466,-0.17745602441297748,-0.5427199559303223,0.002113,0.01,0.0,0.97,100,10,1,11
125,0.9278574459058124,-4.255701562471572,-0.9148922602176716,-0.37101356936862506,-0.20360204093108888,-0.2632579250340078,-0.17819175665993026,-0.5449038711413879,0.0021,0.01,0.0,0.97,100,10,1,11
126,0.9309549852755574,-4.262511726332119,-0.9183996667421153,-0.3724276595780036,-0.2043943133076887,-0.26423893184130076,-0.17887605133226675,-0.5471108065012555,0.002087,0.01,0.0,0.97,100,10,1,11
127,0.9313932118228262,-4.269144727496151,-0.9218813532404854,-0.37382668249971274,-0.20518115950974541,-0.2652040780179486,-0.17958090943064525,-0.5494187267112454,0.002074,0.01,0.0,0.97,100,10,1,11
128,0.9297129402334552,-4.27604972968672,-0.925493495292193,-0.37529913628695266,-0.20600697836486748,-0.26627338791706817,-0.18026078759974262,-0.5515331666602544,0.002061,0.01,0.0,0.97,100,10,1,11
129,0.9296779076612565,-4.282835004809145,-0.9290164877499226,-0.3767733409264992,-0.20674756916282402,-0.26733505754356174,-0.18094282471964696,-0.5538227005405446,0.002048,0.01,0.0,0.97,100,10,1,11
