episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
0,0.9026908357314505,-2.0143091526813808,-0.7366727717511822,-0.6277983749285341,-0.5056497116267565,-0.39665094546508045,0.1,0.1,0.2,0.2,2219,1061,2040,33707,37637,37634,0,0,0,0,1356,1370,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
1,0.9353024760407533,-2.4514581756361844,-0.9118656653216657,-0.739681152470296,-0.6107041730389418,-0.4798176733246487,0.098228,0.1,0.198803,0.2,1391,749,1169,33077,37710,37706,0,0,0,0,3839,3839,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
2,0.9371899335518206,-2.7733317842447045,-1.0456793888902916,-0.8331183870501137,-0.7286828545105379,-0.5779198737151161,0.096518,0.1,0.197613,0.2,1336,753,1424,33259,37948,37945,0,0,0,0,3892,3880,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
3,0.936399568810636,-3.0352249238719864,-1.157300950976035,-0.9082839789767997,-0.816317541568749,-0.6584839949959568,0.094867,0.1,0.19643,0.2,1393,731,1274,33396,38152,38149,0,0,0,0,3881,3881,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
4,0.936211204431199,-3.1811156679303796,-1.2372030536598477,-0.9459058579484314,-0.871899736218802,-0.7279585513286715,0.093271,0.1,0.195254,0.2,1383,736,1259,33219,37943,37939,0,0,0,0,3785,3795,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
5,0.9476514553077717,-3.1170709246854384,-1.2469216632531372,-0.9220393212434118,-0.8885825708614276,-0.7488880074372858,0.091728,0.1,0.194086,0.2,1157,566,1134,32914,37970,37960,0,0,0,0,3780,3780,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
6,0.9453218116805722,-3.087810676575211,-1.2561264637744682,-0.9201923990853775,-0.8883163874616693,-0.7604635858353506,0.090235,0.1,0.192924,0.2,1279,556,1256,33560,38513,38510,0,0,0,0,3826,3824,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
7,0.9415154559962172,-3.1474133125489847,-1.2892057206061542,-0.9319598207871503,-0.8841097675565436,-0.751601878884005,0.08879,0.1,0.191769,0.2,1214,765,1390,33838,38642,38635,0,0,0,0,3843,3829,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
8,0.9420307177433813,-3.1427648375394974,-1.3046797297612454,-0.9264029928239645,-0.9080881113364278,-0.7706838693878912,0.087391,0.1,0.190621,0.2,1248,692,1283,33466,38344,38344,0,0,0,0,3827,3833,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
9,0.9460126391814625,-3.135297619970914,-1.3286968387157045,-0.9173686946857277,-0.9446929785065463,-0.7954186082628786,0.086034,0.1,0.189481,0.2,1246,548,1210,33230,38082,38079,0,0,0,0,3869,3857,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
10,0.9441124884806326,-3.153412776851157,-1.3598002447616402,-0.9142217761369897,-0.9697392807865448,-0.806696093003747,0.08472,0.1,0.188346,0.2,1265,615,1197,33639,38558,38558,0,0,0,0,3777,3761,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
11,0.9426705370101597,-3.1120776218801964,-1.3796129241614001,-0.8923677647637314,-0.9678686183125208,-0.8224524915597882,0.083445,0.1,0.187219,0.2,1312,584,1132,33072,37810,37799,0,0,0,0,3866,3848,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
12,0.9378559713731922,-3.12993085283144,-1.3895968749614724,-0.8988352595232761,-0.9727536081564065,-0.8397220664090294,0.082208,0.1,0.186098,0.2,1332,752,1477,33535,38386,38380,0,0,0,0,3842,3829,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
13,0.9425653546120407,-3.195290731735086,-1.4275236291502063,-0.914078650628502,-0.9883021824631899,-0.8730427989708365,0.081006,0.1,0.184985,0.2,1179,750,1262,33586,38574,38571,0,0,0,0,3901,3886,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
14,0.943390452876377,-3.167367678089084,-1.4464205041853253,-0.9002521485160236,-1.0068114911760178,-0.8765110770980474,0.07984,0.1,0.183877,0.2,1267,583,1213,32680,37517,37512,0,0,0,0,3796,3801,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
15,0.9431461144857716,-3.2027321702900995,-1.4569958414510078,-0.9062700830495393,-1.0193234944801537,-0.8960927521441354,0.078707,0.1,0.182777,0.2,1277,623,1301,33419,38217,38208,0,0,0,0,3944,3940,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
16,0.9394168303369089,-3.2167464985275274,-1.5090311620180046,-0.8988827630586895,-1.0587973667389994,-0.9186571472537683,0.077605,0.1,0.181683,0.2,1354,651,1324,33095,37807,37793,0,0,0,0,3884,3892,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
17,0.9354326462128475,-3.2546977511368,-1.5385544721165039,-0.90969848353914,-1.0833384890291724,-0.9375877199726638,0.076534,0.1,0.180595,0.2,1321,834,1358,33376,38163,38153,0,0,0,0,3782,3777,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
18,0.9386414089092793,-3.3738905983394254,-1.5928897269900126,-0.9470676582758948,-1.1234242422461669,-0.9784550026950541,0.075492,0.1,0.179514,0.2,1364,709,1318,33785,38582,38576,0,0,0,0,3806,3804,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
19,0.9410276256251489,-3.35065229807494,-1.5849659576132766,-0.9409685074817168,-1.1235357482694084,-0.9853374528069888,0.074478,0.1,0.17844,0.2,1333,648,1410,33592,38270,38265,0,0,0,0,3793,3786,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
20,0.9450694112015319,-3.284942846032368,-1.5807893364299128,-0.9054124677296496,-1.1182472760779463,-0.9834661476688138,0.07349,0.1,0.177372,0.2,1221,615,1307,33424,38228,38217,0,0,0,0,3932,3932,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
21,0.9379801607158627,-3.3036818899624927,-1.5973926928783868,-0.9129921083342863,-1.1338413278654211,-0.9923414665881132,0.072529,0.1,0.17631,0.2,1365,742,1225,33973,38744,38737,0,0,0,0,3788,3785,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
22,0.9386122834459758,-3.2310789976251226,-1.5856413658311914,-0.89267307872824,-1.1178976853613802,-0.9862744109049081,0.071593,0.1,0.175255,0.2,1365,715,1368,33883,38581,38571,0,0,0,0,3866,3866,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
23,0.942109034453932,-3.229729625839924,-1.5972153276245746,-0.8856263927817251,-1.116374652270291,-0.9842883925580448,0.07068,0.1,0.174206,0.2,1218,721,1543,33494,38514,38507,0,0,0,0,3869,3856,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
24,0.9421073176590697,-3.262218168996925,-1.6108881062954228,-0.8856794564326192,-1.1024998565873294,-0.9754198144057099,0.06979,0.1,0.173163,0.2,1237,691,1362,33303,38146,38139,0,0,0,0,3915,3915,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
25,0.9421615201900237,-3.359736527037113,-1.6567681755885673,-0.9111561703277133,-1.1212532574206078,-1.0001890737023342,0.068923,0.1,0.172127,0.2,1282,666,1431,33680,38416,38414,0,0,0,0,3837,3843,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
26,0.9405715652277891,-3.2842782346978554,-1.649317876360252,-0.8852136152067828,-1.13807042040816,-1.0070225378016735,0.068076,0.1,0.171096,0.2,1235,753,1423,33452,38142,38134,0,0,0,0,3883,3888,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
27,0.9375131685880264,-3.372160883712788,-1.681351962036811,-0.9172620440708539,-1.141640303927369,-1.0045877630851916,0.067251,0.1,0.170072,0.2,1363,713,1433,33223,38044,38035,0,0,0,0,3843,3857,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
28,0.9410488783241717,-3.3584751272806006,-1.6933022315170014,-0.9068381318799721,-1.1647624801237653,-1.033408596620346,0.066445,0.1,0.169054,0.2,1298,686,1240,33655,38512,38503,0,0,0,0,3948,3962,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
29,0.9359659125007501,-3.4573712701984385,-1.7378550368458423,-0.931906450539911,-1.2149403597911426,-1.0578842487003162,0.065658,0.1,0.168042,0.2,1372,762,1295,33326,38036,38033,0,0,0,0,3897,3889,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
30,0.9370008076819528,-3.4940637248521957,-1.7596039987278103,-0.938375912914986,-1.2153060326889418,-1.06777564302406,0.064889,0.1,0.167037,0.2,1413,693,1548,33429,38156,38149,0,0,0,0,3870,3888,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
31,0.9465130815251361,-3.3859129223695126,-1.7336553286349357,-0.9029692358023791,-1.1702950061142785,-1.0502232344400548,0.064139,0.1,0.166037,0.2,1149,648,1335,33597,38696,38689,0,0,0,0,3801,3799,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
32,0.9368689903846154,-3.331125993367603,-1.7294483629713557,-0.882321206698461,-1.163095195970419,-1.0551940426815583,0.063405,0.1,0.165043,0.2,1549,552,1417,33280,37876,37872,0,0,0,0,3741,3741,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
33,0.9428923335736602,-3.267020820692992,-1.716101400038716,-0.865769604442217,-1.1798125109428648,-1.0724584569067477,0.062688,0.1,0.164055,0.2,1160,741,1378,33288,38458,38450,0,0,0,0,3832,3835,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
34,0.9416911350357386,-3.331968664019071,-1.7282532148033931,-0.8836014886082252,-1.1896828175358243,-1.0900487237541672,0.061988,0.1,0.163073,0.2,1341,625,1414,33717,38550,38543,0,0,0,0,3912,3902,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
35,0.9363264822602618,-3.465174026354305,-1.7829259994809303,-0.9225378284578721,-1.2448800969479514,-1.1306506760878308,0.061302,0.1,0.162097,0.2,1278,872,1393,33766,38790,38784,0,0,0,0,3872,3892,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
36,0.9433660859605763,-3.50879287051104,-1.8059929149274188,-0.9341564312409576,-1.2564367052047738,-1.137266108349313,0.060632,0.1,0.161127,0.2,1209,670,1222,33178,38020,38018,0,0,0,0,3836,3823,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
37,0.9412382896949315,-3.505322861052378,-1.8178098034829107,-0.9245863142910312,-1.2833159502737546,-1.1547564951364195,0.059976,0.1,0.160162,0.2,1255,702,1154,33304,38047,38041,0,0,0,0,3863,3859,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
38,0.9446847868245964,-3.4103141286614447,-1.8081883921822703,-0.8861970090434449,-1.2915833547960562,-1.1593677604687442,0.059334,0.1,0.159204,0.2,1126,728,1411,33517,38572,38568,0,0,0,0,3800,3800,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
39,0.9429877679544629,-3.4335302972246056,-1.8216599456120344,-0.8876556388182786,-1.318169103766918,-1.186866638103357,0.058706,0.1,0.158251,0.2,1208,675,1265,33028,37900,37895,0,0,0,0,3860,3850,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
40,0.9486232980332829,-3.364249962695732,-1.8148310471368463,-0.862730345043615,-1.3041732543100257,-1.1783358451117194,0.058091,0.1,0.157304,0.2,1210,488,1112,33050,38067,38057,0,0,0,0,3773,3774,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
41,0.9384158949923582,-3.3864418916462764,-1.8299222364266097,-0.8700404806173974,-1.3227152394919826,-1.1998353477550203,0.057488,0.1,0.156362,0.2,1215,840,1224,33369,38264,38259,0,0,0,0,3942,3946,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
42,0.9494225288735563,-3.3306124362786136,-1.8037809246914018,-0.8475271270062159,-1.2932174892105817,-1.1808416173430551,0.056899,0.1,0.155426,0.2,1144,542,1488,33335,38227,38223,0,0,0,0,3827,3829,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
43,0.9408403260248428,-3.3290324577311483,-1.8088372635996277,-0.8439897181434474,-1.293276789855673,-1.1865364620030048,0.056321,0.1,0.154496,0.2,1201,766,1361,33249,38331,38325,0,0,0,0,3821,3841,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
44,0.9401235308227393,-3.3121652350091377,-1.8087113276037248,-0.8302671183527869,-1.2954580364002948,-1.1887508723020765,0.055754,0.1,0.153571,0.2,1226,771,1320,33352,38263,38256,0,0,0,0,3810,3806,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
45,0.9373273273273274,-3.3574054855716144,-1.8402293325605996,-0.8400876110809361,-1.3121973772109632,-1.2100459512280066,0.055199,0.1,0.152652,0.2,1260,827,1321,33300,38008,38001,0,0,0,0,3826,3831,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
46,0.9488825631397251,-3.2935681776402252,-1.8335874534527687,-0.8172283545937727,-1.326973238909566,-1.2255393136451895,0.054655,0.1,0.151738,0.2,1092,596,1241,33022,38025,38021,0,0,0,0,3864,3879,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
47,0.9382992041491549,-3.3324129243763054,-1.8456635194425146,-0.8272246456668375,-1.3280419378423514,-1.236139092193592,0.054121,0.1,0.15083,0.2,1484,586,1242,33549,38154,38151,0,0,0,0,3792,3810,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
48,0.9426435424800993,-3.3791067585264885,-1.863868388619762,-0.8382556994954263,-1.3428892810402397,-1.245020117012056,0.053598,0.1,0.149927,0.2,1151,744,1420,33039,37873,37868,0,0,0,0,3928,3943,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
49,0.9371851056852398,-3.454509606613052,-1.8974284335710716,-0.8541273500994915,-1.3574423124547672,-1.266153550861074,0.053085,0.1,0.14903,0.2,1228,879,1413,33543,38310,38297,0,0,0,0,3852,3839,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
50,0.94162255397609,-3.454178576963208,-1.9056522148802757,-0.8518969843248921,-1.3612769745614914,-1.2774297199520153,0.052582,0.1,0.148138,0.2,1272,691,1260,33626,38523,38515,0,0,0,0,3813,3802,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
51,0.9371969035211904,-3.523252733303436,-1.9544503117384286,-0.8654890010241528,-1.3945432490385639,-1.315886956252866,0.052088,0.1,0.147251,0.2,1304,781,1270,33199,38002,37995,0,0,0,0,3827,3826,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
52,0.9397948565482385,-3.526418764045338,-1.9681792329856627,-0.8606994091095013,-1.4056799532095292,-1.3259352222204746,0.051603,0.1,0.14637,0.2,1356,669,1243,33635,38423,38417,0,0,0,0,3852,3862,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
53,0.9462158478041842,-3.484073663901731,-1.9566732401944367,-0.8434461826460438,-1.3863286676545339,-1.3200669195007326,0.051127,0.1,0.145494,0.2,1171,644,1316,33746,38745,38737,0,0,0,0,3952,3932,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
54,0.9407032181168057,-3.526250935218855,-1.9755787073023252,-0.8510421178661498,-1.4028451178625179,-1.3347692967710207,0.05066,0.1,0.144623,0.2,1295,695,1386,33560,38403,38397,0,0,0,0,3874,3861,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
55,0.9388890550686488,-3.4963842234665723,-1.970325284464481,-0.8395861312954028,-1.392084265915563,-1.3301067511459577,0.050201,0.1,0.143757,0.2,1384,659,1325,33431,38077,38072,0,0,0,0,3853,3847,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
