episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,demand_weighted_depot_backlog,demand_weighted_onsite_backlog,maintenance_restoration_value,onsite_shortage_pressure,depot_shortage_pressure,late_broken_cargo_pressure,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
10,0.9081545208609884,-2.8874226279862385,-0.20544133665920009,-0.0964089966183163,-0.03670752981726979,-0.06840595364269718,-0.042134552173257483,-0.0020774476397199485,-0.0007643717854128315,-0.001400984212306822,-0.03717181473591501,-0.07599062790707495,-0.018238319207204947,0.007686,0.01,0.0,0.97,100,11,1,12
11,0.9088967013742872,-2.924086103212314,-0.22478953342867788,-0.10501113742704839,-0.040277640109943565,-0.07405684878878578,-0.045714783575375846,-0.0022498487187994133,-0.0008342804200840178,-0.0015813154199560437,-0.040543985383320436,-0.08402770556268817,-0.019907635827482097,0.007513,0.01,0.0,0.97,100,11,1,12
12,0.9158344017814968,-2.9538615511720177,-0.24051105849230722,-0.11220646690747786,-0.043202937998609685,-0.07920363055285876,-0.048808600490120146,-0.0023883170751275995,-0.000891143087061207,-0.0017446397997740817,-0.04307650426736012,-0.08928753160485499,-0.02148170707084798,0.007346,0.01,0.0,0.97,100,11,1,12
13,0.9096839273705447,-2.9876043394705603,-0.25828931595662646,-0.12031569186759233,-0.04646745053495669,-0.08468135867465898,-0.05217466941439077,-0.002570314285724941,-0.0009523466893910619,-0.001942068351830672,-0.04618081950821186,-0.09600432394291074,-0.02276849989441742,0.007188,0.01,0.0,0.97,100,11,1,12
14,0.9197370177546389,-3.0170618916341336,-0.2735720915211966,-0.12706256178590733,-0.04923390511110513,-0.08934057262158542,-0.05494413682674297,-0.00270808295347623,-0.0010045504133279716,-0.002054544613618041,-0.04861773665908452,-0.10150736919356719,-0.023957233901098256,0.007035,0.01,0.0,0.97,100,11,1,12
15,0.9218679159740063,-3.0244128773414407,-0.2793092059012289,-0.13164041807471377,-0.04997864814995768,-0.09361270347557267,-0.0572833261676807,-0.0027982655488779503,-0.0010463049641363659,-0.0018674687914821421,-0.050392708955642296,-0.10404673568566918,-0.02517463937161489,0.006889,0.01,0.0,0.97,100,11,1,12
16,0.912990154900709,-3.0555760320891463,-0.2956004029952758,-0.1389391318933348,-0.05286355309240065,-0.0986786232560011,-0.060195929516333374,-0.0029521931299496314,-0.001098221001301636,-0.001995035400045821,-0.05327273168788581,-0.10976514219595922,-0.026568708715945164,0.006749,0.01,0.0,0.97,100,11,1,12
17,0.9116036109138858,-3.0847811745316087,-0.3109649546989372,-0.14570047362540342,-0.055775982986971756,-0.10324540095318116,-0.06316775890510326,-0.003086997937636348,-0.001149265969116935,-0.002047584341235459,-0.05626536422659594,-0.11433460547935251,-0.027800011427563946,0.006615,0.01,0.0,0.97,100,11,1,12
18,0.9146644435181326,-3.111687760742984,-0.3248611049910256,-0.15199413312571172,-0.058321419582115896,-0.10781992232946132,-0.06599923932858354,-0.0032472189124474657,-0.001202736687729039,-0.0021851425888213378,-0.05904589738002872,-0.11929157338117662,-0.028902682801240528,0.006486,0.01,0.0,0.97,100,11,1,12
19,0.910113122940517,-3.141908163468718,-0.34048571936837935,-0.15894595939218056,-0.06121905222468201,-0.11260576970263735,-0.06895313606207695,-0.0034058760549627904,-0.0012553977523239476,-0.002303836940450336,-0.06152098138739581,-0.1250572008984921,-0.030378043630147046,0.006362,0.01,0.0,0.97,100,11,1,12
20,0.9119730072826886,-3.170823449418998,-0.3555288452229835,-0.16564930680547013,-0.06388366506751218,-0.11711108850257952,-0.07173269998527362,-0.003552120448187314,-0.0013080920048113252,-0.0024649351180558946,-0.06433261816581931,-0.13107658996999846,-0.031506195224447725,0.006242,0.01,0.0,0.97,100,10,1,11
21,0.9115825201527366,-3.1988366056157806,-0.37006943437329204,-0.17226022505920885,-0.06640573115175462,-0.12168848227908802,-0.0743367725326839,-0.0036937956172017946,-0.0013641478323644586,-0.002622792324197789,-0.06708915140381472,-0.13636836623484297,-0.03272551671482121,0.006127,0.01,0.0,0.97,100,10,1,11
22,0.9176472554656683,-3.2215544059803864,-0.382417943105034,-0.17791477079146875,-0.06878465003693528,-0.12569970811496745,-0.07685865414053676,-0.003801023530838685,-0.0014054613039283061,-0.0026732957506277965,-0.06897776529960661,-0.13980703527287977,-0.034056588674269174,0.006016,0.01,0.0,0.97,100,11,1,12
23,0.9171060389118167,-3.2468034721659644,-0.39578923366831975,-0.18377958423662102,-0.07132680350940311,-0.1294210315147426,-0.07933378475498147,-0.003925556676576832,-0.0014494986058374226,-0.002810156600967122,-0.07122735542526804,-0.14435937218219727,-0.03493030836122863,0.005909,0.01,0.0,0.97,100,11,0,11
24,0.9181921054383279,-3.2686768240368353,-0.40741010745663947,-0.18905567970343676,-0.0734974592271891,-0.13299127350565587,-0.08169729818532796,-0.004027303799430863,-0.001488920974592133,-0.0029368258662162295,-0.07275927441753674,-0.14841991319948647,-0.03604218873134539,0.005806,0.01,0.0,0.97,100,11,1,12
25,0.914579470756784,-3.293860228367408,-0.4202617986203584,-0.19464565044073437,-0.07587072483756609,-0.13688598580232608,-0.08403735786399846,-0.0041388981186640875,-0.001531557518502973,-0.0030697443731394136,-0.0752456834833617,-0.15272170661668544,-0.03734165476221792,0.005706,0.01,0.0,0.97,100,10,1,11
26,0.9137867151711129,-3.3188000208858375,-0.43329477250093335,-0.20033106486049032,-0.07836668464739367,-0.14063313924255963,-0.08638450853400163,-0.004267125311582831,-0.0015645594693099874,-0.003174697637289334,-0.07702852983063983,-0.15766454366694643,-0.038398219706961445,0.00561,0.01,0.0,0.97,100,10,1,11
27,0.9188351714257155,-3.341753698715423,-0.4453166120027721,-0.20562297870650578,-0.08067068501078405,-0.14425780371518854,-0.0885317113445665,-0.0043804291924458855,-0.0016015106245951922,-0.0032860968207719652,-0.07894026772509741,-0.16169956935410573,-0.03954636012443991,0.005517,0.01,0.0,0.97,100,11,1,12
28,0.9200053868426369,-3.3611710313816188,-0.4552502354930879,-0.2102387140373629,-0.08248568499086377,-0.1477260259835421,-0.09060110287868023,-0.004477575171731859,-0.0016378771468566796,-0.003328768913699758,-0.0808276722740329,-0.16508551938561203,-0.04077887692804337,0.005426,0.01,0.0,0.97,100,11,1,12
29,0.9152593435653673,-3.3840191951620247,-0.4669198109548163,-0.21547444321450918,-0.08455429970348721,-0.1514306919011125,-0.09271073952958393,-0.0045904144945162146,-0.0016783658698585702,-0.0034414656544225703,-0.08288171710725502,-0.1691514986651651,-0.0416519115171545,0.005339,0.01,0.0,0.97,100,11,1,12
30,0.914796074302985,-3.4057990065969705,-0.4783291887562267,-0.22053857391132198,-0.08672610850776749,-0.15494130563327482,-0.09494512277795167,-0.004702635741535672,-0.001715576850138013,-0.003561039754555226,-0.08488357666453653,-0.17328128998166678,-0.04240673138682605,0.005255,0.01,0.0,0.97,100,11,1,12
31,0.9196764770443915,-3.4251762651587008,-0.4886497854324477,-0.22522398600879126,-0.08866102194343968,-0.1583788849751585,-0.09705997243853119,-0.004793492051815054,-0.0017518151493808847,-0.0036692456525834285,-0.08657061669188243,-0.1765366260690351,-0.04310479806922363,0.005173,0.01,0.0,0.97,100,11,1,12
32,0.9144257562023701,-3.4475865132698162,-0.5002570112251357,-0.2304367977993458,-0.09076942365275215,-0.16195207701122483,-0.0991541022187847,-0.004909695167245891,-0.0017887852879391528,-0.003781662890835517,-0.08859894545381967,-0.1808720701756618,-0.043979937430464786,0.005094,0.01,0.0,0.97,100,10,1,11
33,0.9114648602878916,-3.470439005633112,-0.5122431362455286,-0.23586599323463298,-0.09298463059282612,-0.1655706777798301,-0.1013795678395183,-0.005030981623821676,-0.0018332416164986624,-0.003870853424862875,-0.0908607894343434,-0.1849740001040663,-0.04475193803843963,0.005017,0.01,0.0,0.97,100,11,1,12
34,0.9151447364027913,-3.490588741035255,-0.5228191255465445,-0.24055078297952595,-0.09496034771592117,-0.1687656562860137,-0.10339508505741915,-0.005130044660699948,-0.0018636889345934639,-0.003964358153365397,-0.09220862922689428,-0.18855266729570413,-0.04569050627908105,0.004942,0.01,0.0,0.97,100,11,1,12
35,0.9125076183381865,-3.509635270139784,-0.5326264868525635,-0.24505618396927492,-0.09681687217973682,-0.1721628606581524,-0.10543336256316199,-0.00523253933448866,-0.0018925597668898173,-0.004005492400104186,-0.09364155226833443,-0.19245013938894873,-0.04690610438917739,0.00487,0.01,0.0,0.97,100,11,1,12
36,0.9094637011036485,-3.531075174503319,-0.5437975818000857,-0.250185032355012,-0.09880783117654976,-0.17584726961087474,-0.10762699802879043,-0.005359583935908016,-0.0019313939427122709,-0.004097666072900671,-0.0958984662482391,-0.19676765934644302,-0.047736311023129537,0.004799,0.01,0.0,0.97,100,11,1,12
37,0.9162559064486522,-3.55114150666814,-0.5541959328659789,-0.25476256971027483,-0.10075956407229363,-0.1790016110300478,-0.10964959994954025,-0.005447689097220238,-0.0019704946842474293,-0.004171909973878081,-0.09747778254959918,-0.2000505859428299,-0.04885614053874014,0.004731,0.01,0.0,0.97,100,11,1,12
38,0.9166666666666666,-3.5710552599514505,-0.5645881646596693,-0.2593304034525876,-0.10267046886400086,-0.18212177982638209,-0.11166030526723356,-0.0055464728018049655,-0.0020058530293822993,-0.004252645375338745,-0.09934572410487233,-0.20391312592007393,-0.04988891018668681,0.004665,0.01,0.0,0.97,100,11,1,12
39,0.9133426188518401,-3.5918379677402537,-0.5755665543647138,-0.26407950459740914,-0.10476265287697374,-0.1854015946497679,-0.11358262811489733,-0.005651525418779938,-0.002036990156023466,-0.004333558283354976,-0.10100717546416328,-0.2084310919149904,-0.050672611078052404,0.0046,0.01,0.0,0.97,100,11,1,12
40,0.9134406988763295,-3.6120433168965116,-0.5861233862046203,-0.26864978502756887,-0.10677527144169181,-0.18851124322190405,-0.11552919063469674,-0.005750773194141759,-0.002062979429870505,-0.004415895244558648,-0.10247302101453111,-0.21200732290865848,-0.05163358229493412,0.004537,0.01,0.0,0.97,100,11,0,11
41,0.9108646332240988,-3.63288398131617,-0.5968665559913474,-0.27351696746610177,-0.10867259585468288,-0.1918417407598996,-0.1174428249929161,-0.005871005580576553,-0.0020954425442561895,-0.0045232579476296095,-0.10428839218146424,-0.2160807471065334,-0.05235160698673955,0.004476,0.01,0.0,0.97,100,11,1,12
42,0.9194779487007432,-3.650186312916249,-0.6060500110416744,-0.27763791641350666,-0.11041042363786395,-0.19470895426216303,-0.1192433221971628,-0.005957410750520855,-0.002125950948826025,-0.004582688960890594,-0.10584070217034867,-0.21910471448549904,-0.052938986638091136,0.004417,0.01,0.0,0.97,100,11,1,12
43,0.9111887530155561,-3.67021536627774,-0.6165788083901605,-0.28228587514478043,-0.11237830255335178,-0.1979101354208944,-0.12119583222399287,-0.006047923136283916,-0.0021648138839507882,-0.004675388426368033,-0.10754445998301916,-0.22322392826988674,-0.05372325236935923,0.004359,0.01,0.0,0.97,100,10,1,11
44,0.9103263149064675,-3.6895531069535714,-0.6266899215416005,-0.28684565755687624,-0.11421614534289298,-0.20111528301518072,-0.12308209579437841,-0.006141331547887656,-0.0022050161310595384,-0.00478014440332243,-0.10928443475634618,-0.22688523715914152,-0.054692824628227145,0.004302,0.01,0.0,0.97,100,11,1,12
45,0.9123710472728497,-3.7083104077468683,-0.6364712302389838,-0.29125201482215307,-0.11596513025786273,-0.20403715265773034,-0.12495028535123803,-0.006257226178560671,-0.002233111034308481,-0.0048686049034530905,-0.11074005087510615,-0.23081481319267785,-0.05522737003985205,0.004247,0.01,0.0,0.97,100,11,1,12
46,0.9148350726485688,-3.726217593380467,-0.6458401727787413,-0.2955755390461971,-0.11759199961628426,-0.20720872241334648,-0.12681635903006955,-0.006348608607566915,-0.0022702208999767558,-0.004959004073713566,-0.11252601397787307,-0.23425506116976771,-0.055876847929375556,0.004194,0.01,0.0,0.97,100,11,1,12
47,0.9141121793258502,-3.7416993041545012,-0.6539157894988694,-0.2993515826792086,-0.11903907895105004,-0.21005185510761956,-0.12856310593488918,-0.006422871520485282,-0.002302789282276127,-0.00498148957744074,-0.11411306228918344,-0.2370121591138526,-0.05701299839196074,0.004141,0.01,0.0,0.97,100,11,1,12
48,0.9163730053191489,-3.758746611028736,-0.6628949916367471,-0.30338887696298644,-0.12068728678474396,-0.21277715660463528,-0.13024646631032905,-0.006504364046355896,-0.00232873391292877,-0.005087229536586781,-0.115333769728586,-0.24035758633236898,-0.05771515360753289,0.00409,0.01,0.0,0.97,100,11,1,12
49,0.9142592592592592,-3.776368606874395,-0.6720837240898369,-0.30749873596759897,-0.12233788779756133,-0.21555259792015785,-0.1317833599261243,-0.006594115215931395,-0.0023548201813981505,-0.005187804652493129,-0.11685023213198611,-0.24397924231550974,-0.05826092303505084,0.004041,0.01,0.0,0.97,100,11,1,12
50,0.9176381783108278,-3.792355039048449,-0.6804203425177006,-0.3111973922692099,-0.1238926958909766,-0.21805761619403027,-0.13345040559808813,-0.0066674064437828836,-0.0023846107575579627,-0.0052565231498269156,-0.11824749603817178,-0.24697924289470552,-0.059078390677735904,0.003992,0.01,0.0,0.97,100,11,1,12
51,0.9127441077441077,-3.8097640409412876,-0.6894297068288439,-0.31522542450586105,-0.12553405693979355,-0.2209408008581274,-0.1350842380160586,-0.006746816472823807,-0.0024112815697811233,-0.005338932987687449,-0.11954429809992793,-0.25050417757653054,-0.05991732365220418,0.003945,0.01,0.0,0.97,100,11,0,11
52,0.9131199731903485,-3.8222734766334456,-0.6963088874444614,-0.3186294846306481,-0.12695538666067765,-0.22341441263193523,-0.13670378697725824,-0.006820783840198381,-0.002433495577401006,-0.005407466308947813,-0.12051814273460923,-0.25316809468210205,-0.06071165584462134,0.003898,0.01,0.0,0.97,100,11,1,12
53,0.9083934942463275,-3.8399024891857714,-0.7055992102853613,-0.32276787677524404,-0.12862173666590343,-0.2261560882620615,-0.13839223486953336,-0.006906835289149221,-0.002460938829222755,-0.005479669661980574,-0.12195905961202182,-0.2568945528996796,-0.06163624941143511,0.003853,0.01,0.0,0.97,100,11,1,12
54,0.9166890350288552,-3.8552824168012956,-0.7136849952577292,-0.3265057905435469,-0.13004616490935125,-0.2287939956920734,-0.13995575609422978,-0.006986347366543684,-0.002489854341132142,-0.005534554695155863,-0.1235039089531024,-0.26014986596726364,-0.06224255540194534,0.003809,0.01,0.0,0.97,100,11,1,12
55,0.908002077156306,-3.871565291366016,-0.7221613074459876,-0.33048074228057533,-0.1315335416511763,-0.23155644291037247,-0.14160034994180928,-0.007078176872020845,-0.0025191442494888945,-0.005587438878214034,-0.12494232786904266,-0.26352408596404264,-0.06300512964397137,0.003766,0.01,0.0,0.97,100,11,1,12
56,0.9211935473007106,-3.8857380725291386,-0.7295573144780422,-0.3337177787242036,-0.13297661431383012,-0.23382615258744113,-0.14302219421659523,-0.007138458843939045,-0.0025410659517273925,-0.005616071697573856,-0.12621511830942173,-0.2656141900815877,-0.06361635821370408,0.003724,0.01,0.0,0.97,100,11,1,12
57,0.9123913699963091,-3.898472098118871,-0.7362197030159401,-0.336982610407849,-0.1342291301456728,-0.23640200792462807,-0.14459289391315727,-0.0072149791557843505,-0.0025725840961616096,-0.005682363261749601,-0.1276054595494001,-0.2684045409809697,-0.06439228396982334,0.003682,0.01,0.0,0.97,100,11,1,12
58,0.9157471573706519,-3.9133724291859426,-0.744008725497533,-0.3403657438878488,-0.13574909807642052,-0.2387408878152312,-0.14617945401971394,-0.007280963665666959,-0.0025966229660529874,-0.005729279390882462,-0.12856848609223462,-0.2705927078134978,-0.06531423018537694,0.003642,0.01,0.0,0.97,100,11,1,12
59,0.9139051606259602,-3.925738153865306,-0.7508358111025086,-0.3436364399465515,-0.13696434416195846,-0.241082837125022,-0.1476556870129638,-0.007340561587863826,-0.0026272421708264737,-0.005822195716365659,-0.12984028769495295,-0.2728116853860517,-0.06608497437363076,0.003602,0.01,0.0,0.97,100,11,1,12
60,0.9144267505156033,-3.941389665258231,-0.7588607438726466,-0.34717027761504865,-0.13845381381483285,-0.24341122671378235,-0.14903403297511672,-0.00740989751927534,-0.002650322884356959,-0.005896376846093995,-0.13104596772623667,-0.2758107311601129,-0.06662289355303923,0.003564,0.01,0.0,0.97,100,11,1,12
61,0.9186840783525867,-3.953729273495339,-0.7654229698709962,-0.3502134479389175,-0.13969505672997082,-0.24558278414369478,-0.15042199067306203,-0.007472026284310047,-0.002678266551856922,-0.005942905122198546,-0.1323792402502488,-0.2778427977000114,-0.06743977829776665,0.003526,0.01,0.0,0.97,100,11,1,12
62,0.911873840445269,-3.969249655651003,-0.7734273246344454,-0.3537562857404761,-0.1411490248648929,-0.24807484822155113,-0.15181882741059533,-0.007551147311381242,-0.0027034039221889242,-0.006016703607114938,-0.1335026387308048,-0.28049558825633575,-0.06821157518576788,0.003489,0.01,0.0,0.97,100,11,1,12
63,0.9085081097367056,-3.9850113622930987,-0.7816584709310542,-0.35754297070569,-0.14261928101995403,-0.25069076747426294,-0.15339259627319965,-0.007630465396391115,-0.002739910079980219,-0.006096188038468201,-0.13530206763885708,-0.2833786018447531,-0.0687725369906909,0.003453,0.01,0.0,0.97,100,11,1,12
64,0.9165244738867142,-3.9988164900624685,-0.7888328560582448,-0.360786398071595,-0.1439434481573314,-0.25279110755413625,-0.15480193912125478,-0.0076963407063611825,-0.002766245950293364,-0.006164505821399541,-0.13649264237194536,-0.2859660312804463,-0.06949381063857706,0.003417,0.01,0.0,0.97,100,11,1,12
65,0.912431850306253,-4.01354601673437,-0.7965771013742838,-0.3642652708012825,-0.1453835332223904,-0.25518014050827476,-0.15625412091737123,-0.007780141456092815,-0.0027903283923297684,-0.006245573036724082,-0.13772271333028988,-0.2889175418859406,-0.07026794390421016,0.003382,0.01,0.0,0.97,100,11,1,12
66,0.9123493267971662,-4.028308028439002,-0.8043557119763349,-0.36780798925620756,-0.14680783641668266,-0.2575233906417483,-0.15766254309326233,-0.00786168701542485,-0.0028160349299148017,-0.006318867645642704,-0.13899142594166208,-0.29207654038816405,-0.07111369627196691,0.003348,0.01,0.0,0.97,100,11,1,12
67,0.9188172587120063,-4.041463377822432,-0.8111721918088393,-0.37083666751846306,-0.14808777110790072,-0.25964983922451607,-0.15893074708068974,-0.007926433094490096,-0.0028379223850301476,-0.006375863382624933,-0.14000293634894379,-0.2943675468315322,-0.07165185125281263,0.003315,0.01,0.0,0.97,100,11,1,12
68,0.9160235053824647,-4.0552275433219025,-0.8182540629212545,-0.3739284338274353,-0.1493874024556252,-0.26176207094416937,-0.1602249636230276,-0.007991464466887418,-0.002863778892567125,-0.006450057745952331,-0.14122488760164567,-0.29728720974322753,-0.07209255481585997,0.003282,0.01,0.0,0.97,100,10,1,11
69,0.9155579417143432,-4.066490904340531,-0.8243499570624485,-0.3768706947719338,-0.1505002811949385,-0.2639904945374663,-0.16166175008320616,-0.008060158114497975,-0.0028846008501181033,-0.006391619713485706,-0.14227055451519138,-0.29975439132020093,-0.072686949310461,0.00325,0.01,0.0,0.97,100,11,1,12
70,0.9235734268091274,-4.077601572549968,-0.8299933616461798,-0.37949631096976544,-0.15155373201014727,-0.2657968789239169,-0.16290093357349733,-0.00811601272333527,-0.002905654434688714,-0.006432847162711865,-0.14332236957755262,-0.3013567647943494,-0.0732383591967647,0.003219,0.01,0.0,0.97,100,11,1,12
71,0.910578081091931,-4.088942646313054,-0.8358507413223231,-0.38234943905803687,-0.15258298898495973,-0.26798497280550326,-0.16421412114949224,-0.008180805584485308,-0.0029255820438463935,-0.006504379738397431,-0.1442725999751214,-0.30343030053337244,-0.07386972836441609,0.003188,0.01,0.0,0.97,100,11,1,12
72,0.9154022834342046,-4.102362535861041,-0.8427830892024293,-0.38548418565781795,-0.15376970335137646,-0.2700932528230318,-0.16547990339177152,-0.008253843869724182,-0.0029474046522374644,-0.00655791201594943,-0.1455719030072785,-0.306262153494872,-0.07440530897066913,0.003157,0.01,0.0,0.97,100,11,1,12
73,0.9165863962822138,-4.114836781278613,-0.8492765772507703,-0.38847743087354464,-0.1549303674774509,-0.27212854236821604,-0.16670190431380624,-0.008316384173130064,-0.002971118745849726,-0.006604440628725411,-0.14660137492684397,-0.3088187322394104,-0.07490393538550148,0.003128,0.01,0.0,0.97,100,11,1,12
74,0.912980567005973,-4.127698681190567,-0.856119343939127,-0.391607848268126,-0.15611797485280401,-0.27424631949453443,-0.16797355112955104,-0.008391745414197441,-0.002992516860006165,-0.006632776381249683,-0.14808111218691408,-0.31154337962335693,-0.07528332668435941,0.003098,0.01,0.0,0.97,100,11,1,12
75,0.9117577557978598,-4.140949442606895,-0.8630787463002596,-0.39475941269410536,-0.15738861470341325,-0.2763239346916802,-0.1692556420959047,-0.008464000645029177,-0.0030099081209715066,-0.006700237773572173,-0.14888212653809263,-0.31408906666379793,-0.07600635018096699,0.00307,0.01,0.0,0.97,100,11,1,12
76,0.9183223700812571,-4.152989808415791,-0.8693400468601755,-0.39761249203077315,-0.15855602239527822,-0.27825573042775353,-0.17039952345332862,-0.008530643923881382,-0.003029711972125696,-0.006762209473010486,-0.14984687571452426,-0.316652173442967,-0.07649627626839066,0.003042,0.01,0.0,0.97,100,11,1,12
77,0.9133569187637675,-4.166074394885057,-0.8762320234048511,-0.40067037977407116,-0.1598822019786061,-0.28030049597533735,-0.1717425177248628,-0.008592674543922357,-0.003053716021018146,-0.006839149823020523,-0.1509219831215601,-0.31910280155810483,-0.07701178501486794,0.003014,0.01,0.0,0.97,100,10,1,11
78,0.9153547606646617,-4.178794313254905,-0.8827952110067522,-0.4035499426205643,-0.16111013389563536,-0.2822419618966321,-0.17297879364360502,-0.008656350908747036,-0.0030729065645643977,-0.006893357825733527,-0.15186941441523485,-0.3215390541785482,-0.07743439650587401,0.002987,0.01,0.0,0.97,100,11,1,12
79,0.9146639926578062,-4.190967800505297,-0.8891079148596394,-0.40642798047079387,-0.16220949005733226,-0.2843138535575414,-0.17406609684242053,-0.008725055292079752,-0.0030921934936860886,-0.006947435946978174,-0.15284380571046985,-0.32402706354859406,-0.07800500176382995,0.00296,0.01,0.0,0.97,100,11,1,12
80,0.9178328433431331,-4.196182592118584,-0.8917778624263305,-0.40829272184615045,-0.16236321075131918,-0.28612247056582546,-0.1750873105694142,-0.008775908455289258,-0.0031099204336792613,-0.0068875408560349965,-0.15328803207400438,-0.3253673149660631,-0.07840437744114032,0.002934,0.01,0.0,0.97,100,11,1,12
81,0.9157064379982582,-4.208206254654934,-0.8979905308711451,-0.4111008989556532,-0.1634627632648041,-0.28805599859880804,-0.17626392986242498,-0.008848857581145925,-0.003126972749385915,-0.006952843918816297,-0.15420038569451597,-0.3280904248548166,-0.0788960801739546,0.002909,0.01,0.0,0.97,100,11,1,12
82,0.9155100595308363,-4.218542247080718,-0.9033432914674823,-0.4136520176862051,-0.16446309503479423,-0.2899550700119249,-0.17747761427270753,-0.008908054782130977,-0.0031504799091477825,-0.0070043924010087496,-0.15517041356714528,-0.33004416181921137,-0.07946230481240239,0.002883,0.01,0.0,0.97,100,11,1,12
83,0.9166819937465513,-4.229594188508399,-0.9092217869688408,-0.4163110731627051,-0.16561603105335349,-0.29182166948568355,-0.17866907344936786,-0.008964492296398426,-0.003169966139087107,-0.007063015158696995,-0.1560310985053521,-0.3321808940856067,-0.08013001197431871,0.002859,0.01,0.0,0.97,100,11,1,12
84,0.9179821264511818,-4.238690335196162,-0.9142069634816115,-0.41871171228701337,-0.16651656655425134,-0.2934873688236387,-0.17975704820562313,-0.00901945198176486,-0.0031897250466658995,-0.007123362631086445,-0.15681273397764633,-0.3341664839310689,-0.08058501056586366,0.002834,0.01,0.0,0.97,100,11,1,12
85,0.9119268545062849,-4.250824213173107,-0.9206489669115212,-0.4215803736495302,-0.1677638950641806,-0.29542584507324987,-0.18104366168042083,-0.009078719209768436,-0.0032113234051470486,-0.007177673556160785,-0.1580975812460541,-0.3364565682071139,-0.08111903181877096,0.00281,0.01,0.0,0.97,100,10,1,11
86,0.9177631020491316,-4.261922431172625,-0.9263334495586543,-0.42404267810180746,-0.16882047079932436,-0.297148812264111,-0.18213723446552346,-0.009127053818448893,-0.003229057688476802,-0.007225047393546913,-0.15895429531394217,-0.3384583005357121,-0.08158304992318358,0.002787,0.01,0.0,0.97,100,10,1,11
