episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,demand_weighted_depot_backlog,demand_weighted_onsite_backlog,maintenance_restoration_value,onsite_shortage_pressure,depot_shortage_pressure,late_broken_cargo_pressure,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9143250180341895,-2.546497045455623,-0.024639109653906106,-0.01072558851349033,-0.004560227376422084,-0.0073728178069086695,-0.004484016912254831,-0.00020777260414873194,-8.816569141988918e-05,-0.0002389249832173496,-0.004384068018769904,-0.009223921307301274,-0.0021741008541693403,0.01,0.01,0.0,0.97,100,11,1,12
1,0.9152290203945169,-2.5911679294660392,-0.04767415809468219,-0.020706713591577646,-0.00883614097185919,-0.01396125088868542,-0.00869996663828663,-0.00040781156909603386,-0.00017231586737035182,-0.0004600495727754417,-0.008303735182199942,-0.01788051109546069,-0.004198751238329301,0.009708,0.01,0.0,0.97,100,10,1,11
2,0.9113188267417123,-2.6130193516517033,-0.05943648828726974,-0.02850998506488894,-0.010218400287019116,-0.02073565778862886,-0.012857167638366281,-0.0005880115538791733,-0.0002500555642577856,-0.00020141689473361055,-0.011128798989317144,-0.02247593048488212,-0.006323498145451675,0.009432,0.01,0.0,0.97,100,11,1,12
3,0.9162424648359009,-2.6469239001905023,-0.07711431908025097,-0.03698974317971792,-0.013289973555181505,-0.026843187233207666,-0.016468070938701267,-0.0007664432813916187,-0.0003170918048634835,-0.00011453749728985844,-0.013979021122557203,-0.03054336815079566,-0.008002952335837692,0.009172,0.01,0.0,0.97,100,11,1,12
4,0.9033567499502949,-2.6953043325256947,-0.10231131814193718,-0.04836622427567398,-0.017732197977250216,-0.034717366315854016,-0.02099585040312445,-0.0010496422154297393,-0.000407147592538965,-0.00037534813012445956,-0.018722581576674623,-0.039839821374525984,-0.009534311401078641,0.008925,0.01,0.0,0.97,100,11,1,12
5,0.9169024222843464,-2.723700596716275,-0.11767471742418603,-0.05574042637793357,-0.020682365684701755,-0.04038364974666434,-0.024747893756937436,-0.0011874742833411064,-0.00047481453341545747,-0.0004913534159107947,-0.02110842201520608,-0.044024553987952124,-0.011173163540219555,0.008692,0.01,0.0,0.97,100,11,1,12
6,0.91050974613169,-2.7648556180673207,-0.13968503405632612,-0.06533947408185799,-0.024833789352551802,-0.04653820723009219,-0.028773882753616146,-0.0013966148003966218,-0.0005401512443641266,-0.0006953308247294095,-0.024725769239612297,-0.05215323489986977,-0.01270736483485933,0.00847,0.01,0.0,0.97,100,11,1,12
7,0.9180937453102332,-2.800844703895461,-0.15853443213936538,-0.07375765859343367,-0.02826683580522656,-0.05205780764370069,-0.03204303449644955,-0.0015756370430264738,-0.0005899455125725895,-0.0008788068503594932,-0.027779801367656155,-0.05893751971938924,-0.013831734213748005,0.00826,0.01,0.0,0.97,100,11,1,12
8,0.9216767320350139,-2.833691714429633,-0.1758521873769554,-0.08158095329293989,-0.03137591820035709,-0.05734877445609376,-0.03509299347056438,-0.0017460784852673871,-0.000645707343832468,-0.0010373909420650263,-0.03053241871655166,-0.06553916437446498,-0.01532648205562245,0.008059,0.01,0.0,0.97,100,10,1,11
9,0.918844428012033,-2.866486843660872,-0.192894260956545,-0.08915381717724687,-0.03458189922330939,-0.06267275445908962,-0.03848691833079645,-0.0019112405702247477,-0.0007066005300867213,-0.0011972213613701997,-0.03373496959118946,-0.07112405163753902,-0.01667264230539485,0.007868,0.01,0.0,0.97,100,11,1,12
