seed,exp_name,alpha,duration_hours,total_runtime_s,service_level,avg_bike_km_driven,starvations,congestions,total_trips,bike_departures,bike_arrivals,total_depot_deliveries,total_depot_visits,total_fixed_on_site,total_picked_up_to_depot,total_depot_fixes,total_bikes_redistributed_from_depot,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,broken_bikes_end_onsite,broken_bikes_end_depot,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
42,M6_CompactMaintenanceFull_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9111,398.5997,3854,1504,60282,56428,56429,158,56,196,160,158,162,6222,6383,0.0302,0.0302,0.9396,0.0326,0.1159,0.8516,25,89,198,225,196,162
43,M6_CompactMaintenanceFull_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9161,396.0569,3564,1475,60062,56498,56496,131,50,186,131,131,119,6103,6222,0.0156,0.0495,0.9349,0.0286,0.1068,0.8646,22,82,198,173,186,119
44,M6_CompactMaintenanceFull_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9091,395.1707,3876,1527,59410,55534,55536,173,56,209,173,173,167,6008,6175,0.0301,0.0393,0.9306,0.0339,0.112,0.8542,26,86,218,227,209,167
45,M6_CompactMaintenanceFull_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9086,395.1395,3841,1600,59520,55679,55680,189,55,214,189,189,175,5889,6056,0.0223,0.0446,0.9332,0.0313,0.1149,0.8538,24,88,222,232,214,175
46,M6_CompactMaintenanceFull_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9158,395.1189,3647,1318,58938,55291,55291,153,57,211,153,153,157,5933,6087,0.0237,0.0316,0.9447,0.0209,0.1108,0.8683,16,85,209,215,211,157
47,M6_CompactMaintenanceFull_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9186,396.7031,3263,1570,59402,56139,56139,153,54,194,153,153,164,6161,6325,0.0237,0.0421,0.9342,0.0365,0.099,0.8646,28,76,205,209,194,164
48,M6_CompactMaintenanceFull_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9141,396.0965,3560,1564,59646,56086,56087,143,53,196,143,143,152,6027,6192,0.0146,0.0412,0.9441,0.0353,0.127,0.8377,27,97,213,206,196,152
49,M6_CompactMaintenanceFull_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9121,395.7401,3582,1618,59136,55554,55554,165,60,188,165,165,165,5983,6147,0.0131,0.0458,0.9412,0.034,0.0993,0.8667,26,76,206,209,188,165
50,M6_CompactMaintenanceFull_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9119,395.2628,4005,1228,59402,55397,55397,157,54,204,157,157,148,5942,6090,0.0118,0.0433,0.9449,0.0378,0.1224,0.8398,29,94,226,212,204,148
51,M6_CompactMaintenanceFull_seed1000_bias_term_trans100_fsdiag25_g0.97_eps0_initbm2p5,0.0,504,40320,0.9152,397.9662,3568,1508,59852,56284,56285,165,56,187,171,165,164,6128,6283,0.0146,0.037,0.9484,0.0261,0.1294,0.8444,20,99,197,232,187,164
