episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,alpha,alpha_initial,epsilon
38,0.8244809109176156,-1.5335193987760192,-0.8304332503583849,-0.2504422536702564,0.023323,0.05,0.136673
39,0.8183478858368667,-1.5593550073457707,-0.8446538749841591,-0.2544300959977263,0.023,0.05,0.13531
40,0.8173021813155321,-1.583808489970621,-0.8585442052413178,-0.2579164182820364,0.022686,0.05,0.133961
41,0.8182337234882198,-1.6148660224250435,-0.8762058308162245,-0.26237257975706224,0.02238,0.05,0.132626
42,0.8208677582075045,-1.636093083734217,-0.8878273286291625,-0.2657308200403589,0.022083,0.05,0.131304
43,0.8173976632485167,-1.6627956008431721,-0.9022896309331817,-0.27022591057912415,0.021793,0.05,0.129995
44,0.8177339901477833,-1.6820567769123733,-0.9130897773445986,-0.273117252488512,0.021511,0.05,0.128699
45,0.8192945290695719,-1.7064304770746388,-0.9263798337554049,-0.2771232560131147,0.021236,0.05,0.127416
46,0.8247099456776876,-1.7284370727704073,-0.9385085266511494,-0.28035400721236625,0.020968,0.05,0.126145
47,0.8094759247155043,-1.751555074999245,-0.9509785490855298,-0.2842132389317013,0.020706,0.05,0.124888
48,0.8177600507334657,-1.7801809784746443,-0.9664984921349081,-0.2891036947361249,0.020451,0.05,0.123643
49,0.8237695279690912,-1.8052750816067786,-0.9795914083160475,-0.2934800504660964,0.020203,0.05,0.12241
50,0.82040953340047,-1.8250514248337735,-0.9902428807473829,-0.29674156233939253,0.01996,0.05,0.12119
51,0.8112601708022326,-1.847227018627916,-1.001994222496106,-0.30053588252147156,0.019723,0.05,0.119982
52,0.8252576189432141,-1.867487410748421,-1.0127421146978124,-0.3040098224313344,0.019492,0.05,0.118786
53,0.8062282579609312,-1.8916037889105446,-1.0264335803155804,-0.3074630389673442,0.019265,0.05,0.117601
54,0.8304016097929068,-1.9121965882393608,-1.037532714723114,-0.3107109287566353,0.019045,0.05,0.116429
55,0.8157123968601985,-1.934489301077821,-1.0492954317709886,-0.31467995456811276,0.018829,0.05,0.115268
56,0.826130246215637,-1.955953221198195,-1.0608654743365555,-0.3180496924358775,0.018618,0.05,0.114119
57,0.8113270777479893,-1.9770292113945898,-1.072322360301242,-0.3216973506118393,0.018411,0.05,0.112982
58,0.8220303391738203,-1.9938147836404754,-1.0815325996946294,-0.32418950469427854,0.01821,0.05,0.111855
59,0.8265744878172161,-2.013293160085734,-1.091993789989804,-0.3272496060753427,0.018012,0.05,0.11074
60,0.81977002081414,-2.0323823686331544,-1.1027275846487832,-0.33008691304651083,0.017819,0.05,0.109636
61,0.8199260634649805,-2.053367028580738,-1.1138846218093073,-0.3336039433168434,0.01763,0.05,0.108543
62,0.8189260207519202,-2.071246322288554,-1.1233551751531015,-0.3367050409069775,0.017445,0.05,0.107461
63,0.8152912052988994,-2.0906750296735774,-1.1340052798782203,-0.3397291605094234,0.017263,0.05,0.10639
64,0.8319149291912589,-2.109293482191394,-1.1438372035342137,-0.3427652331522404,0.017086,0.05,0.105329
65,0.8169640609000721,-2.127440741171253,-1.1533114572461434,-0.3460657456914837,0.016912,0.05,0.104279
66,0.819115376870931,-2.144072726670036,-1.1623971612278352,-0.3486715201337925,0.016741,0.05,0.10324
67,0.8156657171271091,-2.162316325408531,-1.1722257722635248,-0.35177119777199056,0.016574,0.05,0.10221
68,0.8189749182115594,-2.1807763285782324,-1.1822254769104525,-0.35478290007381147,0.016411,0.05,0.101191
69,0.821049809841339,-2.1992807023431893,-1.192120776564789,-0.3578545055787547,0.01625,0.05,0.100183
70,0.8269201597815644,-2.2195440719079396,-1.2033685739602187,-0.36096736711524746,0.016093,0.05,0.099184
71,0.8231549399321626,-2.2410373622502093,-1.2149392273923585,-0.3644253740700891,0.015938,0.05,0.098195
72,0.8278941196180265,-2.256313490777807,-1.2235158329670368,-0.3665659995348426,0.015787,0.05,0.097216
73,0.8162629291465922,-2.2741682638953202,-1.2337615540728746,-0.3689782817250364,0.015638,0.05,0.096247
74,0.8220127061367937,-2.2899295606275345,-1.2422174199577918,-0.37159493613915323,0.015492,0.05,0.095288
75,0.8258333615924582,-2.3046314502919856,-1.2501339532114708,-0.37388121956037723,0.015349,0.05,0.094338
76,0.8233895887806038,-2.320437264015987,-1.2588669777790173,-0.3762346502706037,0.015209,0.05,0.093397
77,0.8225306067985456,-2.336476073122999,-1.267508749571377,-0.3789531498858628,0.015071,0.05,0.092466
78,0.8259570682912911,-2.3520170852782107,-1.2759734629536068,-0.3814218055615904,0.014935,0.05,0.091544
79,0.825372018753822,-2.3673559605269348,-1.2840387210345965,-0.3842056465870205,0.014802,0.05,0.090632
80,0.8294304275570328,-2.3856758523926214,-1.2942034757420064,-0.3870054471332505,0.014671,0.05,0.089728
81,0.8145354123867579,-2.4020015803014196,-1.3029229810929068,-0.3898357950182834,0.014543,0.05,0.088834
82,0.8297098398477627,-2.417019004766589,-1.3109491908161504,-0.39227508893529456,0.014417,0.05,0.087948
83,0.826014620620116,-2.4307842605514964,-1.3182336789372808,-0.39466282807426056,0.014293,0.05,0.087071
84,0.8287204704787853,-2.4445376942489463,-1.3252760874234746,-0.3971919373776675,0.014171,0.05,0.086203
85,0.8160525515890439,-2.457682324816423,-1.3322504132300728,-0.3994478809855898,0.014051,0.05,0.085344
86,0.8163995590604596,-2.479997962804423,-1.3449570481911512,-0.4025063465748075,0.013933,0.05,0.084493
87,0.8110260028220118,-2.4967086516877286,-1.3537892973763619,-0.40555022224106885,0.013817,0.05,0.083651
88,0.8243393743039384,-2.5094624387626037,-1.3607034956846258,-0.4076356464238003,0.013703,0.05,0.082817
89,0.8029965580076939,-2.5275921692186425,-1.3708992129965776,-0.4103711467189632,0.013591,0.05,0.081991
90,0.8214147856004028,-2.5488225127207924,-1.3824161914878577,-0.41388349111311273,0.013481,0.05,0.081174
91,0.8232916102841679,-2.5622336331196016,-1.3896056372248353,-0.41615950549989483,0.013372,0.05,0.080365
92,0.8262430564964097,-2.5788767129844965,-1.3985057783788244,-0.4189044700725555,0.013265,0.05,0.079563
93,0.8143940659560961,-2.5926789718008445,-1.4062226078620725,-0.4210163446202921,0.01316,0.05,0.07877
94,0.8259221016639301,-2.607608850262646,-1.4143034335448244,-0.4233517780408727,0.013057,0.05,0.077985
95,0.8185050993022007,-2.620645223987679,-1.4215485616792396,-0.42528362849379614,0.012955,0.05,0.077207
96,0.8104353403892575,-2.635824968704605,-1.430034372800357,-0.427552486627113,0.012855,0.05,0.076438
97,0.8149061860168496,-2.6497326407825246,-1.437496331502621,-0.42986399523513624,0.012756,0.05,0.075676
98,0.8116474114992085,-2.6686451662552977,-1.4482208347618255,-0.4325638313166815,0.012659,0.05,0.074921
99,0.8219015682688073,-2.681728463484152,-1.455481261602885,-0.43451966407874404,0.012563,0.05,0.074174
100,0.8084932421158018,-2.69461617071334,-1.4628302621635298,-0.4363564468245342,0.012469,0.05,0.073435
101,0.814274621020291,-2.7080196023070964,-1.470467029445033,-0.43819713399618015,0.012376,0.05,0.072703
102,0.8252936347033494,-2.721683843392278,-1.4780504320251595,-0.4401647095139943,0.012284,0.05,0.071978
103,0.8326796943674353,-2.7365603522474236,-1.4859207002649208,-0.4426610283525846,0.012194,0.05,0.071261
104,0.8180339687809131,-2.7486934747748624,-1.4926044350613006,-0.4445143213010967,0.012105,0.05,0.07055
105,0.8326823568686363,-2.761377454748577,-1.4995334647451561,-0.44646345602719706,0.012018,0.05,0.069847
106,0.8230929159412451,-2.774773033700542,-1.50706970556156,-0.44828377690263765,0.011931,0.05,0.06915
107,0.818985408890397,-2.787820576566972,-1.5142017847264713,-0.45034351365118225,0.011846,0.05,0.068461
108,0.814222015173699,-2.802181668666484,-1.5222178863427627,-0.4524947496270493,0.011762,0.05,0.067779
109,0.8243095777721816,-2.8158744559852527,-1.529753196220023,-0.45460387815048015,0.01168,0.05,0.067103
110,0.8166006572849077,-2.8270500500433444,-1.5360883413344915,-0.4561107604495588,0.011598,0.05,0.066434
111,0.8157658344773817,-2.8389098045157195,-1.5426296932656756,-0.457905502590673,0.011518,0.05,0.065772
112,0.8255307019014722,-2.8507833575521215,-1.5490282168743428,-0.4597666556689941,0.011438,0.05,0.065116
113,0.8163859216652971,-2.8622946488857686,-1.555449730162876,-0.46157695022559625,0.01136,0.05,0.064467
114,0.8151606240239131,-2.875014730387692,-1.5625339811791152,-0.46345807969252206,0.011283,0.05,0.063824
115,0.8154412261157248,-2.8861395889348174,-1.568461081783842,-0.4654087324384519,0.011207,0.05,0.063188
116,0.8210381586094514,-2.896565606197767,-1.5740470631921895,-0.46714141084660504,0.011132,0.05,0.062558
117,0.8166353194061933,-2.9081397436866854,-1.580540147481099,-0.46887502066480546,0.011058,0.05,0.061934
118,0.8124465031972207,-2.9206235154567355,-1.5875827963335627,-0.4707160978668213,0.010985,0.05,0.061317
119,0.8221875052495422,-2.932208134627409,-1.5940412640036317,-0.47244446656454575,0.010912,0.05,0.060706
120,0.8198477633961505,-2.94489040786605,-1.6008487657285877,-0.4747052712228374,0.010841,0.05,0.0601
121,0.8210755740280805,-2.9555564503772933,-1.6066762568301258,-0.4764179533350765,0.010771,0.05,0.059501
122,0.8144909536437179,-2.9696638303707537,-1.6144895206625693,-0.4785780095054335,0.010702,0.05,0.058908
123,0.8322612981371649,-2.9791229158922414,-1.619459933380765,-0.4801967753204144,0.010633,0.05,0.058321
124,0.8193242064290988,-2.990235209506615,-1.6256720635159296,-0.4818647921430297,0.010565,0.05,0.057739
125,0.8172964152771404,-3.001184964094349,-1.6315882654108604,-0.48370645472961354,0.010499,0.05,0.057164
126,0.8167490002352388,-3.0128354330292946,-1.6379113365835984,-0.485678582999507,0.010433,0.05,0.056594
127,0.8228065739570164,-3.0262852722930584,-1.6451415706481463,-0.4878857127888858,0.010368,0.05,0.05603
128,0.8135910016354595,-3.0373352131234275,-1.6510927542048501,-0.48977446206002756,0.010303,0.05,0.055471
129,0.8141868046919638,-3.048381475234885,-1.657143420726835,-0.4915697047431119,0.01024,0.05,0.054918
130,0.8104275705232179,-3.0598007870611097,-1.6632433614710234,-0.4935921227394577,0.010177,0.05,0.054371
131,0.8226721735334609,-3.0697802895757085,-1.668595377877758,-0.49529250722554685,0.010115,0.05,0.053829
132,0.8188322217207429,-3.0833379363065516,-1.6760546678644304,-0.49736292809768684,0.010054,0.05,0.053292
133,0.8198670804938938,-3.102765236685056,-1.6864147721812333,-0.5007990745889039,0.009993,0.05,0.052761
134,0.8050946760635136,-3.1151707813225746,-1.6934292770135764,-0.5026021102572196,0.009934,0.05,0.052235
135,0.8200249426992046,-3.124772519020542,-1.6987028650142815,-0.5040261402179937,0.009875,0.05,0.051714
136,0.8057252164574804,-3.13605314607173,-1.704774120802269,-0.5059487849037572,0.009816,0.05,0.051198
137,0.8256031260618417,-3.145899295666481,-1.709900230086901,-0.5077905835362657,0.009758,0.05,0.050688
138,0.8289021795580573,-3.1546468000869763,-1.7146715685071343,-0.5091375727448653,0.009701,0.05,0.050183
139,0.8102961684042765,-3.1654025876707492,-1.7205722604865246,-0.5107638176099277,0.009645,0.05,0.049682
140,0.8237242538881884,-3.1757490900742824,-1.726081990425533,-0.5125458203072707,0.009589,0.05,0.049187
141,0.8208530965115888,-3.1861209389014378,-1.7317602689917444,-0.5141244876231108,0.009534,0.05,0.048697
142,0.8286636669287255,-3.196113574427958,-1.737313055485159,-0.515678712075371,0.00948,0.05,0.048211
143,0.8153605120170673,-3.205791246458458,-1.742495301526141,-0.5173535963098755,0.009426,0.05,0.047731
144,0.8124610801622432,-3.214964247096006,-1.747361083243209,-0.5189471018487797,0.009373,0.05,0.047255
145,0.8147388592849099,-3.2248365757941255,-1.7529577678907073,-0.5203440429326547,0.00932,0.05,0.046784
146,0.8220086400321489,-3.2327031719667083,-1.7572913733829174,-0.5215398905659343,0.009268,0.05,0.046317
147,0.821072550941101,-3.242702941805206,-1.7627155309906035,-0.5231835976176538,0.009217,0.05,0.045856
148,0.8151112017262178,-3.2569033454973813,-1.7705039148511448,-0.5254396730005941,0.009166,0.05,0.045399
149,0.8139362864587711,-3.267900439776565,-1.776668970509091,-0.52707330427103,0.009116,0.05,0.044946
150,0.827996589940324,-3.277838399626493,-1.781997735570531,-0.5287042377638119,0.009066,0.05,0.044498
151,0.8342164646886753,-3.2866788946081154,-1.7868494749197095,-0.5299987488582774,0.009017,0.05,0.044054
152,0.8133923353093429,-3.2958464357827886,-1.7920007687482595,-0.5313509337864728,0.008968,0.05,0.043615
153,0.8216709922140147,-3.3052153141816456,-1.797042215659636,-0.5328459434123926,0.00892,0.05,0.04318
154,0.8218655068806959,-3.314200793635231,-1.8018579229978107,-0.5343497597188327,0.008872,0.05,0.04275
155,0.8190669912301177,-3.324590698155999,-1.807430401605895,-0.5361079836704803,0.008825,0.05,0.042324
156,0.8197046800700759,-3.3330541718287043,-1.8122635956809858,-0.537251469930018,0.008779,0.05,0.041902
157,0.8224182632411866,-3.341703939765774,-1.817025669208659,-0.5385990379424647,0.008732,0.05,0.041484
158,0.8218874016277662,-3.3497475056993222,-1.8215666606043184,-0.5397413426223753,0.008687,0.05,0.04107
159,0.817700825857654,-3.3587478035505205,-1.8264586592653733,-0.5411392828220516,0.008642,0.05,0.040661
160,0.8232428903804629,-3.3696430848514702,-1.8324992403294396,-0.54274953426879,0.008597,0.05,0.040256
161,0.8180365373616392,-3.380318865446711,-1.8382490266610423,-0.544518545883449,0.008553,0.05,0.039854
162,0.8055242105263158,-3.3904461002579054,-1.8438265321687706,-0.5461164426184957,0.008509,0.05,0.039457
163,0.8105783955707386,-3.399713375245337,-1.8491437881636053,-0.5473606994475049,0.008465,0.05,0.039064
164,0.8075207886266095,-3.4089878521799806,-1.8544349153148172,-0.5486574850633013,0.008423,0.05,0.038674
165,0.8167677344576775,-3.4189988414257844,-1.8599231191131314,-0.5502014505558704,0.00838,0.05,0.038289
166,0.8235722388716751,-3.4266256835814652,-1.8639305814815648,-0.5515495270708242,0.008338,0.05,0.037907
167,0.8235531696481161,-3.4340654956252696,-1.8677852752315867,-0.5529396199912509,0.008296,0.05,0.037529
168,0.8192097059566938,-3.4425073802486614,-1.8723560186475177,-0.5543390108807151,0.008255,0.05,0.037155
169,0.8071205204100403,-3.4520861837838286,-1.877804148589111,-0.5556767433173306,0.008214,0.05,0.036785
170,0.8229170159262363,-3.4599867351388576,-1.8821498780780388,-0.5568923309265988,0.008174,0.05,0.036418
171,0.8163681820501045,-3.469563985584507,-1.8874339391109165,-0.5583986387816113,0.008134,0.05,0.036055
172,0.8032836220156491,-3.479009036725411,-1.8926980363603754,-0.559904813031902,0.008094,0.05,0.035695
173,0.8268913387905994,-3.489173698725433,-1.8982985296564192,-0.5614902793677017,0.008055,0.05,0.035339
174,0.8171212757028955,-3.497811182176985,-1.9029252739836529,-0.5629085201373967,0.008016,0.05,0.034987
175,0.8312100840336134,-3.505974547103108,-1.90726316842112,-0.5642684372429765,0.007978,0.05,0.034638
176,0.816461016037387,-3.5178753100194244,-1.9137642419539485,-0.5661819451758819,0.007939,0.05,0.034293
177,0.8191436187937354,-3.52527601859294,-1.9177279897243045,-0.5674918572850932,0.007902,0.05,0.033951
178,0.8220645402230559,-3.53182319977456,-1.9212898797220468,-0.5685357402605303,0.007864,0.05,0.033613
179,0.8245687983679251,-3.5401339233772435,-1.9258611086173678,-0.5698638124105617,0.007827,0.05,0.033278
180,0.8121254426586761,-3.548803707121138,-1.9305361521200861,-0.57135848004008,0.007791,0.05,0.032946
181,0.8123084610259826,-3.559113732744254,-1.9361798693932992,-0.5730183898330833,0.007754,0.05,0.032617
182,0.8239725454088893,-3.570601509680204,-1.942168954470471,-0.5751161097026649,0.007718,0.05,0.032292
183,0.8282685035116153,-3.5790232732691822,-1.9465784204156773,-0.5765932485913878,0.007682,0.05,0.03197
184,0.8118980073725517,-3.5872194622949896,-1.9511136471950434,-0.577871941835491,0.007647,0.05,0.031652
185,0.826975476839237,-3.594049049858545,-1.9549426818210842,-0.5788631735440307,0.007612,0.05,0.031336
186,0.8158236921948454,-3.602189725237336,-1.9593758769842995,-0.5801737438230559,0.007577,0.05,0.031024
187,0.8251450938048319,-3.6097884627871712,-1.9635538162075286,-0.5813444336082393,0.007543,0.05,0.030714
188,0.8114114215380465,-3.618571488276483,-1.9685027216418536,-0.582654397178192,0.007509,0.05,0.030408
189,0.8247039313891356,-3.6265183054267243,-1.9728123108391624,-0.5839503964881669,0.007475,0.05,0.030105
190,0.8163757176092523,-3.634317748687039,-1.977343163423582,-0.5850010088334939,0.007442,0.05,0.029805
191,0.8242949018556978,-3.644363436270378,-1.9827236362493457,-0.5866469824080575,0.007408,0.05,0.029508
192,0.8203278799809924,-3.6540862307235384,-1.9880935990064328,-0.5881585641495254,0.007375,0.05,0.029214
193,0.8187651838820474,-3.6613400034327266,-1.9919753537501759,-0.5893686886751962,0.007343,0.05,0.028922
194,0.8248237520304101,-3.6693828794446803,-1.9963161263848874,-0.590685557326916,0.007311,0.05,0.028634
195,0.825038219806353,-3.6760844936218087,-1.9999544028729548,-0.5917166065991705,0.007278,0.05,0.028349
196,0.8220799837870703,-3.6829718467704535,-2.0037915123597974,-0.5927693463552843,0.007247,0.05,0.028066
197,0.8228996857301313,-3.690042081393664,-2.007723011988833,-0.5938514614285909,0.007215,0.05,0.027786
198,0.8230817154691946,-3.6966831312330575,-2.0114683748235747,-0.5947979790480241,0.007184,0.05,0.027509
199,0.8130055537950933,-3.7034193593038025,-2.015100661596473,-0.5958942050536746,0.007153,0.05,0.027235
200,0.8276119402985075,-3.709849377787026,-2.018558875716379,-0.5969330855252379,0.007122,0.05,0.026963
201,0.8249255163359087,-3.717358119265691,-2.02258361465624,-0.5982167250027853,0.007092,0.05,0.026695
202,0.82275895825949,-3.724125084201837,-2.0263519675307107,-0.5992129952871204,0.007062,0.05,0.026429
203,0.8229208584842388,-3.732058146774069,-2.0307386646843564,-0.6004190295011868,0.007032,0.05,0.026165
204,0.8272708935655214,-3.738325229250712,-2.0341727634914264,-0.6014318554933988,0.007002,0.05,0.025904
205,0.8233112493467523,-3.7450205822944307,-2.037829304131663,-0.6024764920490017,0.006973,0.05,0.025646
206,0.8205382341083187,-3.752799594322643,-2.0422230726469963,-0.6036072329173175,0.006944,0.05,0.02539
207,0.8244738080828458,-3.760190877291029,-2.046058007699262,-0.6049516560673265,0.006915,0.05,0.025137
208,0.8195082546574444,-3.767736150260071,-2.0501430222036685,-0.606199349701183,0.006886,0.05,0.024887
209,0.8165079152133083,-3.7753199279869563,-2.0541865549948506,-0.6075056545273092,0.006858,0.05,0.024639
210,0.8219292529283004,-3.781745502259502,-2.0576867657992937,-0.6085433631794344,0.00683,0.05,0.024393
211,0.8163210791679187,-3.7883993779752703,-2.0614421724237317,-0.6095218643861651,0.006802,0.05,0.02415
212,0.8210465843232009,-3.795214488603023,-2.0651025911486967,-0.6106174538290823,0.006774,0.05,0.023909
213,0.8150455440876871,-3.801970016969562,-2.0687807759542793,-0.6117734453871186,0.006746,0.05,0.023671
214,0.825355342359507,-3.808715918580815,-2.0725016646613765,-0.6128017511571046,0.006719,0.05,0.023435
215,0.8117028625343286,-3.8149012184238336,-2.0758253590362514,-0.6138934411911868,0.006692,0.05,0.023201
216,0.8228611097001406,-3.8219080649573054,-2.079722320779384,-0.6149194859279018,0.006665,0.05,0.02297
217,0.8176042202352316,-3.8285888814951594,-2.083370944919595,-0.6159771380675633,0.006639,0.05,0.022741
218,0.8282311498783863,-3.8359963587949406,-2.087396433828701,-0.6171090062793833,0.006612,0.05,0.022514
219,0.8210588334315293,-3.844536675705693,-2.0921161913019706,-0.6183554873549474,0.006586,0.05,0.02229
220,0.8182614702859358,-3.850575241472092,-2.095552484027333,-0.6192021212297893,0.00656,0.05,0.022067
221,0.8237466841274639,-3.8574436189870553,-2.0993185787742985,-0.6203160389116926,0.006534,0.05,0.021847
222,0.8175353042771513,-3.863720512173178,-2.1026868137055823,-0.6213748907337795,0.006508,0.05,0.02163
223,0.818360833842602,-3.870248682324806,-2.1064639193709755,-0.6222329599282933,0.006483,0.05,0.021414
224,0.8145030699682883,-3.877695376136272,-2.1106428400595085,-0.6233423268699823,0.006458,0.05,0.0212
225,0.8079054179227647,-3.884308636246738,-2.1143662305899102,-0.6242767839489328,0.006433,0.05,0.020989
226,0.8195157004629088,-3.891344307967454,-2.118397126585083,-0.6251978873857714,0.006408,0.05,0.02078
227,0.8194599722193989,-3.8976231726282684,-2.1218923093836546,-0.6261362051180007,0.006383,0.05,0.020573
228,0.8211827575127255,-3.9046659247810074,-2.125683573527148,-0.627320571515941,0.006359,0.05,0.020368
229,0.8225872201650983,-3.910867549821287,-2.1289908065582384,-0.6283323442581766,0.006335,0.05,0.020165
230,0.8146078761359812,-3.918527182319032,-2.13320729706219,-0.6295229445898077,0.006311,0.05,0.019964
231,0.8092926841599677,-3.925354850492391,-2.1368783531148146,-0.6307289296365955,0.006287,0.05,0.019765
232,0.8220941883767535,-3.9317496266543657,-2.140417360192952,-0.6316516708550621,0.006263,0.05,0.019567
233,0.8214285714285714,-3.938929273747294,-2.1442857263735755,-0.632856961737996,0.00624,0.05,0.019372
234,0.8316515928725702,-3.944770852455811,-2.1473099569283067,-0.633926494775703,0.006216,0.05,0.019179
235,0.8284496808366155,-3.950392453826561,-2.1503457322784354,-0.6347958949915301,0.006193,0.05,0.018988
236,0.8151114380778812,-3.9571008277949478,-2.1541826902304613,-0.6357403848164269,0.00617,0.05,0.018799
237,0.8169276659209546,-3.9626741105722414,-2.1572204423508676,-0.6366224189366763,0.006147,0.05,0.018611
238,0.8222835785716691,-3.9684727770555845,-2.160377457610742,-0.6375191951378484,0.006125,0.05,0.018426
239,0.8210785133643328,-3.974940684354736,-2.1639474128256437,-0.6384807908076651,0.006102,0.05,0.018242
240,0.8186310764472534,-3.9806551536576884,-2.1670621134325114,-0.6394077974662565,0.00608,0.05,0.01806
241,0.8192044997991161,-3.9867979011983437,-2.1704584601170493,-0.6403105748747429,0.006058,0.05,0.01788
242,0.8300025599453879,-3.9915065289029883,-2.173079933802992,-0.6409971165454217,0.006036,0.05,0.017702
243,0.8175135610118796,-4.000198957678416,-2.1779742718605006,-0.6422196010151303,0.006014,0.05,0.017526
244,0.8219807983830217,-4.00570869803848,-2.1811178354520218,-0.6429918745730866,0.005992,0.05,0.017351
245,0.8193746416163524,-4.013733383207314,-2.1855888379728907,-0.6442259207299201,0.00597,0.05,0.017178
246,0.8221827110320887,-4.0206967764578,-2.1894883548702215,-0.6452683589743881,0.005949,0.05,0.017007
247,0.8251571904105444,-4.027591819080076,-2.193177919267783,-0.6464104427678338,0.005928,0.05,0.016837
248,0.8192889114095093,-4.033260654224108,-2.196364475423235,-0.6472407264441754,0.005907,0.05,0.016669
249,0.8187467633350596,-4.038834522322858,-2.199480872627829,-0.6480644898839379,0.005886,0.05,0.016503
250,0.8228314652125619,-4.045279134209753,-2.2031299672192994,-0.6489323528874741,0.005865,0.05,0.016339
251,0.8233833766669463,-4.051454915620345,-2.206589132085129,-0.6498328989827902,0.005844,0.05,0.016176
252,0.8249715890099606,-4.057728546749618,-2.2100180588884673,-0.6508048544658136,0.005824,0.05,0.016014
253,0.8151297513381666,-4.063259154775961,-2.213202835079382,-0.6515537894403701,0.005804,0.05,0.015855
254,0.8203717596065683,-4.070246920319834,-2.217012674517613,-0.6526605202702808,0.005783,0.05,0.015697
255,0.809638594274695,-4.076820007264816,-2.2206238099291054,-0.6537351997934266,0.005763,0.05,0.01554
