episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,alpha,alpha_initial,epsilon
0,0.8248729266987693,-0.04640997489990126,-0.026260187004987945,-0.006563603171079484,0.05,0.05,0.2
1,0.8254437869822485,-0.09984033235441682,-0.05479539202903355,-0.01547518632557834,0.048539,0.05,0.198006
2,0.807211763917733,-0.15301497318961793,-0.08441324045874574,-0.023290103254804247,0.047161,0.05,0.196032
3,0.8256885336365613,-0.1996137737441649,-0.10787437617703227,-0.03236821535405528,0.045859,0.05,0.194078
4,0.8156095299591053,-0.2649948206146049,-0.14481625584065,-0.041716008671214715,0.044627,0.05,0.192143
5,0.8144956155030457,-0.315333379450191,-0.17218608122845525,-0.04995739160095288,0.043459,0.05,0.190228
6,0.8101684057922153,-0.36306301367899785,-0.19783988034863878,-0.0578826706393439,0.042351,0.05,0.188331
7,0.8149139835330343,-0.41737681069760985,-0.2276242809268302,-0.06664880917184081,0.041298,0.05,0.186454
8,0.8345535895871466,-0.4641446572510245,-0.2535756292534876,-0.07337715618972922,0.040296,0.05,0.184595
9,0.8242617449664429,-0.5076483421923982,-0.2771930115341262,-0.08051579592150743,0.039342,0.05,0.182755
10,0.8037155755450014,-0.556145274878934,-0.3040111407438509,-0.08811748604016773,0.038432,0.05,0.180933
11,0.8156357822098796,-0.6003225995037247,-0.328115796875744,-0.09546424849394967,0.037563,0.05,0.179129
12,0.8215561396414611,-0.6474153766256742,-0.35353363755457046,-0.10341382763467882,0.036732,0.05,0.177343
13,0.82069637695772,-0.6952338015785194,-0.3795167074387015,-0.1111963116433342,0.035938,0.05,0.175575
14,0.8271853454783352,-0.7392656845508179,-0.4026500592848923,-0.11903842067826438,0.035176,0.05,0.173825
15,0.8297615454271053,-0.773112661254117,-0.42040592969135215,-0.12504773470937364,0.034447,0.05,0.172092
16,0.8209288278916815,-0.8140257577649703,-0.4429974612234466,-0.1313331285238899,0.033747,0.05,0.170376
17,0.8163258413684797,-0.8507257788876796,-0.4625956349664627,-0.13742094422657472,0.033075,0.05,0.168678
18,0.8139860372894346,-0.8902909836932351,-0.4838560263665295,-0.14404729728117327,0.03243,0.05,0.166996
19,0.819504995843865,-0.9250291963945821,-0.5028779981867694,-0.149495404455069,0.031809,0.05,0.165332
20,0.8139419334536843,-0.961072799601687,-0.5223426892832227,-0.1552139515608179,0.031211,0.05,0.163683
21,0.812548740379073,-0.9962148440590424,-0.5419844456320674,-0.1604300378739352,0.030635,0.05,0.162052
22,0.8193698442179944,-1.0417959229871145,-0.5664531525791386,-0.1681244238006814,0.03008,0.05,0.160436
23,0.8118810213568686,-1.079578597059297,-0.5865282113214072,-0.17480040279085618,0.029545,0.05,0.158837
24,0.8317174169729424,-1.1123954784309205,-0.6039869242049064,-0.18019626234750175,0.029029,0.05,0.157253
25,0.8077285738339788,-1.1486204507642461,-0.6236685585161399,-0.18615293920227147,0.028531,0.05,0.155686
26,0.8341567990352889,-1.1769830175681184,-0.6386726998782233,-0.19089894299522403,0.028049,0.05,0.154133
27,0.8241224421893196,-1.2150668746258908,-0.6591329120717782,-0.19724658365944786,0.027583,0.05,0.152597
28,0.8192444833153929,-1.2486997665633486,-0.6773641492232172,-0.20290305593390953,0.027132,0.05,0.151076
29,0.8208358529866291,-1.277893144238481,-0.6930714390698278,-0.20774251281106176,0.026696,0.05,0.14957
30,0.8297132190734771,-1.303420630809005,-0.7068004673699398,-0.21192168906429099,0.026274,0.05,0.148078
31,0.8218062231216797,-1.3304084316765181,-0.7212752473643314,-0.21657683940912772,0.025865,0.05,0.146602
32,0.8214844078339077,-1.3608619836059745,-0.7381087713034643,-0.22114693448242093,0.025468,0.05,0.145141
33,0.8215053035813977,-1.3867675113117632,-0.7521454770875412,-0.22542995802023955,0.025084,0.05,0.143694
34,0.8224820444295975,-1.4198828385369877,-0.7693530643965972,-0.23148659836717908,0.024711,0.05,0.142261
35,0.8150295857988166,-1.4502589654934668,-0.7851559420315287,-0.23707050424450474,0.024349,0.05,0.140843
36,0.8123777403035413,-1.4807786643065353,-0.8019123710010396,-0.24205574534843696,0.023997,0.05,0.139439
37,0.8307300452061265,-1.507151351409344,-0.8161393895694381,-0.2463862341403525,0.023655,0.05,0.138049
