episode,service_level,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,time_of_day_fraction,multi_horizon_starvation_risk
19,0.9424004367739391,-32.104848635452164,-23.105934452098683,-134.39615531823313,-77.70703947149254,-42.55544495053586
20,0.9431553136774117,-32.72517268143328,-23.52241274357423,-136.50086574411588,-78.92946128894836,-43.35842279024783
21,0.9392083509322392,-33.35078142187291,-23.954627281183164,-138.6616016141398,-80.21822143963588,-44.18022857641996
22,0.9388298677320742,-33.92281095505418,-24.34851912153255,-140.5408083063581,-81.29359719271133,-44.92089006459113
23,0.9367199540660602,-34.437611614733314,-24.69711234637581,-142.1735587706689,-82.20775552458517,-45.583286064827966
24,0.9377268500464949,-34.97249952120805,-25.06771462672115,-143.89976883610686,-83.1535946114713,-46.27679354173033
25,0.9354405042870373,-35.485698343938324,-25.420470793125304,-145.55293893368923,-84.10271206312194,-46.94680919678174
26,0.9356745996375196,-35.99400106258919,-25.770148541174773,-147.16258925624192,-85.03791642998482,-47.601212120404966
27,0.9310199155099578,-36.47175606770469,-26.09610680791527,-148.60827140205035,-85.8768594259894,-48.211584260160976
28,0.9396272770853308,-36.89747997049383,-26.386475738799124,-149.73969680919163,-86.50794506343364,-48.74358312760739
29,0.9354126908396947,-37.2979979802224,-26.65823457033785,-150.70265283603166,-87.04278055018668,-49.23381175753988
30,0.9346488823923503,-37.72354085642411,-26.950447263486236,-151.8340062937192,-87.68163211246689,-49.767316450897056
31,0.9374773468648061,-38.09227573526734,-27.200145698804253,-152.71470629388557,-88.16878627977127,-50.2229919289327
32,0.9453739410317918,-38.40303540890207,-27.408528869901197,-153.20924430017686,-88.44702519050429,-50.58189971645542
33,0.9369568463491116,-38.71881237956183,-27.620771340368947,-153.80019627422672,-88.7440697345317,-50.957053993826236
34,0.936771797406176,-39.02554145775617,-27.821951344799608,-154.3715416687585,-89.07766784675204,-51.31959547029782
35,0.9398107560688049,-39.38075802929315,-28.061934463300947,-155.2659306865781,-89.59068986395445,-51.762249242135155
36,0.93732846759357,-39.70360556041688,-28.28467212538382,-155.96364530259086,-89.98585165866955,-52.15687257939412
37,0.9399624196872348,-40.01417453488053,-28.496024126372227,-156.67845570794458,-90.39838430872382,-52.543685108427816
38,0.9434956395348837,-40.324627894895514,-28.707720703243893,-157.360252968125,-90.80569776372207,-52.92511151990076
39,0.93596283476043,-40.59845775544325,-28.895575813294265,-157.8893507204878,-91.10744125209001,-53.255703207239755
40,0.9437658653128267,-40.875883078141094,-29.08684333022979,-158.51863626401524,-91.48645759643418,-53.60249774756203
41,0.9434859844036974,-41.142592745925796,-29.267343746115024,-159.00914904826737,-91.80296112313454,-53.92167533644453
42,0.9396462336078073,-41.38464438840567,-29.43252711952332,-159.39908251179918,-92.01573846547807,-54.20578014719453
43,0.9409837060412052,-41.62413220029519,-29.59773320458136,-159.8013032395576,-92.24551291459608,-54.49141717387732
44,0.9394489857705116,-41.84533084933788,-29.748330635916858,-160.1627224907622,-92.45069083824202,-54.75126822625584
45,0.9406299022565464,-42.0553860849039,-29.89131154668259,-160.40415686696426,-92.6053334203902,-54.99175403254166
46,0.9428313796212804,-42.26753099460606,-30.034070967432527,-160.74060657274964,-92.81144286928505,-55.243223957928784
47,0.9440654843110505,-42.46865113294555,-30.174849578677456,-161.00847488376365,-92.95694072008202,-55.48180977509687
48,0.9386426550664679,-42.65442604268762,-30.302258062782094,-161.21284174206477,-93.07726027869617,-55.697424265417
49,0.9341806220095694,-42.8441995338955,-30.42989323222318,-161.40022364675318,-93.17397028523045,-55.91073025740332
50,0.9448814151824729,-43.02219554981076,-30.549522587646546,-161.59958657220156,-93.27315958498296,-56.11456276586175
51,0.9410313496600277,-43.17204442882606,-30.64696938616151,-161.6206614640973,-93.30570419005099,-56.27398285736016
52,0.9420179808042766,-43.36004765092802,-30.77198912058719,-161.89553552773484,-93.45804382870357,-56.49612000567572
53,0.9373525635283227,-43.52899072536665,-30.885936244355904,-162.10395599242278,-93.57939943189893,-56.69363774498171
54,0.9346879971185881,-43.69168919796456,-30.994956634661687,-162.27650169546868,-93.67394277070717,-56.88051355867388
55,0.9394221808014911,-43.86369249973949,-31.113347999570177,-162.55076095645745,-93.8290033405917,-57.08936071121578
56,0.9366595679951324,-44.01888046233032,-31.220974560399394,-162.7283500780907,-93.95725418551312,-57.27050031444129
57,0.9361759025404843,-44.16453598221875,-31.318365541418434,-162.833273283838,-94.01367751373076,-57.432801523162276
58,0.9389712292938099,-44.309499658449184,-31.415531847812765,-162.9684290290613,-94.10623240225978,-57.59834477035044
59,0.9341839959071895,-44.4551069939132,-31.511269396998117,-163.07576798188666,-94.18368661353922,-57.75795518566929
60,0.9347437425506555,-44.58995841008057,-31.597849668974916,-163.1515402358301,-94.22272532906713,-57.903603242153665
61,0.9408076323052922,-44.733158540401014,-31.693042760123877,-163.30038984546908,-94.30017475112058,-58.06714144468822
62,0.9353406326034064,-44.87056087354182,-31.784532660081112,-163.42992620320823,-94.37542807828314,-58.21928290936749
63,0.9380343157768877,-44.98716814105637,-31.86015193960929,-163.4569768129577,-94.3932928569477,-58.34371244949897
64,0.937263336463603,-45.130791675946064,-31.956250832333836,-163.67646043043067,-94.52270493646374,-58.51521723390339
65,0.9348601123934981,-45.25396853289359,-32.037510982264585,-163.78713977188738,-94.57806768659748,-58.65503353896466
66,0.9333313222118315,-45.38563061522926,-32.12520800287826,-163.9726406708757,-94.70919649830897,-58.807304231428674
67,0.9399203330438168,-45.5003314632065,-32.20192822214219,-164.0408477535951,-94.75127954613527,-58.93533661006811
68,0.9425717087521451,-45.63036569543244,-32.289857285262684,-164.23067495879224,-94.8820126147232,-59.0897839051787
69,0.9389537528430629,-45.73429864275054,-32.358062085166196,-164.2793496063316,-94.90881492190216,-59.203042433450435
70,0.9363742971404516,-45.84216436878356,-32.430289199130534,-164.35640976514048,-94.95485730654168,-59.32390619084101
71,0.9409337742317143,-45.95189044148908,-32.50524711407713,-164.45471590227578,-95.01669740985935,-59.448861852184336
72,0.9450347117416239,-46.059689259845506,-32.57788126228205,-164.53155874788374,-95.05237231885626,-59.567655435676016
73,0.9462224793690429,-46.1638971252717,-32.64815830738442,-164.60161450915055,-95.07497614393203,-59.683289302590914
74,0.9313930556385586,-46.2648949034157,-32.71669683660288,-164.68754371561363,-95.1245868188692,-59.79751049583558
75,0.937594944400559,-46.367006406609676,-32.785940040528324,-164.78823176103487,-95.18025250530012,-59.91545366113456
76,0.9397987246516969,-46.459253969451936,-32.84554009921218,-164.82882423273367,-95.21063353580354,-60.016388605639946
77,0.939210361395446,-46.560758995086076,-32.91246538079304,-164.9607229000421,-95.30289115784822,-60.13524524587111
78,0.939209726443769,-46.649002669837394,-32.969976739028404,-165.00533281904285,-95.33751547645925,-60.23363609269976
79,0.9429827202119333,-46.73516819642148,-33.02801608143908,-165.05310899397736,-95.37221994133913,-60.32967062770903
80,0.9396241143268884,-46.82519741294512,-33.08784629645621,-165.1343065184053,-95.42071742639762,-60.43244040892691
81,0.9441450714458707,-46.91456109876705,-33.147067332079565,-165.18578853211537,-95.44737135887927,-60.529611699001194
82,0.9392981822559288,-46.98439633604416,-33.194591342641665,-165.15120192694792,-95.42627792740726,-60.60176064895004
83,0.9400367060805729,-47.05499313112559,-33.24257345764712,-165.12203017629818,-95.42390282804325,-60.67544476800925
84,0.9410356897119095,-47.137491807685564,-33.29677145754223,-165.1798629892051,-95.4603750130497,-60.76869659329113
85,0.937706891363226,-47.22759170740322,-33.3575381087625,-165.29836255645156,-95.541029077823,-60.8736497006444
86,0.93833608209639,-47.2944442525537,-33.40022156662326,-165.26970972994758,-95.51008626522884,-60.93908904808081
87,0.9390852328742568,-47.3594979322162,-33.44259456584599,-165.2670302934536,-95.50513256873957,-61.00837231029636
88,0.9388602301517047,-47.438526759350225,-33.49621864938117,-165.36876775698957,-95.56863611947382,-61.10022155864288
89,0.9391270248257971,-47.50939773064344,-33.5429501586476,-165.42422603033972,-95.60671033962632,-61.18076042600292
90,0.9388759701627759,-47.575420822914566,-33.587193217039854,-165.456266629051,-95.6354743276669,-61.25489870129418
91,0.9375778793093218,-47.64458140016084,-33.63372708159536,-165.50422545827857,-95.67651856500098,-61.33233106596347
92,0.9319417593040116,-47.701895660129786,-33.670640770671355,-165.4741292266835,-95.66407258339429,-61.389854449692
93,0.9338454586534116,-47.7675112690451,-33.71561080355312,-165.52416439002457,-95.69828261840414,-61.463259432912174
94,0.9416942024632021,-47.82551950184119,-33.753265495409586,-165.52695749432453,-95.70519459447733,-61.52440434019745
95,0.936699751116975,-47.88063559641325,-33.788424937699595,-165.5104213390695,-95.69871455427744,-61.580024806616265
96,0.9424749365865442,-47.93846442613751,-33.82627902405186,-165.5505076978181,-95.72921089192,-61.64543090383339
97,0.9389496053430479,-47.987325701061714,-33.85859134420289,-165.53257508977347,-95.72147124329494,-61.69624038855022
98,0.9374661287408924,-48.04022635718652,-33.892699695889625,-165.5403065948946,-95.73194785536508,-61.75242108643189
99,0.9450601977713381,-48.09448298269687,-33.92926468018609,-165.5801803364683,-95.76905550141261,-61.81456467643558
