episode,service_level,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,time_of_day_fraction,multi_horizon_starvation_risk
0,0.8906752411575563,-2.437402442173273,-1.857295217713684,-8.494610823729614,-4.909337261192859,-2.9930904065961976
1,0.9426351412875223,-6.079519795377626,-4.586539636379932,-22.79060768579696,-13.192260427750472,-7.652924562823711
2,0.9386597009547829,-9.149460091518431,-6.845568784389323,-35.892810327814765,-20.80734618907036,-11.696275076090137
3,0.9403034800254414,-11.643011099599729,-8.651686049019995,-46.95096301262379,-27.14441001412149,-15.031001239188047
4,0.9410936329588016,-13.94795023669612,-10.32568562819924,-57.41249211444272,-33.24887528666385,-18.145107064984877
5,0.9396199182102478,-15.9520799119711,-11.777433767109166,-66.5245442499673,-38.549047626573085,-20.859377189267306
6,0.9362949531580538,-17.791183073335006,-13.10030142305942,-74.93130012238653,-43.435693926171446,-23.36022453234532
7,0.9402790810303598,-19.46243283275778,-14.299754140437066,-82.51315520727364,-47.87561432089644,-25.640428924607722
8,0.9388203017832647,-20.970162217940903,-15.378215128717537,-89.2026266201835,-51.75091327647238,-27.68007170957202
9,0.9372447424565681,-22.416399228434315,-16.39889205299085,-95.72701956211,-55.525745580235395,-29.661368128098573
10,0.9325044937088076,-23.734189476128865,-17.32365598007489,-101.51496667189707,-58.835423361258634,-31.44960592996435
11,0.9396041685437126,-24.972389444129373,-18.186651535584108,-106.79407465222631,-61.895216742411456,-33.117651150435954
12,0.938181168483116,-26.119880771350285,-18.985892488314235,-111.57933191860239,-64.68050116279039,-34.6563509217497
13,0.9403390239488448,-27.183839090378523,-19.724828454875922,-116.00148903032516,-67.22848715405415,-36.08907617082254
14,0.9435131413518529,-28.099610014483027,-20.35602007499554,-119.56849951409224,-69.28846416859156,-37.29963544393052
15,0.9350525024680647,-29.012753873443216,-20.988940072252976,-123.05875516209221,-71.26494940391673,-38.50071924369996
16,0.9419683463707477,-29.840047595917696,-21.55922266128751,-126.15736630803113,-73.0382257571566,-39.58786933819258
17,0.9391089407367216,-30.675698030586478,-22.139180894062584,-129.34188796302976,-74.88700818935915,-40.69692851453068
18,0.940638993101779,-31.43556344518132,-22.65222307169645,-132.10918606190086,-76.43985307442829,-41.688542941848404
