episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9206484356739791,-2.542691722119105,-0.021889781976301367,-0.00965896632244,-0.0037436589387158164,-0.006794960850580705,-0.0038473940345885795,0.01,0.01,0.0,0.97,100,11,1,12
1,0.9225354456500033,-2.5828590662110105,-0.04244294506339886,-0.018641464876389315,-0.007417241061391323,-0.012986533954164646,-0.007401741631795458,0.009708,0.01,0.0,0.97,100,10,1,11
2,0.9170390875133404,-2.624747097238556,-0.06409117239907694,-0.028204890758245754,-0.011146454139419986,-0.019451531733040487,-0.010918073731576267,0.009432,0.01,0.0,0.97,100,10,1,11
3,0.9215408700286456,-2.6628535710806536,-0.08383578748770477,-0.03697096371066961,-0.014710958333353636,-0.025903341760484817,-0.014196622230014886,0.009172,0.01,0.0,0.97,100,10,1,11
4,0.9208371847352437,-2.701186313325464,-0.1033742297037871,-0.04593049799133851,-0.017940895439753607,-0.032378687393348836,-0.017337467180012524,0.008925,0.01,0.0,0.97,100,10,1,11
5,0.925,-2.7356769272429884,-0.12085960654362812,-0.05362343138066595,-0.02107491824483642,-0.03770230440462185,-0.020365324088550216,0.008692,0.01,0.0,0.97,100,10,1,11
6,0.9213368894815803,-2.769372052133544,-0.13823536754252003,-0.061534176548828194,-0.02403753842647508,-0.04335713828702916,-0.02359243509018932,0.00847,0.01,0.0,0.97,100,11,1,12
7,0.9252125398512221,-2.8020328368063843,-0.1550054741338922,-0.06892004949965917,-0.026894843343468654,-0.04851950651783889,-0.026412289024887885,0.00826,0.01,0.0,0.97,100,10,1,11
8,0.9285135272064039,-2.8317693922116964,-0.17001642606031775,-0.07554924705529435,-0.029628714561167314,-0.0533808561016853,-0.02912752962007662,0.008059,0.01,0.0,0.97,100,10,1,11
9,0.9279047204844267,-2.8613980970061896,-0.18482356227087496,-0.08182552537963114,-0.0323368755857489,-0.05769981502344716,-0.031853203538433225,0.007868,0.01,0.0,0.97,100,10,1,11
10,0.9156824037206812,-2.8956169815129456,-0.2024879638815809,-0.08963253581874227,-0.03546980543795799,-0.06295209979884506,-0.03489697477396739,0.007686,0.01,0.0,0.97,100,10,1,11
11,0.9173869346733668,-2.928097753126113,-0.21905300373163777,-0.0971381788926565,-0.03827621551860345,-0.06833842563931676,-0.037760299065964495,0.007513,0.01,0.0,0.97,100,10,1,11
12,0.9243990868806231,-2.9569201434382717,-0.23380075730196936,-0.1034912878030121,-0.041109925880461806,-0.07275332604247142,-0.0404439239617097,0.007346,0.01,0.0,0.97,100,11,0,11
13,0.9257261549800664,-2.9844685927811843,-0.24789551402880014,-0.1097872410363967,-0.043548436023420414,-0.0770680233813891,-0.04276841412582734,0.007188,0.01,0.0,0.97,100,10,1,11
14,0.9263264560284394,-3.0107902781457754,-0.2613734701418791,-0.11588806660210235,-0.045898184980171244,-0.08139448800645507,-0.045204839234299486,0.007035,0.01,0.0,0.97,100,11,1,12
