episode,service_level,rebalancing_imbalance,squared_starvation_penalty,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
0,0.9313275080323093,-2.9806089311703516,-1.0940687746398987,0.1,0.1,0.2,0.2,1486,801,1539,33303,37966,37958,0,0,0,0,3854,3863,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
1,0.9415878733303317,-3.0539389193922775,-1.261951381347108,0.097486,0.1,0.198291,0.2,1177,769,1349,33315,38162,38156,0,0,0,0,3820,3830,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
2,0.935773750488384,-3.462600590355276,-1.5182020936140308,0.095095,0.1,0.196596,0.2,1349,788,1540,33273,37949,37944,0,0,0,0,3805,3809,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
3,0.9390112197756045,-3.473847418418586,-1.6817645442062588,0.092819,0.1,0.194915,0.2,1156,877,1241,33334,38327,38322,0,0,0,0,3854,3854,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
4,0.931874868527812,-3.702973635531994,-1.9456116175115425,0.090649,0.1,0.19325,0.2,1512,755,1604,33277,37872,37864,0,0,0,0,3810,3819,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
5,0.9295643837258074,-3.704352999256877,-2.070279104498107,0.088579,0.1,0.191598,0.2,1202,1149,1420,33378,38389,38381,0,0,0,0,3881,3877,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
6,0.9359203624225083,-3.9008289382000956,-2.2665024279174566,0.0866,0.1,0.18996,0.2,1277,873,1275,33552,38507,38501,0,0,0,0,3800,3788,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
7,0.9351065102920058,-3.5398055733746077,-2.224359560881081,0.084709,0.1,0.188337,0.2,1261,908,1602,33424,38181,38177,0,0,0,0,3851,3837,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
8,0.9345013477088949,-3.655715204981824,-2.3410495761474173,0.082898,0.1,0.186727,0.2,1361,826,1413,33390,38155,38150,0,0,0,0,3815,3824,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
9,0.941104331179708,-3.571940291523343,-2.4353545535616665,0.081163,0.1,0.185131,0.2,1140,829,1380,33432,38390,38380,0,0,0,0,3892,3884,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
10,0.9327651794402996,-3.545875420372954,-2.5664290830993495,0.079499,0.1,0.183549,0.2,1445,835,1494,33911,38650,38647,0,0,0,0,3885,3869,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
11,0.9356298262548263,-3.6521497026249423,-2.7131867416202544,0.077902,0.1,0.18198,0.2,1384,750,1644,33152,37818,37816,0,0,0,0,3916,3915,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
12,0.9401908927041163,-3.5564952831290157,-2.771482051733521,0.076368,0.1,0.180424,0.2,1235,789,1427,33841,38789,38784,0,0,0,0,3801,3798,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
13,0.9317515409012028,-3.371804398310332,-2.8449057947078993,0.074893,0.1,0.178882,0.2,1414,867,1463,33422,38175,38175,0,0,0,0,3748,3733,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
14,0.9378355804796563,-3.765567368880066,-3.0336555727799537,0.073474,0.1,0.177353,0.2,1258,826,1549,33524,38370,38364,0,0,0,0,3942,3941,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
15,0.9358682475385116,-3.9215932163057965,-3.110523608285164,0.072107,0.1,0.175838,0.2,1329,840,1539,33821,38567,38557,0,0,0,0,3881,3888,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
16,0.9399596519225558,-3.7323379988481316,-3.1072345946059867,0.070791,0.1,0.174335,0.2,1262,732,1288,33211,38015,38013,0,0,0,0,3785,3794,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
17,0.9424481973889088,-3.3815315583947894,-3.0797092098517744,0.069522,0.1,0.172845,0.2,1223,699,1695,33396,38281,38278,0,0,0,0,3823,3831,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
18,0.937806436276112,-3.4348360197698224,-3.153484848501695,0.068297,0.1,0.171367,0.2,1304,789,1445,33653,38510,38501,0,0,0,0,3832,3834,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
19,0.9420008366700532,-3.386304817602044,-3.181613251725144,0.067115,0.1,0.169903,0.2,1170,771,1487,33466,38307,38303,0,0,0,0,3871,3880,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
20,0.9439177578953606,-3.2449788145072307,-3.2358898667885696,0.065974,0.1,0.168451,0.2,1169,724,1582,33754,38610,38603,0,0,0,0,3877,3882,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
21,0.9358263112124029,-3.40125512529572,-3.3613101594800447,0.06487,0.1,0.167011,0.2,1203,937,1417,33347,38280,38274,0,0,0,0,3689,3678,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
22,0.9280782338124166,-3.769446429967954,-3.5265850623044988,0.063803,0.1,0.165583,0.2,1525,902,1668,33745,38283,38269,0,0,0,0,3736,3736,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
23,0.9384505278225085,-3.4344486531700573,-3.468240618754415,0.06277,0.1,0.164168,0.2,1312,752,1642,33534,38460,38451,0,0,0,0,3768,3775,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
24,0.9354809736235442,-3.8350356729143757,-3.6360570676960595,0.06177,0.1,0.162765,0.2,1247,908,1650,33401,38234,38227,0,0,0,0,3841,3842,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
25,0.9347813043739125,-4.002784972696992,-3.734469537024681,0.060801,0.1,0.161374,0.2,1248,926,1545,33334,38104,38094,0,0,0,0,3842,3843,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
26,0.9360064201640709,-4.018443763484409,-3.7374367158728643,0.059863,0.1,0.159995,0.2,1344,809,1730,33644,38225,38220,0,0,0,0,3817,3822,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
27,0.9342646837914976,-3.6388793548949447,-3.698123938669803,0.058953,0.1,0.158627,0.2,1413,775,1683,33285,38056,38050,0,0,0,0,3904,3918,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
28,0.9306927737814524,-3.927023251817505,-3.8133773269174798,0.05807,0.1,0.157271,0.2,1371,951,1566,33503,38287,38279,0,0,0,0,3714,3729,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
29,0.9421221864951769,-3.638624389205831,-3.745068767415951,0.057213,0.1,0.155927,0.2,1105,839,1517,33588,38565,38556,0,0,0,0,3825,3810,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
30,0.9377712592415217,-3.8515032576048633,-3.857176226384747,0.056381,0.1,0.154594,0.2,1107,972,1728,33409,38442,38436,0,0,0,0,3840,3849,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
31,0.9364098944086591,-4.039907540029766,-3.9371930521799485,0.055573,0.1,0.153273,0.2,1287,875,1585,33999,38960,38949,0,0,0,0,3731,3729,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
32,0.9366513130346354,-3.8203997244060357,-3.923007637964266,0.054788,0.1,0.151963,0.2,1381,737,1480,33434,38198,38191,0,0,0,0,3820,3817,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
33,0.9418794626648916,-3.6518260362501094,-3.927562100835374,0.054025,0.1,0.150664,0.2,1064,857,1410,33052,38318,38314,0,0,0,0,3868,3862,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
34,0.9337996725703229,-3.772279169487225,-3.995642034245585,0.053282,0.1,0.149376,0.2,1332,892,1482,33595,38437,38431,0,0,0,0,3882,3887,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
35,0.9416421424367275,-3.461267888435625,-3.9696986567923322,0.05256,0.1,0.1481,0.2,1232,751,1571,33980,39050,39039,0,0,0,0,3848,3858,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
36,0.9355177168895018,-3.999063690163931,-4.173402937360329,0.051857,0.1,0.146834,0.2,1251,900,1646,33358,38158,38151,0,0,0,0,3888,3889,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
37,0.9378462088272083,-4.099164242659044,-4.246432810450471,0.051173,0.1,0.145579,0.2,1153,934,1641,33578,38423,38413,0,0,0,0,3918,3916,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
38,0.9364620292793464,-4.131322115937629,-4.316814458386673,0.050507,0.1,0.144335,0.2,1170,961,1755,33539,38550,38548,0,0,0,0,3841,3841,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
39,0.9332868996426624,-4.010498959299324,-4.309376450250428,0.049857,0.1,0.143101,0.2,1346,857,1632,33022,37756,37752,0,0,0,0,3943,3943,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
40,0.9328546536081235,-4.0315841702605475,-4.366903681173802,0.049224,0.1,0.141878,0.2,1315,920,1586,33286,38198,38186,0,0,0,0,3823,3826,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
41,0.9370040730125208,-3.8504001101330005,-4.352424408706351,0.048607,0.1,0.140665,0.2,1207,881,1470,33145,38048,38044,0,0,0,0,3812,3832,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
42,0.9402667465907388,-3.8257218765592813,-4.357486713696055,0.048006,0.1,0.139463,0.2,1196,797,1512,33365,38205,38200,0,0,0,0,3783,3784,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
43,0.9361714921379394,-3.568410076611293,-4.321300578926837,0.047418,0.1,0.138271,0.2,1259,864,1681,33261,38285,38277,0,0,0,0,3805,3805,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
44,0.9333009944215377,-3.634125413508319,-4.324230541614564,0.046846,0.1,0.137089,0.2,1360,840,1420,32984,37761,37755,0,0,0,0,3767,3769,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
45,0.9459582198001817,-3.3759444763029296,-4.242227337964042,0.046286,0.1,0.135918,0.2,1026,759,1669,33030,37972,37971,0,0,0,0,3723,3723,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
46,0.9419074800808658,-3.403854607362431,-4.278900058375604,0.04574,0.1,0.134756,0.2,1131,823,1531,33636,38600,38595,0,0,0,0,3732,3737,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
47,0.9388045684510286,-3.4397087609830748,-4.325336905543805,0.045207,0.1,0.133604,0.2,1270,750,1654,33009,37828,37822,0,0,0,0,3740,3748,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
