feature,corr_reward,corr_td_target,corr_td_error,corr_future_starvation,corr_future_congestion,corr_future_broken_fleet_ratio
rebalancing_imbalance,0.002354594782728513,0.0043632504710943,0.00436317209705654,-0.0020788592936174764,-0.0029317416022969726,-0.05290396621595524
squared_starvation_penalty,-0.045416348683029954,-0.015997205485978327,-0.015997347174144548,0.0467560919048771,0.042384139377185326,0.17507756375022504
squared_congestion_penalty,0.009072627507823661,0.0062154516610981635,0.006215216910994626,-0.010541397889992836,-0.005911652615969445,-0.3501002424484424
exponential_starvation_penalty,-0.045881699868226065,-0.017235978531138892,-0.01723614976004579,0.04741564478010774,0.042434488533210864,0.16871586213223172
exponential_congestion_penalty,-0.0010161839988721765,5.5243257273838375e-05,5.5270277828939845e-05,0.0010466611939892307,0.0009472737276149032,-0.011276009642782638
starvation_severity_max,-0.03259351969514359,-0.027006548568244595,-0.02700679111504077,0.03458042212816875,0.028235985646206444,0.04172239731876696
congestion_severity_max,-0.004387726345464391,0.0018384757606853912,0.0018381748006379495,0.0026344756737828354,0.008099922514308173,-0.3321926779092753
starvation_count,-0.04076813824799436,-0.018003829790286748,-0.018004073232569317,0.04278466925893876,0.03631479729714448,0.12498543790226414
congestion_count,-0.006965799396545457,-0.0038786438730397358,-0.003878734378541999,0.005162878279563549,0.010773325445242118,-0.2968373243374644
gross_starvation_risk,-0.039890458314763635,-0.013397500304984412,-0.013397335499570458,0.041525806008972245,0.03625154918003269,-0.005775344128818919
gross_congestion_risk,-0.037529734281170325,-0.011554819699872425,-0.011554997887588726,0.038084597369991036,0.036198866277944046,-0.1419897308131257
net_starvation_shortfall,-0.030688598212039456,-0.009386182534502357,-0.009386323629525637,0.03185193421934577,0.0280907212309919,0.08918968847151348
net_congestion_shortfall,-0.03984401345672539,-0.011901638241408457,-0.01190182711394704,0.03883976787220072,0.04182064596107453,-0.2151593352120455
time_remaining_fraction,,,,,,
functional_bikes_time_penalty,,,,,,
reachable_imbalance_fraction,,,,,,
recoverable_imbalance_fraction,0.018749521901683365,0.004549287823562909,0.004549418487908986,-0.018357519358230538,-0.01950827425812189,-0.18946581600406198
imbalance_hotspot_distance,0.01511081971213904,0.0017155487691310086,0.0017153958030283497,-0.015590778094771525,-0.014029189967775944,0.020413755983067546
destination_starv_ratio,-0.014504677340292461,-0.004079930960488956,-0.004079841184698535,0.014904119179908595,0.013596765316412773,0.06430925424172088
destination_cong_ratio,-0.0162637716962871,-0.007295827251347865,-0.00729576285428377,0.016080163788465062,0.01658916109402715,-0.0449283379879982
destination_travel_penalty,-0.04064392134529522,-0.013069505110150407,-0.013069667349615541,0.040627491227049374,0.04051591113156425,0.02611888914724249
destination_roi_starvation,-0.014504677340292461,-0.004079930960488956,-0.004079841184698535,0.014904119179908595,0.013596765316412773,0.06430925424172088
cur_station_func_deficit,-0.011584910827938182,-0.003944902942552085,-0.003945003797638582,0.011651675500043538,0.011396428560308213,0.06291856052940487
functional_load_late_pressure,0.052862149370108906,0.02131177363629029,0.02131157505217309,-0.05388356681337337,-0.05047727827365844,-0.016165774067869343
non_depot_late_load_pressure,-0.02382150926809357,-0.009657452095880049,-0.00965757562913459,0.022720988920951753,0.026067195170937692,0.06394612995144289
