,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,exponential_starvation_penalty,exponential_congestion_penalty,starvation_severity_max,congestion_severity_max,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,net_starvation_shortfall,net_congestion_shortfall,time_remaining_fraction,functional_bikes_time_penalty,reachable_imbalance_fraction,recoverable_imbalance_fraction,imbalance_hotspot_distance,destination_starv_ratio,destination_cong_ratio,destination_travel_penalty,destination_roi_starvation,cur_station_func_deficit,functional_load_late_pressure,non_depot_late_load_pressure
rebalancing_imbalance,1.0,0.5283423646943108,0.6948148368572074,0.5336789953948433,0.6743010025638244,0.3727120275108119,0.5481127310236622,0.48784701050600754,0.48410615674608837,0.10300865714412072,0.13558344771404757,0.22910684491685915,0.3851313025762991,,,,-0.42735689341568694,-0.03423908761572105,-0.06240690745427234,0.026912884106266435,-0.04035603842362401,-0.06240690745427234,-0.011756234001753591,-0.17513458990230607,-0.2986271561717927
squared_starvation_penalty,0.5283423646943108,1.0,0.0948340956191447,0.9929161336147655,0.10418547080106282,0.6689353649889347,0.17067672105339984,0.8159160604365375,0.1672872732819354,0.3031000722014662,0.3541165560723769,0.23714731400371278,0.36576940577931283,,,,-0.3832207390637126,-0.0068746130430246835,-0.025965172121222038,-0.009896535094604492,0.004473935783875948,-0.025965172121222038,0.10108497591815521,-0.028935997644451684,-0.03367585028018565
squared_congestion_penalty,0.6948148368572074,0.0948340956191447,1.0,0.11760775366319368,0.9936329838792279,0.1395808692141419,0.845912991291459,0.1866508694618663,0.7580561555584714,-0.015443306217675796,0.07768195048336923,0.18426153104492132,0.45090292170892415,,,,-0.16191410894113045,-0.03598627117404867,-0.05349772958824308,-0.0003366304826148025,-0.026775076160571315,-0.05349772958824308,-0.0694287254744727,-0.16532698624623932,-0.30513422567407683
exponential_starvation_penalty,0.5336789953948433,0.9929161336147655,0.11760775366319368,1.0,0.12636414578838273,0.7217266630481851,0.1857084095800181,0.8673103368267494,0.18125468293263902,0.3058041131619581,0.3492086076901795,0.2654910897099872,0.3708100821198082,,,,-0.36744758863679794,-0.008141939176752905,-0.02892614027019351,-0.010739465307454312,0.0036319890293410838,-0.02892614027019351,0.0987494674102523,-0.03927959537144538,-0.051895856823599956
exponential_congestion_penalty,0.6743010025638244,0.10418547080106282,0.9936329838792279,0.12636414578838273,1.0,0.1446466444528051,0.8863796205536526,0.19172057807005696,0.8120160714839085,0.00018154856027856667,0.10117481876498415,0.18736247212381632,0.48093516179085094,,,,-0.15221287669360167,-0.03786312594284967,-0.05558689190909553,-0.0024157752478031584,-0.025895442086721482,-0.05558689190909553,-0.06712086017276774,-0.15956106309967388,-0.2986435953706701
starvation_severity_max,0.3727120275108119,0.6689353649889347,0.1395808692141419,0.7217266630481851,0.1446466444528051,1.0,0.1741758466541507,0.7847118736440156,0.168144223427059,0.23967917028536959,0.2527316510242049,0.2764220764942865,0.28327598167692886,,,,-0.18858651731090723,-0.005196816630183488,-0.03063431317145885,-0.016962212073639935,0.007743766206372844,-0.03063431317145885,0.06497434408514738,-0.04957041042410881,-0.08352783881172493
congestion_severity_max,0.5481127310236622,0.17067672105339984,0.845912991291459,0.1857084095800181,0.8863796205536526,0.1741758466541507,1.0,0.21741203482443594,0.8671272270370733,0.05556911714517619,0.1806786808787393,0.17159044286457284,0.5323336306639281,,,,-0.12961219853029649,-0.03869728597060902,-0.055667482970304355,-0.012761334414950351,-0.020682333613074786,-0.055667482970304355,-0.039126439862330595,-0.11404456188649033,-0.22603478278894104
starvation_count,0.48784701050600754,0.8159160604365375,0.1866508694618663,0.8673103368267494,0.19172057807005696,0.7847118736440156,0.21741203482443594,1.0,0.2057251585543637,0.27486186459518824,0.28542944950382576,0.3281887640755744,0.34222560470923424,,,,-0.2732868634133943,-0.012264101145947321,-0.04073783082899097,-0.01028256223878852,-0.00021609800690920632,-0.04073783082899097,0.07567929133553493,-0.06735530781550333,-0.10616073647238541
congestion_count,0.48410615674608837,0.1672872732819354,0.7580561555584714,0.18125468293263902,0.8120160714839085,0.168144223427059,0.8671272270370733,0.2057251585543637,1.0,0.07125605900508898,0.1883079238561029,0.16873534362820314,0.5230254457340021,,,,-0.10208508369030868,-0.038353616633698684,-0.04885779023938615,-0.01663556898211233,-0.01987725780298543,-0.04885779023938615,-0.0381719489250904,-0.10998360130686555,-0.21649343992217446
gross_starvation_risk,0.10300865714412072,0.3031000722014662,-0.015443306217675796,0.3058041131619581,0.00018154856027856667,0.23967917028536959,0.05556911714517619,0.27486186459518824,0.07125605900508898,1.0,0.7518598245568063,0.7528505283575193,0.40052150795767416,,,,0.060654747770241664,-0.008680925019540124,0.01517609713309563,-0.052038533261398824,0.0255402833810327,0.01517609713309563,0.0615067938071773,-0.12411569226484481,-0.20499485141896442
