,family,high_means,expected_sign,priority,count,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max,fraction_zero,p99_abs,near_constant,sparse,poor_scaling,max_abs_target_corr,weak_signal,vif,vif_flag,vif_serious,recommendation_flag
rebalancing_imbalance,current_imbalance,total deviation from target inventory,negative,high,366940.0,0.5346184372901917,0.06516570597887039,0.34637588262557983,0.4053880572319031,0.43745991587638855,0.49134060740470886,0.5285439491271973,0.5721616148948669,0.650416910648346,0.7248235940933228,0.8685054779052734,0.0,0.7248235940933228,False,False,False,0.05290396621595524,False,4.576359830277896,False,False,
squared_starvation_penalty,current_imbalance,mean squared shortage depth,negative,high,366940.0,0.21513956785202026,0.04346049204468727,0.029152942821383476,0.0949687810242176,0.13906897753477096,0.188374862074852,0.21750202775001526,0.2442622035741806,0.28233832120895386,0.3081830143928528,0.356585294008255,0.0,0.3081830143928528,False,False,False,0.17507756375022504,False,264.78383686243467,True,True,vif;vif_serious;
squared_congestion_penalty,current_imbalance,mean squared excess inventory depth,negative,high,366940.0,0.12505996227264404,0.03101440519094467,0.03646034747362137,0.06233055517077446,0.07734832912683487,0.10265804827213287,0.1230802908539772,0.1456049680709839,0.17885321378707886,0.20269758999347687,0.3523831367492676,0.0,0.20269758999347687,False,False,False,0.3501002424484424,False,253.91632763791108,True,True,vif;vif_serious;
exponential_starvation_penalty,current_imbalance,tail-sensitive shortage pressure,negative,medium,366940.0,0.19093187153339386,0.04150475934147835,0.02311040833592415,0.08138662576675415,0.1202814906835556,0.16432294249534607,0.1927829384803772,0.21867820620536804,0.25645720958709717,0.2832309305667877,0.3369164764881134,0.0,0.2832309305667877,False,False,False,0.16871586213223172,False,346.7947310349317,True,True,vif;vif_serious;
exponential_congestion_penalty,current_imbalance,tail-sensitive congestion pressure,negative,medium,366940.0,0.10724863409996033,0.21207283437252045,0.029560167342424393,0.050262294709682465,0.06377352885901928,0.08592567592859268,0.10445940867066383,0.12580182403326035,0.15779659152030945,0.18033988773822784,127.37785339355469,0.0,0.18033988773822784,False,False,False,0.011276009642782638,True,322.82044533594654,True,True,weak_signal;vif;vif_serious;
starvation_severity_max,current_imbalance,severe shortage at the worst stations,negative,medium,366940.0,0.9655261039733887,0.058158084750175476,0.4430769085884094,0.7450000047683716,0.8461538553237915,0.9373949766159058,1.0,1.0,1.0,1.0,1.0,0.0,1.0,False,False,False,0.04172239731876696,False,2.43304675294999,False,False,
congestion_severity_max,current_imbalance,severe congestion at the worst stations,negative,medium,366940.0,0.8232006430625916,0.1017732322216034,0.375,0.5617647171020508,0.6499999761581421,0.753333330154419,0.8311594128608704,0.898421049118042,0.9833333492279053,1.0,1.0,0.0,1.0,False,False,False,0.3321926779092753,False,5.745230510471489,False,False,
starvation_count,current_imbalance,many stations are nearly empty,negative,medium,366940.0,0.10837987065315247,0.04268975183367729,0.0,0.014925372786819935,0.04477611929178238,0.0746268630027771,0.10447761416435242,0.13432836532592773,0.17910447716712952,0.20895522832870483,0.28358209133148193,0.001744154357660653,0.20895522832870483,False,False,False,0.12498543790226414,False,11.491845678501313,True,False,vif;
congestion_count,current_imbalance,many stations are nearly full,negative,medium,366940.0,0.04154081270098686,0.027597157284617424,0.0,0.0,0.0,0.014925372786819935,0.04477611929178238,0.05970149114727974,0.08955223858356476,0.11940298229455948,0.16417910158634186,0.07970240366272414,0.11940298229455948,False,False,False,0.2968373243374644,False,8.20953844949426,False,False,
gross_starvation_risk,future_imbalance,expected departures exceed available bikes,negative,high,366940.0,0.15714490413665771,0.08209715783596039,0.002817718544974923,0.022873312700539827,0.04147193264216185,0.09710811823606491,0.14499611407518387,0.2074236460030079,0.30865669846534716,0.3759063419699668,0.5651765465736389,0.0,0.3759063419699668,False,False,False,0.041525806008972245,False,7.584585503444694,False,False,
