,vif
destination_starv_ratio,inf
destination_roi_starvation,inf
exponential_starvation_penalty,346.7947310349317
exponential_congestion_penalty,322.82044533594654
squared_starvation_penalty,264.78383686243467
squared_congestion_penalty,253.91632763791108
starvation_count,11.491845678501313
congestion_count,8.20953844949426
gross_starvation_risk,7.584585503444694
gross_congestion_risk,5.972497862694556
congestion_severity_max,5.745230510471489
rebalancing_imbalance,4.576359830277896
net_starvation_shortfall,3.7605774587218788
non_depot_late_load_pressure,3.7393050201521096
net_congestion_shortfall,3.1351828114706812
functional_load_late_pressure,2.7812534059867544
starvation_severity_max,2.43304675294999
recoverable_imbalance_fraction,2.024261571444766
destination_cong_ratio,1.1213731320032938
destination_travel_penalty,1.0755950158721581
imbalance_hotspot_distance,1.0697285217310775
cur_station_func_deficit,1.033035116963987
