episode,service_level,rebalancing_imbalance,alpha,alpha_initial,epsilon
41,0.8164200910174814,-1.6889262380635441,0.02238,0.05,0.132626
42,0.8199125203197533,-1.7123826830030686,0.022083,0.05,0.131304
43,0.8242118034203659,-1.7371672289493245,0.021793,0.05,0.129995
44,0.8161924868469556,-1.7597102185063394,0.021511,0.05,0.128699
45,0.8177309257204345,-1.783746277579041,0.021236,0.05,0.127416
46,0.8192609482932064,-1.8078546526208956,0.020968,0.05,0.126145
47,0.8190121842894733,-1.8289943317719257,0.020706,0.05,0.124888
48,0.8281070075599539,-1.8500953923333239,0.020451,0.05,0.123643
49,0.8228624223080799,-1.87403795637176,0.020203,0.05,0.12241
50,0.8159281638133602,-1.895324833740194,0.01996,0.05,0.12119
51,0.8077466209400848,-1.921389270328675,0.019723,0.05,0.119982
52,0.8235542138195066,-1.9426521692844845,0.019492,0.05,0.118786
53,0.811914637409687,-1.9691085356581224,0.019265,0.05,0.117601
54,0.8219166596797183,-1.9865968087921901,0.019045,0.05,0.116429
55,0.822474016301528,-2.0089051896309753,0.018829,0.05,0.115268
56,0.8185868336230319,-2.034514053943745,0.018618,0.05,0.114119
57,0.8083445040214478,-2.058491841144966,0.018411,0.05,0.112982
58,0.819073697649806,-2.0779108312386803,0.01821,0.05,0.111855
59,0.8190540426608212,-2.101004929813494,0.018012,0.05,0.11074
60,0.8212543078445422,-2.119972943086207,0.017819,0.05,0.109636
61,0.8317525635235276,-2.137311674788608,0.01763,0.05,0.108543
62,0.8146307775232449,-2.1555308227685765,0.017445,0.05,0.107461
63,0.8114441508045362,-2.179446900540026,0.017263,0.05,0.10639
64,0.834238994131318,-2.1960980245353148,0.017086,0.05,0.105329
65,0.8159568932234401,-2.2154076149603696,0.016912,0.05,0.104279
66,0.8161118195852071,-2.2340333229423357,0.016741,0.05,0.10324
67,0.8267230771823959,-2.252625689098388,0.016574,0.05,0.10221
68,0.8190252495596007,-2.2704278940259965,0.016411,0.05,0.101191
69,0.825690686414127,-2.2912899086455276,0.01625,0.05,0.100183
70,0.8223862736175018,-2.3171473905265247,0.016093,0.05,0.099184
71,0.8277665458069474,-2.338024708011084,0.015938,0.05,0.098195
72,0.8216116602445971,-2.353645478090601,0.015787,0.05,0.097216
73,0.8267073211819009,-2.3682510947634223,0.015638,0.05,0.096247
74,0.8278926736955934,-2.3833335187889113,0.015492,0.05,0.095288
75,0.822747465156499,-2.402277119143494,0.015349,0.05,0.094338
76,0.823185846718055,-2.415942419135378,0.015209,0.05,0.093397
77,0.8202788804750308,-2.4319502933882147,0.015071,0.05,0.092466
78,0.8234731383112632,-2.4492583528554075,0.014935,0.05,0.091544
79,0.82664605558198,-2.462931387033612,0.014802,0.05,0.090632
80,0.824814087391516,-2.478814338599955,0.014671,0.05,0.089728
81,0.8213888795338968,-2.4915426976033834,0.014543,0.05,0.088834
82,0.8221316582745323,-2.5108552413476177,0.014417,0.05,0.087948
83,0.8209226115452483,-2.524974367840333,0.014293,0.05,0.087071
84,0.8319101571585208,-2.5383493212174315,0.014171,0.05,0.086203
85,0.8196494309162754,-2.553087364403544,0.014051,0.05,0.085344
86,0.8139404731620453,-2.5688506677495195,0.013933,0.05,0.084493
87,0.8154941879997313,-2.5861899899139367,0.013817,0.05,0.083651
88,0.8230400593972529,-2.599697601892009,0.013703,0.05,0.082817
89,0.8042282513329284,-2.6252074985299947,0.013591,0.05,0.081991
90,0.8261643030964169,-2.6409823558811056,0.013481,0.05,0.081174
91,0.8243572395128552,-2.6531796453080037,0.013372,0.05,0.080365
92,0.8180124644357133,-2.6678180065264407,0.013265,0.05,0.079563
93,0.8100504527381469,-2.689015607585385,0.01316,0.05,0.07877
94,0.8228583035699173,-2.7034483761992334,0.013057,0.05,0.077985
95,0.8133890230810521,-2.7174677334335353,0.012955,0.05,0.077207
96,0.8074813051771577,-2.7390608338793876,0.012855,0.05,0.076438
97,0.8092504950827375,-2.751677487068788,0.012756,0.05,0.075676
98,0.8200848799218565,-2.770188130269091,0.012659,0.05,0.074921
99,0.8229346611116757,-2.783230132520052,0.012563,0.05,0.074174
100,0.8137493742699816,-2.795806356719772,0.012469,0.05,0.073435
101,0.820436206489078,-2.810765823590534,0.012376,0.05,0.072703
102,0.8254611866025501,-2.8231449989594077,0.012284,0.05,0.071978
103,0.8379707891000068,-2.8383291702710127,0.012194,0.05,0.071261
104,0.818536961588116,-2.8500967502582326,0.012105,0.05,0.07055
105,0.829661158404273,-2.8614956498768347,0.012018,0.05,0.069847
106,0.8147090143844763,-2.873268428561695,0.011931,0.05,0.06915
107,0.8214285714285714,-2.884829045071225,0.011846,0.05,0.068461
108,0.8210268867296686,-2.9003534481657414,0.011762,0.05,0.067779
109,0.8290271132376396,-2.9115460100867083,0.01168,0.05,0.067103
110,0.8234431617089407,-2.9221681073433707,0.011598,0.05,0.066434
111,0.8225962271825902,-2.932994736747293,0.011518,0.05,0.065772
112,0.8263858613635602,-2.9445196060072627,0.011438,0.05,0.065116
113,0.8118837304847987,-2.9575620504913442,0.01136,0.05,0.064467
114,0.8167895346689281,-2.9697132927351353,0.011283,0.05,0.063824
115,0.8115083383971373,-2.983997837528835,0.011207,0.05,0.063188
116,0.8207835415535035,-2.994831010248859,0.011132,0.05,0.062558
117,0.8131423389534493,-3.005730034137247,0.011058,0.05,0.061934
118,0.8093080241008341,-3.017661058274663,0.010985,0.05,0.061317
119,0.8172823329805641,-3.029533967860441,0.010912,0.05,0.060706
120,0.8214573133927973,-3.041153217905897,0.010841,0.05,0.0601
121,0.8198928818828459,-3.0524474805403714,0.010771,0.05,0.059501
122,0.812493706152865,-3.064113435231835,0.010702,0.05,0.058908
123,0.8373402389107009,-3.0742784492595128,0.010633,0.05,0.058321
124,0.8286021072411247,-3.087749529152263,0.010565,0.05,0.057739
125,0.8178743222341203,-3.0982037858982223,0.010499,0.05,0.057164
126,0.8207480592801694,-3.1118311756474366,0.010433,0.05,0.056594
127,0.81700800674252,-3.122189809913226,0.010368,0.05,0.05603
128,0.8131571042355061,-3.135107973903928,0.010303,0.05,0.055471
129,0.8247403623164051,-3.146229899066307,0.01024,0.05,0.054918
130,0.8079862214270187,-3.1574632590734883,0.010177,0.05,0.054371
131,0.8184244988415432,-3.1685707100480203,0.010115,0.05,0.053829
132,0.8209885829864768,-3.1805092715753074,0.010054,0.05,0.053292
133,0.822144254773632,-3.190162211374865,0.009993,0.05,0.052761
134,0.8130084062155047,-3.202057348664142,0.009934,0.05,0.052235
135,0.8155757044627208,-3.212847287959453,0.009875,0.05,0.051714
136,0.8070508087791127,-3.225333041727945,0.009816,0.05,0.051198
137,0.8222392116887529,-3.235560360699053,0.009758,0.05,0.050688
138,0.8188504129600778,-3.2466171605219776,0.009701,0.05,0.050183
139,0.8191945016269341,-3.255938544675044,0.009645,0.05,0.049682
140,0.8206641445985708,-3.265718177927727,0.009589,0.05,0.049187
141,0.8202812258216436,-3.2766565902176867,0.009534,0.05,0.048697
142,0.818627368984494,-3.286520540851567,0.00948,0.05,0.048211
143,0.8197439914663822,-3.298782616700719,0.009426,0.05,0.047731
144,0.8256391268492183,-3.3074211764954167,0.009373,0.05,0.047255
145,0.813831128443914,-3.3179076404143015,0.00932,0.05,0.046784
146,0.8211881718629651,-3.326184012026517,0.009268,0.05,0.046317
147,0.8249417091879836,-3.3354531900266777,0.009217,0.05,0.045856
148,0.8279728834293287,-3.3449745470985546,0.009166,0.05,0.045399
149,0.8163570648062537,-3.3570376603724323,0.009116,0.05,0.044946
150,0.8260869565217391,-3.3663685190600585,0.009066,0.05,0.044498
151,0.8322106142916841,-3.3745078411253533,0.009017,0.05,0.044054
152,0.8103030809050681,-3.3858165380018836,0.008968,0.05,0.043615
153,0.8199740467159113,-3.3957040444712363,0.00892,0.05,0.04318
154,0.8205209076874553,-3.404798772131026,0.008872,0.05,0.04275
155,0.8176498049284737,-3.4142861440560863,0.008825,0.05,0.042324
156,0.8146492033035788,-3.423210429305433,0.008779,0.05,0.041902
157,0.8176369574733156,-3.432616180782559,0.008732,0.05,0.041484
158,0.822492769220421,-3.440281268225766,0.008687,0.05,0.04107
159,0.8155132357679459,-3.450218823250173,0.008642,0.05,0.040661
160,0.8206986592571515,-3.459895767101321,0.008597,0.05,0.040256
161,0.8106853278605793,-3.471382885131738,0.008553,0.05,0.039854
162,0.8151747368421053,-3.4817049568531337,0.008509,0.05,0.039457
163,0.8128334146710869,-3.492003614571889,0.008465,0.05,0.039064
164,0.8133047210300429,-3.5006608872727623,0.008423,0.05,0.038674
165,0.814718382019452,-3.510890308919435,0.00838,0.05,0.038289
166,0.8219468007653105,-3.5188484456079907,0.008338,0.05,0.037907
167,0.8294094879087222,-3.527304569059279,0.008296,0.05,0.037529
168,0.8206925604515967,-3.5361632516945707,0.008255,0.05,0.037155
169,0.8120537132727972,-3.5444798702744027,0.008214,0.05,0.036785
170,0.8278122380553228,-3.5521132260877715,0.008174,0.05,0.036418
171,0.8193275167100362,-3.5628555397862307,0.008134,0.05,0.036055
172,0.8055239751220491,-3.5731394021739717,0.008094,0.05,0.035695
173,0.8191345392130974,-3.581808154929286,0.008055,0.05,0.035339
174,0.8135795216114142,-3.5926470242833677,0.008016,0.05,0.034987
175,0.8241512605042016,-3.6006876617870236,0.007978,0.05,0.034638
176,0.813216555155835,-3.609461617594558,0.007939,0.05,0.034293
177,0.8179940019993336,-3.6184917114513047,0.007902,0.05,0.033951
178,0.8236262710281961,-3.625329281783154,0.007864,0.05,0.033613
179,0.821972315422097,-3.635488369489557,0.007827,0.05,0.033278
180,0.8203316535004086,-3.643323767522545,0.007791,0.05,0.032946
181,0.8144237175216522,-3.6511633452252066,0.007754,0.05,0.032617
182,0.8145308445634887,-3.6595993763127064,0.007718,0.05,0.032292
183,0.8296528903295516,-3.667565098161706,0.007682,0.05,0.03197
184,0.8185231114206601,-3.6774121110787656,0.007647,0.05,0.031652
185,0.8158744575638308,-3.6873632354688834,0.007612,0.05,0.031336
186,0.8201913779881973,-3.694373749134653,0.007577,0.05,0.031024
187,0.8185315157241193,-3.702555372751037,0.007543,0.05,0.030714
188,0.8151376688192349,-3.7097651300513617,0.007509,0.05,0.030408
189,0.8283555838456256,-3.7168174391671154,0.007475,0.05,0.030105
190,0.8194721073861448,-3.723690075657035,0.007442,0.05,0.029805
191,0.8132746030682656,-3.7342368877701984,0.007408,0.05,0.029508
192,0.8217704161292513,-3.7422164391009987,0.007375,0.05,0.029214
193,0.8172740219485632,-3.7487587738786927,0.007343,0.05,0.028922
194,0.8153959509017532,-3.756747033220253,0.007311,0.05,0.028634
195,0.8258875488364192,-3.7622739867049595,0.007278,0.05,0.028349
196,0.8173005471863811,-3.770087920573553,0.007247,0.05,0.028066
197,0.8162949767238626,-3.777207324392992,0.007215,0.05,0.027786
198,0.8189226961221775,-3.7856156805608054,0.007184,0.05,0.027509
199,0.8158408245634516,-3.7929002794221987,0.007153,0.05,0.027235
200,0.8202340569877884,-3.7996147752904954,0.007122,0.05,0.026963
201,0.826676092847885,-3.8074173248441254,0.007092,0.05,0.026695
202,0.8176110182794065,-3.8139034900614175,0.007062,0.05,0.026429
203,0.8274647887323944,-3.8208724786867783,0.007032,0.05,0.026165
204,0.8218247831641229,-3.827415101159327,0.007002,0.05,0.025904
205,0.8248116117938603,-3.8345575875325726,0.006973,0.05,0.025646
206,0.8156497782556108,-3.8435713876716466,0.006944,0.05,0.02539
207,0.832509582408715,-3.850114081156474,0.006915,0.05,0.025137
208,0.8185321687618855,-3.8583791373070215,0.006886,0.05,0.024887
209,0.8124664609605581,-3.865949739559306,0.006858,0.05,0.024639
210,0.8226644610423246,-3.872400570576505,0.00683,0.05,0.024393
211,0.816905405856623,-3.8787988333903822,0.006802,0.05,0.02415
212,0.8162479090279303,-3.885704783268358,0.006774,0.05,0.023909
213,0.8199114373747748,-3.892476061387269,0.006746,0.05,0.023671
214,0.8260803587988332,-3.8987915333557335,0.006719,0.05,0.023435
215,0.8119555877546206,-3.9058943338980834,0.006692,0.05,0.023201
216,0.8136164304701918,-3.912975035093231,0.006665,0.05,0.02297
217,0.8202750452049568,-3.9191579235093887,0.006639,0.05,0.022741
218,0.8255137129916967,-3.9259342170220934,0.006612,0.05,0.022514
219,0.8234660382122717,-3.935265282035798,0.006586,0.05,0.02229
220,0.8157677467185631,-3.9440922161914553,0.00656,0.05,0.022067
221,0.8222020751485847,-3.950200273595835,0.006534,0.05,0.021847
222,0.8182464695722849,-3.957433703982672,0.006508,0.05,0.02163
223,0.8123344876756977,-3.963954876190562,0.006483,0.05,0.021414
224,0.8189224748667432,-3.9700120458394528,0.006458,0.05,0.0212
225,0.8099769270929822,-3.979921361383557,0.006433,0.05,0.020989
226,0.8249302294490215,-3.9854897420222377,0.006408,0.05,0.02078
227,0.8190026086661923,-3.991201817558176,0.006383,0.05,0.020573
228,0.8210136472020699,-3.9980823152329767,0.006359,0.05,0.020368
229,0.8310289771376159,-4.004253232470532,0.006335,0.05,0.020165
230,0.818158869067654,-4.010830579280915,0.006311,0.05,0.019964
231,0.811382442658038,-4.017063632411333,0.006287,0.05,0.019765
232,0.8219271877087508,-4.024531531720371,0.006263,0.05,0.019567
233,0.8224322515891602,-4.031622047571534,0.00624,0.05,0.019372
234,0.8221348542116631,-4.038387559260587,0.006216,0.05,0.019179
235,0.8163791932636154,-4.043840210752974,0.006193,0.05,0.018988
236,0.8234045043388118,-4.052105054081831,0.00617,0.05,0.018799
237,0.8102501525320317,-4.058676200498064,0.006147,0.05,0.018611
238,0.810262971817233,-4.067527614484622,0.006125,0.05,0.018426
239,0.8261800421503362,-4.07332821690361,0.006102,0.05,0.018242
240,0.8171182680024205,-4.080401151161285,0.00608,0.05,0.01806
241,0.820342841837418,-4.087722528889726,0.006058,0.05,0.01788
242,0.8328014335694172,-4.093555545459344,0.006036,0.05,0.017702
243,0.8174290687260253,-4.100072074620226,0.006014,0.05,0.017526
244,0.8193868957385885,-4.106637884031329,0.005992,0.05,0.017351
245,0.8317367693189868,-4.111614282313877,0.00597,0.05,0.017178
246,0.8286681906697146,-4.11673968461422,0.005949,0.05,0.017007
247,0.8263172052049359,-4.1221541489590106,0.005928,0.05,0.016837
248,0.8157081327590575,-4.129747275991089,0.005907,0.05,0.016669
249,0.8187968794373632,-4.135459784471568,0.005886,0.05,0.016503
250,0.8251876535729914,-4.141695272229355,0.005865,0.05,0.016339
251,0.8289692191562527,-4.147304921234318,0.005844,0.05,0.016176
252,0.8253893976870111,-4.154313334222686,0.005824,0.05,0.016014
253,0.8170268988413849,-4.159629570629806,0.005804,0.05,0.015855
254,0.8171376177377678,-4.16481819216571,0.005783,0.05,0.015697
255,0.8129135219603019,-4.170535508601996,0.005763,0.05,0.01554
256,0.818556139724023,-4.175861470205841,0.005743,0.05,0.015385
257,0.8300015157384173,-4.181392615185563,0.005724,0.05,0.015232
258,0.8225469379566315,-4.18810697889652,0.005704,0.05,0.01508
259,0.8245917322636411,-4.194456186243248,0.005684,0.05,0.01493
260,0.8069336721048409,-4.201294298231819,0.005665,0.05,0.014781
261,0.8259157737353601,-4.2072373566658205,0.005646,0.05,0.014634
262,0.81507275632938,-4.21413601989026,0.005627,0.05,0.014488
263,0.8137662074554295,-4.2200883076170985,0.005608,0.05,0.014343
264,0.8205309853928415,-4.2273360527576305,0.005589,0.05,0.0142
265,0.8239297808177637,-4.232317176230657,0.00557,0.05,0.014059
266,0.8205897305541434,-4.237999035844242,0.005551,0.05,0.013918
267,0.8234651702006116,-4.243050956329656,0.005533,0.05,0.01378
268,0.8228064586442212,-4.248232002381987,0.005515,0.05,0.013642
269,0.826463181733678,-4.253938317841099,0.005496,0.05,0.013506
270,0.8209138043861268,-4.259723517815767,0.005478,0.05,0.013372
271,0.8158981764449071,-4.26458311165566,0.00546,0.05,0.013238
272,0.8124915711395819,-4.270083911784029,0.005442,0.05,0.013106
273,0.8245803823464782,-4.274873849020783,0.005425,0.05,0.012976
274,0.8204174136589656,-4.281299605560313,0.005407,0.05,0.012846
275,0.8254322645626994,-4.286647506317416,0.005389,0.05,0.012718
276,0.8226332056708997,-4.291665609413727,0.005372,0.05,0.012592
277,0.8203313278392909,-4.297113207391181,0.005355,0.05,0.012466
278,0.8095094136813288,-4.302119245574393,0.005337,0.05,0.012342
279,0.8297180226188671,-4.306703408103857,0.00532,0.05,0.012219
280,0.831823197030994,-4.311261424004178,0.005303,0.05,0.012097
281,0.8246125336927224,-4.317286827099392,0.005286,0.05,0.011976
282,0.8194809571958207,-4.323892028319185,0.00527,0.05,0.011857
283,0.8195087098530213,-4.3286047636534395,0.005253,0.05,0.011739
284,0.8186801961318442,-4.334218571438671,0.005236,0.05,0.011622
285,0.8187766332248432,-4.340399974187802,0.00522,0.05,0.011506
286,0.8264044755619577,-4.345170363598821,0.005204,0.05,0.011391
287,0.8169637616755823,-4.349774179780379,0.005187,0.05,0.011278
288,0.8267909381590585,-4.355523674580023,0.005171,0.05,0.011165
289,0.8125944077070256,-4.360752626649879,0.005155,0.05,0.011054
290,0.8205167121993997,-4.365893189817518,0.005139,0.05,0.010944
291,0.8181143156082826,-4.370685806084222,0.005123,0.05,0.010835
292,0.8274023746258115,-4.375916123678862,0.005108,0.05,0.010727
293,0.8204055787912619,-4.380389838054158,0.005092,0.05,0.01062
294,0.8242565479507574,-4.386315210100732,0.005076,0.05,0.010514
295,0.8198183013366145,-4.391174692890193,0.005061,0.05,0.010409
296,0.8251105990008243,-4.396190291486537,0.005046,0.05,0.010305
297,0.8155140467724974,-4.403532065498916,0.00503,0.05,0.010202
298,0.8202453265130992,-4.408255666533902,0.005015,0.05,0.010101
299,0.8273211018414383,-4.412998971516088,0.005,0.05,0.01
