episode,service_level,rebalancing_imbalance,alpha,alpha_initial,epsilon
0,0.8248729266987693,-0.04640997489990126,0.05,0.05,0.2
1,0.8169042495965573,-0.10247071464916924,0.048539,0.05,0.198006
2,0.8162557781201849,-0.1658389344135217,0.047161,0.05,0.196032
3,0.8198525108275782,-0.2177006197716555,0.045859,0.05,0.194078
4,0.8131922713952218,-0.2807973629967342,0.044627,0.05,0.192143
5,0.8086217283620055,-0.3355282934554001,0.043459,0.05,0.190228
6,0.8075555031101971,-0.3963079911213315,0.042351,0.05,0.188331
7,0.8129225517102885,-0.455215239133926,0.041298,0.05,0.186454
8,0.8364009219713917,-0.5030350541057165,0.040296,0.05,0.184595
9,0.8241275167785235,-0.550154582643431,0.039342,0.05,0.182755
10,0.7967845335391948,-0.5945955723965307,0.038432,0.05,0.180933
11,0.8209038121686443,-0.6385116200659944,0.037563,0.05,0.179129
12,0.8184728400053916,-0.6951105980659793,0.036732,0.05,0.177343
13,0.8206795724944546,-0.7364345571989287,0.035938,0.05,0.175575
14,0.816030060557261,-0.8074812883528303,0.035176,0.05,0.173825
15,0.825233926954422,-0.8499993101027449,0.034447,0.05,0.172092
16,0.8240327505788396,-0.8871163749670312,0.033747,0.05,0.170376
17,0.8113105591110961,-0.9279289611185998,0.033075,0.05,0.168678
18,0.8180682140060316,-0.9638259146532996,0.03243,0.05,0.166996
19,0.8122275187026073,-1.0001125452944526,0.031809,0.05,0.165332
20,0.8230676228490038,-1.0367748740894676,0.031211,0.05,0.163683
21,0.8147017936459499,-1.0729479158224382,0.030635,0.05,0.162052
22,0.8216120342017637,-1.11176824809184,0.03008,0.05,0.160436
23,0.8186518897796942,-1.1418392511680167,0.029545,0.05,0.158837
24,0.8249156009379521,-1.183098926854063,0.029029,0.05,0.157253
25,0.8157602289947803,-1.2167712236878165,0.028531,0.05,0.155686
26,0.8306228750397776,-1.2453162784361234,0.028049,0.05,0.154133
27,0.8221593744801198,-1.27954153383078,0.027583,0.05,0.152597
28,0.8196986006458558,-1.3212418539006678,0.027132,0.05,0.151076
29,0.8195088355842236,-1.3562855523410926,0.026696,0.05,0.14957
30,0.8242830476836925,-1.3829454569321418,0.026274,0.05,0.148078
31,0.8244202715237372,-1.4116002584798375,0.025865,0.05,0.146602
32,0.8205598049928553,-1.438754868636047,0.025468,0.05,0.145141
33,0.824415083486999,-1.4646961412506168,0.025084,0.05,0.143694
34,0.8198262902956406,-1.4908584384328871,0.024711,0.05,0.142261
35,0.816297548605241,-1.5238886067611948,0.024349,0.05,0.140843
36,0.8112984822934233,-1.5560492220150155,0.023997,0.05,0.139439
37,0.8255178462991701,-1.5810240501115476,0.023655,0.05,0.138049
38,0.8245311453449431,-1.6125455795687837,0.023323,0.05,0.136673
39,0.8265430960800415,-1.6398952840897034,0.023,0.05,0.13531
40,0.8224267556724318,-1.6626818813965583,0.022686,0.05,0.133961
