episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_depot_backlog,alpha,alpha_initial,epsilon
0,0.8702443266384601,-0.03210922610970026,-0.019432494536532854,-0.00964373015871519,-0.003596829038952767,-0.006741475495257976,-0.0032987513124147143,-0.008252406893403267,0.1,0.1,0.2
1,0.9262895958033492,-0.06921416736771516,-0.03889334745632316,-0.017674257784382908,-0.007694643695796598,-0.012549199040796585,-0.006766735764795079,-0.011534084946185057,0.097078,0.1,0.198006
2,0.9191462270473127,-0.11069317097887046,-0.06112294700695195,-0.026915786614565188,-0.012251289540697182,-0.01868328289253814,-0.010910846116443221,-0.016292631961239788,0.094322,0.1,0.196032
3,0.9193615846619712,-0.1499923599084577,-0.0818931548264533,-0.0354696636191974,-0.016666304527084043,-0.02438179937994478,-0.014588052689418294,-0.020465972966849728,0.091718,0.1,0.194078
4,0.9179312172818236,-0.1890428987869291,-0.10263873448571167,-0.044281604947332,-0.02085834250831434,-0.03044380673538716,-0.018327535279237597,-0.02645239077888044,0.089254,0.1,0.192143
5,0.919487127983663,-0.22601767633355768,-0.12216345154746436,-0.05225920242399644,-0.024964477319316253,-0.035819939504782974,-0.021959708519680238,-0.030158928171616962,0.086919,0.1,0.190228
6,0.9224895062456803,-0.2602101719293971,-0.14029482540771104,-0.059565960701742214,-0.028930858997064185,-0.0407332187915324,-0.025337625642835003,-0.03373835395380999,0.084703,0.1,0.188331
7,0.9178648544599367,-0.29623165801035045,-0.15924781157342652,-0.06753073145448002,-0.03277971507852405,-0.045987853654646166,-0.028714442891393195,-0.038033478688210554,0.082597,0.1,0.186454
8,0.9241111544395653,-0.32832867251311487,-0.176455150633681,-0.07459955467470657,-0.036584429915550644,-0.05067527605797243,-0.03173158674727132,-0.04149094258387161,0.080593,0.1,0.184595
9,0.9229310691992751,-0.36055293949430833,-0.19355686935401245,-0.08154763606634732,-0.0402846883913649,-0.05532759974069999,-0.03487369511470313,-0.04546495808520642,0.078684,0.1,0.182755
10,0.9076633693297281,-0.3984528387122073,-0.21383141753885154,-0.09034268886087393,-0.04426438849239221,-0.06119741281091437,-0.038297676902631465,-0.051820374607835396,0.076864,0.1,0.180933
11,0.9221102988242429,-0.4291775310507211,-0.2298576421668638,-0.09687471692463782,-0.04767337397119419,-0.06550739023618611,-0.040972860245293605,-0.05559183656641706,0.075126,0.1,0.179129
12,0.9244580060015509,-0.45800924191436887,-0.24528707958014756,-0.10322756688763213,-0.051025012712546634,-0.06961319278878049,-0.04382633940524813,-0.058572420044025894,0.073464,0.1,0.177343
13,0.9256215016892744,-0.4866035383898783,-0.26012779568364625,-0.10939173118814816,-0.05393188982213164,-0.07371611772962425,-0.04645418726589097,-0.06164009105668874,0.071875,0.1,0.175575
14,0.9216755296841187,-0.5162841973566902,-0.27574184140257824,-0.11584949585653712,-0.057169118101769646,-0.0778525529478632,-0.04915681284480516,-0.06573023403825479,0.070353,0.1,0.173825
15,0.9247488553843057,-0.5435054611099763,-0.2901540466312973,-0.12170779265794758,-0.060259584566561705,-0.08176392048026253,-0.05175652381224976,-0.0686337381573327,0.068894,0.1,0.172092
16,0.9278558123143533,-0.5693833225215132,-0.30377352541659935,-0.1273978355500881,-0.06302234865793362,-0.08568376578437809,-0.05409418330750802,-0.07198486181538051,0.067494,0.1,0.170376
17,0.9209944098224991,-0.5973690847889808,-0.31848154261863965,-0.13346100925382498,-0.0661132292012898,-0.0896678381130875,-0.056685630306730586,-0.07507937967191465,0.06615,0.1,0.168678
18,0.9241398853180424,-0.6234502615801719,-0.3318483584872433,-0.1389507046338164,-0.06880046841312816,-0.09334933713389307,-0.05904279644261602,-0.07813246489190526,0.064859,0.1,0.166996
19,0.9214411784671781,-0.648859238854683,-0.34504126585040384,-0.1444630456836521,-0.07139706546695519,-0.09711498156568789,-0.061370787714098735,-0.08095970071570673,0.063617,0.1,0.165332
20,0.9215952566289604,-0.6751892833271892,-0.35872267635717275,-0.14999125675876937,-0.07417238402126645,-0.10097352706156426,-0.06378290037887985,-0.0843396387576168,0.062422,0.1,0.163683
21,0.9168574772299395,-0.7012847455895576,-0.3726386154207932,-0.15595122400631276,-0.07700791962318355,-0.10493067108586765,-0.06626771701696915,-0.08796156094547321,0.06127,0.1,0.162052
22,0.9272197962154294,-0.7244244069212628,-0.3844375850852321,-0.1606832978092555,-0.07945836207160835,-0.10807412855483518,-0.06835200238891176,-0.09037256656242049,0.060161,0.1,0.160436
23,0.9249806129673961,-0.7478768957099656,-0.3967136038365581,-0.1656161122181223,-0.08207804930298217,-0.11126844026440887,-0.07062339361573292,-0.09236014101969252,0.059091,0.1,0.158837
24,0.9199667221297837,-0.7724225873022366,-0.4097851211103037,-0.17097974383561718,-0.08486545135914023,-0.11483147402436064,-0.07309266721679025,-0.09512018418446307,0.058058,0.1,0.157253
25,0.9190086264995282,-0.797315554847313,-0.42277420155652823,-0.1764441949173183,-0.08746292909007118,-0.11852943244709978,-0.0754771632873512,-0.09837883797284572,0.057061,0.1,0.155686
26,0.9228964130070398,-0.8200506905956522,-0.43465723054508026,-0.1814121208393344,-0.08985473324532035,-0.12199068481108606,-0.07748032868930423,-0.10151130871351041,0.056098,0.1,0.154133
27,0.9253977234906476,-0.8416485226627157,-0.4458863629398272,-0.18600394244894458,-0.09212746584823073,-0.12512409593390642,-0.07946504328854437,-0.10402330072536452,0.055166,0.1,0.152597
28,0.9238495835786994,-0.8631825816983814,-0.4571261613423309,-0.19058954893132662,-0.09446054646806691,-0.12833848639265277,-0.08140987987808253,-0.1063490466139572,0.054265,0.1,0.151076
29,0.9266334022142702,-0.8837359385604979,-0.4679203466546339,-0.19499135105084292,-0.09675970234974102,-0.1313444770106512,-0.08340877954453647,-0.10840427915506468,0.053393,0.1,0.14957
30,0.9221890277023357,-0.9051650623029446,-0.4790275334551565,-0.19953941141276219,-0.09905404843290877,-0.134255865668179,-0.08526270395412126,-0.11159278378587538,0.052548,0.1,0.148078
31,0.9239333974391417,-0.9264523185700133,-0.490085961410804,-0.20408622306870372,-0.10130437889782168,-0.13734333403771337,-0.0871972105457626,-0.11415523383315263,0.05173,0.1,0.146602
32,0.924784341421581,-0.9467269014117496,-0.5006042519163941,-0.20845274976653178,-0.1035121318209061,-0.1401671387470095,-0.08906727120164636,-0.11623266269651615,0.050937,0.1,0.145141
33,0.9236955270375512,-0.9667983525343482,-0.5109499092394724,-0.21272232644167657,-0.10571745502279443,-0.1430638942036548,-0.09100763557852849,-0.1185133473524999,0.050168,0.1,0.143694
34,0.9251043928511775,-0.9866874347803192,-0.5213596242282478,-0.21707425881809714,-0.1078497184150439,-0.14595523983390946,-0.09286085953971922,-0.12095112017654318,0.049421,0.1,0.142261
35,0.9256640162409068,-1.0055439155280896,-0.5313226009917589,-0.22110858392521998,-0.10990746673744481,-0.14867689827569358,-0.09447863830230689,-0.12320752820420704,0.048697,0.1,0.140843
36,0.9216271849902139,-1.0257150926050758,-0.5419217382412621,-0.2255319452430553,-0.1120812181602804,-0.15160626907403757,-0.09635669943052032,-0.12568535754965499,0.047994,0.1,0.139439
37,0.9262497046612886,-1.0443063559599777,-0.5514192350062642,-0.22942469923752531,-0.11400464891479556,-0.15422515920594554,-0.09807962472947293,-0.12769005000366118,0.04731,0.1,0.138049
38,0.9254748902810814,-1.0623282768054727,-0.5608484659859856,-0.23327133796758773,-0.11602897254077603,-0.1568001785048756,-0.09984168951352569,-0.12964331006720903,0.046646,0.1,0.136673
