Accumulated time to find action,Accumulated time to find location,Accumulated action time,Accumulated driving time,Accumulated solution time,Accumulated time to find helping actions,Number of get_best_action
0,0,3445.5,16727.13297667373,0,0,0
0,0,3324.0,16858.55831293599,0,0,0
0,0,3372.0,16803.77006589875,0,0,0
0,0,3367.5,16809.843159146196,0,0,0
0,0,3357.0,16813.14698569448,0,0,0
0,0,3381.0,16787.25651674056,0,0,0
0,0,3399.0,16776.37528527152,0,0,0
0,0,3352.5,16815.433296887248,0,0,0
0,0,3345.0,16835.723699179118,0,0,0
0,0,3358.5,16811.18335673228,0,0,0
