episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_depot_backlog,maintenance_restoration_value,alpha,alpha_initial,epsilon
0,0.8702443266384601,-0.03210922610970026,-0.019432494536532854,-0.00964373015871519,-0.003596829038952767,-0.006741475495257976,-0.0032987513124147143,-0.008252406893403267,-7.35206844777679e-05,0.1,0.1,0.2
1,0.9238348241307418,-0.07058074133752174,-0.039499815684260586,-0.018034780371141347,-0.00780338046483685,-0.012936044140372794,-0.006917150625198898,-0.011795243191344245,-0.00023950004421091864,0.097078,0.1,0.198006
2,0.9179567082160568,-0.11184905903446402,-0.06113144638985882,-0.02683955337514963,-0.012234401132809648,-0.018976196125594126,-0.010973781975796654,-0.016290968563649227,-0.00042516131105690887,0.094322,0.1,0.196032
3,0.9230756361567932,-0.14884751427423787,-0.08080482912235745,-0.03502190682060105,-0.016444098084681145,-0.024661017674934636,-0.014608755752770082,-0.019823649714641723,-0.0005561222087025013,0.091718,0.1,0.194078
4,0.9213272811609569,-0.1863403374565599,-0.10030061782015007,-0.043205010873080416,-0.020446335806450326,-0.03036462259287722,-0.01800279776071628,-0.02399082830424614,-0.0007211896925306361,0.089254,0.1,0.192143
5,0.9179639114860567,-0.2244394563038336,-0.1201545201535943,-0.051460093992812,-0.024590052023154913,-0.036086334152819415,-0.021711958404922765,-0.028198619563281877,-0.0008816190247351917,0.086919,0.1,0.190228
6,0.9225737934289712,-0.25829274284125797,-0.13809916941512104,-0.05867887814970413,-0.028536966662379964,-0.040980682549122974,-0.024971603946196318,-0.031780701538888005,-0.0010081016472639308,0.084703,0.1,0.188331
7,0.9189026329444454,-0.2936554221060309,-0.15649520752055315,-0.06655289093385475,-0.03206695194540231,-0.04630363147036351,-0.02820448264664799,-0.03683865618288568,-0.0011567559296187413,0.082597,0.1,0.186454
8,0.9248571573896679,-0.32466101640346706,-0.17302398229860427,-0.07350195015667522,-0.03557536010763431,-0.05092002189954283,-0.03105154109817685,-0.04082897574492006,-0.0012814827699075047,0.080593,0.1,0.184595
9,0.9289214041210819,-0.3536996276811046,-0.18833674079673254,-0.07976976089574735,-0.03882395934033311,-0.055147953844588954,-0.03381846147433705,-0.04407386918198417,-0.001393853071022172,0.078684,0.1,0.182755
10,0.9139613388643502,-0.38813912968119396,-0.20668745264144928,-0.0875377008462929,-0.04241698699289531,-0.0601882297648941,-0.037048045705962596,-0.04944009237178524,-0.0015475445548672137,0.076864,0.1,0.180933
11,0.9206785028467472,-0.41926106203196406,-0.22312921313956818,-0.09430814697164527,-0.04598143444722273,-0.06457821913116152,-0.03987119183379028,-0.0525773917236406,-0.0016866749228498978,0.075126,0.1,0.179129
12,0.9232610674668734,-0.44848614402111386,-0.23861437396038904,-0.10064231383707939,-0.04931065429254395,-0.06885644299214919,-0.042787020270552735,-0.05576027666793168,-0.0017992415810328972,0.073464,0.1,0.177343
13,0.9237053098683878,-0.47700419074031025,-0.25358653105990564,-0.10691135997952468,-0.05240205847656704,-0.07298486577480454,-0.04539472483331513,-0.05887520431314349,-0.0019105902517013633,0.071875,0.1,0.175575
14,0.9236550301118921,-0.5052585164807935,-0.26813323719189186,-0.11282824049140973,-0.05551542030480846,-0.07695127833276047,-0.04803330119619406,-0.061642320144648155,-0.0020159335984992767,0.070353,0.1,0.173825
15,0.9270800140875778,-0.5310781424826615,-0.2816106290098776,-0.11835268250007792,-0.058291158582479255,-0.08064929706969676,-0.05030512298791965,-0.0647086020380493,-0.002114534837935456,0.068894,0.1,0.172092
16,0.9264797194113007,-0.5568246889582699,-0.2952701996695767,-0.12406047391715569,-0.061157357906392214,-0.08448280801495504,-0.05276789486504355,-0.06777621285916212,-0.0022099308243916952,0.067494,0.1,0.170376
17,0.9232406140750874,-0.5828018799992464,-0.308839716907712,-0.12971458914306166,-0.0639389527507889,-0.08824194204991678,-0.05511671898058357,-0.07117986242959486,-0.0023171569758830197,0.06615,0.1,0.168678
18,0.9183724496599547,-0.6100673883030354,-0.32319377804901034,-0.13559730655317703,-0.06698755344756308,-0.0921923176207522,-0.05783293146598496,-0.07408256448092285,-0.0024373508094420507,0.064859,0.1,0.166996
