episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_depot_backlog,destination_starv_ratio,destination_cong_ratio,destination_onsite_fraction,destination_depot_fraction,alpha,alpha_initial,epsilon
0,0.9246116025887586,-2.5196406206001996,-0.010312164497378262,-0.004385020477826629,-0.0020032602962647417,-0.0031106660169566425,-0.0018478900557399314,-0.002503646557347139,-0.0006022116324970739,-0.0002457812261340564,-0.0003245573326502438,-0.00024872962042099545,5e-05,5e-05,0.2
1,0.9232295379648934,-2.5364528211336506,-0.019103428595791172,-0.00821378656968541,-0.003655606824214175,-0.005858394836975478,-0.00343956963268377,-0.00442546372912922,-0.0009634430168148356,-0.00044853878705630734,-0.0006191717817056741,-0.00044537520791099183,4.2e-05,5e-05,0.188139
2,0.9181074922932583,-2.5521687067882795,-0.027346791039605023,-0.011790613072708567,-0.005191841574698763,-0.008380861832498088,-0.004934331080943433,-0.006636795317026767,-0.0013771705033143178,-0.0007049188880348112,-0.0008402243963825384,-0.0006891500778758441,3.7e-05,5e-05,0.176981
3,0.9208170913288609,-2.5654954482111663,-0.03441505650879151,-0.014731838938101482,-0.006642515895507017,-0.010384394682645903,-0.006196220629684723,-0.008282512215258109,-0.0017117676453572983,-0.0008383768430757499,-0.0010032253111242895,-0.0008541749993891123,3.2e-05,5e-05,0.166485
4,0.9091014511960771,-2.579589100877641,-0.041810916797054176,-0.018040576825794297,-0.007971094979396298,-0.012715630471418715,-0.007390186430696083,-0.010652051359601344,-0.0020086253509283836,-0.001009966877463242,-0.0012383723927475998,-0.0010468690360814215,2.9e-05,5e-05,0.156611
5,0.9176960932007633,-2.5908184268165115,-0.04775862600821412,-0.020541116277581928,-0.00918217639777641,-0.01444834912850107,-0.008477825990197502,-0.011898493370549268,-0.002144515279752568,-0.0010975863333619884,-0.0014007127948381104,-0.0011778726106697057,2.6e-05,5e-05,0.147323
6,0.9198597461270039,-2.6006729503482475,-0.05290062759983627,-0.02267839539344596,-0.010237173583733439,-0.015953831798202256,-0.009446171502289685,-0.01309174918584688,-0.0023915483294807416,-0.0012081531067815732,-0.0015154237170222906,-0.0012860524913329563,2.4e-05,5e-05,0.138586
7,0.9126592236747402,-2.6107521040572266,-0.05821787740498152,-0.02499891905867546,-0.01124058249047466,-0.01752038649326898,-0.010362197558869538,-0.014689818450659864,-0.00259728896119249,-0.001318221778686457,-0.0016706700099722305,-0.001436497243517909,2.2e-05,5e-05,0.130367
8,0.9252640680897238,-2.618435512353625,-0.06219943597789124,-0.02675893564935805,-0.011999866196466646,-0.018774997495923762,-0.011072066755421175,-0.015599360180844069,-0.0027426560212884254,-0.0013835486398567909,-0.0017836580937981017,-0.0015215643044457217,2e-05,5e-05,0.122636
9,0.9179307336062823,-2.626490665492569,-0.06641013375389404,-0.028585587889336406,-0.012789760482426749,-0.020043631347134105,-0.011822233168122073,-0.016783969406790056,-0.0029200107730460445,-0.0014801780656825692,-0.0018898145765803287,-0.0016256193872346003,1.9e-05,5e-05,0.115363
10,0.9037502309255496,-2.6355026287924628,-0.07121199835620828,-0.030699338642664775,-0.013707202549004094,-0.021493000940805695,-0.012682372776264855,-0.01816107312328924,-0.003062692997358951,-0.0015768659556258946,-0.002033205382300618,-0.001731627325728624,1.8e-05,5e-05,0.108521
11,0.9153387460836169,-2.642789746244898,-0.07503462158115326,-0.03234319016956849,-0.014444143221517158,-0.022612088586425882,-0.01333248404345097,-0.019217899682311523,-0.003208932740884407,-0.0016445808757628022,-0.0021458139410627797,-0.0018768715403925107,1.7e-05,5e-05,0.102085
12,0.9167200512491992,-2.6495172243324174,-0.07862787447951902,-0.0338667467654869,-0.015174290240371924,-0.023672078157837062,-0.013994616838854917,-0.020154391897103385,-0.0033622208050072544,-0.0017118604054551234,-0.0022323123614459983,-0.001956207346253347,1.6e-05,5e-05,0.096031
13,0.9210999613399896,-2.6555176076509235,-0.08170827733918173,-0.03517047494307041,-0.015764505489156477,-0.024593716215901174,-0.014553652237104753,-0.020912502557214663,-0.003451094107765895,-0.0017555491577248006,-0.0023104112781371644,-0.0020168172015853914,1.5e-05,5e-05,0.090336
14,0.9171629397258895,-2.6615514344558577,-0.08479176906539809,-0.03649198586981811,-0.016341091501228033,-0.025547686663409674,-0.0151198459585557,-0.02178784760282959,-0.003577130353299429,-0.0018246302258475566,-0.0023989988550019714,-0.0020941539945838195,1.4e-05,5e-05,0.084978
15,0.9212605027923592,-2.666962719347032,-0.08759418974015976,-0.03768148946982525,-0.01687822681196599,-0.026353833276547944,-0.015614090946541315,-0.02257260563484864,-0.003667667324613655,-0.0018796702917285302,-0.0024787471151819507,-0.002145088036997339,1.3e-05,5e-05,0.079938
16,0.916511436674554,-2.67247684417284,-0.09050588815724137,-0.03897337111324234,-0.017412552313189777,-0.02722962302441212,-0.016088778474212473,-0.02349984048943321,-0.0037412963498761886,-0.0019388444380794567,-0.0025560918367673324,-0.002217099596492328,1.3e-05,5e-05,0.075198
17,0.919221090675719,-2.6775110542780554,-0.0931023011336789,-0.04008563013191463,-0.0178996722966433,-0.028006473169363555,-0.016520790485282044,-0.02422881076042882,-0.0038166974236724105,-0.0019882682375804706,-0.0026279875049839696,-0.002273914649793013,1.2e-05,5e-05,0.070738
18,0.9165555407387651,-2.682590397119078,-0.09571313639220103,-0.04123411410686734,-0.018354123670384637,-0.02880349304632346,-0.016975324546989523,-0.025154425133713132,-0.0038895346257412644,-0.0020264758951307194,-0.0027015096326421795,-0.0023479566475074487,1.2e-05,5e-05,0.066543
19,0.9197271061027764,-2.6871474566216587,-0.09806487027593791,-0.04224039003567476,-0.018795118754627194,-0.02952888037886625,-0.017404489704817505,-0.025810796395051683,-0.0039805317128618345,-0.0020743969074490387,-0.0027662234441257205,-0.0024081565466863852,1.1e-05,5e-05,0.062596
20,0.9188956425247189,-2.691703907254961,-0.10040075490753919,-0.04323346588145599,-0.01922090807475213,-0.030256943855048846,-0.017814331574292547,-0.026448664262822663,-0.004046941821594485,-0.0021179599428631235,-0.002820645235239533,-0.002468511319154404,1.1e-05,5e-05,0.058884
21,0.9151613833341814,-2.696192117175434,-0.10278147795363779,-0.04424802370625264,-0.019700769556699804,-0.030940332002596937,-0.018250874760335684,-0.02708861250582395,-0.004103012205342926,-0.002163804829852012,-0.0028731366906320777,-0.0025231032484100135,1e-05,5e-05,0.055392
22,0.9205440947648447,-2.7002650647014748,-0.10490781524910542,-0.04514765680328919,-0.02011906059552998,-0.03157327339945604,-0.018614995125165026,-0.02766322946114974,-0.004187410713502815,-0.002203983639814666,-0.002933670987785436,-0.0025657698329860923,1e-05,5e-05,0.052107
23,0.9158434202097171,-2.7044305091657757,-0.10706529100044188,-0.04609534584520039,-0.020503224339590967,-0.03224719452939956,-0.019023822864395037,-0.028230890462346198,-0.004255405127422507,-0.0022508914593692975,-0.0029912515608609136,-0.002613792903051998,1e-05,5e-05,0.049017
24,0.9116805324459235,-2.7087449837332143,-0.10932291900193108,-0.04706865427238374,-0.02093217517043823,-0.032950932623703244,-0.019457748451745624,-0.02883379579563808,-0.004305231750367899,-0.0022953986996732123,-0.0030573970555695384,-0.002651683343892902,9e-06,5e-05,0.04611
25,0.9132632430246664,-2.7127758114818787,-0.11141513098200656,-0.048001662769903836,-0.021300143417733355,-0.03359466835868069,-0.019810471233295296,-0.029654602781660128,-0.004358653713771088,-0.002340175525678001,-0.0031155445575738183,-0.0027005406054969316,9e-06,5e-05,0.043375
