Seed,time,vehicle_id,station_id,action_next_station,action_pickups,action_deliveries,expected_value_V,td_error,squared_starvation_penalty,squared_congestion_penalty,starvation_gravity,congestion_gravity,imbalance_weighted_distance,starvation_severity_max,time_of_day_fraction,multi_horizon_starvation_risk
9000,420.0,V0,S0,S62,0,0,-198.4101737891664,0.0,0.18704716672151703,0.1313627747206016,0.0,0.19946183735400294,0.0923430191925747,1.0,0.2916666666666667,0.26298909557408595
9000,432.07995531758127,V0,S62,S55,0,0,-198.47316475721536,0.0,0.18600425782158536,0.11692164826642193,0.041353079905609706,0.04198675690895907,0.04283288861240474,1.0,0.2916666666666667,0.2649134060295061
9000,438.2978885443149,V0,S55,S54,12,0,-197.26576022607657,0.0,0.18432748597754345,0.12197057126042353,0.0,0.0993924061047464,0.0918753129054298,1.0,0.2916666666666667,0.26363053239255935
9000,448.24560791684866,V0,S54,S41,8,0,-197.65616406778463,0.0,0.1821808334928861,0.1364586746475309,0.0,0.07717032456911548,0.052556087056772775,1.0,0.2916666666666667,0.26363053239255935
9000,462.2088699881849,V0,S41,S31,0,11,-196.66974492311974,0.0,0.179211002173017,0.13956139070333107,0.04268427720667294,0.017574514701270878,0.09656323983202073,1.0,0.2916666666666667,0.23925593329057088
9000,471.9777132709658,V0,S31,S43,0,9,-194.49295649398817,0.0,0.17113780239536341,0.14391066112473244,0.014603468985285953,0.1067261307977155,0.12684233342057857,1.0,0.2916666666666667,0.23604874919820398
9000,483.8238205831289,V0,S43,S52,0,0,-200.08725474870317,0.0,0.17963714229033953,0.12728505057013959,0.028911877791580075,0.08238759361221787,0.08048105455405338,1.0,0.3333333333333333,0.2552918537524054
9000,488.41703735899995,V0,S52,S44,9,0,-198.1352852912162,0.0,0.18489539926541196,0.10380523126038513,0.0,0.11886156194147979,0.08623883714166956,1.0,0.3333333333333333,0.2584990378447723
9000,496.74971201202123,V0,S44,S55,9,0,-198.02229135597133,0.0,0.18418240460371516,0.10646490548770175,0.0,0.05488570682131672,0.04191598066339478,1.0,0.3333333333333333,0.2610647851186658
9000,508.091438560982,V0,S55,S15,0,3,-194.6027336539998,0.0,0.16618939565504542,0.11400358626132288,0.027446579749089338,0.03513996779502837,0.049678701664077195,1.0,0.3333333333333333,0.2418216805644644
9000,517.3624281846688,V0,S15,S22,0,14,-191.50730923543196,0.0,0.14770981175501677,0.12048861844568191,0.03203017262476587,0.005711215878769298,0.14137769944075207,1.0,0.3333333333333333,0.22578576010262988
9000,533.7283015750754,V0,S22,S47,0,1,-189.97776699460067,0.0,0.1507787464149674,0.12156625852117212,0.0,0.05828999890993844,0.034956519284874796,1.0,0.3333333333333333,0.23091725465041693
9000,539.5512544743398,V0,S47,S18,0,0,-191.02305553819252,0.0,0.15664224121302892,0.1197443630072637,0.0,0.08835664756116346,0.05694463827459371,1.0,0.3333333333333333,0.23091725465041693
9000,546.0947089403418,V0,S18,S58,0,0,-195.6936664242339,0.0,0.16017542950856412,0.11352871624590428,0.0,0.0964198747013978,0.059461254972260416,1.0,0.375,0.24246311738293777
9000,550.6885652748161,V0,S58,S38,0,0,-197.4905377713948,0.0,0.16483467753533898,0.11298001410600554,0.009283895144931444,0.0389023205543098,0.041106366684515734,1.0,0.375,0.24951892238614495
9000,555.066388533389,V0,S38,S39,5,0,-198.81785943137857,0.0,0.17132776259162916,0.09727914879123245,0.022955399921563542,0.015232917176803883,0.04895871006154859,1.0,0.375,0.25657472738935216
9000,562.3512353064762,V0,S39,S29,15,0,-196.41581868756342,0.0,0.16691276031265545,0.0858464778813516,0.005291574611566792,0.03424978266084176,0.09221116704610607,1.0,0.375,0.25272610647851185
9000,582.3814847829788,V0,S29,S12,0,0,-197.97393264630975,0.0,0.1656577490293,0.108965358478822,0.005760201889215558,0.053488817708935106,0.1341186163003417,1.0,0.375,0.24695317511225146
