Seed,time,vehicle_id,station_id,action_next_station,action_pickups,action_deliveries,expected_value_V,td_error,squared_starvation_penalty,squared_congestion_penalty,starvation_gravity,congestion_gravity,imbalance_weighted_distance,starvation_severity_max
9000,420.0,V0,S0,S55,0,0,-225.51511538438538,0.0,0.1870626978069846,0.12004061341474792,0.0418104494743093,0.04271379182545257,0.041532316873389374,1.0
9000,429.3208498612846,V0,S55,S39,14,0,-222.36401014404396,0.0,0.1861498260016947,0.09939391908481972,0.015285817682363187,0.05725842211401976,0.04889903095214544,1.0
9000,447.88519152559144,V0,S39,S41,6,0,-225.08918235222282,0.0,0.1777234805822979,0.1342209213398411,0.0,0.07389678668732545,0.05121917484151313,1.0
9000,457.2018633279179,V0,S41,S61,0,12,-227.11997437610742,0.0,0.1737036493170442,0.13745812879189928,0.1340938463491237,0.0,0.03218529271334188,1.0
9000,468.44140255884344,V0,S61,S12,0,8,-225.1253050877021,0.0,0.16100327332380474,0.14349487030682256,0.009937710831898918,0.05477997576316557,0.13472094442448002,1.0
9000,483.95454056080473,V0,S12,S52,0,0,-224.50832468383845,0.0,0.17211135328926325,0.12694161772341553,0.02634930066253131,0.09524479298254096,0.08866125375240802,1.0
9000,493.60990170196874,V0,S52,S39,7,0,-223.76225381835903,0.0,0.18350605820793478,0.11309468294721925,0.01602489298908303,0.049284429543227426,0.05539306579172462,1.0
9000,504.7742570983842,V0,S39,S38,12,0,-221.72706394580078,0.0,0.17894169461631249,0.10742235827764458,0.0033150479853925902,0.05535087927112209,0.03958470818790506,1.0
9000,515.5591038714713,V0,S38,S15,1,0,-220.2571227232581,0.0,0.16346054371356716,0.11317111833143036,0.015231949764712486,0.05580782409121753,0.04935837546963577,1.0
9000,525.4637629740658,V0,S15,S43,0,14,-218.02374718226662,0.0,0.14457342418869393,0.10784462618873031,0.04147665472141706,0.0,0.11548799230377725,1.0
9000,541.2152696045986,V0,S43,S18,0,6,-215.95342599322464,0.0,0.14044759327255973,0.10989744935802821,0.007762300392920755,0.0901906913739698,0.05453033737673288,1.0
9000,550.3024677547222,V0,S18,S29,0,0,-217.95051920799796,0.0,0.15659999777055367,0.09639848096912343,0.026719069192970193,0.027865756685521253,0.09261055710397523,1.0
9000,560.1891887357336,V0,S29,S46,14,0,-216.34254841568745,0.0,0.15938233528202655,0.08285695790819973,0.0,0.1454981347905837,0.08874877573265566,1.0
9000,574.9213519022301,V0,S46,S51,6,0,-216.52974527910533,0.0,0.15320659849510104,0.09512817642997198,0.0,0.061277602527658404,0.0818872986073667,1.0
9000,584.0649069941245,V0,S51,S12,0,11,-218.62426547170497,0.0,0.15009259800189423,0.10517668520027994,0.022278873947179593,0.004539971812633942,0.13691544741801936,1.0
