Seed,time,vehicle_id,station_id,action_next_station,action_pickups,action_deliveries,expected_value_V,td_error,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_gravity,congestion_gravity,imbalance_weighted_distance,starvation_severity_max,congestion_severity_max,work_ratio,imbalance_concentration,time_of_day_fraction,multi_horizon_starvation_risk
9000,420.0,V0,S0,S39,0,0,-227.18206341051405,0.0,0.4406670942912123,0.18704716672151703,0.11804971041251242,0.07998772516832198,0.010010937584671722,0.05167166820746787,1.0,1.0,1.0,0.039301310043668124,0.2916666666666667,0.26298909557408595
9000,437.76276528657337,V0,S39,S55,18,0,-224.109666886452,0.0,0.431686978832585,0.1821560191269197,0.11413975125112051,0.0,0.1752554118977828,0.04141487365184692,1.0,1.0,1.0,0.04309063893016345,0.2916666666666667,0.26234765875561256
9000,458.3271069508802,V0,S55,S31,2,0,-230.93067861425493,0.0,0.4573444515715202,0.1918983690116371,0.13509023957406363,0.005007946276750867,0.09978306970745052,0.09652163657855525,1.0,1.0,1.0,0.03506311360448808,0.2916666666666667,0.2591404746632457
9000,468.5215647743201,V0,S31,S41,0,16,-226.4388162227634,0.0,0.4470814624759461,0.1785406560489474,0.14190205156318886,0.057613757311293416,0.0,0.054387524572464374,1.0,1.0,1.0,0.035868005738880916,0.2916666666666667,0.23989737010904427
9000,480.790408057101,V0,S41,S61,0,4,-226.7641873912931,0.0,0.4406670942912123,0.16270419498505942,0.14012347076567272,0.0,0.15420429455014456,0.03492543494978414,1.0,1.0,1.0,0.036390101892285295,0.3333333333333333,0.23604874919820398
9000,488.0299472880265,V0,S61,S29,0,0,-228.64624995438325,0.0,0.4304041051956382,0.1829468243518614,0.11894038846016411,0.03104707347292885,0.07023187227219226,0.09199910133950648,1.0,1.0,1.0,0.040238450074515646,0.3333333333333333,0.2508017960230917
9000,496.7668897418355,V0,S29,S44,12,0,-225.64647888847912,0.0,0.42014111610006416,0.18220219412879615,0.10298182378876707,0.0,0.24072949616379455,0.08040637912790598,1.0,1.0,1.0,0.04122137404580153,0.3333333333333333,0.24887748556767159
9000,511.07022529181984,V0,S44,S15,8,0,-224.91611658733547,0.0,0.42655548428479795,0.17607319947408046,0.10783748574637941,0.0,0.07424135360297554,0.04709335592866711,1.0,1.0,1.0,0.03609022556390978,0.3333333333333333,0.24631173829377806
9000,523.0292992173942,V0,S15,S22,0,14,-216.49179690302802,0.0,0.39448364336112896,0.14866526135230634,0.10644139246678935,0.03866586936603042,0.0,0.13529637527961869,1.0,1.0,1.0,0.03902439024390244,0.3333333333333333,0.2155227710070558
9000,539.3951726078008,V0,S22,S12,0,6,-212.62015184140213,0.0,0.3855035279025016,0.13669333027547242,0.10671819216454444,0.0,0.0866064515059726,0.11488229595984646,1.0,1.0,1.0,0.03993344425956739,0.3333333333333333,0.20910840282232201
9000,558.9862342041548,V0,S12,S63,0,0,-216.69502741810265,0.0,0.38293778062860806,0.14607145981303457,0.08610384372629848,0.020176530002346725,0.06270151712545663,0.07066716534107456,1.0,1.0,1.0,0.04355108877721943,0.375,0.22257857601026299
9000,567.4237050325255,V0,S63,S59,12,0,-215.01278225170282,0.0,0.37780628608082106,0.15446497010329435,0.07722227488439233,0.0,0.09783393216676214,0.06967379229051698,1.0,0.8333333333333334,1.0,0.044142614601018676,0.375,0.22963438101347017
