Seed,time,vehicle_id,station_id,action_next_station,action_pickups,action_deliveries,expected_value_V,td_error,squared_starvation_penalty,squared_congestion_penalty,time_of_day_fraction,multi_horizon_starvation_risk
9000,420.0,V0,S0,S39,0,0,-208.36240485205713,0.0,0.18704716672151703,0.11804971041251242,0.2916666666666667,0.26298909557408595
9000,437.76276528657337,V0,S39,S52,18,0,-204.6835740278145,0.0,0.18218183256536993,0.10892130653401924,0.2916666666666667,0.26234765875561256
9000,454.42712068298886,V0,S52,S65,2,0,-205.74530830828124,0.0,0.1742761202715566,0.1287275242900324,0.2916666666666667,0.2572161642078255
9000,464.60800540515055,V0,S65,S22,0,12,-201.585510531459,0.0,0.1682289040366359,0.1346747610550314,0.2916666666666667,0.2450288646568313
9000,474.9687134714929,V0,S22,S31,0,8,-195.351771830396,0.0,0.15752690813232353,0.14403679574822062,0.2916666666666667,0.22771007055805004
9000,486.4745107030292,V0,S31,S35,0,0,-207.91328664330416,0.0,0.1656263062034845,0.12601915505035471,0.3333333333333333,0.25336754329698524
9000,497.88058533316683,V0,S35,S56,9,0,-206.93274927562612,0.0,0.16967333603449614,0.11416082361578021,0.3333333333333333,0.25593329057087877
9000,507.8197486129501,V0,S56,S29,6,0,-208.91133059908202,0.0,0.17528954178696965,0.1075748478626444,0.3333333333333333,0.26234765875561256
9000,516.1021491780306,V0,S29,S12,5,0,-204.6385889322711,0.0,0.16502145206314375,0.11315206102811642,0.3333333333333333,0.25336754329698524
9000,530.954967570179,V0,S12,S31,0,12,-195.63549670341445,0.0,0.15381817302515133,0.12303561067130385,0.3333333333333333,0.22771007055805004
9000,549.320865097556,V0,S31,S15,0,8,-204.3279608814255,0.0,0.14794244625935773,0.12761426971250756,0.375,0.23604874919820398
9000,559.853974087523,V0,S15,S44,0,0,-216.45432484985577,0.0,0.16786493670030558,0.12134928694423926,0.375,0.2617062219371392
9000,567.8130480130974,V0,S44,S37,10,0,-220.72690723111253,0.0,0.17742159803351612,0.12091745806187673,0.375,0.2674791533033996
9000,577.1682219001273,V0,S37,S63,10,0,-221.6805327974664,0.0,0.17795313381258185,0.11989683201729676,0.375,0.27068633739576653
9000,586.9458859731382,V0,S63,S15,0,0,-220.333392321833,0.0,0.16786790078772532,0.13383745976975714,0.375,0.2642719692110327
9000,595.1924898377717,V0,S15,S66,0,14,-214.7789755491694,0.0,0.16210762083498173,0.1389941128759109,0.375,0.2482360487491982
9000,608.3912331888301,V0,S66,S62,0,6,-212.56631516990024,0.0,0.14513441057521317,0.13583907528585543,0.4166666666666667,0.2379730596536241
9000,617.3107181679829,V0,S62,S63,0,0,-223.81096926175292,0.0,0.16260740376350555,0.13556375754421562,0.4166666666666667,0.2584990378447723
9000,622.7705523355926,V0,S63,S32,14,0,-219.30933700156572,0.0,0.1575511635754699,0.1258777064273609,0.4166666666666667,0.25593329057087877
9000,635.8714267828732,V0,S32,S51,6,0,-208.37490564503398,0.0,0.13652223208373104,0.1224321657449135,0.4166666666666667,0.2418216805644644
9000,646.2410238571579,V0,S51,S41,0,11,-195.19249260167703,0.0,0.12686331111218366,0.10640849161797689,0.4166666666666667,0.22129570237331622
9000,663.1020570508559,V0,S41,S62,0,9,-195.3209094010992,0.0,0.12195824850597091,0.10271981027397777,0.4583333333333333,0.20910840282232201
9000,674.8474034225254,V0,S62,S57,0,0,-216.17740213325686,0.0,0.14789752460588856,0.11202902094347333,0.4583333333333333,0.2450288646568313
9000,683.2725793985999,V0,S57,S35,11,0,-218.91944704564958,0.0,0.15691572232837175,0.10146521007065505,0.4583333333333333,0.25400898011545864
9000,692.4981000535676,V0,S35,S42,8,0,-227.40606338116731,0.0,0.1680870741544669,0.10880061033924435,0.4583333333333333,0.2655548428479795
9000,700.8073021857452,V0,S42,S26,0,9,-213.90609965790986,0.0,0.14668408198274932,0.11799610940245486,0.4583333333333333,0.23476587556125722
9000,715.2529270262195,V0,S26,S31,0,10,-216.86493894593508,0.0,0.15025823559924598,0.12464841062183743,0.4583333333333333,0.23604874919820398
9000,729.2719468112185,V0,S31,S49,0,0,-242.430998531508,0.0,0.17793952749338277,0.11488661672553874,0.5,0.27966645285439384
9000,735.1668998830472,V0,S49,S38,10,0,-235.14095059130193,0.0,0.17173349610915828,0.09755277004210797,0.5,0.2751763951250802
9000,744.883345395125,V0,S38,S59,8,0,-230.78823008427275,0.0,0.16819192788677859,0.09389520620889097,0.5,0.2674791533033996
9000,752.6265521410994,V0,S59,S29,2,0,-227.63352558845637,0.0,0.16111955046691243,0.09893260407537328,0.5,0.25978191148171903
9000,764.1630894535839,V0,S29,S31,0,13,-223.16770272749977,0.0,0.15468187323974203,0.11105620974404352,0.5,0.24246311738293777
9000,780.1472037982526,V0,S31,S62,0,7,-228.51343778521198,0.0,0.14662340558156506,0.12785326993309576,0.5416666666666666,0.23348300192431046
9000,789.623773975076,V0,S62,S51,0,0,-237.69008051376312,0.0,0.17037204393526736,0.11325460320848259,0.5416666666666666,0.25336754329698524
