Seed,time,vehicle_id,station_id,action_next_station,action_pickups,action_deliveries,expected_value_V,td_error,rebalancing_imbalance,anticipated_demand_shortfall,squared_starvation_penalty,squared_congestion_penalty,proximity_to_demand_gravity,starvation_gravity,congestion_gravity,imbalance_weighted_distance,starvation_severity_max,congestion_severity_max,station_starvation_count,work_ratio,imbalance_concentration,time_of_day_fraction,multi_horizon_starvation_risk
9000,420.0,V0,S0,S39,0,0,-225.68778619165198,0.0,0.4406670942912123,0.009955099601635495,0.18704716672151703,0.11804971041251242,0.8613199637689806,0.07998772516832198,0.010010937584671722,0.05167166820746787,1.0,1.0,0.47761194029850745,1.0,0.039301310043668124,0.2916666666666667,0.26298909557408595
9000,437.76276528657337,V0,S39,S55,18,0,-222.28795637569561,0.0,0.431686978832585,0.008588411071653776,0.1821560191269197,0.11413975125112051,0.829224434429157,0.0,0.1752554118977828,0.04141487365184692,1.0,1.0,0.47761194029850745,1.0,0.04309063893016345,0.2916666666666667,0.26234765875561256
9000,458.3271069508802,V0,S55,S31,2,0,-229.10189139298882,0.0,0.4573444515715202,0.008292494646397213,0.1918983690116371,0.13509023957406363,0.8724859115683117,0.005007946276750867,0.09978306970745052,0.09652163657855525,1.0,1.0,0.47761194029850745,1.0,0.03506311360448808,0.2916666666666667,0.2591404746632457
9000,468.5215647743201,V0,S31,S41,0,16,-224.84173894201135,0.0,0.4470814624759461,0.006106478284573693,0.1785406560489474,0.14190205156318886,0.8898510022957486,0.057613757311293416,0.0,0.054387524572464374,1.0,1.0,0.44776119402985076,1.0,0.035868005738880916,0.2916666666666667,0.23989737010904427
9000,480.790408057101,V0,S41,S61,0,4,-224.764738665671,0.0,0.4406670942912123,0.004002565447530202,0.16270419498505942,0.14012347076567272,0.8294419903640963,0.0,0.15420429455014456,0.03492543494978414,1.0,1.0,0.47761194029850745,1.0,0.036390101892285295,0.3333333333333333,0.23604874919820398
9000,488.0299472880265,V0,S61,S44,0,0,-226.84630100157136,0.0,0.43296985246953174,0.005990164336522013,0.1829468243518614,0.1148773702180414,0.8184711242147661,0.02599734677590424,0.11656576379113766,0.08448674247043077,1.0,1.0,0.47761194029850745,1.0,0.04,0.3333333333333333,0.2508017960230917
9000,493.8179400523411,V0,S44,S29,9,0,-223.76060175779745,0.0,0.41885824246311737,0.005287149917475301,0.1833260513168119,0.10079713474076747,0.8448829631969874,0.005631193374638597,0.13197081464959737,0.09122327228018019,1.0,1.0,0.47761194029850745,1.0,0.04134762633996937,0.3333333333333333,0.2508017960230917
9000,506.62127560232545,V0,S29,S54,11,0,-224.24285043468552,0.0,0.41885824246311737,0.005482146531974298,0.1876952033833548,0.09832244945196959,0.8872273672604789,0.013571110062437098,0.04728087724162398,0.09224016530306503,1.0,1.0,0.47761194029850745,1.0,0.04134762633996937,0.3333333333333333,0.25272610647851185
9000,516.549670801383,V0,S54,S15,0,0,-220.1945856686926,0.0,0.4150096215522771,0.0023502243719779963,0.16985532058701885,0.10777735851900926,0.8713476635693871,0.018087786894595146,0.048786940834482345,0.04625115099176387,1.0,1.0,0.47761194029850745,1.0,0.03863987635239567,0.3333333333333333,0.23733162283515075
9000,523.4453953545068,V0,S15,S51,0,14,-214.584475231168,0.0,0.3970493906350224,0.002156082906349872,0.14919390777804797,0.10920819826663142,0.9110397317133411,0.031771856144204205,0.0,0.07499274526395328,1.0,1.0,0.4626865671641791,1.0,0.03877221324717286,0.3333333333333333,0.2187299550994227
