episode,service_level,bias,rebalancing_imbalance,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9069771343253535,-2.5506684637240005,-0.026001045195654653,0.01,0.01,0.0,0.97,100,11,1,12
1,0.9105984620528251,-2.5988755327668196,-0.05044648795615221,0.009708,0.01,0.0,0.97,100,11,1,12
2,0.9068964939611706,-2.6475040218375994,-0.0752690731971141,0.009432,0.01,0.0,0.97,100,11,1,12
3,0.9070160750167449,-2.694066634833572,-0.09980179361711626,0.009172,0.01,0.0,0.97,100,11,1,12
4,0.9065544436344357,-2.741003505263837,-0.1237550760048473,0.008925,0.01,0.0,0.97,100,11,1,12
5,0.9080469390829804,-2.7831464135399564,-0.14547295004308075,0.008692,0.01,0.0,0.97,100,11,1,12
6,0.9141268671712773,-2.8218118826090977,-0.16492129074382317,0.00847,0.01,0.0,0.97,100,11,1,12
7,0.9121575428123593,-2.861534740170159,-0.18519485022967658,0.00826,0.01,0.0,0.97,100,11,1,12
8,0.9096831105381014,-2.9009423769880067,-0.20516841242591852,0.008059,0.01,0.0,0.97,100,11,1,12
9,0.9083071441776045,-2.940042013384176,-0.22491900808153317,0.007868,0.01,0.0,0.97,100,11,1,12
10,0.896157142137012,-2.9829253758755634,-0.24699884574809555,0.007686,0.01,0.0,0.97,100,11,1,12
11,0.9035643997375902,-3.021824664774856,-0.2668780110938772,0.007513,0.01,0.0,0.97,100,11,1,12
12,0.9119036372224847,-3.05656402021461,-0.28428856802532854,0.007346,0.01,0.0,0.97,100,11,1,12
13,0.9103564223268326,-3.091129577345914,-0.30205180241374513,0.007188,0.01,0.0,0.97,100,11,1,12
14,0.9113269256441062,-3.1232705217990255,-0.3186434550706586,0.007035,0.01,0.0,0.97,100,11,1,12
15,0.9130690309472235,-3.1557400168058973,-0.3351193115608175,0.006889,0.01,0.0,0.97,100,11,1,12
16,0.9051275158764827,-3.1900384327740134,-0.3525764599455058,0.006749,0.01,0.0,0.97,100,11,1,12
17,0.9127193427325286,-3.2203830365887933,-0.367816514430966,0.006615,0.01,0.0,0.97,100,11,1,12
18,0.9089120466861192,-3.2518357709858243,-0.38376185151416,0.006486,0.01,0.0,0.97,100,11,1,12
19,0.9108604817066956,-3.281532517792943,-0.3988510355828613,0.006362,0.01,0.0,0.97,100,11,1,12
20,0.9092837576000534,-3.309516807029435,-0.41300171953571246,0.006242,0.01,0.0,0.97,100,11,1,12
21,0.901383114128129,-3.3418149892546025,-0.4295525739520928,0.006127,0.01,0.0,0.97,100,11,1,12
22,0.9111452831450157,-3.37021133851303,-0.4440602862782711,0.006016,0.01,0.0,0.97,100,11,1,12
23,0.9033100311631432,-3.40126703281472,-0.45994181953454844,0.005909,0.01,0.0,0.97,100,11,1,12
24,0.9107035878319909,-3.428950872104161,-0.4739098429169034,0.005806,0.01,0.0,0.97,100,11,1,12
25,0.906725096915557,-3.4519532700159234,-0.4859829946787888,0.005706,0.01,0.0,0.97,100,11,1,12
26,0.8993364322285098,-3.4821504375591843,-0.5014010539385008,0.00561,0.01,0.0,0.97,100,11,1,12
27,0.9131542998034186,-3.507149411388403,-0.5141187339716101,0.005517,0.01,0.0,0.97,100,11,1,12
28,0.9162850986465558,-3.512031706215615,-0.5166707134962594,0.005426,0.01,0.0,0.97,100,11,1,12
