episode,service_level,starvation_severity_max,congestion_severity_max,gross_starvation_risk,gross_congestion_risk
0,0.9026908357314505,-3.2140302363317463,-3.1479839385487143,-0.505664797166537,-0.40224052390403814
1,0.9398286747487922,-0.9862928327541511,-0.9525420613324576,-0.331446836701055,-0.25991021508747153
2,0.9255084321747065,-2.0670047639114832,-1.8363209326148464,-0.5070842803794117,-0.3966561039286977
3,0.9368739878846039,-1.8412096664979716,-1.6051617152936222,-0.5305742561767689,-0.4336497784427866
4,0.9331979574163108,-1.7550476395383066,-1.4497128287089993,-0.5760684592789337,-0.4795619602068867
5,0.9368497901076839,-1.6909343002333432,-1.3080127597424696,-0.5920964391146302,-0.4838635370964176
6,0.9350220264317181,-1.7720312150781132,-1.2917098872637556,-0.6506583680284093,-0.5423787948531776
7,0.929951836243227,-2.130324065216224,-1.5598762587994193,-0.7453291227135538,-0.6077807020846859
8,0.9337251356238698,-2.2411352547949943,-1.599356942270784,-0.787143324685195,-0.632328688637523
9,0.9400205264428882,-1.6726253000182916,-0.9781610005272132,-0.752144524927448,-0.6017477822587974
10,0.9316921251668397,-2.003405773556224,-1.317539112927447,-0.8310400611845491,-0.6647282807100572
11,0.9363247348119575,-2.0672005712942294,-1.382299702276485,-0.8614709438705795,-0.7041060045783344
12,0.9287311763828836,-2.226129043053215,-1.4907930172949635,-0.9424729452097026,-0.7775575731614697
13,0.9298224921861178,-2.1782614106284126,-1.3723348795567258,-0.9789219490423429,-0.8098172305036561
14,0.9337673196368849,-2.1327383133417195,-1.3202232610045925,-0.9864722032834231,-0.823102511747047
15,0.9260433018392915,-2.625132897613282,-1.7353721762916448,-1.101940060819487,-0.9067394956071236
16,0.9337019877447317,-2.1686108877268997,-1.2822169377850259,-1.1124685576621365,-0.925806436959755
17,0.934887073522345,-2.17375209644522,-1.1971588850621953,-1.1482128684917927,-0.9540818257575479
18,0.9325899344583173,-2.241363795502175,-1.2554706527280441,-1.1881663901591624,-0.9972268710564548
19,0.9305605786618445,-2.307246852160874,-1.2288925359405918,-1.2552990865452147,-1.0487220369259436
20,0.9302046450219048,-2.206018167131642,-1.0958454601911451,-1.2938633114272284,-1.0871964708286035
21,0.9352586386190094,-2.350550679150883,-1.2611698112433192,-1.3455097991058125,-1.1394983121309854
22,0.9369015616032863,-2.138613689142031,-1.0097420171331246,-1.3758482519347983,-1.153999074950633
23,0.9324606393129771,-2.2701945209800884,-1.1741179401286934,-1.4297200036127906,-1.1910395602558346
24,0.9346106415616446,-2.2638881943107374,-1.1863035246463023,-1.469136712700321,-1.2371406383447274
25,0.9371848864108192,-2.282312203480851,-1.2047262158140728,-1.5088285766410323,-1.2699796788782067
26,0.9293594942748091,-2.375403986826215,-1.2288027678428208,-1.5540778746084465,-1.299860914969219
27,0.9288513897615415,-2.416060961422556,-1.3093099514770599,-1.5832249611090379,-1.3339810935432357
28,0.9345872518286311,-2.1806379739675146,-1.1155962452985608,-1.6015922123530704,-1.3525073424236815
29,0.9249513819317579,-2.501043379940025,-1.4148977348245482,-1.6834385093042992,-1.4314249753115058
30,0.9352716279896861,-2.4570491157902037,-1.3739298142548682,-1.6925547705031523,-1.4405076918925104
31,0.9408667717659657,-2.2636638335855412,-1.182781079045528,-1.6844267488827191,-1.4450269064641432
32,0.9329146790652738,-2.1358545651869156,-0.9996993885632094,-1.7058941923663913,-1.4673122179272373
