episode,service_level,squared_starvation_penalty,squared_congestion_penalty,starvation_gravity,congestion_gravity,imbalance_weighted_distance,starvation_severity_max,time_of_day_fraction,multi_horizon_starvation_risk
0,0.8932689729149906,-17.350163148561204,-12.241352713687423,-2.468569059586086,-2.0914501465943305,-8.275896666887643,-66.75508338766835,-38.62509876582933,-21.760060427591725
1,0.9074146606007653,-38.59247398673501,-26.958724497961914,-5.382764335365613,-5.158941760970522,-14.888402855997548,-145.11924296445196,-81.41246010835383,-48.136432831633456
2,0.9163538873994638,-43.08293811428242,-29.40037666471876,-6.461374012116345,-5.38824189316868,-14.590047480850625,-154.38397838761935,-83.63574098122244,-52.79750516525842
3,0.9169942546114302,-45.5981115959124,-30.344678402863213,-7.285747530822837,-4.864207382107572,-14.16720833437106,-153.57933552268577,-79.56246608088276,-54.721943539823435
4,0.9158159401411651,-47.45228428847434,-30.82059028167398,-8.00375505068556,-4.20975427880615,-14.075304333205596,-152.18573441377043,-75.89267166136617,-55.98368365761779
5,0.915001982372137,-49.75383890809047,-31.647743482326433,-8.784497825972004,-3.7404665014346135,-14.165450624071083,-152.0617502642507,-73.73781927728498,-57.7506453731091
6,0.9177154786758127,-52.28684463546098,-32.68368945006128,-9.614252425176966,-3.3095002331634835,-14.197337751212185,-153.00744609091944,-72.82933557406315,-59.830733777737926
7,0.905981599779931,-54.47859395317213,-33.45306938488067,-10.461058446708403,-2.7557917919091945,-14.295122933743063,-151.2285130290371,-70.21797584140386,-61.33520345639198
8,0.9176506024096386,-56.40242426613278,-34.16212503883327,-11.206426110772714,-2.3264042966774916,-14.297692806127236,-150.37298615075116,-68.34774726861701,-62.768774910464025
9,0.9060461464121768,-58.47930882953706,-34.93325968262276,-11.806952414594278,-1.952210298901782,-14.42844968558277,-148.77813171797578,-66.493240053702,-64.26881492002227
10,0.9033744611268024,-61.0918682135626,-36.165327661390606,-12.455711721437435,-1.727679197648687,-14.81972208361455,-150.72561450255435,-67.26929194546136,-66.57128246726131
11,0.9032872652493422,-63.267795603468144,-37.016554413297975,-13.185201347734965,-1.3768571190530758,-14.87391288568801,-150.4758818624636,-66.72572322071666,-68.22502376424966
12,0.9036022020105313,-65.49822536822923,-37.89923052697963,-13.784121256603946,-1.2090504021159265,-14.92956738720905,-150.40608993539655,-65.94842700555387,-69.97255982416024
