episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,fleet_broken_fraction,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9439898041320096,-2.528831891341959,-0.014701064616949587,-0.005537415130637602,-0.003179521154392751,-0.0025239110908515613,-0.0009946187862422452,-0.003922921561369151,-0.0028853856037858575,-0.00805590078074347,0.01,0.01,0.0,0.97,100,15,0,15
1,0.9423902691684349,-2.557730720222838,-0.029487338686036372,-0.01119355122085975,-0.006376860161211893,-0.005171221515827679,-0.0018058827897343642,-0.007823687520579825,-0.005643255987695767,-0.0153589994314522,0.009708,0.01,0.0,0.97,100,13,1,14
2,0.9376225510734217,-2.5884375245439806,-0.04532986622364519,-0.01732051646094963,-0.009921014667887328,-0.008188481238685123,-0.002891134866099499,-0.01200275075030927,-0.008995528784181374,-0.023511764791019348,0.009432,0.01,0.0,0.97,100,13,1,14
3,0.9409135798336207,-2.6163484836612185,-0.05980818290722133,-0.022863541173428478,-0.013197774010481484,-0.01088299918076577,-0.0038561295720361253,-0.015930097917600614,-0.011736473252414354,-0.030217567941439396,0.009172,0.01,0.0,0.97,100,13,1,14
4,0.940098427480157,-2.644376123379844,-0.07412490981269004,-0.028460921926939005,-0.01630874579434075,-0.013519878636139043,-0.004648749307568919,-0.019930507651154245,-0.014571319377725338,-0.03730320999211202,0.008925,0.01,0.0,0.97,100,13,1,14
5,0.947990227249908,-2.6671946435903586,-0.08565097517407937,-0.03284184183457888,-0.01882699001584405,-0.01554699855987861,-0.005324997714461213,-0.023006396948986034,-0.016837337860065683,-0.04310604895143172,0.008692,0.01,0.0,0.97,100,14,1,15
6,0.9413951930324094,-2.6927424657091095,-0.09853274461352868,-0.037715727622009476,-0.02170981345901028,-0.017819601029009504,-0.006177410352321845,-0.026510555386017,-0.0194597022007234,-0.04931172946404525,0.00847,0.01,0.0,0.97,100,13,1,14
7,0.9411440960640427,-2.7169742465978195,-0.11122896931098054,-0.042590793918132426,-0.02455533149047597,-0.020134031114578524,-0.007043080020950469,-0.029870839622239628,-0.022144011895707475,-0.05574206964698131,0.00826,0.01,0.0,0.97,100,14,1,15
8,0.9421074057739933,-2.740373967987799,-0.12331394198682226,-0.04725267384538048,-0.027359863345024958,-0.022419699515094513,-0.007867887839882183,-0.03326095099588537,-0.02475137614048521,-0.061712971152812386,0.008059,0.01,0.0,0.97,100,13,1,14
9,0.9423655335808983,-2.763398878976861,-0.13504436025899075,-0.05184036814469476,-0.029957367671480085,-0.024574634422966174,-0.008682221532734104,-0.03655809425513641,-0.027237937571653856,-0.06790522276432225,0.007868,0.01,0.0,0.97,100,13,1,14
10,0.9325840809058227,-2.790217118525619,-0.1490904295672549,-0.05720384987288556,-0.03319127628152889,-0.027036020296646878,-0.00970535291740262,-0.04014203556559438,-0.03024375900856104,-0.0753335046149044,0.007686,0.01,0.0,0.97,100,13,1,14
11,0.9432133663116451,-2.810412933134308,-0.15928828750091026,-0.06122363882713186,-0.03540054648340335,-0.028925363520007474,-0.010304016709079962,-0.04297206386585677,-0.032468222730567604,-0.08088575271041577,0.007513,0.01,0.0,0.97,100,14,1,15
12,0.9421487603305785,-2.8288254946590476,-0.16870558028171517,-0.06513780037634215,-0.037411494603358755,-0.030847518969991602,-0.010800796176391188,-0.04588245776806603,-0.034695462257836235,-0.08596948461443688,0.007346,0.01,0.0,0.97,100,14,1,15
13,0.9430901143241426,-2.849402432731135,-0.1794806713311372,-0.06944845932666978,-0.03976531317005367,-0.033000308511586876,-0.011494119349332471,-0.048786793049439905,-0.0369241615855953,-0.09171489914109844,0.007188,0.01,0.0,0.97,100,13,1,14
14,0.9431149208678685,-2.8696049244733683,-0.18987459259619432,-0.07341810827887674,-0.04216131897021969,-0.034898800001931976,-0.012166976142460992,-0.051552356750159525,-0.038931062013483224,-0.09672965253507378,0.007035,0.01,0.0,0.97,100,13,1,14
15,0.9404929813956612,-2.889666137526361,-0.20028107852054128,-0.07754074601397987,-0.0443617752116372,-0.0369561933001243,-0.012802150678010014,-0.054431545870611844,-0.04097853275864202,-0.10272709655023801,0.006889,0.01,0.0,0.97,100,14,1,15
16,0.9406840911000924,-2.907581352180928,-0.20956333488149367,-0.08131523992698445,-0.04646389112669998,-0.03880356906785013,-0.013472939005492025,-0.05706630858144897,-0.043127294821454186,-0.10744193209853103,0.006749,0.01,0.0,0.97,100,14,1,15
17,0.9416068260538988,-2.926772177313463,-0.21920152644243515,-0.08507125609043545,-0.04850781627331608,-0.040611470644335936,-0.01402357931251889,-0.059606204594938254,-0.045189606456772474,-0.11306139862946757,0.006615,0.01,0.0,0.97,100,13,1,14
18,0.939474254471504,-2.946539032009231,-0.22936791315472213,-0.08889784876275932,-0.050786808643748564,-0.042405566401681784,-0.014637617157300008,-0.06233075475037649,-0.04728067309606019,-0.11827940225805461,0.006486,0.01,0.0,0.97,100,13,1,14
19,0.9416720453850597,-2.9648495016735117,-0.23880497221689553,-0.09257850931201309,-0.05294366971517934,-0.04420813965662839,-0.015252764423955534,-0.06505015260304012,-0.049286736720592146,-0.12271128831052258,0.006362,0.01,0.0,0.97,100,13,1,14
20,0.9411371684372286,-2.983411420035742,-0.2481979427936345,-0.0961687504318997,-0.05500681132438359,-0.045908687200599,-0.015777582773206903,-0.0675636955158732,-0.05129528706905527,-0.12746227161607862,0.006242,0.01,0.0,0.97,100,13,1,14
21,0.9400974053522035,-3.001573280980538,-0.2574728156641639,-0.09981562299372644,-0.05706405928855009,-0.047600426876595325,-0.016320880956507685,-0.07009793745180522,-0.053204824967782414,-0.1326812618436598,0.006127,0.01,0.0,0.97,100,13,1,14
22,0.9429273347148873,-3.0176247656303556,-0.2655068844007697,-0.10304967591498143,-0.05883355326620675,-0.049145912575882515,-0.016843728457773467,-0.07260406671671153,-0.05504741546707915,-0.13649666728579105,0.006016,0.01,0.0,0.97,100,14,1,15
