episode,service_level,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,congestion_severity_max,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
0,0.9026908357314505,-0.7366727717511822,-0.6277983749285341,-3.1979898182209583,-3.147713040513918,-0.5056497116267565,-0.39665094546508045,0.1,0.1,0.2,0.2,2219,1061,2040,33707,37637,37634,0,0,0,0,1356,1370,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
1,0.9348468124459294,-0.42530180552982966,-0.2830740272663607,-1.2260283608851061,-1.1631529262210658,-0.3407707013430825,-0.24976741797853483,0.098228,0.1,0.198803,0.2,1505,679,1388,33521,38040,38033,0,0,0,0,3154,3164,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
2,0.9291504686134466,-0.5741287906102879,-0.347870320291991,-1.6898024692692233,-1.4727105362771242,-0.46356836534882073,-0.337512920900449,0.096518,0.1,0.197613,0.2,1584,767,1174,33183,37624,37620,0,0,0,0,3025,3023,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
3,0.9315976616645574,-0.6160671680283593,-0.35748227980693503,-1.6869240617377692,-1.4327047889884788,-0.522319609993057,-0.3965107488456684,0.094867,0.1,0.19643,0.2,1492,778,1290,33186,37843,37836,0,0,0,0,3157,3177,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
4,0.9298031390535187,-0.6977864361233863,-0.3894856007024069,-1.833323107120944,-1.5349917681534722,-0.591777525577756,-0.4534163971129342,0.093271,0.1,0.195254,0.2,1585,772,1460,33577,38099,38091,0,0,0,0,3090,3095,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
5,0.9316123188405797,-0.7247000022783873,-0.36584729474396976,-1.75005633831906,-1.3731596073262107,-0.6282433254191585,-0.48461992446652036,0.091728,0.1,0.194086,0.2,1498,767,1437,33120,37835,37827,0,0,0,0,3056,3044,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
6,0.9351884991648771,-0.7367886377294376,-0.3427587115226082,-1.5277319466244832,-1.1356980200373878,-0.6800836523484985,-0.5282100151111581,0.090235,0.1,0.192924,0.2,1532,641,1251,33528,38228,38225,0,0,0,0,3080,3088,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
7,0.9382002383790227,-0.7841553192255392,-0.37864548918437363,-1.642762997662209,-1.2652463767615212,-0.7203553299402817,-0.5580611958395872,0.08879,0.1,0.191769,0.2,1355,719,1512,33560,38223,38214,0,0,0,0,3057,3053,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
8,0.9396351278840994,-0.8426583231009133,-0.3966722890203249,-1.7445830914677387,-1.3550163207862158,-0.7832949278161242,-0.6129324869519452,0.087391,0.1,0.190621,0.2,1311,714,1129,33546,38361,38357,0,0,0,0,3184,3193,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
9,0.9331610044313147,-0.8491012263997045,-0.3438537775920213,-1.5920958375720105,-1.045500617409617,-0.8025995481257897,-0.6219947151297813,0.086034,0.1,0.189481,0.2,1418,754,1127,32496,37176,37173,0,0,0,0,3138,3130,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
10,0.9297295671269139,-0.9246360296383604,-0.37364894851508984,-1.7579729487696636,-1.1746400037940994,-0.8670037257864293,-0.6568559815171393,0.08472,0.1,0.188346,0.2,1598,738,1247,33243,37829,37823,0,0,0,0,3100,3096,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
11,0.9277985976789168,-1.0163183186015448,-0.4213923194397468,-2.0559880746430097,-1.423500087622724,-0.9627551475568443,-0.7258778261997356,0.083445,0.1,0.187219,0.2,1611,778,1498,33088,37527,37518,0,0,0,0,3077,3065,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
12,0.9339451181360426,-1.0075964605721628,-0.38672249445476775,-1.8452226178038018,-1.197805345870622,-0.9783000751832299,-0.7293918716367136,0.082208,0.1,0.186098,0.2,1498,719,1200,33563,38248,38242,0,0,0,0,3147,3134,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
13,0.9357142857142857,-1.0222318543528341,-0.3713890494790116,-1.7071726278998858,-1.0901017828899602,-1.031021757024976,-0.7743159176698189,0.081006,0.1,0.184985,0.2,1313,856,1670,33740,38594,38585,0,0,0,0,3166,3171,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
14,0.9298609857374978,-1.0908110800422968,-0.3992476800849888,-1.860739417515553,-1.2035698167147635,-1.1104213133320817,-0.8305314484556869,0.07984,0.1,0.183877,0.2,1603,728,1488,33234,37735,37726,0,0,0,0,3117,3122,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
15,0.9350288395445444,-1.131919542173384,-0.4102247587246909,-1.9049193464663692,-1.206348595426734,-1.164689935167112,-0.8875726087102606,0.078707,0.1,0.182777,0.2,1472,702,1382,33461,38064,38054,0,0,0,0,3083,3093,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
16,0.9368255599552641,-1.1411451715556944,-0.39740175250268495,-1.8133066896456052,-1.058656592448045,-1.1953661956213792,-0.9166532179335722,0.077605,0.1,0.181683,0.2,1353,737,1182,33083,37796,37793,0,0,0,0,3163,3167,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
17,0.929771585745037,-1.1662334114176358,-0.3934922795156095,-1.7753936439752933,-0.9930949654034013,-1.2229859196453226,-0.9546114506046772,0.076534,0.1,0.180595,0.2,1505,844,1422,33448,38051,38044,0,0,0,0,3078,3072,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
18,0.9378806333739342,-1.1578948982840935,-0.382158979127293,-1.6274974108137228,-0.9173254506136065,-1.24911148815863,-0.9983935397786665,0.075492,0.1,0.179514,0.2,1316,775,1338,33661,38506,38498,0,0,0,0,3104,3115,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
19,0.9357759904676795,-1.1771704542785766,-0.36686595241836234,-1.5526688240528421,-0.8471693067068726,-1.2694125035230397,-1.0190687939492282,0.074478,0.1,0.17844,0.2,1336,820,1475,33570,38245,38242,0,0,0,0,3099,3092,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
20,0.9407332097362597,-1.2220171786990877,-0.37681477609681363,-1.6495821944509552,-0.9214730646722427,-1.319113183287836,-1.0762691365883579,0.07349,0.1,0.177372,0.2,1311,671,1347,33442,38156,38146,0,0,0,0,3110,3130,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
21,0.9315470022205774,-1.2817658402931347,-0.41829398501009446,-1.8015755899800503,-1.122126449031114,-1.3756609207109516,-1.1169559182095339,0.072529,0.1,0.17631,0.2,1439,873,1455,33775,38472,38469,0,0,0,0,3056,3065,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
22,0.9260514604026054,-1.338460359574012,-0.4442817610214539,-1.929364361431663,-1.2283769370400328,-1.4207111903526344,-1.1680239961208692,0.071593,0.1,0.175255,0.2,1628,881,1281,33929,38364,38361,0,0,0,0,3145,3151,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
23,0.9285670972045358,-1.3552930493157178,-0.43437729274095016,-1.8298845314543746,-1.1004104867157753,-1.4297294433007706,-1.18412392482335,0.07068,0.1,0.174206,0.2,1603,753,1311,32982,37617,37605,0,0,0,0,3142,3134,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
24,0.9351495056307315,-1.3791524667388155,-0.4233397363374845,-1.7845621597341896,-1.022384260563041,-1.4674010690214612,-1.2170069803041854,0.06979,0.1,0.173163,0.2,1438,733,1464,33477,38119,38112,0,0,0,0,3214,3225,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
