,mean,std,min,max,variance
rebalancing_imbalance,0.658209986673121,0.0738118298953712,0.43361130356788635,0.917254626750946,0.005448186232503214
squared_starvation_penalty,0.24394390135665506,0.05302251452770667,0.061206478625535965,0.3741499185562134,0.0028113870468408648
squared_congestion_penalty,0.2144577459216408,0.037996009336423456,0.10961412638425827,0.325180321931839,0.0014436967254935784
exponential_starvation_penalty,0.22202052814961404,0.05151260154493217,0.04912450164556503,0.35299035906791687,0.002653548117926948
exponential_congestion_penalty,0.19358997709322065,0.038061968392113336,0.09166424721479416,0.3118167221546173,0.0014487134378822347
starvation_severity_max,0.985874266593059,0.043669641623514936,0.6254545450210571,1.0,0.0019070375995262282
congestion_severity_max,0.9798063596058905,0.04109186540452774,0.699999988079071,1.0,0.0016885414024238239
starvation_count,0.15303544269849548,0.05443151608776566,0.0,0.31343284249305725,0.0029627899436126923
congestion_count,0.1216109095333574,0.044813599565763966,0.0,0.28358209133148193,0.00200825870604064
gross_starvation_risk,0.1707811479524578,0.08372483400617324,0.0026308305095881224,0.4915858507156372,0.007009847829361263
gross_congestion_risk,0.12787921481857928,0.06461438912261111,0.009142281487584114,0.3854011595249176,0.004175019281688205
net_starvation_shortfall,0.3439461450103005,0.11699023572864663,0.17737796902656555,1.0683172941207886,0.013686715255844306
net_congestion_shortfall,0.23754406455779767,0.052399902629991155,0.11406632512807846,0.40813755989074707,0.002745749795632554
