,mean,std,min,max,variance
rebalancing_imbalance,0.5358588433719237,0.13382986999205077,0.23925593495368958,0.7806286215782166,0.01791043410208921
squared_starvation_penalty,0.23401537344223527,0.0810331573074615,0.06134975329041481,0.40799680352211,0.0065663725832158
squared_congestion_penalty,0.16593647152594426,0.0693489762578467,0.027365289628505707,0.31041136384010315,0.004809280508011385
exponential_starvation_penalty,0.21004188673250968,0.07940999207825793,0.04954776167869568,0.39197322726249695,0.006305946841868987
exponential_congestion_penalty,0.14884545263407156,0.0679498081807148,0.02382561005651951,0.2991185784339905,0.004617176431795936
starvation_severity_max,0.9336403179705741,0.10440438173442987,0.5139999985694885,1.0,0.010900274925348553
congestion_severity_max,0.8691584468339172,0.14926660790908342,0.36589473485946655,1.0,0.022280520236684042
starvation_variance,0.1318236011697976,0.038622981236092764,0.037448205053806305,0.20805159211158752,0.0014917346795635738
imbalance_hotspot_distance,0.21644707814439146,0.13711813661209724,0.00365735637024045,0.7094853520393372,0.01880138338797376
starvation_count,0.1272371817958763,0.08229197772518,0.0,0.3731343150138855,0.006771969597921521
congestion_count,0.08669034137541984,0.0690565692014479,0.0,0.2985074520111084,0.004768809749874362
projected_starvation_risk,0.06697333335879925,0.05022338415988951,0.0,0.24107475578784943,0.0025223883164718405
projected_congestion_risk,0.06518910777379713,0.04508879055970391,0.0,0.2303212434053421,0.0020329990341368446
