episode,service_level,squared_starvation_penalty,squared_congestion_penalty,alpha,alpha_initial,epsilon
0,0.8248729266987693,-0.026260187004987945,-0.006563603171079484,0.05,0.05,0.2
1,0.8233593329747175,-0.05918318777711414,-0.01667041257674391,0.048539,0.05,0.198006
2,0.8227708179808401,-0.08803321590059496,-0.02520411238014959,0.047161,0.05,0.196032
3,0.8263406966438689,-0.11518559930558478,-0.03556933475844652,0.045859,0.05,0.194078
4,0.8101458633421084,-0.1499132219608185,-0.04517149491827181,0.044627,0.05,0.192143
5,0.8107470379543477,-0.1784065622274881,-0.05343043472042187,0.043459,0.05,0.190228
6,0.8104044099054297,-0.212749384308375,-0.06288941974205366,0.042351,0.05,0.188331
7,0.8167045987013857,-0.23986823699172224,-0.070525472627663,0.041298,0.05,0.186454
8,0.8246898515354891,-0.2671462991490289,-0.07773732613726657,0.040296,0.05,0.184595
9,0.8273489932885906,-0.2929085431265154,-0.08532286068464683,0.039342,0.05,0.182755
10,0.7994025542484099,-0.3163391640192716,-0.09255939390927112,0.038432,0.05,0.180933
11,0.8144576285449803,-0.34233360521380424,-0.10085123597162549,0.037563,0.05,0.179129
12,0.821151772476075,-0.367030585681165,-0.10870152837566432,0.036732,0.05,0.177343
13,0.8251495597230625,-0.39278722529962956,-0.11711251741241206,0.035938,0.05,0.175575
14,0.8311945381041048,-0.4143539667997536,-0.12415532883057442,0.035176,0.05,0.173825
15,0.8181574269711909,-0.4349700881216804,-0.13128996819100308,0.034447,0.05,0.172092
16,0.824754202879098,-0.45327652008258584,-0.13712953451241597,0.033747,0.05,0.170376
17,0.8191965416504838,-0.4713842319649973,-0.14283651523041802,0.033075,0.05,0.168678
18,0.8061049369345352,-0.5005783036560143,-0.15040058589067073,0.03243,0.05,0.166996
19,0.8088347554665898,-0.521567244720791,-0.15617807437500508,0.031809,0.05,0.165332
20,0.8270590768313486,-0.5402468488424043,-0.16175154576054177,0.031211,0.05,0.163683
21,0.8211100939205913,-0.5591868532608749,-0.1669348203512556,0.030635,0.05,0.162052
22,0.8219299566621489,-0.58335562416706,-0.17456911925587387,0.03008,0.05,0.160436
23,0.8230142154550967,-0.5997726996299729,-0.17934035109237492,0.029545,0.05,0.158837
24,0.8330644758942974,-0.6159826630495756,-0.18551125726472717,0.029029,0.05,0.157253
25,0.8105068193298535,-0.6332802935292702,-0.19137476396948686,0.028531,0.05,0.155686
26,0.8270722025893111,-0.6492745654351668,-0.1962771453329257,0.028049,0.05,0.154133
27,0.8248211612044585,-0.6660275935011291,-0.20164643552304515,0.027583,0.05,0.152597
28,0.8173943756727664,-0.6848207991152812,-0.20771037705122963,0.027132,0.05,0.151076
29,0.822011691191292,-0.701915327945489,-0.21375083052328867,0.026696,0.05,0.14957
30,0.8238757848294587,-0.7180895051432057,-0.21856859377665216,0.026274,0.05,0.148078
31,0.8258706467661692,-0.7314113882587292,-0.22256902718608976,0.025865,0.05,0.146602
32,0.817735563587459,-0.7475420177589727,-0.22725378918372138,0.025468,0.05,0.145141
33,0.8238060597858267,-0.7638740062917595,-0.23267332426907367,0.025084,0.05,0.143694
34,0.8199265074327711,-0.778907229091616,-0.23800138246509478,0.024711,0.05,0.142261
35,0.8193913778529163,-0.795128996126756,-0.24390497520626536,0.024349,0.05,0.140843
36,0.8103878583473861,-0.8183132262567651,-0.25222173821522575,0.023997,0.05,0.139439
37,0.8262937723500439,-0.8318635459785483,-0.25684878520862253,0.023655,0.05,0.138049
38,0.8245981245813798,-0.8464356116712713,-0.2609654814182497,0.023323,0.05,0.136673
39,0.8264593004742831,-0.8614685449727116,-0.26513536051696857,0.023,0.05,0.13531
40,0.8204207545261455,-0.8752752862099996,-0.269031859086652,0.022686,0.05,0.133961
41,0.8188550605383802,-0.8919651801164935,-0.2736744353366147,0.02238,0.05,0.132626
42,0.8207001726131622,-0.9047538059401192,-0.27714643325789967,0.022083,0.05,0.131304
43,0.8184447140554105,-0.9212369013588538,-0.28208956990795153,0.021793,0.05,0.129995
44,0.8162092423176167,-0.9344828116005321,-0.28643047395938415,0.021511,0.05,0.128699
45,0.8232119439120347,-0.9475377591300613,-0.2906971419341058,0.021236,0.05,0.127416
46,0.8203507477701026,-0.9592905828990529,-0.29407885109095244,0.020968,0.05,0.126145
47,0.8154088524645113,-0.9721640446851139,-0.2975430132456697,0.020706,0.05,0.124888
48,0.8245690158708967,-0.986678669681496,-0.3020018390769184,0.020451,0.05,0.123643
49,0.8227784310431715,-0.9973058890979912,-0.30598674581346114,0.020203,0.05,0.12241
50,0.8146861362873448,-1.0089897635425022,-0.3097810185125268,0.01996,0.05,0.12119
51,0.8178165557124605,-1.021261118707134,-0.31366509765113504,0.019723,0.05,0.119982
52,0.8241445027237617,-1.0324976674631625,-0.3175461222946011,0.019492,0.05,0.118786
53,0.8117306663098742,-1.0461771364385553,-0.32109633668579185,0.019265,0.05,0.117601
54,0.8235767586149073,-1.0565339451186488,-0.32364038188383276,0.019045,0.05,0.116429
55,0.8201141441697769,-1.068225329932025,-0.3276071474691781,0.018829,0.05,0.115268
56,0.8220125892299643,-1.0797678536099562,-0.3311246177918296,0.018618,0.05,0.114119
57,0.8123827077747989,-1.0918608835429846,-0.334480597059427,0.018411,0.05,0.112982
58,0.8141347623767365,-1.1016356897732698,-0.3372261373826655,0.01821,0.05,0.111855
59,0.8253772869066689,-1.1132724328312285,-0.34080640503618775,0.018012,0.05,0.11074
60,0.8183198553246664,-1.1234817958774295,-0.34371473801292735,0.017819,0.05,0.109636
61,0.8257974941871163,-1.1335688889632107,-0.34681218152497806,0.01763,0.05,0.108543
62,0.8200545748551409,-1.1438931930922267,-0.3500345378188626,0.017445,0.05,0.107461
63,0.8195396915665875,-1.1553366369152283,-0.35323393886909166,0.017263,0.05,0.10639
64,0.8364292999381364,-1.1636734080680085,-0.3558908644133953,0.017086,0.05,0.105329
65,0.814832222651201,-1.1740041749808856,-0.35934603259621395,0.016912,0.05,0.104279
66,0.8252063896905832,-1.1833733770165005,-0.3617970320348713,0.016741,0.05,0.10324
67,0.8184469128727223,-1.1932706268552171,-0.36485010798142703,0.016574,0.05,0.10221
68,0.8211223890613204,-1.2028579041001317,-0.36771408837579306,0.016411,0.05,0.101191
69,0.8251210481344347,-1.2138496461112689,-0.3710143793128543,0.01625,0.05,0.100183
70,0.8153073435472181,-1.2273911325163254,-0.3744771556325801,0.016093,0.05,0.099184
71,0.8363047001620746,-1.2365906785395997,-0.3773167828136836,0.015938,0.05,0.098195
72,0.8245434746188641,-1.2448119541157587,-0.37952820386301134,0.015787,0.05,0.097216
73,0.8181665038239951,-1.2539963277535806,-0.38191020536036413,0.015638,0.05,0.096247
74,0.8196640984049743,-1.2631295263829152,-0.3845628294189303,0.015492,0.05,0.095288
75,0.8250534097460069,-1.2704165110460899,-0.3866808962303633,0.015349,0.05,0.094338
76,0.8244082990933478,-1.2790009205520072,-0.3893632446961201,0.015209,0.05,0.093397
77,0.8221302998965874,-1.2862619962912156,-0.3915643227678318,0.015071,0.05,0.092466
78,0.8228353725055805,-1.2939712181652854,-0.39400285931050744,0.014935,0.05,0.091544
79,0.8237752259291975,-1.3033131926122103,-0.39705770765751575,0.014802,0.05,0.090632
80,0.8255694885095096,-1.3120474725448494,-0.39946094101876756,0.014671,0.05,0.089728
81,0.8134745562927289,-1.3236603143209182,-0.4031096289840408,0.014543,0.05,0.088834
82,0.8303160943736212,-1.331543671703557,-0.405382831500402,0.014417,0.05,0.087948
83,0.8200151247794303,-1.3382404785099955,-0.40772256504710974,0.014293,0.05,0.087071
84,0.8218427085756055,-1.3466248943848604,-0.41077062494429867,0.014171,0.05,0.086203
85,0.8224864061602891,-1.3555671786616885,-0.41365738496929233,0.014051,0.05,0.085344
86,0.8091070974306792,-1.3644671516701599,-0.41588785930310423,0.013933,0.05,0.084493
87,0.8140159913995835,-1.372867203465061,-0.4183438841941031,0.013817,0.05,0.083651
88,0.8266680166042321,-1.383043389393634,-0.4211656634721745,0.013703,0.05,0.082817
89,0.816528312073969,-1.3918037223516415,-0.4238891131084814,0.013591,0.05,0.081991
90,0.8221532264831752,-1.3995122010800811,-0.4264198072834862,0.013481,0.05,0.081174
91,0.8341677943166441,-1.405884220385492,-0.4285670684233844,0.013372,0.05,0.080365
92,0.8237874271778891,-1.4128807433287018,-0.43052194567007673,0.013265,0.05,0.079563
93,0.8180360185772996,-1.4215368370792762,-0.43318217733864695,0.01316,0.05,0.07877
94,0.8276994430996835,-1.4286812106899593,-0.43531374341637546,0.013057,0.05,0.077985
95,0.8083735909822867,-1.4372648359011713,-0.43742065829726634,0.012955,0.05,0.077207
96,0.8169342178558768,-1.448663019706109,-0.440640001084168,0.012855,0.05,0.076438
97,0.8120867317826335,-1.4561063280511308,-0.4428619061036713,0.012756,0.05,0.075676
98,0.8191249284246691,-1.4645527561401992,-0.44522594929384646,0.012659,0.05,0.074921
99,0.827185584120855,-1.4715575374516958,-0.44728347690117437,0.012563,0.05,0.074174
100,0.8224762222593025,-1.4783077209265063,-0.449086696575947,0.012469,0.05,0.073435
101,0.8184948850400081,-1.4858174185133344,-0.45103243498221407,0.012376,0.05,0.072703
102,0.8281252617998425,-1.4931120025995508,-0.453000993771934,0.012284,0.05,0.071978
103,0.8366691459868821,-1.5016112840422373,-0.4557525847633838,0.012194,0.05,0.071261
104,0.8185537280150227,-1.5083050929644113,-0.45746059396667427,0.012105,0.05,0.07055
105,0.8194625271240193,-1.5155361759672505,-0.45961307934087225,0.012018,0.05,0.069847
