episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,net_starvation_shortfall,net_congestion_shortfall,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9331734639119935,-2.5352146176021737,-0.017602574152154164,-0.0073570081632506655,-0.003275892727157759,-0.001629189497540734,-0.0009529450593773455,0.01,0.01,0.0,0.97,100,14,1,15
1,0.9359242117926183,-2.5679860605678653,-0.03378064562819313,-0.014349483198168995,-0.0060701502002481495,-0.003169839456387105,-0.0017934564401907334,0.009708,0.01,0.0,0.97,100,13,1,14
2,0.9301144647974661,-2.6028363969396437,-0.05157619405512987,-0.022167458619629654,-0.00930426681930788,-0.005010566189117604,-0.002860694790506166,0.009432,0.01,0.0,0.97,100,13,1,14
3,0.9339336826071674,-2.6345728651835985,-0.067568189064878,-0.0289843322208918,-0.01241224722139255,-0.006621154842614932,-0.003796367048783541,0.009172,0.01,0.0,0.97,100,13,1,14
4,0.9308853502129282,-2.6675728417228073,-0.0840055684629424,-0.036195855837726866,-0.015355511201492564,-0.008320206860645024,-0.004715177109182774,0.008925,0.01,0.0,0.97,100,13,1,14
5,0.9341845443287928,-2.697640817497783,-0.0989882672030592,-0.042501378788329894,-0.01818713637980038,-0.009767040835676947,-0.00550967010291724,0.008692,0.01,0.0,0.97,100,13,1,14
6,0.9315802696591575,-2.7279261494738263,-0.1142709019931993,-0.049204756929953096,-0.020967900158983987,-0.011260144448984856,-0.006325038441296768,0.00847,0.01,0.0,0.97,100,13,1,14
7,0.9315710473649099,-2.757609392106786,-0.12936517316921492,-0.05579625547109643,-0.02369357525035497,-0.012776697697726458,-0.007220751170335219,0.00826,0.01,0.0,0.97,100,13,1,14
8,0.9322013773450487,-2.785746061867783,-0.1433030729131758,-0.061791530872883804,-0.02622890614900935,-0.014232983790420994,-0.008022816993617878,0.008059,0.01,0.0,0.97,100,13,1,14
9,0.9317460050745215,-2.813655663502528,-0.15710504968810776,-0.06781278227222158,-0.028686863409301166,-0.015667549025266007,-0.008757398368193375,0.007868,0.01,0.0,0.97,100,13,1,14
10,0.9275106676074321,-2.8426373991336793,-0.17178407632436632,-0.0740808732635918,-0.03153686305103655,-0.016997404334135085,-0.009607756934989446,0.007686,0.01,0.0,0.97,100,13,1,14
11,0.9281207410024733,-2.8667395055347966,-0.1840185974982265,-0.07978478828385721,-0.03364739327109851,-0.018325864096157364,-0.010355639323570687,0.007513,0.01,0.0,0.97,100,14,1,15
12,0.9333783100016866,-2.889058203515961,-0.1950543740853419,-0.08484745842409798,-0.03559454446242298,-0.01956419525791697,-0.011017844283106646,0.007346,0.01,0.0,0.97,100,14,1,15
13,0.9381640887693342,-2.9115993755972243,-0.2060672079972667,-0.08949951688206546,-0.03758421922644653,-0.020603023028645195,-0.011575671396051734,0.007188,0.01,0.0,0.97,100,13,1,14
14,0.9281056651601821,-2.9380259145045557,-0.21949672181403176,-0.09555137561666109,-0.039912466966762726,-0.022023710246939256,-0.012365740647075551,0.007035,0.01,0.0,0.97,100,13,1,14
15,0.9345657868224864,-2.958341608341617,-0.2294567812700198,-0.10019189874397323,-0.04154474192266264,-0.02309660634431728,-0.012934385977318176,0.006889,0.01,0.0,0.97,100,14,1,15
