episode,service_level,exponential_starvation_penalty,exponential_congestion_penalty,work_ratio,hotspot_imbalance_mass,multi_horizon_congestion_risk
52,0.9460739661140463,-42.30007574300643,-27.774761488690114,-206.61297624046358,-34.73603639409999,-42.83454851070543
53,0.9406567560232789,-42.47393370084742,-27.877440843716148,-207.27038207830208,-34.839707729469744,-42.98406197642933
54,0.944201345927513,-42.61751447954009,-27.9614461668899,-207.74917128032862,-34.912224709044104,-43.10137094493819
55,0.9427870373141027,-42.75523384897998,-28.039598471931992,-208.21900400634766,-34.98537834457147,-43.21249926523781
56,0.9400916104146577,-42.90846677065298,-28.12884432094777,-208.74367440816425,-35.06667306899358,-43.338568562906865
57,0.9425177294353512,-43.029137007968004,-28.199203422307853,-209.0982300666679,-35.11737290575094,-43.43285927838507
58,0.9446356426754452,-43.15153762125162,-28.268920298924478,-209.48126408503498,-35.175888190232726,-43.52906595746188
59,0.9425936669821979,-43.28803178747617,-28.35152784996722,-209.95731703042622,-35.24901009392456,-43.64416257771099
60,0.9401880497421898,-43.412968894733,-28.424577916816787,-210.3588482387201,-35.310956718747015,-43.7444126825383
61,0.943173716730038,-43.53400258385963,-28.49717939601695,-210.77138627877673,-35.37570900274171,-43.8449866398005
62,0.9410513066410933,-43.64872821881172,-28.562716965825654,-211.1411826813805,-35.432102663854515,-43.93575935730072
63,0.9426293858324778,-43.75908978883541,-28.626997397308646,-211.47894693981192,-35.483218903817935,-44.02308830589351
64,0.9477164010846714,-43.86600184606973,-28.689436211769046,-211.82267860813207,-35.53552535358218,-44.1094535122763
65,0.9398669702780441,-43.96823970988226,-28.74863697420506,-212.1397761486253,-35.58387717411179,-44.19023884004617
66,0.944557092273704,-44.06363393025251,-28.804886727448025,-212.41590070422836,-35.62498717676677,-44.26411082833599
67,0.9394810092484511,-44.160311003330506,-28.86063857858629,-212.7044402894748,-35.66837414275037,-44.33929248730045
68,0.9416436048610276,-44.24775501141603,-28.909807896306816,-212.9397922604542,-35.70296919877879,-44.404545319442114
69,0.9505466061694936,-44.3482534454049,-28.969450650436514,-213.2717426457616,-35.75317301439839,-44.487136479801265
70,0.9377280540393836,-44.4350204541335,-29.018992437144217,-213.52037686270359,-35.79063124845404,-44.55359645613981
71,0.9422242179314474,-44.52084390853741,-29.06784464651005,-213.76608540649437,-35.82682622029178,-44.61960403770305
72,0.9377931449188214,-44.599223804462696,-29.112468125667927,-213.9859807849194,-35.85979968149917,-44.67903174567944
73,0.9425092897495544,-44.680214813236326,-29.15946877849213,-214.202276990191,-35.88991553233102,-44.73918680392357
74,0.9422856106847163,-44.75397360890999,-29.20164979401876,-214.38329379210293,-35.91471284029214,-44.79344774595269
75,0.9355831961465764,-44.834155512212746,-29.247487957656748,-214.62147396889358,-35.95015923830021,-44.856799970980795
76,0.94151532607707,-44.91232333444691,-29.291950318380525,-214.83518273593933,-35.98191595690312,-44.91595729590104
77,0.9462701032801284,-44.98198115825152,-29.332194906697605,-215.0212884859998,-36.0091197893163,-44.968817064059834
78,0.9359025133282559,-45.05207775303036,-29.37266097174694,-215.20516317156407,-36.03592985904951,-45.021562934014774
79,0.9472097881229484,-45.1281868870688,-29.416617009211144,-215.42570634687758,-36.06940554171968,-45.080706204111316
80,0.9379187541498158,-45.197191397194736,-29.457808180760555,-215.61654744869,-36.097574591579225,-45.1341019253027
81,0.9444102627207285,-45.26185468812415,-29.494673440681794,-215.772062789113,-36.119679908908594,-45.181294966732146
82,0.944344109325146,-45.32275056045212,-29.5312836405983,-215.93262032107071,-36.14277368457126,-45.227555341193465
83,0.9383064638552387,-45.386258975116384,-29.568375933161704,-216.1095643484915,-36.16928263695055,-45.27626188832371
84,0.9384084896406171,-45.44869855117901,-29.60634933366682,-216.28424941161725,-36.19542244549411,-45.32483388929068
85,0.9467305859933302,-45.507629528892906,-29.640362841147496,-216.43958624006362,-36.21799035536722,-45.3690464904188
86,0.9435552065716357,-45.570574428764964,-29.67703317075776,-216.6229737728311,-36.24632867006748,-45.41820119119351
87,0.9437908103391207,-45.62975815942461,-29.71153248798277,-216.7828717649718,-36.2693528101851,-45.46402205748133
88,0.9420001806847954,-45.693402562620804,-29.74893303157124,-216.97056637888903,-36.29767577087517,-45.51432449329443
89,0.9443921973121379,-45.74885730670724,-29.781284381076716,-217.12296214712998,-36.319961579628696,-45.55731824325332
90,0.9433484926060898,-45.80624308684126,-29.815269872972014,-217.29403983690483,-36.34552701514448,-45.603254577024515
91,0.9407385169618733,-45.85983719124762,-29.847135976427012,-217.44776895807533,-36.36825094172909,-45.64582544316527
92,0.942192328667515,-45.90772269546934,-29.875114215475417,-217.5643509242644,-36.38522970108131,-45.68086607759918
93,0.9386415438383224,-45.95257031080907,-29.90059943726019,-217.65626825209742,-36.39741334306852,-45.7118036355769
94,0.9414800507032052,-45.9987345872635,-29.927537034702205,-217.76777367156924,-36.41325240145101,-45.745539272759984
95,0.945247902823296,-46.043187211409105,-29.952404142221788,-217.86778532426234,-36.42677873112268,-45.777102577732926
96,0.9466198632209647,-46.08530172123843,-29.976472695027056,-217.9678627034606,-36.44068308477818,-45.80807743160125
97,0.9358759430008382,-46.126684160431836,-30.00038961617404,-218.06093930935063,-36.45333563270871,-45.83749737083164
98,0.9425714458340886,-46.1649048996964,-30.021736321082987,-218.1311553669957,-36.46209195960029,-45.86312791105912
99,0.9411889147450815,-46.21212431467438,-30.049419469869665,-218.27468324095113,-36.48365758887822,-45.900885398455
