episode,service_level,exponential_starvation_penalty,exponential_congestion_penalty,work_ratio,hotspot_imbalance_mass,multi_horizon_congestion_risk
0,0.8906942841523416,-2.1337157143281673,-1.6092441680284582,-8.19435317969256,-1.3116630981290711,-2.229647642525331
1,0.9372185110177432,-5.484001906097772,-4.022976697020758,-22.89707982340668,-3.754531866331899,-5.7521444618383875
2,0.9440514665528386,-8.394978842301764,-6.070049767508069,-36.78743668526195,-6.1001951819058,-8.8255762514563
3,0.9411658054573475,-10.828778918586526,-7.75528892303624,-48.98632857823394,-8.178867487299222,-11.406045667491595
4,0.9406024351188857,-13.09650666955692,-9.300232222704661,-60.867788561771576,-10.212905172027126,-13.814625201587523
5,0.9432825025616298,-15.12450387277384,-10.650455323053864,-71.54307066562309,-12.043147399566696,-15.94850673893666
6,0.9359402985074627,-17.026590279163223,-11.894369347736014,-81.58930870171872,-13.76082959775268,-17.93104257571675
7,0.9392728483637575,-18.763430325620806,-13.02979016774319,-90.91639742589255,-15.355224642778929,-19.75251289173376
8,0.9416069522793109,-20.353605770738692,-14.05357063465947,-99.38513523024551,-16.798969320361838,-21.405605512461424
9,0.9470859360785978,-21.793477249016384,-14.990444696054588,-107.11334316479561,-18.110914440662818,-22.907117416544168
10,0.9403672486453943,-23.138985891688993,-15.856080468594607,-114.39272916054587,-19.3483929364181,-24.305175088214355
11,0.9445714808378304,-24.348241300665958,-16.620455354839336,-120.88755960298086,-20.45689782282329,-25.54189933038901
12,0.9429259482239615,-25.43552061372211,-17.30780893074353,-126.67493175740475,-21.44091760850221,-26.64968887538499
13,0.9393427796201387,-26.506086515018804,-17.972232149084597,-132.442588350113,-22.424825526715075,-27.738144889534
14,0.9435336976320583,-27.466985487579453,-18.57691816934296,-137.5085407486192,-23.284357021289683,-28.71000280544052
15,0.9427971818318093,-28.378595101374735,-19.142859498110724,-142.33151009648253,-24.107967925335895,-29.629761974717866
16,0.9394352541962068,-29.2620536801034,-19.70291886092465,-146.96334800133675,-24.89452781562482,-30.525430586652107
17,0.9424794569489103,-30.067610677557674,-20.21492723502285,-151.1718231022362,-25.604505651308806,-31.340414073720005
18,0.9435561723180885,-30.797014635595005,-20.67508289790701,-154.81382155139448,-26.217574765481906,-32.062230131806984
19,0.9424192336589031,-31.510158381119087,-21.12854087871113,-158.467539033335,-26.831771019717706,-32.77822883428728
20,0.9434001423149905,-32.226094397776045,-21.585095346125406,-162.17837460209685,-27.455603935019003,-33.50231193191235
21,0.946384341207032,-32.826098962023714,-21.96404276065385,-165.1556678139081,-27.953806110735584,-34.09579261945194
22,0.9456804910914808,-33.39962712425214,-22.321688079059513,-168.03279047019365,-28.43614147268715,-34.66223985983773
23,0.9436093622917734,-33.95112452568595,-22.666731180278884,-170.72779081061725,-28.883046706853467,-35.20178419059823
24,0.9424704918530206,-34.46759104419476,-22.98894828272247,-173.2460067557645,-29.30388207044585,-35.70606136848615
25,0.9384850941187066,-34.92913102952643,-23.2718368202714,-175.392926623785,-29.66176518341563,-36.142660150353514
26,0.9419591034913831,-35.417770572475014,-23.577202699139594,-177.71132791465632,-30.047150483576306,-36.61345412169619
27,0.9440101034399807,-35.86571226990128,-23.85103038447215,-179.81799282482467,-30.39745119647124,-37.03927018970621
28,0.9467171262089266,-36.31117810193794,-24.13782363330736,-181.95631025173464,-30.75459078754775,-37.47529269070378
29,0.9453491918267765,-36.70822147832739,-24.387810260045306,-183.77815327277594,-31.055708164944605,-37.85495126961598
30,0.9399817017383348,-37.068771574482014,-24.611167215816312,-185.424307877739,-31.32583595611467,-38.19405209652704
31,0.9434156378600823,-37.4377153863409,-24.838937973878473,-187.07925381403072,-31.598152395999136,-38.54079670014389
32,0.9465445864684374,-37.754072785236914,-25.031904324307092,-188.42721270039166,-31.81744033483278,-38.82921914213516
33,0.9423427734082958,-38.05860178494876,-25.21364008618943,-189.74437114401775,-32.03229680067264,-39.105919113069724
34,0.9410987294626498,-38.3399243077489,-25.383774163150047,-190.88987275486684,-32.218964842622555,-39.355010082327944
35,0.9468930961024933,-38.63201822307282,-25.564986114597602,-192.12907495169202,-32.41894621959797,-39.62273340258107
36,0.9387384661927092,-38.91856822899089,-25.74189395224453,-193.34806142417588,-32.617347520269156,-39.8832837763615
37,0.9421059090630177,-39.19523863729177,-25.91007085108778,-194.53128138641776,-32.811858864623005,-40.13341053403546
38,0.9364383561643835,-39.46908265896342,-26.07504901403895,-195.7089365906094,-33.00545621162893,-40.3809865071818
39,0.9405113670626545,-39.72131160890609,-26.22703515805089,-196.77497739049522,-33.17904069177919,-40.60612836169638
40,0.9425465366979442,-39.98899664491979,-26.392559933803767,-197.97035532891434,-33.37285135440838,-40.85497022034094
41,0.9380637765106948,-40.22398311663972,-26.535045944178115,-198.88628313062475,-33.51922486795811,-41.061780983871756
42,0.9383795436852507,-40.43818786778114,-26.6629341040728,-199.71562452088614,-33.65151577817509,-41.24692236179769
43,0.9435603649480161,-40.65603217993224,-26.795546676026067,-200.56490696834717,-33.78716013692134,-41.43816180800672
44,0.9480073574494176,-40.866147506666266,-26.922730806040036,-201.41314205640094,-33.922649324604656,-41.6253365070146
45,0.9433146469465649,-41.069677075254766,-27.046323875149696,-202.20960892900973,-34.04999803094032,-41.803263067132725
46,0.9385534133624348,-41.257844886852084,-27.160420587654112,-202.88633484077968,-34.15448375462481,-41.96153815853508
47,0.9415222305953278,-41.46051924890213,-27.28234333778372,-203.6862465605095,-34.281263811717956,-42.14040433169662
48,0.9448436884077747,-41.63704758380901,-27.387240080278982,-204.3131779720546,-34.37892410165195,-42.28812027809938
49,0.9408211841713776,-41.82307900962399,-27.497570520411358,-204.99471356626069,-34.48472603696996,-42.446573291433566
50,0.9364377462924526,-41.97957223432938,-27.589506440108984,-205.50039489481074,-34.5634780129979,-42.57154665822325
51,0.9385871494497693,-42.138352631640345,-27.68028716180461,-206.06820479589916,-34.653112828756186,-42.701909784741304
