episode,service_level,squared_starvation_penalty,squared_congestion_penalty,net_starvation_shortfall,net_congestion_shortfall
0,0.9026908357314505,-0.746724383556284,-0.6268014024943114,-0.1776648690014554,-0.11120944273206988
1,0.9400437899283165,-1.06826836103172,-0.8964493563597479,-0.24033762099275918,-0.15820988757646004
2,0.9384545865341166,-1.3699934615097624,-1.1500915172747133,-0.29427174751801966,-0.1979376884864804
3,0.9395221802028934,-1.654671419804355,-1.3734855586418644,-0.34432965319847386,-0.23609042900384816
4,0.9400349598554203,-1.9166967257265448,-1.580292647544335,-0.4013253532168883,-0.2712455263926445
5,0.9341956586381207,-2.2147179935068575,-1.823148979663703,-0.455314548126262,-0.31499207535053436
6,0.9355597926473217,-2.477622613808041,-2.0301585526121277,-0.5013811669394407,-0.34914924309808887
7,0.9340727964791246,-2.750219968957478,-2.233905840842219,-0.5630926066419144,-0.3827568083445063
8,0.9390670202507232,-2.9482573560777796,-2.39464621014919,-0.5994746812015834,-0.40940009561266394
9,0.9389118581101324,-3.15399572534653,-2.5434799318684393,-0.647673439906522,-0.4355893943261093
10,0.9310871061372273,-3.399053882574022,-2.7277040845281553,-0.70398352022029,-0.469779695036801
11,0.9407306763285024,-3.552614387077847,-2.8399118082676855,-0.7357653647332716,-0.48869611579222494
12,0.9378303323479351,-3.7432435276461486,-2.9831774623769323,-0.7739099111597146,-0.5173648696487803
13,0.9382212968471149,-3.909546808474372,-3.1068327571774748,-0.8086766572000559,-0.5382358344101085
14,0.9359553948161543,-4.069529171612149,-3.2375390518666634,-0.8436659198829405,-0.559956997236246
15,0.9423732835068364,-4.206792288354281,-3.3238783158389125,-0.8674104274678888,-0.5768626771838458
16,0.9368974060475806,-4.376300051825994,-3.442823709021045,-0.9025573608929398,-0.6002045433686958
17,0.9391050467735208,-4.506650819279615,-3.5274265931246243,-0.9219393262722505,-0.6179536933874005
18,0.9412590755624608,-4.6094879806999725,-3.609378298739309,-0.9421005512996639,-0.6345222424112671
19,0.9349673202614379,-4.7628806502587935,-3.7208360513408096,-0.9734070225815612,-0.6606884199887197
20,0.93546466630946,-4.887872573796779,-3.812594626603885,-1.0038332454321006,-0.6777062889911478
21,0.9405235602094241,-5.021541274047092,-3.899060702468857,-1.0276527977575804,-0.6956198636744213
22,0.944002601779854,-5.092493612806439,-3.950940990386437,-1.0436817354904104,-0.7066753975090587
23,0.934173835657075,-5.216830793249501,-4.037433083840206,-1.0696425741484856,-0.7252644058330336
24,0.9396291762457827,-5.289546159652587,-4.082243840722272,-1.0846661906028952,-0.7330503348845375
25,0.9351346488334433,-5.409952624199242,-4.164832850354233,-1.1043837193489694,-0.7556075947787617
26,0.9401536354433395,-5.488547442722327,-4.212942274936519,-1.1145615582193829,-0.765216071057866
27,0.935066097699263,-5.599040535221706,-4.290369505285481,-1.1358295327726555,-0.7789727906775322
28,0.9419909848864273,-5.688201729839684,-4.343401870607958,-1.1486088456551806,-0.7928312118345094
29,0.9317641464574418,-5.794490962736311,-4.4230228209710605,-1.1698088714292343,-0.8114547628286463
30,0.9338500196784838,-5.894348760594144,-4.483551642232857,-1.189077624467283,-0.8280140369544469
31,0.9364246047400844,-5.963151867295001,-4.532375028557358,-1.201214152402061,-0.8437716100464784
32,0.9391322536305504,-6.047926943615772,-4.584882079158263,-1.2156861241840895,-0.857190858559405
33,0.9380028821904648,-6.133370708675277,-4.633332960549775,-1.2278307847707282,-0.8681620702113731
34,0.9370191875954141,-6.210860872028257,-4.6814429313615005,-1.2429122255057012,-0.879774886656572
35,0.9393049872501927,-6.277276573835664,-4.70896183403191,-1.2557657527598893,-0.8901121195951492
36,0.9428235577792513,-6.309787039332259,-4.731568272495354,-1.2601520314538621,-0.8984340565599069
37,0.9347160523472205,-6.39704974866259,-4.785667367638914,-1.2811442158042101,-0.9129630183466795
38,0.9373977208485822,-6.463010540088686,-4.8333652114852965,-1.2933217473971617,-0.9211042841201408
39,0.9347826086956522,-6.560404044507929,-4.888367442068843,-1.3135549438308525,-0.9366610232877086
40,0.9430201140798559,-6.60446125471394,-4.9015722735713725,-1.320793605601952,-0.9431136461524718
41,0.9475592001663844,-6.629698034789601,-4.906866910320253,-1.3326558790242957,-0.948270488847222
42,0.941433962264151,-6.667527906644586,-4.921585237411447,-1.3468522128130154,-0.9537606925323625
43,0.938108132234356,-6.707442523962948,-4.936036215439126,-1.3539763254420072,-0.9570953019463905
44,0.9357250983953981,-6.764934537724183,-4.967899148126709,-1.3647560429560004,-0.9646011812959367
45,0.9431811452596672,-6.79773915412213,-4.986373544453307,-1.374628156184554,-0.9726349221414126
46,0.9384131736526946,-6.854480529534666,-5.019683689044102,-1.3805930291307882,-0.9761345631553364
